# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0736242163721
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370658
# Scan.uid: e210f303-7970-495a-ae7f-e2a880daca78
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:43:43.533043
# Scan.end_time: 06/22/2023  17:44:17.514546
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 31.293825075303246
# SampleHeater.temperature2.readback: 28.1
# SampleHeater.voltage.setpoint: 0.209011865612733
# SampleHeater.voltage.readback: 0.203
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.34
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.76001e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32028e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 7.54231e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98782e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.74207e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.13855e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6899e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.20274e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.969850e-05 -9.234544e-07 -2.685578e-07 -1.005590e-06 2.613850e-05 -7.216327e-04 -3.350038e-05 -1.818156e-05
10172.000000 -2.954281e-05 -9.159719e-07 -2.650230e-07 -1.000705e-06 3.611045e-05 -7.316467e-04 -2.967486e-05 -1.916445e-05
10177.000000 -2.953497e-05 -9.221235e-07 -2.643341e-07 -1.004277e-06 4.522185e-05 -7.280032e-04 -2.981637e-05 -1.623775e-05
10182.000000 -2.947387e-05 -9.220288e-07 -2.594678e-07 -1.004948e-06 3.009270e-05 -7.246235e-04 -3.098511e-05 6.773289e-06
10187.000000 -2.945714e-05 -9.188328e-07 -2.497164e-07 -1.005997e-06 1.684318e-05 -7.285337e-04 -1.674071e-05 3.615148e-05
10192.000000 -2.950366e-05 -9.219597e-07 -2.295506e-07 -1.009704e-06 7.030267e-06 -7.270974e-04 -2.290846e-05 3.359298e-05
10197.000000 -2.949432e-05 -9.249924e-07 -1.705582e-07 -1.011603e-06 8.797862e-06 -7.361880e-04 -2.799512e-05 3.103831e-05
10202.000000 -2.949090e-05 -9.292427e-07 -5.719639e-08 -1.015706e-06 1.353629e-05 -7.188262e-04 -3.184314e-05 2.929508e-05
10207.000000 -2.947005e-05 -9.316854e-07 -2.293509e-08 -1.017542e-06 2.277547e-05 -7.246860e-04 -3.234543e-05 3.060266e-05
10212.000000 -2.941014e-05 -9.328336e-07 -4.688728e-08 -1.016883e-06 3.873162e-05 -7.655054e-04 -4.180573e-05 3.079019e-05
10217.000000 -2.936932e-05 -9.351238e-07 -6.085759e-08 -1.017104e-06 4.147401e-05 -7.645053e-04 -3.934986e-05 2.449278e-06
10222.000000 -2.933215e-05 -9.375434e-07 -7.155893e-08 -1.018018e-06 3.380330e-05 -7.573795e-04 -3.751053e-05 -1.425585e-05
10227.000000 -2.933879e-05 -9.428691e-07 -7.895381e-08 -1.022655e-06 3.009023e-05 -7.451737e-04 -3.924915e-05 -6.891579e-06
10232.000000 -2.926359e-05 -9.436673e-07 -8.199211e-08 -1.022198e-06 2.505734e-05 -7.332704e-04 -4.091984e-05 -1.305994e-05
10237.000000 -2.926580e-05 -9.466355e-07 -8.423525e-08 -1.025140e-06 1.786409e-05 -7.432800e-04 -4.083506e-05 -5.686732e-06
10242.000000 -2.923778e-05 -9.498361e-07 -8.615829e-08 -1.026922e-06 1.778902e-05 -7.418319e-04 -4.298974e-05 -1.321133e-08
10247.000000 -2.917831e-05 -9.513603e-07 -8.957227e-08 -1.027744e-06 1.623090e-05 -7.506495e-04 -3.575430e-05 2.430302e-07
10252.000000 -2.914608e-05 -9.530470e-07 -8.898027e-08 -1.029150e-06 8.577327e-06 -7.434935e-04 -3.229093e-05 -1.327578e-06
10257.000000 -2.909290e-05 -9.535657e-07 -8.531019e-08 -1.028729e-06 9.568673e-06 -7.354480e-04 -2.882253e-05 -9.699055e-06
10262.000000 -2.902335e-05 -9.558905e-07 -8.506674e-08 -1.029048e-06 1.338462e-05 -7.315896e-04 -3.147486e-05 -1.040220e-05
10267.000000 -2.908304e-05 -9.619037e-07 -8.713918e-08 -1.034911e-06 1.256426e-05 -7.386069e-04 -3.974077e-05 -1.364011e-05
10272.000000 -2.903505e-05 -9.631065e-07 -8.781503e-08 -1.034424e-06 1.264003e-05 -7.335752e-04 -4.338686e-05 -4.086590e-06
10277.000000 -2.893852e-05 -9.638941e-07 -8.706111e-08 -1.032339e-06 1.355557e-05 -7.264016e-04 -3.179541e-05 -1.222481e-05
10282.000000 -2.883934e-05 -9.665330e-07 -8.626548e-08 -1.032785e-06 1.254676e-05 -7.270058e-04 -3.537426e-05 -1.747082e-05
10287.000000 -2.888325e-05 -9.706178e-07 -8.719222e-08 -1.037082e-06 4.631367e-06 -7.080849e-04 -4.550627e-05 -1.548054e-05
10292.000000 -2.883119e-05 -9.716954e-07 -8.973744e-08 -1.037695e-06 1.960971e-06 -7.094795e-04 -3.784402e-05 2.499496e-05
10297.000000 -2.877877e-05 -9.734017e-07 -9.121417e-08 -1.037461e-06 1.120488e-05 -7.303564e-04 -4.539325e-05 2.381534e-05
10302.000000 -2.880940e-05 -9.780868e-07 -9.137408e-08 -1.042889e-06 1.671437e-05 -7.384148e-04 -4.205450e-05 -7.401134e-06
10307.000000 -2.877844e-05 -9.815776e-07 -9.121266e-08 -1.045602e-06 1.537610e-05 -7.364743e-04 -4.215771e-05 -1.169551e-05
10312.000000 -2.872240e-05 -9.841699e-07 -9.129390e-08 -1.046320e-06 1.767546e-05 -7.228343e-04 -4.217342e-05 1.294165e-06
10317.000000 -2.868441e-05 -9.870428e-07 -9.109639e-08 -1.048094e-06 1.720699e-05 -7.121568e-04 -3.418739e-05 6.766829e-06
10322.000000 -2.867628e-05 -9.910592e-07 -9.043965e-08 -1.052878e-06 8.123300e-06 -6.994494e-04 -4.716224e-05 -4.890798e-06
10327.000000 -2.863046e-05 -9.930317e-07 -8.983767e-08 -1.055380e-06 2.377696e-06 -7.473773e-04 -4.593135e-05 -7.950779e-06
10332.000000 -2.850565e-05 -9.907008e-07 -8.882488e-08 -1.054860e-06 1.417790e-05 -7.692961e-04 -5.498408e-05 1.965730e-05
10337.000000 -2.849717e-05 -9.879109e-07 -8.820402e-08 -1.055501e-06 9.520413e-06 -7.901530e-04 -5.322937e-05 -9.441192e-06
10341.000000 -2.851245e-05 -9.917989e-07 -8.903765e-08 -1.061777e-06 2.099949e-05 -7.684135e-04 -3.384041e-05 -1.573450e-05
10344.000000 -2.849809e-05 -9.938172e-07 -9.019060e-08 -1.065081e-06 3.747105e-05 -7.513165e-04 -3.211510e-05 -2.473962e-05
10346.000000 -2.841543e-05 -9.912065e-07 -9.058481e-08 -1.062389e-06 4.105953e-05 -7.177320e-04 -3.288103e-05 -1.792911e-05
10347.000000 -2.839110e-05 -9.903498e-07 -9.102084e-08 -1.062793e-06 4.923183e-05 -6.949723e-04 -3.631790e-05 -1.808380e-05
10347.200000 -2.837100e-05 -9.907038e-07 -9.124020e-08 -1.061429e-06 5.138215e-05 -6.722215e-04 -3.920915e-05 -1.839418e-05
10347.400000 -2.841634e-05 -9.929413e-07 -9.164218e-08 -1.064604e-06 3.618918e-05 -7.003530e-04 -4.428536e-05 -1.909022e-05
10347.600000 -2.842642e-05 -9.937599e-07 -9.214574e-08 -1.066529e-06 3.604666e-05 -6.987315e-04 -3.142137e-05 -1.286111e-05
