# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.4829540060559
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -350.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.015381
# Detector.I1.voltage: -1650.009033
# Detector.I2.voltage: -1650.010986
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370581
# Scan.uid: 6545cb77-5883-4398-9107-7bccf8635b5c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  15:37:16.530285
# Scan.end_time: 06/22/2023  15:37:51.151023
# Scan.name: CuGaO2-2nd RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 25.8
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 0.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.7622e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.65145e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.53352e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.11255e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.97909e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.26334e-07
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.0683e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.68797e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.498339e-05 -1.408733e-06 -9.346848e-07 -3.567856e-07 3.549569e-05 -4.816642e-05 -3.188785e-05 3.291006e-05
 8784.000000 -4.504080e-05 -1.407126e-06 -9.340396e-07 -3.582804e-07 3.372238e-05 -4.333900e-05 -2.236558e-05 3.149361e-05
 8789.000000 -4.488359e-05 -1.401292e-06 -9.305885e-07 -3.581959e-07 2.772106e-05 -4.666870e-05 -2.580436e-05 3.398899e-05
 8794.000000 -4.468938e-05 -1.397730e-06 -9.288346e-07 -3.575578e-07 2.804954e-05 -5.767757e-05 -1.528315e-05 3.016248e-05
 8799.000000 -4.408622e-05 -1.381788e-06 -9.189042e-07 -3.536791e-07 3.130205e-05 -5.285594e-05 -1.414534e-05 3.024401e-05
 8804.000000 -4.444245e-05 -1.396328e-06 -9.293857e-07 -3.569232e-07 3.946694e-05 -6.349395e-05 -3.487625e-05 3.103173e-05
 8809.000000 -4.436623e-05 -1.396828e-06 -9.302138e-07 -3.570905e-07 4.369677e-05 -7.214525e-05 -3.117474e-05 3.755730e-05
 8814.000000 -4.408194e-05 -1.392693e-06 -9.280150e-07 -3.552924e-07 3.847081e-05 -4.924423e-05 -2.842789e-05 4.387870e-05
 8819.000000 -4.412659e-05 -1.399336e-06 -9.330835e-07 -3.563103e-07 3.701845e-05 -5.973927e-05 -3.779382e-05 4.099837e-05
 8824.000000 -4.412376e-05 -1.403910e-06 -9.369791e-07 -3.572606e-07 2.930710e-05 -7.074804e-05 -3.144128e-05 3.716707e-05
 8829.000000 -4.400334e-05 -1.404699e-06 -9.383424e-07 -3.574780e-07 1.776249e-05 -7.183915e-05 -3.920927e-05 3.605760e-05
 8834.000000 -4.389545e-05 -1.405660e-06 -9.397829e-07 -3.580303e-07 2.449535e-05 -8.283218e-05 -4.809762e-05 3.104916e-05
 8839.000000 -4.370657e-05 -1.407407e-06 -9.413484e-07 -3.577290e-07 2.934029e-05 -8.342220e-05 -4.498051e-05 3.072289e-05
 8844.000000 -4.346724e-05 -1.405850e-06 -9.408932e-07 -3.570765e-07 3.276692e-05 -8.112977e-05 -2.836394e-05 3.870272e-05
 8849.000000 -4.324580e-05 -1.403095e-06 -9.394512e-07 -3.565242e-07 3.270885e-05 -8.235175e-05 -2.880742e-05 4.023206e-05
 8854.000000 -4.322416e-05 -1.407968e-06 -9.434425e-07 -3.575293e-07 3.532067e-05 -8.049469e-05 -4.117816e-05 3.579236e-05
 8859.000000 -4.304568e-05 -1.408101e-06 -9.441247e-07 -3.572837e-07 4.173435e-05 -6.226097e-05 -3.842010e-05 3.484738e-05
 8864.000000 -4.295093e-05 -1.411321e-06 -9.469161e-07 -3.578575e-07 3.883247e-05 -5.266356e-05 -3.229415e-05 4.020825e-05
 8869.000000 -4.270962e-05 -1.410095e-06 -9.468235e-07 -3.568664e-07 2.740509e-05 -6.971024e-05 -4.604033e-05 4.151620e-05
 8874.000000 -4.251808e-05 -1.410375e-06 -9.475607e-07 -3.561473e-07 1.992745e-05 -8.290989e-05 -4.655836e-05 3.512660e-05
 8879.000000 -4.223808e-05 -1.406130e-06 -9.451062e-07 -3.548935e-07 1.944576e-05 -8.782234e-05 -4.715178e-05 3.804236e-05
 8884.000000 -4.192673e-05 -1.403099e-06 -9.436168e-07 -3.534469e-07 2.902246e-05 -7.539018e-05 -3.885314e-05 3.559386e-05
 8889.000000 -4.146201e-05 -1.395795e-06 -9.392775e-07 -3.509742e-07 2.916664e-05 -8.051436e-05 -2.857486e-05 3.038714e-05
 8894.000000 -4.176433e-05 -1.411739e-06 -9.504312e-07 -3.539656e-07 2.671273e-05 -8.811461e-05 -2.990254e-05 2.785688e-05
 8899.000000 -4.172045e-05 -1.418752e-06 -9.557026e-07 -3.544289e-07 2.890343e-05 -7.223032e-05 -4.146514e-05 2.069024e-05
 8904.000000 -4.154395e-05 -1.419039e-06 -9.561673e-07 -3.534755e-07 3.159448e-05 -6.084486e-05 -3.354783e-05 1.342354e-05
 8909.000000 -4.141329e-05 -1.420031e-06 -9.574259e-07 -3.529799e-07 3.196109e-05 -8.082863e-05 -3.539059e-05 2.088932e-05
 8914.000000 -4.107051e-05 -1.413689e-06 -9.537619e-07 -3.508665e-07 2.540824e-05 -7.141370e-05 -2.506986e-05 2.394661e-05
 8919.000000 -4.091355e-05 -1.413479e-06 -9.539024e-07 -3.507334e-07 2.957433e-05 -8.636074e-05 -2.603714e-05 2.534026e-05
 8924.000000 -4.060375e-05 -1.409607e-06 -9.513028e-07 -3.493519e-07 2.270898e-05 -1.060640e-04 -2.770105e-05 3.535494e-05
 8929.000000 -4.064397e-05 -1.417148e-06 -9.565711e-07 -3.513309e-07 2.118397e-05 -1.181708e-04 -2.812108e-05 3.898323e-05
 8934.000000 -4.060460e-05 -1.422608e-06 -9.603535e-07 -3.527705e-07 1.792486e-05 -8.184926e-05 -2.169394e-05 4.100756e-05
 8939.000000 -4.042628e-05 -1.423368e-06 -9.610011e-07 -3.526064e-07 1.975758e-05 -6.728691e-05 -2.106138e-05 4.386694e-05
 8944.000000 -4.023451e-05 -1.424467e-06 -9.614622e-07 -3.522124e-07 3.244557e-05 -8.455380e-05 -2.184477e-05 5.097655e-05
 8949.000000 -4.002838e-05 -1.420758e-06 -9.581421e-07 -3.516112e-07 3.486349e-05 -9.067884e-05 -1.774138e-05 4.845167e-05
 8953.000000 -3.989723e-05 -1.416953e-06 -9.547397e-07 -3.516212e-07 3.194019e-05 -8.005954e-05 -2.293602e-05 4.310098e-05
 8956.000000 -3.988917e-05 -1.419735e-06 -9.559004e-07 -3.525311e-07 3.000996e-05 -7.973645e-05 -2.313428e-05 4.819364e-05
 8958.000000 -3.984098e-05 -1.417505e-06 -9.533636e-07 -3.528950e-07 2.338204e-05 -6.586565e-05 -2.210454e-05 5.149126e-05
 8959.000000 -3.983727e-05 -1.419053e-06 -9.539000e-07 -3.532327e-07 3.052133e-05 -6.043377e-05 -2.086773e-05 5.112403e-05
 8959.200000 -3.981688e-05 -1.417616e-06 -9.527883e-07 -3.533110e-07 3.267146e-05 -6.871655e-05 -1.343779e-05 5.000481e-05
 8959.400000 -3.981065e-05 -1.420087e-06 -9.543147e-07 -3.533297e-07 3.901760e-05 -6.082792e-05 -6.419108e-06 5.758527e-05
