# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.69253207723506
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.011719
# Detector.I1.voltage: -1650.014648
# Detector.I2.voltage: -1650.011353
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370583
# Scan.uid: 7ce2e5b0-3523-4d38-afa1-d5e39bb90b6a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  15:47:26.547319
# Scan.end_time: 06/22/2023  15:47:59.469575
# Scan.name: CuGaO2-2nd RT-bis (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.3
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 0.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.31816e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.74084e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.53159e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.09709e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.90719e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.25947e-07
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.0511e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.57692e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.487433e-05 -1.376606e-06 -9.129917e-07 -3.559390e-07 3.344043e-05 -2.094308e-04 -2.446646e-05 5.466524e-06
 8784.000000 -4.507630e-05 -1.385384e-06 -9.193471e-07 -3.585615e-07 3.367841e-05 -2.177769e-04 -2.794770e-05 -3.831346e-06
 8789.000000 -4.499533e-05 -1.385426e-06 -9.200968e-07 -3.590959e-07 3.253250e-05 -2.265011e-04 -2.909920e-05 2.080245e-06
 8794.000000 -4.476410e-05 -1.380613e-06 -9.173730e-07 -3.581757e-07 3.079633e-05 -2.317025e-04 -3.100892e-05 -3.365761e-06
 8799.000000 -4.430319e-05 -1.369209e-06 -9.103219e-07 -3.552352e-07 3.113737e-05 -2.497339e-04 -4.484549e-05 -3.060676e-06
 8804.000000 -4.467804e-05 -1.383851e-06 -9.209865e-07 -3.591114e-07 3.429449e-05 -2.324229e-04 -4.022889e-05 -2.018850e-06
 8809.000000 -4.454266e-05 -1.384650e-06 -9.220959e-07 -3.587359e-07 2.855699e-05 -2.498149e-04 -3.942280e-05 -7.229617e-06
 8814.000000 -4.427664e-05 -1.380996e-06 -9.203443e-07 -3.570715e-07 2.299123e-05 -2.632973e-04 -3.846948e-05 -5.868613e-07
 8819.000000 -4.429110e-05 -1.386135e-06 -9.244625e-07 -3.578666e-07 2.977434e-05 -2.522213e-04 -2.934234e-05 4.192487e-06
 8824.000000 -4.418925e-05 -1.387701e-06 -9.261234e-07 -3.579947e-07 3.449726e-05 -2.648266e-04 -2.715794e-05 -5.535601e-07
 8829.000000 -4.402043e-05 -1.387125e-06 -9.262074e-07 -3.580528e-07 3.488855e-05 -2.568001e-04 -2.256424e-05 6.395531e-06
 8834.000000 -4.389132e-05 -1.385626e-06 -9.256609e-07 -3.583813e-07 3.339334e-05 -2.603138e-04 -2.832736e-05 -1.977481e-06
 8839.000000 -4.376025e-05 -1.388768e-06 -9.283539e-07 -3.585401e-07 3.100344e-05 -2.755442e-04 -2.445300e-05 -2.227853e-06
 8844.000000 -4.358942e-05 -1.389514e-06 -9.297794e-07 -3.583237e-07 2.056724e-05 -2.857584e-04 -2.256144e-05 -7.558857e-06
 8849.000000 -4.339958e-05 -1.388322e-06 -9.297678e-07 -3.580964e-07 3.393084e-05 -2.703956e-04 -2.000516e-05 -1.403524e-06
 8854.000000 -4.317394e-05 -1.385606e-06 -9.282831e-07 -3.574322e-07 3.639569e-05 -2.831947e-04 -2.365192e-05 1.111657e-06
 8859.000000 -4.305415e-05 -1.387445e-06 -9.301116e-07 -3.576422e-07 3.435429e-05 -2.679240e-04 -1.904543e-05 -3.397448e-06
 8864.000000 -4.293265e-05 -1.388819e-06 -9.318846e-07 -3.578550e-07 3.261802e-05 -2.690378e-04 -2.033571e-05 1.147160e-06
 8869.000000 -4.280058e-05 -1.390240e-06 -9.332985e-07 -3.579539e-07 3.352789e-05 -2.553727e-04 -2.763949e-05 4.836323e-06
 8874.000000 -4.254742e-05 -1.388105e-06 -9.322757e-07 -3.567222e-07 3.212378e-05 -2.497806e-04 -2.926747e-05 5.700563e-06
 8879.000000 -4.233910e-05 -1.386536e-06 -9.316137e-07 -3.558432e-07 3.109546e-05 -2.145320e-04 -3.186638e-05 -1.490971e-06
 8884.000000 -4.202777e-05 -1.380964e-06 -9.284230e-07 -3.545690e-07 2.956160e-05 -2.266426e-04 -3.637752e-05 -4.848900e-06
 8889.000000 -4.171938e-05 -1.379792e-06 -9.282370e-07 -3.534910e-07 3.210522e-05 -2.362157e-04 -2.539178e-05 -6.846195e-06
 8894.000000 -4.191940e-05 -1.392230e-06 -9.371779e-07 -3.554017e-07 3.249147e-05 -2.278519e-04 -2.944123e-05 5.325839e-06
 8899.000000 -4.179924e-05 -1.397000e-06 -9.407900e-07 -3.552467e-07 3.467834e-05 -2.359768e-04 -3.155994e-05 -1.022353e-06
 8904.000000 -4.144034e-05 -1.388150e-06 -9.355005e-07 -3.527166e-07 4.050745e-05 -2.295827e-04 -3.083744e-05 4.476420e-06
 8909.000000 -4.139908e-05 -1.395528e-06 -9.409690e-07 -3.528201e-07 2.924783e-05 -2.117222e-04 -4.336655e-05 -2.953880e-06
 8914.000000 -4.099238e-05 -1.388116e-06 -9.361221e-07 -3.500894e-07 2.491110e-05 -2.470509e-04 -4.303585e-05 1.017931e-07
 8919.000000 -4.091497e-05 -1.392295e-06 -9.391971e-07 -3.504816e-07 3.378005e-05 -2.120947e-04 -4.280074e-05 4.827147e-07
 8924.000000 -4.073035e-05 -1.393236e-06 -9.401402e-07 -3.503233e-07 3.683438e-05 -1.925487e-04 -3.319166e-05 -1.733047e-06
 8929.000000 -4.072864e-05 -1.398957e-06 -9.441510e-07 -3.520299e-07 3.378644e-05 -1.851047e-04 -2.843167e-05 -8.625242e-06
 8934.000000 -4.054939e-05 -1.398411e-06 -9.441096e-07 -3.521296e-07 3.335503e-05 -1.965632e-04 -3.357357e-05 -8.787546e-06
 8939.000000 -4.043634e-05 -1.401816e-06 -9.463000e-07 -3.525916e-07 3.578877e-05 -1.617862e-04 -2.961040e-05 -3.926182e-06
 8944.000000 -4.023736e-05 -1.399821e-06 -9.444955e-07 -3.521104e-07 4.206799e-05 -1.253724e-04 -2.411703e-05 1.377690e-06
 8949.000000 -4.006109e-05 -1.400740e-06 -9.445855e-07 -3.519830e-07 4.131911e-05 -1.115735e-04 -3.462396e-05 5.533416e-06
 8953.000000 -3.996109e-05 -1.400402e-06 -9.435077e-07 -3.521760e-07 3.909170e-05 -1.227981e-04 -3.852136e-05 2.173317e-06
 8956.000000 -3.988357e-05 -1.398000e-06 -9.409438e-07 -3.524661e-07 3.385812e-05 -1.309963e-04 -3.331294e-05 -9.003022e-06
 8958.000000 -3.983019e-05 -1.396661e-06 -9.392611e-07 -3.527740e-07 3.125900e-05 -1.298918e-04 -2.959799e-05 -7.840871e-06
 8959.000000 -3.980244e-05 -1.395291e-06 -9.377177e-07 -3.527780e-07 3.235039e-05 -1.461001e-04 -3.081066e-05 3.527076e-06
 8959.200000 -3.984755e-05 -1.397528e-06 -9.391646e-07 -3.532304e-07 3.219315e-05 -1.328150e-04 -2.906867e-05 2.274658e-06
 8959.400000 -3.983482e-05 -1.397208e-06 -9.386579e-07 -3.533722e-07 3.060480e-05 -1.280313e-04 -1.119358e-05 1.265378e-05
