# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1534716484962
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999268
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370582
# Scan.uid: 82593df0-46ee-4545-83b7-50f75979bde7
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  15:46:28.530005
# Scan.end_time: 06/22/2023  15:47:02.728588
# Scan.name: CuGaO2-2nd RT-bis (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 25.6
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 0.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.42424e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.89429e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.47045e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.09104e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.95893e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.27065e-07
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.0597e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.63959e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.521569e-05 -1.848024e-06 -5.269188e-07 -1.171572e-06 3.441327e-05 -1.393430e-04 -1.489963e-05 6.818729e-06
10172.000000 -3.508287e-05 -1.837231e-06 -5.211900e-07 -1.169822e-06 4.007213e-05 -1.250072e-04 -2.469494e-05 1.897370e-05
10177.000000 -3.498634e-05 -1.843278e-06 -5.175547e-07 -1.169104e-06 3.465863e-05 -1.289450e-04 -2.380773e-05 2.609748e-05
10182.000000 -3.488245e-05 -1.840421e-06 -5.077912e-07 -1.167188e-06 3.122844e-05 -1.280054e-04 -1.292718e-05 2.302102e-05
10187.000000 -3.488947e-05 -1.838071e-06 -4.890327e-07 -1.171131e-06 2.363962e-05 -1.289877e-04 -1.282129e-05 1.831592e-05
10192.000000 -3.496872e-05 -1.844553e-06 -4.487712e-07 -1.177149e-06 1.018773e-05 -1.185933e-04 -1.163075e-05 1.182689e-05
10197.000000 -3.495994e-05 -1.850255e-06 -3.342649e-07 -1.180198e-06 2.415392e-05 -1.168536e-04 -1.655404e-05 8.951544e-06
10202.000000 -3.491993e-05 -1.852996e-06 -1.144675e-07 -1.181913e-06 1.838694e-05 -1.247177e-04 -2.568226e-05 1.395931e-05
10207.000000 -3.489255e-05 -1.854569e-06 -4.346243e-08 -1.183425e-06 2.105486e-05 -1.536832e-04 -2.874044e-05 2.353123e-05
10212.000000 -3.483519e-05 -1.856415e-06 -8.830640e-08 -1.183212e-06 2.471898e-05 -1.280667e-04 -2.130796e-05 5.461480e-06
10217.000000 -3.477704e-05 -1.856638e-06 -1.153447e-07 -1.183369e-06 3.525377e-05 -1.203596e-04 -9.968854e-06 -8.961534e-06
10222.000000 -3.472605e-05 -1.858369e-06 -1.358998e-07 -1.184466e-06 4.380130e-05 -1.374755e-04 -8.068549e-06 -1.946563e-05
10227.000000 -3.468069e-05 -1.859507e-06 -1.496792e-07 -1.186412e-06 4.227968e-05 -1.542572e-04 -1.094596e-05 -2.852373e-05
10232.000000 -3.461828e-05 -1.861973e-06 -1.556678e-07 -1.187552e-06 3.503864e-05 -1.537816e-04 -1.782138e-05 -2.954750e-05
10237.000000 -3.460117e-05 -1.864334e-06 -1.593507e-07 -1.190346e-06 3.221254e-05 -1.569905e-04 -1.907138e-05 -1.976244e-05
10242.000000 -3.452587e-05 -1.862238e-06 -1.621389e-07 -1.189429e-06 3.147082e-05 -1.674603e-04 -1.664661e-05 -8.801494e-06
10247.000000 -3.445735e-05 -1.864298e-06 -1.681905e-07 -1.191176e-06 2.969122e-05 -1.566169e-04 -3.081943e-05 -2.520025e-05
10252.000000 -3.441608e-05 -1.866196e-06 -1.678003e-07 -1.192316e-06 2.929617e-05 -1.435001e-04 -3.089849e-05 -2.847179e-05
10257.000000 -3.434302e-05 -1.865585e-06 -1.613322e-07 -1.190373e-06 2.775956e-05 -1.421291e-04 -2.818635e-05 -3.404957e-05
10262.000000 -3.430907e-05 -1.871499e-06 -1.603470e-07 -1.194218e-06 2.317987e-05 -1.412275e-04 -1.699280e-05 -3.353151e-05
10267.000000 -3.433991e-05 -1.876153e-06 -1.632087e-07 -1.198682e-06 2.637109e-05 -1.446196e-04 -2.677933e-05 -3.105371e-05
10272.000000 -3.431928e-05 -1.879934e-06 -1.647834e-07 -1.201088e-06 2.937571e-05 -1.215568e-04 -2.589786e-05 -3.686063e-05
10277.000000 -3.420680e-05 -1.877063e-06 -1.636339e-07 -1.199140e-06 3.608067e-05 -1.396527e-04 -1.883648e-05 -2.736626e-05
10282.000000 -3.405463e-05 -1.875884e-06 -1.613207e-07 -1.197446e-06 3.281745e-05 -1.403290e-04 -2.448298e-05 -3.406795e-05
10287.000000 -3.409711e-05 -1.880447e-06 -1.626368e-07 -1.202028e-06 3.434171e-05 -1.521881e-04 -1.212757e-05 -3.477072e-05
10292.000000 -3.405805e-05 -1.882184e-06 -1.671595e-07 -1.203543e-06 3.051089e-05 -1.544549e-04 -1.234480e-05 -3.347645e-05
10297.000000 -3.398853e-05 -1.883271e-06 -1.695427e-07 -1.203441e-06 2.532939e-05 -1.436638e-04 -2.507969e-05 -2.901987e-05
10302.000000 -3.396239e-05 -1.884788e-06 -1.692212e-07 -1.205149e-06 2.663276e-05 -1.316797e-04 -2.909511e-05 -3.424675e-05
10307.000000 -3.389308e-05 -1.885871e-06 -1.687851e-07 -1.205382e-06 3.359982e-05 -1.178270e-04 -2.663588e-05 -2.632347e-05
10312.000000 -3.386496e-05 -1.891346e-06 -1.693186e-07 -1.208515e-06 3.211057e-05 -1.369051e-04 -4.156848e-05 -2.064174e-05
10317.000000 -3.385148e-05 -1.896743e-06 -1.687916e-07 -1.213373e-06 3.317378e-05 -1.408641e-04 -3.422582e-05 -2.446888e-05
10322.000000 -3.380405e-05 -1.897555e-06 -1.672112e-07 -1.215765e-06 3.782250e-05 -1.520956e-04 -3.448328e-05 -2.603986e-05
10327.000000 -3.366098e-05 -1.891762e-06 -1.650971e-07 -1.211718e-06 3.060534e-05 -1.435191e-04 -2.753999e-05 -2.577571e-05
10332.000000 -3.355891e-05 -1.893325e-06 -1.636337e-07 -1.214967e-06 2.941937e-05 -1.525691e-04 -2.626170e-05 -2.200977e-05
10337.000000 -3.370969e-05 -1.907320e-06 -1.643348e-07 -1.227737e-06 3.078753e-05 -1.720871e-04 -1.634053e-05 -2.316804e-05
10341.000000 -3.364188e-05 -1.903646e-06 -1.648703e-07 -1.229315e-06 3.921697e-05 -1.798926e-04 -2.879351e-05 -2.834900e-05
10344.000000 -3.356809e-05 -1.899959e-06 -1.661757e-07 -1.228608e-06 4.046264e-05 -1.723679e-04 -3.290280e-05 -2.923787e-05
10346.000000 -3.356555e-05 -1.902000e-06 -1.681273e-07 -1.232544e-06 3.011684e-05 -1.713307e-04 -4.074070e-05 -2.470346e-05
10347.000000 -3.359178e-05 -1.904912e-06 -1.695461e-07 -1.236665e-06 2.712275e-05 -1.758239e-04 -3.457170e-05 -8.553227e-06
10347.200000 -3.359794e-05 -1.902740e-06 -1.694241e-07 -1.237129e-06 2.236477e-05 -1.835930e-04 -3.482154e-05 -1.770900e-06
10347.400000 -3.357762e-05 -1.907031e-06 -1.699103e-07 -1.236498e-06 1.457597e-05 -1.769279e-04 -4.094004e-05 -6.082275e-06
