# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2776030599501
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003906
# Detector.I1.voltage: -1650.004517
# Detector.I2.voltage: -1650.004883
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370796
# Scan.uid: 8149f72c-3572-43f5-be5d-6edfeb4218a5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:16:28.554088
# Scan.end_time: 06/23/2023  00:17:02.085174
# Scan.name: Cu2O+Ga2O3-1st H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 28.3
# SampleHeater.voltage.setpoint: 0.11025758772837274
# SampleHeater.voltage.readback: 0.10300000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.004
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.49
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.01627604104578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.53704e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.15696e-09
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80172e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.0081e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.36097e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.07395e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.016009e-05 -1.125722e-06 -3.281336e-07 -8.309659e-07 1.231038e-04 1.375110e-03 2.718531e-05 4.456547e-05
10172.000000 -2.996619e-05 -1.117899e-06 -3.241303e-07 -8.277384e-07 1.248924e-04 1.380012e-03 3.068520e-05 5.209907e-05
10177.000000 -2.986522e-05 -1.116745e-06 -3.204154e-07 -8.266337e-07 1.263757e-04 1.380270e-03 3.755875e-05 4.554675e-05
10182.000000 -2.985165e-05 -1.121347e-06 -3.158190e-07 -8.277163e-07 1.329480e-04 1.361304e-03 2.749102e-05 4.335206e-05
10187.000000 -2.973712e-05 -1.118075e-06 -3.034023e-07 -8.274609e-07 1.437843e-04 1.342533e-03 4.021172e-05 3.676817e-05
10192.000000 -2.994679e-05 -1.133973e-06 -2.815861e-07 -8.341689e-07 1.392180e-04 1.344597e-03 3.137485e-05 4.420055e-05
10197.000000 -2.997573e-05 -1.139623e-06 -2.086629e-07 -8.370360e-07 1.354567e-04 1.355490e-03 2.876969e-05 5.048226e-05
10202.000000 -2.992130e-05 -1.140440e-06 -6.666276e-08 -8.376488e-07 1.414737e-04 1.399165e-03 2.145927e-05 4.714961e-05
10207.000000 -2.982659e-05 -1.140646e-06 -2.713361e-08 -8.379962e-07 1.388032e-04 1.392796e-03 1.952344e-05 5.184681e-05
10212.000000 -2.985654e-05 -1.148477e-06 -5.646660e-08 -8.406648e-07 1.451172e-04 1.371324e-03 1.740417e-05 4.894995e-05
10217.000000 -2.981266e-05 -1.152231e-06 -7.308770e-08 -8.417537e-07 1.431436e-04 1.380082e-03 3.171280e-05 4.979169e-05
10222.000000 -2.981321e-05 -1.157771e-06 -8.656103e-08 -8.436799e-07 1.463548e-04 1.355009e-03 3.773125e-05 5.948142e-05
10227.000000 -2.976529e-05 -1.160841e-06 -9.575607e-08 -8.443366e-07 1.455411e-04 1.351562e-03 3.775402e-05 5.309323e-05
10232.000000 -2.970779e-05 -1.164934e-06 -9.935300e-08 -8.446000e-07 1.463521e-04 1.355406e-03 3.412596e-05 4.294215e-05
10237.000000 -2.969045e-05 -1.169718e-06 -1.019920e-07 -8.471145e-07 1.454851e-04 1.351953e-03 2.128765e-05 3.627764e-05
10242.000000 -2.959355e-05 -1.168461e-06 -1.037333e-07 -8.474674e-07 1.363251e-04 1.356331e-03 2.790687e-05 3.369999e-05
10247.000000 -2.952613e-05 -1.171438e-06 -1.084683e-07 -8.480023e-07 1.477826e-04 1.361145e-03 2.523923e-05 3.245800e-05
10252.000000 -2.951086e-05 -1.175435e-06 -1.077298e-07 -8.499989e-07 1.500416e-04 1.343842e-03 2.527738e-05 3.846603e-05
10257.000000 -2.950132e-05 -1.181690e-06 -1.039347e-07 -8.521211e-07 1.529316e-04 1.333253e-03 1.991756e-05 3.982148e-05
10262.000000 -2.938863e-05 -1.181887e-06 -1.034036e-07 -8.516888e-07 1.510636e-04 1.329852e-03 2.919956e-05 4.149591e-05
10267.000000 -2.948464e-05 -1.193817e-06 -1.057990e-07 -8.560905e-07 1.498327e-04 1.319063e-03 3.311867e-05 4.994635e-05
10272.000000 -2.947290e-05 -1.199741e-06 -1.073694e-07 -8.575709e-07 1.502079e-04 1.317430e-03 2.588402e-05 5.186807e-05
10277.000000 -2.938876e-05 -1.200614e-06 -1.066571e-07 -8.574164e-07 1.534585e-04 1.307443e-03 2.723378e-05 5.368326e-05
10282.000000 -2.922006e-05 -1.198117e-06 -1.049653e-07 -8.545829e-07 1.462760e-04 1.319316e-03 3.015984e-05 5.721453e-05
10287.000000 -2.930571e-05 -1.208896e-06 -1.066348e-07 -8.588118e-07 1.537548e-04 1.322002e-03 2.378787e-05 4.736592e-05
10292.000000 -2.925715e-05 -1.212702e-06 -1.098902e-07 -8.599406e-07 1.472102e-04 1.339615e-03 2.534266e-05 4.928263e-05
10297.000000 -2.920723e-05 -1.214506e-06 -1.115604e-07 -8.610294e-07 1.594071e-04 1.334803e-03 2.404904e-05 6.315415e-05
10302.000000 -2.919205e-05 -1.220207e-06 -1.114521e-07 -8.633089e-07 1.489400e-04 1.347480e-03 2.169394e-05 5.095966e-05
10307.000000 -2.914068e-05 -1.222395e-06 -1.116410e-07 -8.638915e-07 1.494041e-04 1.337987e-03 2.197008e-05 4.199527e-05
10312.000000 -2.911579e-05 -1.228437e-06 -1.118771e-07 -8.654852e-07 1.535606e-04 1.351908e-03 2.699587e-05 4.492777e-05
10317.000000 -2.908905e-05 -1.235516e-06 -1.116448e-07 -8.677558e-07 1.569720e-04 1.351997e-03 2.984320e-05 4.446461e-05
10322.000000 -2.907312e-05 -1.241617e-06 -1.112206e-07 -8.696722e-07 1.529351e-04 1.350142e-03 3.179503e-05 4.187583e-05
10327.000000 -2.901031e-05 -1.244545e-06 -1.104519e-07 -8.709785e-07 1.448737e-04 1.381281e-03 3.144290e-05 4.892099e-05
10332.000000 -2.887236e-05 -1.244046e-06 -1.094752e-07 -8.706519e-07 1.424798e-04 1.381654e-03 2.333850e-05 4.150178e-05
10337.000000 -2.897458e-05 -1.252765e-06 -1.097702e-07 -8.761600e-07 1.415014e-04 1.379883e-03 2.305581e-05 4.014421e-05
10341.000000 -2.893556e-05 -1.252900e-06 -1.104332e-07 -8.779944e-07 1.406029e-04 1.382594e-03 1.469567e-05 4.318841e-05
10344.000000 -2.889728e-05 -1.253488e-06 -1.115864e-07 -8.797223e-07 1.315872e-04 1.398666e-03 1.105758e-05 4.380785e-05
10346.000000 -2.885924e-05 -1.253474e-06 -1.126221e-07 -8.808536e-07 1.300347e-04 1.409039e-03 1.550071e-05 4.580261e-05
10347.000000 -2.886845e-05 -1.255343e-06 -1.136357e-07 -8.817493e-07 1.291144e-04 1.417041e-03 1.068235e-05 3.960726e-05
10347.200000 -2.888160e-05 -1.254837e-06 -1.135825e-07 -8.820799e-07 1.367280e-04 1.445034e-03 1.691775e-05 3.685367e-05
10347.400000 -2.888466e-05 -1.255953e-06 -1.138868e-07 -8.823348e-07 1.269491e-04 1.434014e-03 4.289960e-06 3.241243e-05
10347.600000 -2.888963e-05 -1.259093e-06 -1.140993e-07 -8.828979e-07 1.234969e-04 1.446740e-03 1.713340e-05 3.824519e-05
10347.800000 -2.887835e-05 -1.257161e-06 -1.139161e-07 -8.827998e-07 1.318179e-04 1.451248e-03 1.995457e-05 4.044916e-05
