# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.41330038256115
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000854
# Detector.I1.voltage: -1650.004639
# Detector.I2.voltage: -1650.005127
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370809
# Scan.uid: ce5e35d1-54de-4f72-b172-b4f22cbdea47
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:32:28.514632
# Scan.end_time: 06/23/2023  00:33:02.975537
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 121.87220170084265
# SampleHeater.temperature2.readback: 122.5
# SampleHeater.voltage.setpoint: 0.3898739160825165
# SampleHeater.voltage.readback: 0.39
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.09765625
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.06103515625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.90555e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.71679e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.55178e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1309e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.64475e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 4.3817e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.521358e-05 -4.277969e-07 -2.832714e-07 -2.904409e-07 5.449913e-05 8.328415e-04 -1.121805e-05 6.440947e-05
 8784.000000 -3.527636e-05 -4.278000e-07 -2.833234e-07 -2.915328e-07 4.545001e-05 8.492011e-04 -9.064485e-06 6.091284e-05
 8789.000000 -3.512106e-05 -4.259495e-07 -2.824081e-07 -2.912834e-07 4.803824e-05 8.259707e-04 -1.614617e-05 5.308145e-05
 8794.000000 -3.495022e-05 -4.255034e-07 -2.820800e-07 -2.908158e-07 4.609610e-05 8.394847e-04 -1.919545e-05 5.302244e-05
 8799.000000 -3.458394e-05 -4.229584e-07 -2.805961e-07 -2.886312e-07 4.687397e-05 8.417756e-04 -2.362291e-05 5.490034e-05
 8804.000000 -3.487239e-05 -4.287223e-07 -2.846733e-07 -2.913758e-07 5.560089e-05 8.477401e-04 -8.653628e-06 6.265670e-05
 8809.000000 -3.483964e-05 -4.306058e-07 -2.864490e-07 -2.914804e-07 6.097812e-05 8.361030e-04 -1.594607e-05 6.455587e-05
 8814.000000 -3.477294e-05 -4.328545e-07 -2.878614e-07 -2.911997e-07 5.396083e-05 8.687658e-04 -1.888827e-05 6.486887e-05
 8819.000000 -3.480567e-05 -4.357108e-07 -2.901528e-07 -2.920657e-07 4.213523e-05 8.628736e-04 -2.592691e-05 8.186895e-05
 8824.000000 -3.473055e-05 -4.372999e-07 -2.912053e-07 -2.924709e-07 4.085478e-05 8.693734e-04 -1.986628e-05 8.023232e-05
 8829.000000 -3.467269e-05 -4.388374e-07 -2.923696e-07 -2.929416e-07 3.360760e-05 8.675130e-04 -3.076179e-05 7.499606e-05
 8834.000000 -3.455311e-05 -4.388867e-07 -2.928127e-07 -2.928884e-07 3.234990e-05 8.561160e-04 -2.747390e-05 7.160684e-05
 8839.000000 -3.443057e-05 -4.396575e-07 -2.934928e-07 -2.928236e-07 3.599126e-05 8.673727e-04 -2.386768e-05 6.760691e-05
 8844.000000 -3.431407e-05 -4.403874e-07 -2.941297e-07 -2.928742e-07 3.851708e-05 8.860183e-04 -1.970013e-05 6.410995e-05
 8849.000000 -3.422619e-05 -4.421294e-07 -2.956304e-07 -2.933916e-07 4.473688e-05 8.667770e-04 -2.659791e-05 6.697214e-05
 8854.000000 -3.410770e-05 -4.431424e-07 -2.961273e-07 -2.932556e-07 4.242171e-05 8.493061e-04 -2.881704e-05 6.958191e-05
 8859.000000 -3.399586e-05 -4.446599e-07 -2.974938e-07 -2.933839e-07 4.073244e-05 8.606079e-04 -2.452062e-05 5.769292e-05
 8864.000000 -3.386520e-05 -4.448936e-07 -2.979613e-07 -2.933254e-07 4.536374e-05 8.575791e-04 -1.695457e-05 5.482010e-05
 8869.000000 -3.376824e-05 -4.461320e-07 -2.989271e-07 -2.932888e-07 3.891480e-05 8.576672e-04 -2.688881e-05 4.232704e-05
 8874.000000 -3.370391e-05 -4.485318e-07 -3.007111e-07 -2.934153e-07 3.893063e-05 8.479207e-04 -2.960791e-05 4.861635e-05
 8879.000000 -3.358341e-05 -4.493130e-07 -3.013658e-07 -2.932815e-07 3.529206e-05 8.454003e-04 -3.205919e-05 5.236855e-05
 8884.000000 -3.330231e-05 -4.476762e-07 -3.003936e-07 -2.920026e-07 4.043399e-05 8.386605e-04 -3.080211e-05 6.006029e-05
 8889.000000 -3.299586e-05 -4.464549e-07 -2.997845e-07 -2.907878e-07 4.405147e-05 8.561982e-04 -3.344272e-05 5.814078e-05
 8894.000000 -3.316546e-05 -4.511266e-07 -3.030973e-07 -2.928042e-07 3.830949e-05 8.442020e-04 -3.084550e-05 5.211794e-05
 8899.000000 -3.290998e-05 -4.494541e-07 -3.021182e-07 -2.917322e-07 4.788655e-05 8.366628e-04 -3.479354e-05 5.202204e-05
 8904.000000 -3.281486e-05 -4.520185e-07 -3.039518e-07 -2.914392e-07 5.218115e-05 8.572303e-04 -3.910169e-05 5.632014e-05
 8909.000000 -3.268968e-05 -4.537244e-07 -3.051489e-07 -2.909504e-07 5.461899e-05 8.649994e-04 -3.301138e-05 5.758728e-05
 8914.000000 -3.250629e-05 -4.545113e-07 -3.058117e-07 -2.900131e-07 4.757195e-05 8.755112e-04 -2.215257e-05 5.102095e-05
 8919.000000 -3.241112e-05 -4.558360e-07 -3.070203e-07 -2.899433e-07 3.829646e-05 8.687496e-04 -1.847511e-05 4.750192e-05
 8924.000000 -3.234367e-05 -4.582528e-07 -3.089942e-07 -2.901764e-07 4.179712e-05 8.659577e-04 -1.292122e-05 4.225292e-05
 8929.000000 -3.226628e-05 -4.596504e-07 -3.097232e-07 -2.909007e-07 4.703968e-05 8.538064e-04 -9.646473e-06 4.232385e-05
 8934.000000 -3.222508e-05 -4.627166e-07 -3.117261e-07 -2.918264e-07 4.574612e-05 8.510523e-04 -2.832104e-05 5.158964e-05
 8939.000000 -3.212115e-05 -4.646957e-07 -3.130240e-07 -2.922278e-07 4.657273e-05 8.427038e-04 -2.551249e-05 4.843491e-05
 8944.000000 -3.199301e-05 -4.657414e-07 -3.136583e-07 -2.922913e-07 5.027593e-05 8.553758e-04 -2.180114e-05 3.995162e-05
 8949.000000 -3.181018e-05 -4.658161e-07 -3.135083e-07 -2.921114e-07 6.061818e-05 8.778198e-04 -2.581768e-05 4.757550e-05
 8953.000000 -3.174091e-05 -4.665832e-07 -3.137063e-07 -2.922784e-07 6.631113e-05 8.682249e-04 -2.588052e-05 4.678347e-05
 8956.000000 -3.169498e-05 -4.671658e-07 -3.138528e-07 -2.921367e-07 6.630083e-05 8.497298e-04 -3.203056e-05 3.810530e-05
 8958.000000 -3.162842e-05 -4.668556e-07 -3.132606e-07 -2.918405e-07 7.079350e-05 8.430264e-04 -2.154930e-05 3.644504e-05
 8959.000000 -3.160741e-05 -4.666989e-07 -3.130311e-07 -2.920228e-07 6.923951e-05 8.330388e-04 -1.308078e-05 4.524809e-05
 8959.200000 -3.162515e-05 -4.673884e-07 -3.135105e-07 -2.923515e-07 7.205401e-05 8.449346e-04 -1.436353e-05 4.204168e-05
 8959.400000 -3.164203e-05 -4.676835e-07 -3.132607e-07 -2.923380e-07 7.584928e-05 8.620124e-04 -1.543098e-05 4.109864e-05
 8959.600000 -3.164619e-05 -4.676684e-07 -3.133846e-07 -2.921843e-07 7.676844e-05 8.410218e-04 -1.848545e-05 3.997808e-05
