# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9314837649937
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002686
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.003052
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370829
# Scan.uid: f0188200-1949-43c3-8d34-9ea629ac4665
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:52:21.507965
# Scan.end_time: 06/23/2023  00:52:56.028165
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 328.3545902085002
# SampleHeater.temperature2.readback: 328.3
# SampleHeater.voltage.setpoint: 0.806275856983293
# SampleHeater.voltage.readback: 0.8210000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.87932e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 6.43366e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.76341e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2298e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.74956e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.64514e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.510049e-05 -4.029559e-07 -2.666442e-07 -2.938069e-07 8.517049e-05 5.652445e-04 -3.386930e-05 3.532833e-05
 8784.000000 -3.517666e-05 -4.034558e-07 -2.671221e-07 -2.951901e-07 7.808234e-05 5.828785e-04 -3.322067e-05 3.842647e-05
 8789.000000 -3.512651e-05 -4.036219e-07 -2.674276e-07 -2.960884e-07 7.011189e-05 5.811236e-04 -5.412941e-05 3.793809e-05
 8794.000000 -3.485639e-05 -4.010589e-07 -2.659093e-07 -2.945880e-07 8.114516e-05 5.794921e-04 -7.094085e-05 4.376363e-05
 8799.000000 -3.455939e-05 -4.013589e-07 -2.665030e-07 -2.924724e-07 8.845088e-05 5.922494e-04 -6.256831e-05 4.608994e-05
 8804.000000 -3.490927e-05 -4.079674e-07 -2.709304e-07 -2.958254e-07 9.147999e-05 5.782206e-04 -6.256099e-05 4.452874e-05
 8809.000000 -3.484409e-05 -4.091587e-07 -2.718861e-07 -2.957127e-07 9.571447e-05 5.737168e-04 -5.633706e-05 4.705689e-05
 8814.000000 -3.463725e-05 -4.080921e-07 -2.716256e-07 -2.943657e-07 9.714286e-05 5.901793e-04 -5.923792e-05 3.810512e-05
 8819.000000 -3.467953e-05 -4.116748e-07 -2.739932e-07 -2.953555e-07 9.740734e-05 5.775701e-04 -6.111445e-05 4.232857e-05
 8824.000000 -3.459595e-05 -4.120303e-07 -2.741713e-07 -2.954340e-07 1.041293e-04 5.680310e-04 -6.151432e-05 3.994900e-05
 8829.000000 -3.449863e-05 -4.129140e-07 -2.749394e-07 -2.954881e-07 1.060648e-04 5.871441e-04 -6.232334e-05 3.918026e-05
 8834.000000 -3.442310e-05 -4.145733e-07 -2.765427e-07 -2.959674e-07 9.791314e-05 5.715792e-04 -3.677758e-05 5.237785e-05
 8839.000000 -3.429521e-05 -4.149978e-07 -2.768797e-07 -2.957973e-07 1.039095e-04 5.757343e-04 -3.979511e-05 5.137728e-05
 8844.000000 -3.417992e-05 -4.160176e-07 -2.778208e-07 -2.959881e-07 9.766966e-05 5.617587e-04 -3.418143e-05 5.140916e-05
 8849.000000 -3.410107e-05 -4.175606e-07 -2.791360e-07 -2.965519e-07 9.705941e-05 5.592855e-04 -4.862991e-05 4.802434e-05
 8854.000000 -3.398401e-05 -4.181277e-07 -2.799105e-07 -2.965384e-07 9.459788e-05 5.624260e-04 -4.307115e-05 4.413043e-05
 8859.000000 -3.389894e-05 -4.198810e-07 -2.809769e-07 -2.971284e-07 9.850205e-05 5.728591e-04 -5.380632e-05 4.834118e-05
 8864.000000 -3.372788e-05 -4.186002e-07 -2.801368e-07 -2.968793e-07 9.278605e-05 5.663051e-04 -5.859585e-05 4.942847e-05
 8869.000000 -3.366195e-05 -4.209634e-07 -2.820629e-07 -2.971078e-07 9.483434e-05 5.693731e-04 -4.767143e-05 4.423236e-05
 8874.000000 -3.360249e-05 -4.236830e-07 -2.840231e-07 -2.974450e-07 1.019366e-04 5.833387e-04 -3.985394e-05 4.714552e-05
 8879.000000 -3.341988e-05 -4.229949e-07 -2.835312e-07 -2.968659e-07 9.795546e-05 5.881689e-04 -3.872993e-05 4.027435e-05
 8884.000000 -3.313358e-05 -4.205940e-07 -2.821853e-07 -2.954819e-07 9.079002e-05 5.927154e-04 -3.867537e-05 4.948001e-05
 8889.000000 -3.293190e-05 -4.217853e-07 -2.832567e-07 -2.950171e-07 9.369507e-05 5.934294e-04 -3.692635e-05 5.008117e-05
 8894.000000 -3.312676e-05 -4.273557e-07 -2.869974e-07 -2.967867e-07 9.364549e-05 5.908884e-04 -4.618675e-05 3.909094e-05
 8899.000000 -3.302808e-05 -4.287708e-07 -2.882994e-07 -2.963214e-07 8.803329e-05 5.851776e-04 -3.832384e-05 4.914400e-05
 8904.000000 -3.283068e-05 -4.280042e-07 -2.879321e-07 -2.953243e-07 8.887025e-05 5.823739e-04 -3.927131e-05 4.803936e-05
 8909.000000 -3.273142e-05 -4.298902e-07 -2.891925e-07 -2.948814e-07 8.660266e-05 5.760660e-04 -3.806208e-05 4.779405e-05
 8914.000000 -3.251551e-05 -4.306545e-07 -2.898907e-07 -2.936221e-07 9.060796e-05 5.929432e-04 -3.759887e-05 4.035466e-05
 8919.000000 -3.240998e-05 -4.314146e-07 -2.904922e-07 -2.934237e-07 7.496595e-05 5.990607e-04 -5.022626e-05 4.863772e-05
 8924.000000 -3.223065e-05 -4.315818e-07 -2.907726e-07 -2.927142e-07 7.182713e-05 5.929697e-04 -4.931228e-05 5.532219e-05
 8929.000000 -3.221000e-05 -4.336464e-07 -2.923627e-07 -2.937542e-07 8.200467e-05 5.808330e-04 -4.446960e-05 5.323716e-05
 8934.000000 -3.211890e-05 -4.355568e-07 -2.934712e-07 -2.942337e-07 8.745089e-05 5.892041e-04 -5.322503e-05 4.181042e-05
 8939.000000 -3.197796e-05 -4.362475e-07 -2.939119e-07 -2.940742e-07 8.395388e-05 5.813467e-04 -5.647923e-05 3.771743e-05
 8944.000000 -3.188418e-05 -4.382266e-07 -2.950507e-07 -2.941689e-07 8.598908e-05 5.357025e-04 -4.163666e-05 3.212878e-05
 8949.000000 -3.176214e-05 -4.397836e-07 -2.958390e-07 -2.935501e-07 8.095904e-05 5.040288e-04 -4.541226e-05 3.416177e-05
 8953.000000 -3.156534e-05 -4.373239e-07 -2.939722e-07 -2.929244e-07 8.271339e-05 5.243401e-04 -4.009490e-05 3.571612e-05
 8956.000000 -3.158139e-05 -4.409544e-07 -2.960479e-07 -2.935318e-07 8.146575e-05 5.547805e-04 -3.583816e-05 3.772239e-05
 8958.000000 -3.159385e-05 -4.428866e-07 -2.971466e-07 -2.939747e-07 9.089544e-05 5.490693e-04 -4.266050e-05 2.530954e-05
 8959.000000 -3.152440e-05 -4.404902e-07 -2.952495e-07 -2.939422e-07 8.972680e-05 5.554528e-04 -5.242813e-05 2.840448e-05
 8959.200000 -3.154295e-05 -4.415322e-07 -2.957645e-07 -2.940584e-07 9.188040e-05 5.452205e-04 -5.394007e-05 3.544596e-05
 8959.400000 -3.151906e-05 -4.410582e-07 -2.957151e-07 -2.939642e-07 8.522934e-05 5.546991e-04 -3.766862e-05 3.706617e-05
 8959.600000 -3.151692e-05 -4.409226e-07 -2.955890e-07 -2.942023e-07 8.083085e-05 5.698314e-04 -4.360880e-05 3.506352e-05
