# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.62499990249523
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370833
# Scan.uid: 723b3ed5-b52f-4d35-a3e3-506532c59848
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:56:24.580144
# Scan.end_time: 06/23/2023  00:57:00.443439
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 370.3418492508213
# SampleHeater.temperature2.readback: 371.70000000000005
# SampleHeater.voltage.setpoint: 0.8498723295907669
# SampleHeater.voltage.readback: 0.866
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.19
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.91501e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.04648e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.71774e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1266e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.59771e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.4425e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.501748e-05 -3.952585e-07 -2.615895e-07 -2.946579e-07 4.980746e-05 5.492173e-04 -5.715146e-05 -6.049531e-06
 8784.000000 -3.508788e-05 -3.966150e-07 -2.624904e-07 -2.957100e-07 4.401744e-05 5.528466e-04 -5.316672e-05 -6.105072e-06
 8789.000000 -3.502212e-05 -3.966153e-07 -2.628574e-07 -2.958967e-07 4.485534e-05 5.556989e-04 -6.375185e-05 -1.157606e-07
 8794.000000 -3.483009e-05 -3.958643e-07 -2.626054e-07 -2.948365e-07 4.963522e-05 5.817838e-04 -7.372150e-05 -4.946949e-06
 8799.000000 -3.421177e-05 -3.887353e-07 -2.580772e-07 -2.905110e-07 4.826044e-05 5.921526e-04 -7.236874e-05 -1.283470e-05
 8804.000000 -3.448882e-05 -3.933982e-07 -2.612819e-07 -2.936009e-07 4.029507e-05 5.925499e-04 -6.910135e-05 -7.147188e-06
 8809.000000 -3.463694e-05 -3.994347e-07 -2.656320e-07 -2.953243e-07 4.526872e-05 5.739999e-04 -7.261263e-05 -1.231248e-05
 8814.000000 -3.456414e-05 -4.018071e-07 -2.674315e-07 -2.952534e-07 4.268180e-05 5.551124e-04 -6.843544e-05 -8.529656e-06
 8819.000000 -3.451225e-05 -4.021128e-07 -2.677893e-07 -2.953439e-07 4.094997e-05 5.323927e-04 -6.713192e-05 -2.226532e-06
 8824.000000 -3.441409e-05 -4.024393e-07 -2.681909e-07 -2.954219e-07 4.726645e-05 5.668501e-04 -6.457630e-05 1.111249e-06
 8829.000000 -3.440312e-05 -4.059478e-07 -2.704527e-07 -2.962973e-07 4.347065e-05 5.811734e-04 -5.738625e-05 -4.148349e-06
 8834.000000 -3.430482e-05 -4.065960e-07 -2.714589e-07 -2.965261e-07 4.107837e-05 5.699541e-04 -5.825398e-05 1.281888e-06
 8839.000000 -3.424409e-05 -4.086857e-07 -2.728966e-07 -2.970344e-07 3.864934e-05 5.646703e-04 -5.230755e-05 3.985242e-06
 8844.000000 -3.406125e-05 -4.079230e-07 -2.725002e-07 -2.965762e-07 3.375435e-05 5.684324e-04 -5.514125e-05 9.527676e-07
 8849.000000 -3.387612e-05 -4.073429e-07 -2.722768e-07 -2.962078e-07 3.737386e-05 5.516113e-04 -6.382665e-05 2.400865e-06
 8854.000000 -3.384969e-05 -4.101244e-07 -2.741164e-07 -2.968315e-07 4.062250e-05 5.523122e-04 -6.252963e-05 -2.912462e-06
 8859.000000 -3.377610e-05 -4.117177e-07 -2.754432e-07 -2.970197e-07 3.906278e-05 5.432737e-04 -6.248505e-05 -1.899755e-06
 8864.000000 -3.372744e-05 -4.141897e-07 -2.772834e-07 -2.975422e-07 4.125747e-05 5.347885e-04 -6.794098e-05 -2.986973e-06
 8869.000000 -3.361940e-05 -4.152140e-07 -2.780539e-07 -2.975963e-07 4.908483e-05 5.330822e-04 -6.354768e-05 -9.858004e-06
 8874.000000 -3.352906e-05 -4.167230e-07 -2.793808e-07 -2.976463e-07 5.504063e-05 5.352930e-04 -5.848930e-05 -3.349926e-06
 8879.000000 -3.341117e-05 -4.177296e-07 -2.801272e-07 -2.973312e-07 4.237639e-05 5.377944e-04 -5.733568e-05 5.419461e-08
 8884.000000 -3.315891e-05 -4.169872e-07 -2.796446e-07 -2.961704e-07 4.847472e-05 5.259875e-04 -4.747034e-05 5.832176e-06
 8889.000000 -3.288027e-05 -4.157109e-07 -2.792007e-07 -2.947966e-07 5.118425e-05 5.478918e-04 -4.945377e-05 2.342523e-07
 8894.000000 -3.295811e-05 -4.181110e-07 -2.807006e-07 -2.959133e-07 4.409912e-05 5.498601e-04 -5.408557e-05 6.234194e-06
 8899.000000 -3.283810e-05 -4.187484e-07 -2.814727e-07 -2.954706e-07 5.084316e-05 5.462998e-04 -5.340928e-05 5.787308e-06
 8904.000000 -3.275264e-05 -4.210902e-07 -2.831363e-07 -2.950707e-07 5.946402e-05 5.397324e-04 -5.467577e-05 8.551348e-06
 8909.000000 -3.267545e-05 -4.234974e-07 -2.847989e-07 -2.947993e-07 5.620971e-05 5.277010e-04 -5.689945e-05 7.491494e-06
 8914.000000 -3.242305e-05 -4.226053e-07 -2.844596e-07 -2.934124e-07 5.711752e-05 5.347659e-04 -5.726865e-05 5.028405e-06
 8919.000000 -3.236175e-05 -4.250831e-07 -2.861680e-07 -2.937768e-07 5.517409e-05 5.634405e-04 -6.840759e-05 7.763514e-06
 8924.000000 -3.214979e-05 -4.241955e-07 -2.857942e-07 -2.930235e-07 5.708156e-05 5.463916e-04 -6.516802e-05 9.524664e-06
 8929.000000 -3.217090e-05 -4.279352e-07 -2.881844e-07 -2.945794e-07 5.193445e-05 5.429392e-04 -6.339030e-05 7.310172e-06
 8934.000000 -3.209075e-05 -4.295755e-07 -2.894645e-07 -2.950360e-07 4.440187e-05 5.468764e-04 -6.433309e-05 -3.529617e-07
 8939.000000 -3.198215e-05 -4.308296e-07 -2.903338e-07 -2.951007e-07 5.098425e-05 5.526684e-04 -5.779021e-05 -7.045728e-06
 8944.000000 -3.182866e-05 -4.312680e-07 -2.904194e-07 -2.945838e-07 5.183777e-05 5.647772e-04 -5.728501e-05 -3.374769e-06
 8949.000000 -3.166942e-05 -4.308391e-07 -2.899202e-07 -2.940395e-07 6.271598e-05 5.197385e-04 -5.765206e-05 -9.483016e-07
 8953.000000 -3.157809e-05 -4.306433e-07 -2.895965e-07 -2.942887e-07 6.285776e-05 5.020922e-04 -6.144933e-05 3.472484e-06
 8956.000000 -3.153325e-05 -4.320883e-07 -2.902428e-07 -2.943520e-07 6.242256e-05 5.025670e-04 -5.114408e-05 2.003614e-06
 8958.000000 -3.141230e-05 -4.300509e-07 -2.885308e-07 -2.935975e-07 5.865171e-05 5.106344e-04 -5.395546e-05 3.593600e-06
 8959.000000 -3.143805e-05 -4.320701e-07 -2.895783e-07 -2.940862e-07 5.485015e-05 5.059705e-04 -7.028933e-05 -1.587393e-06
 8959.200000 -3.143919e-05 -4.326074e-07 -2.897415e-07 -2.941529e-07 5.849035e-05 5.125166e-04 -8.019745e-05 -6.304888e-06
 8959.400000 -3.145501e-05 -4.328025e-07 -2.902371e-07 -2.946460e-07 4.345925e-05 5.034746e-04 -8.679763e-05 -2.804063e-06
 8959.600000 -3.144286e-05 -4.320984e-07 -2.896120e-07 -2.943999e-07 5.175486e-05 5.027058e-04 -7.335916e-05 -4.633785e-06
