# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.76664669176165
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370837
# Scan.uid: 5377c4b9-91c5-4b3d-a680-1e95470a45d6
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:00:24.548280
# Scan.end_time: 06/23/2023  01:00:58.328314
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 380.5
# SampleHeater.voltage.setpoint: 0.8550017028025234
# SampleHeater.voltage.readback: 0.851
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.97564e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.13412e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.75804e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2083e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.61518e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.37155e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.507328e-05 -3.986565e-07 -2.638836e-07 -2.948894e-07 6.826884e-05 3.974231e-04 -7.810949e-05 4.421174e-05
 8784.000000 -3.519710e-05 -4.013969e-07 -2.657250e-07 -2.962556e-07 6.445447e-05 3.830147e-04 -7.869558e-05 4.100524e-05
 8789.000000 -3.517274e-05 -4.025806e-07 -2.666305e-07 -2.967806e-07 6.038364e-05 3.907766e-04 -7.477882e-05 4.337353e-05
 8794.000000 -3.501194e-05 -4.022223e-07 -2.665429e-07 -2.960257e-07 6.052434e-05 3.867641e-04 -6.689202e-05 4.372353e-05
 8799.000000 -3.463023e-05 -4.000291e-07 -2.655110e-07 -2.938028e-07 6.488353e-05 3.576800e-04 -5.186935e-05 3.785380e-05
 8804.000000 -3.489794e-05 -4.045211e-07 -2.689158e-07 -2.965762e-07 5.947465e-05 3.399661e-04 -4.970976e-05 3.337700e-05
 8809.000000 -3.469947e-05 -4.023256e-07 -2.674330e-07 -2.953616e-07 5.994377e-05 3.508191e-04 -5.901718e-05 4.900474e-05
 8814.000000 -3.458665e-05 -4.038746e-07 -2.686480e-07 -2.951394e-07 6.034722e-05 3.695865e-04 -6.145309e-05 5.537478e-05
 8819.000000 -3.468548e-05 -4.083532e-07 -2.716687e-07 -2.963002e-07 5.868670e-05 3.757324e-04 -6.414815e-05 5.011080e-05
 8824.000000 -3.463257e-05 -4.098973e-07 -2.730167e-07 -2.966747e-07 6.312569e-05 3.526682e-04 -5.618156e-05 5.901615e-05
 8829.000000 -3.437710e-05 -4.068848e-07 -2.712650e-07 -2.955319e-07 6.869040e-05 3.610226e-04 -5.207053e-05 5.588113e-05
 8834.000000 -3.427254e-05 -4.071968e-07 -2.717586e-07 -2.959280e-07 6.767786e-05 3.535417e-04 -6.484339e-05 4.615978e-05
 8839.000000 -3.429125e-05 -4.109605e-07 -2.740861e-07 -2.971337e-07 7.227939e-05 3.643966e-04 -7.749943e-05 5.243209e-05
 8844.000000 -3.416900e-05 -4.118624e-07 -2.748889e-07 -2.968489e-07 7.334219e-05 3.866158e-04 -8.879935e-05 4.800070e-05
 8849.000000 -3.406247e-05 -4.129753e-07 -2.759143e-07 -2.966235e-07 6.255266e-05 3.831097e-04 -8.888441e-05 4.565807e-05
 8854.000000 -3.397261e-05 -4.135654e-07 -2.766488e-07 -2.976358e-07 6.443797e-05 3.570866e-04 -6.720358e-05 4.495598e-05
 8859.000000 -3.388220e-05 -4.150699e-07 -2.779630e-07 -2.982193e-07 6.388398e-05 3.469199e-04 -6.588451e-05 5.088499e-05
 8864.000000 -3.379089e-05 -4.159964e-07 -2.787197e-07 -2.983230e-07 5.560509e-05 3.450282e-04 -6.595249e-05 5.023617e-05
 8869.000000 -3.370196e-05 -4.177005e-07 -2.799024e-07 -2.982966e-07 4.743056e-05 3.627511e-04 -5.915810e-05 5.051532e-05
 8874.000000 -3.357570e-05 -4.187595e-07 -2.807792e-07 -2.976819e-07 4.838359e-05 3.645085e-04 -6.210507e-05 4.697756e-05
 8879.000000 -3.337675e-05 -4.175103e-07 -2.801894e-07 -2.967916e-07 5.360165e-05 3.680526e-04 -5.660093e-05 5.632603e-05
 8884.000000 -3.292308e-05 -4.112822e-07 -2.758676e-07 -2.942423e-07 6.001814e-05 3.727174e-04 -6.637412e-05 5.091941e-05
 8889.000000 -3.293151e-05 -4.177197e-07 -2.803814e-07 -2.952384e-07 6.234401e-05 3.577948e-04 -5.987396e-05 5.079707e-05
 8894.000000 -3.314595e-05 -4.233184e-07 -2.845929e-07 -2.973613e-07 7.296538e-05 3.564182e-04 -4.512142e-05 5.498183e-05
 8899.000000 -3.292182e-05 -4.209188e-07 -2.831583e-07 -2.963583e-07 6.480302e-05 3.291783e-04 -4.964611e-05 5.704937e-05
 8904.000000 -3.284860e-05 -4.237054e-07 -2.849044e-07 -2.961741e-07 5.974197e-05 3.397809e-04 -6.414212e-05 5.056147e-05
 8909.000000 -3.273951e-05 -4.249815e-07 -2.860766e-07 -2.957435e-07 5.653787e-05 3.391334e-04 -6.364496e-05 4.043227e-05
 8914.000000 -3.250170e-05 -4.247984e-07 -2.857575e-07 -2.943816e-07 5.865089e-05 3.430115e-04 -6.046294e-05 4.243634e-05
 8919.000000 -3.241736e-05 -4.262045e-07 -2.869234e-07 -2.946484e-07 6.904952e-05 3.321780e-04 -5.854583e-05 4.140438e-05
 8924.000000 -3.229074e-05 -4.278518e-07 -2.880927e-07 -2.944357e-07 6.326953e-05 3.448072e-04 -5.640029e-05 4.070826e-05
 8929.000000 -3.230974e-05 -4.311984e-07 -2.904651e-07 -2.956113e-07 6.188647e-05 3.945721e-04 -6.297592e-05 4.455297e-05
 8934.000000 -3.218424e-05 -4.317497e-07 -2.907332e-07 -2.957859e-07 5.673500e-05 3.920846e-04 -6.154840e-05 4.938849e-05
 8939.000000 -3.204620e-05 -4.326580e-07 -2.914007e-07 -2.956267e-07 5.137320e-05 4.090694e-04 -6.312277e-05 5.040298e-05
 8944.000000 -3.188950e-05 -4.324089e-07 -2.911532e-07 -2.954119e-07 5.743013e-05 4.438006e-04 -6.668147e-05 4.164570e-05
 8949.000000 -3.169760e-05 -4.305350e-07 -2.897398e-07 -2.952525e-07 6.347638e-05 4.482239e-04 -6.161062e-05 4.386506e-05
 8953.000000 -3.157371e-05 -4.302014e-07 -2.892700e-07 -2.947367e-07 6.115656e-05 4.268693e-04 -6.046410e-05 4.566755e-05
 8956.000000 -3.162067e-05 -4.345695e-07 -2.919024e-07 -2.955246e-07 5.967147e-05 4.232978e-04 -5.504327e-05 4.341897e-05
 8958.000000 -3.160075e-05 -4.348927e-07 -2.918719e-07 -2.957953e-07 7.132198e-05 4.332195e-04 -6.251705e-05 4.231127e-05
 8959.000000 -3.156271e-05 -4.341148e-07 -2.909669e-07 -2.958451e-07 7.941216e-05 4.560376e-04 -6.647524e-05 3.982365e-05
 8959.200000 -3.156569e-05 -4.341377e-07 -2.908672e-07 -2.959697e-07 8.101562e-05 4.609706e-04 -7.261251e-05 4.056519e-05
 8959.400000 -3.153560e-05 -4.341128e-07 -2.908213e-07 -2.957307e-07 7.925183e-05 4.817030e-04 -6.385625e-05 4.473228e-05
 8959.600000 -3.154191e-05 -4.348141e-07 -2.914789e-07 -2.957519e-07 7.861077e-05 4.684007e-04 -5.325251e-05 4.552050e-05
