# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1388072560687
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000854
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370849
# Scan.uid: c6d2e6bb-72dd-41ed-9b87-7b8f2ccbb1ab
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:12:20.090449
# Scan.end_time: 06/23/2023  01:12:53.703389
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 309.99341894520654
# SampleHeater.temperature2.readback: 308.20000000000005
# SampleHeater.voltage.setpoint: 0.7590562187751958
# SampleHeater.voltage.readback: 0.735
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.3
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.998e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.52431e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.8165e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0922e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.76568e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.20643e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.492909e-05 -4.082378e-07 -2.702359e-07 -2.908804e-07 8.344495e-05 2.503600e-04 -3.404835e-05 5.423923e-06
 8784.000000 -3.502346e-05 -4.091168e-07 -2.709304e-07 -2.927063e-07 8.986175e-05 2.485978e-04 -3.071758e-05 4.288902e-06
 8789.000000 -3.498570e-05 -4.099139e-07 -2.717198e-07 -2.935412e-07 8.669187e-05 2.522459e-04 -3.112941e-05 2.410392e-06
 8794.000000 -3.484209e-05 -4.105897e-07 -2.723048e-07 -2.927800e-07 8.939388e-05 2.279655e-04 -2.559918e-05 1.764701e-06
 8799.000000 -3.443020e-05 -4.078091e-07 -2.707566e-07 -2.899110e-07 8.529031e-05 2.083272e-04 -3.068916e-05 7.460135e-07
 8804.000000 -3.470955e-05 -4.125747e-07 -2.740264e-07 -2.927329e-07 7.822750e-05 2.082675e-04 -3.406350e-05 3.545609e-06
 8809.000000 -3.457909e-05 -4.123315e-07 -2.740788e-07 -2.921452e-07 8.411590e-05 1.915959e-04 -3.824029e-05 1.848960e-06
 8814.000000 -3.444806e-05 -4.135956e-07 -2.748517e-07 -2.913796e-07 9.321823e-05 2.056591e-04 -3.068944e-05 7.190135e-06
 8819.000000 -3.448150e-05 -4.165605e-07 -2.772518e-07 -2.921490e-07 8.942320e-05 2.249607e-04 -4.422234e-05 3.167405e-06
 8824.000000 -3.445243e-05 -4.186722e-07 -2.787623e-07 -2.927308e-07 9.595560e-05 2.235031e-04 -3.376413e-05 -5.383363e-06
 8829.000000 -3.434704e-05 -4.194772e-07 -2.794342e-07 -2.928984e-07 9.078879e-05 2.428399e-04 -3.835499e-05 -1.230251e-05
 8834.000000 -3.425755e-05 -4.207525e-07 -2.805445e-07 -2.932271e-07 9.414982e-05 2.465538e-04 -3.369610e-05 -1.442484e-05
 8839.000000 -3.413569e-05 -4.213931e-07 -2.813566e-07 -2.932634e-07 8.506455e-05 2.170861e-04 -3.910983e-05 -1.411016e-05
 8844.000000 -3.396675e-05 -4.209928e-07 -2.808778e-07 -2.930129e-07 7.522598e-05 2.199977e-04 -3.937912e-05 -2.968351e-06
 8849.000000 -3.378990e-05 -4.199975e-07 -2.803940e-07 -2.929054e-07 6.986255e-05 2.328158e-04 -4.962136e-05 -1.086618e-05
 8854.000000 -3.377494e-05 -4.226590e-07 -2.824410e-07 -2.938313e-07 7.418856e-05 2.004015e-04 -3.377215e-05 -1.258525e-05
 8859.000000 -3.361298e-05 -4.224394e-07 -2.826303e-07 -2.934859e-07 7.353184e-05 2.020169e-04 -4.426689e-05 -9.155751e-06
 8864.000000 -3.347088e-05 -4.229597e-07 -2.830260e-07 -2.930625e-07 7.451564e-05 2.069403e-04 -4.475548e-05 6.919569e-07
 8869.000000 -3.349779e-05 -4.274724e-07 -2.865174e-07 -2.937862e-07 7.276283e-05 1.982437e-04 -4.010973e-05 7.499058e-06
 8874.000000 -3.341761e-05 -4.288579e-07 -2.877392e-07 -2.939893e-07 6.942313e-05 2.099017e-04 -5.212000e-05 -5.920402e-06
 8879.000000 -3.335315e-05 -4.312218e-07 -2.892440e-07 -2.941383e-07 6.348664e-05 2.047790e-04 -4.723222e-05 -3.340551e-06
 8884.000000 -3.311552e-05 -4.305202e-07 -2.888426e-07 -2.929974e-07 5.928407e-05 2.264562e-04 -4.019475e-05 -1.307983e-05
 8889.000000 -3.281542e-05 -4.292005e-07 -2.881392e-07 -2.915730e-07 6.598217e-05 2.364558e-04 -2.520540e-05 -1.612583e-05
 8894.000000 -3.297471e-05 -4.339706e-07 -2.914262e-07 -2.931879e-07 6.788037e-05 2.461298e-04 -2.713046e-05 -9.269107e-06
 8899.000000 -3.289359e-05 -4.353633e-07 -2.927207e-07 -2.931352e-07 6.357819e-05 2.171852e-04 -4.011587e-05 -9.154523e-06
 8904.000000 -3.272109e-05 -4.352508e-07 -2.929578e-07 -2.923019e-07 6.156925e-05 2.228785e-04 -4.716356e-05 -1.034502e-05
 8909.000000 -3.256777e-05 -4.362739e-07 -2.936287e-07 -2.914687e-07 6.525703e-05 2.173422e-04 -4.824422e-05 -7.804775e-06
 8914.000000 -3.237085e-05 -4.370599e-07 -2.942645e-07 -2.906585e-07 6.292886e-05 2.218855e-04 -3.888468e-05 -1.065380e-05
 8919.000000 -3.228578e-05 -4.384677e-07 -2.952804e-07 -2.908404e-07 7.392298e-05 2.175497e-04 -2.218134e-05 -1.007519e-05
 8924.000000 -3.207333e-05 -4.371037e-07 -2.943580e-07 -2.901767e-07 7.724740e-05 2.185256e-04 -2.502931e-05 -4.557226e-07
 8929.000000 -3.213490e-05 -4.412610e-07 -2.972911e-07 -2.920621e-07 6.905244e-05 2.104503e-04 -3.064898e-05 -7.817355e-06
 8934.000000 -3.204820e-05 -4.425465e-07 -2.981703e-07 -2.924647e-07 6.851773e-05 1.777273e-04 -3.043276e-05 2.434924e-06
 8939.000000 -3.192195e-05 -4.437355e-07 -2.989406e-07 -2.920879e-07 6.712786e-05 1.600182e-04 -3.187492e-05 5.203816e-06
 8944.000000 -3.176886e-05 -4.434030e-07 -2.985869e-07 -2.919786e-07 6.316570e-05 1.666047e-04 -3.045805e-05 1.090193e-05
 8949.000000 -3.163497e-05 -4.435231e-07 -2.984955e-07 -2.919748e-07 6.446765e-05 1.676491e-04 -3.511939e-05 -8.584990e-07
 8953.000000 -3.153649e-05 -4.428590e-07 -2.978134e-07 -2.920564e-07 6.987721e-05 1.868615e-04 -2.949049e-05 3.513680e-07
 8956.000000 -3.145437e-05 -4.423285e-07 -2.972712e-07 -2.923305e-07 7.296276e-05 1.752840e-04 -3.896149e-05 5.758466e-06
 8958.000000 -3.134215e-05 -4.407610e-07 -2.957826e-07 -2.920106e-07 7.673068e-05 1.517422e-04 -4.059214e-05 -1.595518e-07
 8959.000000 -3.132445e-05 -4.411155e-07 -2.959357e-07 -2.922173e-07 6.872823e-05 1.616242e-04 -4.520248e-05 -1.228083e-05
 8959.200000 -3.135328e-05 -4.426560e-07 -2.970040e-07 -2.924659e-07 7.056386e-05 1.299120e-04 -4.150232e-05 -1.316281e-05
 8959.400000 -3.142592e-05 -4.442343e-07 -2.978411e-07 -2.932402e-07 7.778849e-05 1.466598e-04 -3.535152e-05 -1.111211e-05
 8959.600000 -3.138314e-05 -4.434237e-07 -2.970249e-07 -2.929650e-07 7.677463e-05 1.383264e-04 -1.919946e-05 -4.921488e-06
