# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7643669619556
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.005615
# Detector.I1.voltage: -1650.002441
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370855
# Scan.uid: 26cbb35b-ecda-4894-b235-07709d705073
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:18:12.550543
# Scan.end_time: 06/23/2023  01:18:48.645292
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 172.9050084484948
# SampleHeater.temperature2.readback: 172.20000000000002
# SampleHeater.voltage.setpoint: 0.46356746617008404
# SampleHeater.voltage.readback: 0.45
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.00058e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.14806e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.78896e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1094e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.43847e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.16644e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.493807e-05 -4.199696e-07 -2.780784e-07 -2.888747e-07 4.108191e-05 2.396037e-05 -3.273257e-05 -1.276548e-05
 8784.000000 -3.503848e-05 -4.218556e-07 -2.794085e-07 -2.901076e-07 4.118688e-05 -7.143783e-07 -3.929373e-05 -1.319355e-05
 8789.000000 -3.495990e-05 -4.218358e-07 -2.796477e-07 -2.902948e-07 3.800003e-05 1.111270e-05 -3.769188e-05 -3.797929e-06
 8794.000000 -3.469426e-05 -4.198069e-07 -2.784720e-07 -2.888704e-07 4.105048e-05 7.362391e-06 -3.195393e-05 -1.219088e-07
 8799.000000 -3.422364e-05 -4.155740e-07 -2.760312e-07 -2.856065e-07 4.720596e-05 2.004778e-06 -2.807093e-05 6.532562e-06
 8804.000000 -3.458011e-05 -4.220350e-07 -2.804420e-07 -2.890948e-07 5.116753e-05 1.527898e-05 -3.697069e-05 4.509672e-06
 8809.000000 -3.446612e-05 -4.220505e-07 -2.804489e-07 -2.887693e-07 3.720362e-05 1.264755e-05 -4.130137e-05 2.157396e-07
 8814.000000 -3.430767e-05 -4.218203e-07 -2.804556e-07 -2.877178e-07 3.230705e-05 1.955842e-05 -4.565117e-05 -9.105321e-06
 8819.000000 -3.443290e-05 -4.264089e-07 -2.836653e-07 -2.892342e-07 4.528570e-05 1.863235e-05 -5.737648e-05 -1.212307e-05
 8824.000000 -3.446207e-05 -4.294539e-07 -2.861405e-07 -2.903160e-07 4.782790e-05 -1.363965e-05 -5.441117e-05 -5.013621e-06
 8829.000000 -3.435203e-05 -4.300101e-07 -2.866988e-07 -2.905750e-07 4.386435e-05 -4.767988e-05 -5.857661e-05 -1.745719e-06
 8834.000000 -3.426697e-05 -4.312651e-07 -2.876307e-07 -2.908725e-07 5.289164e-05 -1.647691e-05 -5.742394e-05 -6.106796e-06
 8839.000000 -3.413668e-05 -4.317659e-07 -2.880898e-07 -2.908174e-07 5.360417e-05 6.877529e-07 -5.534774e-05 -3.234311e-06
 8844.000000 -3.405672e-05 -4.334078e-07 -2.896183e-07 -2.911432e-07 5.375863e-05 2.544996e-06 -5.358924e-05 -2.106333e-06
 8849.000000 -3.396354e-05 -4.351705e-07 -2.910770e-07 -2.914205e-07 5.349598e-05 3.280781e-05 -5.888832e-05 -4.231344e-06
 8854.000000 -3.375508e-05 -4.342763e-07 -2.906603e-07 -2.909115e-07 6.116887e-05 4.867639e-05 -6.266776e-05 -1.192310e-05
 8859.000000 -3.372691e-05 -4.367308e-07 -2.921859e-07 -2.917885e-07 6.019294e-05 3.284510e-05 -6.205127e-05 -2.050155e-05
 8864.000000 -3.364980e-05 -4.382276e-07 -2.932138e-07 -2.920886e-07 5.793901e-05 -3.083897e-06 -4.926970e-05 2.732422e-07
 8869.000000 -3.351745e-05 -4.388700e-07 -2.940932e-07 -2.916925e-07 5.938678e-05 -9.917829e-07 -3.860439e-05 1.135860e-05
 8874.000000 -3.338121e-05 -4.394859e-07 -2.947112e-07 -2.911386e-07 6.396035e-05 -1.386628e-06 -3.976944e-05 1.047812e-05
 8879.000000 -3.319536e-05 -4.392867e-07 -2.946986e-07 -2.903345e-07 5.636108e-05 6.655089e-06 -3.746760e-05 3.949889e-07
 8884.000000 -3.299483e-05 -4.393708e-07 -2.947427e-07 -2.898059e-07 5.494459e-05 1.975533e-05 -4.258618e-05 3.220263e-06
 8889.000000 -3.266781e-05 -4.365347e-07 -2.931204e-07 -2.885804e-07 5.034218e-05 4.395097e-06 -5.154962e-05 -2.123836e-06
 8894.000000 -3.288180e-05 -4.426413e-07 -2.975554e-07 -2.908948e-07 5.881431e-05 1.761376e-06 -4.703808e-05 -4.067021e-06
 8899.000000 -3.287310e-05 -4.456093e-07 -2.996028e-07 -2.912981e-07 5.765905e-05 1.418227e-05 -3.918706e-05 -5.375987e-06
 8904.000000 -3.277124e-05 -4.474695e-07 -3.007530e-07 -2.907503e-07 4.914239e-05 -1.368733e-06 -4.518328e-05 -7.707729e-06
 8909.000000 -3.263719e-05 -4.487202e-07 -3.019245e-07 -2.899437e-07 5.711993e-05 -2.202840e-05 -4.367768e-05 -5.519930e-06
 8914.000000 -3.233478e-05 -4.469598e-07 -3.009186e-07 -2.881625e-07 4.936474e-05 -3.568094e-05 -5.262865e-05 1.149855e-06
 8919.000000 -3.228312e-05 -4.494431e-07 -3.024228e-07 -2.886051e-07 4.923907e-05 -2.128380e-05 -3.840001e-05 8.013242e-06
 8924.000000 -3.214252e-05 -4.506847e-07 -3.033483e-07 -2.881293e-07 4.466378e-05 -1.207467e-05 -3.965545e-05 1.269199e-05
 8929.000000 -3.210343e-05 -4.531556e-07 -3.053492e-07 -2.888349e-07 5.018576e-05 -6.771349e-06 -4.164341e-05 8.490006e-06
 8934.000000 -3.200143e-05 -4.545469e-07 -3.061871e-07 -2.890235e-07 4.892889e-05 1.599468e-06 -3.935139e-05 3.932595e-06
 8939.000000 -3.192772e-05 -4.568290e-07 -3.076662e-07 -2.896170e-07 4.809646e-05 2.247762e-05 -3.533046e-05 4.212809e-07
 8944.000000 -3.179247e-05 -4.574746e-07 -3.080011e-07 -2.891950e-07 4.600583e-05 1.747316e-05 -3.722249e-05 1.787180e-06
 8949.000000 -3.162770e-05 -4.562376e-07 -3.069573e-07 -2.885030e-07 3.411584e-05 5.072556e-06 -3.511471e-05 6.013395e-07
 8953.000000 -3.152566e-05 -4.560127e-07 -3.064605e-07 -2.886514e-07 2.666353e-05 -2.229467e-05 -3.627415e-05 -8.628493e-06
 8956.000000 -3.149687e-05 -4.574982e-07 -3.071127e-07 -2.892720e-07 2.742623e-05 1.488810e-05 -3.461433e-05 -1.132386e-05
 8958.000000 -3.148825e-05 -4.594085e-07 -3.082617e-07 -2.896547e-07 1.930869e-05 3.433600e-05 -4.039745e-05 6.848056e-06
 8959.000000 -3.142780e-05 -4.584957e-07 -3.073129e-07 -2.895864e-07 9.832999e-06 5.896311e-06 -4.021335e-05 1.081785e-05
 8959.200000 -3.135245e-05 -4.571328e-07 -3.063250e-07 -2.890191e-07 1.121702e-05 -1.191027e-06 -3.818352e-05 8.823060e-06
 8959.400000 -3.136071e-05 -4.575871e-07 -3.068558e-07 -2.891085e-07 5.694730e-06 -2.894823e-06 -2.793270e-05 1.362770e-05
 8959.600000 -3.142334e-05 -4.589912e-07 -3.078450e-07 -2.897181e-07 7.253649e-06 -2.683475e-06 -2.785719e-05 1.036119e-05
