# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.87648551213965
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.995361
# Detector.I1.voltage: -1649.999023
# Detector.I2.voltage: -1649.999512
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370857
# Scan.uid: d6f14883-e548-45cf-9291-dc9e6dbaed80
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:20:13.058411
# Scan.end_time: 06/23/2023  01:20:48.303270
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 126.04683827029334
# SampleHeater.temperature2.readback: 126.80000000000001
# SampleHeater.voltage.setpoint: 0.32783189605181956
# SampleHeater.voltage.readback: 0.326
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.01864e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.20647e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.77282e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1266e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.58897e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.05948e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.481413e-05 -4.213234e-07 -2.789460e-07 -2.867444e-07 5.438074e-05 -1.268250e-04 -1.336371e-05 -4.757470e-06
 8784.000000 -3.493366e-05 -4.225217e-07 -2.798265e-07 -2.882346e-07 5.575651e-05 -1.029489e-04 -1.335771e-05 4.850967e-06
 8789.000000 -3.488117e-05 -4.227107e-07 -2.802747e-07 -2.886645e-07 6.867918e-05 -6.366075e-05 -5.462412e-06 1.576703e-05
 8794.000000 -3.474423e-05 -4.225474e-07 -2.801534e-07 -2.883677e-07 7.190740e-05 -6.401085e-05 -6.931290e-06 2.367666e-06
 8799.000000 -3.431924e-05 -4.189892e-07 -2.777791e-07 -2.856395e-07 6.235647e-05 -6.550770e-05 -1.630107e-05 -1.191481e-07
 8804.000000 -3.462373e-05 -4.246744e-07 -2.820246e-07 -2.886436e-07 6.045903e-05 -6.424614e-05 -2.024940e-05 -1.627208e-06
 8809.000000 -3.456826e-05 -4.259598e-07 -2.832324e-07 -2.888608e-07 6.589483e-05 -7.865153e-05 -1.800315e-05 3.473877e-06
 8814.000000 -3.441427e-05 -4.263812e-07 -2.836759e-07 -2.880299e-07 7.255658e-05 -5.289150e-05 -2.022259e-05 -2.269815e-06
 8819.000000 -3.443117e-05 -4.293045e-07 -2.856178e-07 -2.886168e-07 7.582933e-05 -5.758075e-05 -1.955241e-05 -6.777941e-06
 8824.000000 -3.430077e-05 -4.304409e-07 -2.867497e-07 -2.883939e-07 7.037516e-05 -5.667664e-05 -1.900509e-05 -7.700189e-06
 8829.000000 -3.415868e-05 -4.308878e-07 -2.871044e-07 -2.880643e-07 7.788685e-05 -5.591023e-05 -7.499235e-06 -1.206708e-05
 8834.000000 -3.390179e-05 -4.293576e-07 -2.865041e-07 -2.870100e-07 8.166909e-05 -6.072004e-05 -1.776070e-05 -5.905566e-06
 8839.000000 -3.392536e-05 -4.323459e-07 -2.888565e-07 -2.882242e-07 7.400153e-05 -7.849215e-05 -7.183620e-06 -2.127422e-06
 8844.000000 -3.386316e-05 -4.343308e-07 -2.903337e-07 -2.888059e-07 6.129355e-05 -7.560621e-05 -7.524346e-06 -6.163280e-06
 8849.000000 -3.382699e-05 -4.367199e-07 -2.918454e-07 -2.895926e-07 6.889868e-05 -8.398420e-05 -1.319556e-05 -9.382265e-07
 8854.000000 -3.373776e-05 -4.376059e-07 -2.923667e-07 -2.899540e-07 8.306366e-05 -8.154302e-05 -4.405744e-06 -6.798596e-06
 8859.000000 -3.351168e-05 -4.367355e-07 -2.918900e-07 -2.889978e-07 8.038467e-05 -8.901956e-05 -8.070559e-06 -4.797674e-06
 8864.000000 -3.328184e-05 -4.355643e-07 -2.916471e-07 -2.879284e-07 9.057364e-05 -7.498489e-05 -2.315326e-06 1.314661e-06
 8869.000000 -3.305202e-05 -4.347760e-07 -2.912354e-07 -2.869224e-07 8.390936e-05 -8.597872e-05 -9.802211e-06 -6.156813e-06
 8874.000000 -3.311029e-05 -4.384090e-07 -2.941686e-07 -2.881080e-07 8.214497e-05 -7.991485e-05 -1.205420e-05 8.954352e-07
 8879.000000 -3.317275e-05 -4.426498e-07 -2.968229e-07 -2.895776e-07 7.732332e-05 -6.358929e-05 -6.998248e-06 5.558168e-06
 8884.000000 -3.295889e-05 -4.424695e-07 -2.968028e-07 -2.887809e-07 7.688533e-05 -5.066627e-05 -6.923485e-06 5.468712e-06
 8889.000000 -3.277745e-05 -4.430001e-07 -2.972383e-07 -2.885086e-07 7.821409e-05 -4.798040e-05 -1.450580e-06 1.572875e-05
 8894.000000 -3.294696e-05 -4.481036e-07 -3.007960e-07 -2.900068e-07 7.732762e-05 -3.271443e-05 -8.331841e-06 1.124975e-05
 8899.000000 -3.280991e-05 -4.486811e-07 -3.014767e-07 -2.896198e-07 7.006345e-05 -6.263289e-05 -1.355541e-05 1.273524e-05
 8904.000000 -3.269452e-05 -4.500136e-07 -3.027110e-07 -2.891320e-07 6.294543e-05 -8.143413e-05 -1.482524e-05 1.990776e-05
 8909.000000 -3.257719e-05 -4.510569e-07 -3.032653e-07 -2.882744e-07 6.556766e-05 -7.762078e-05 -1.626081e-05 1.832081e-05
 8914.000000 -3.225610e-05 -4.491894e-07 -3.024909e-07 -2.860569e-07 6.428303e-05 -7.589716e-05 -2.170776e-05 1.283600e-05
 8919.000000 -3.220930e-05 -4.518133e-07 -3.041687e-07 -2.864778e-07 6.586394e-05 -8.497110e-05 -1.653676e-05 1.382979e-05
 8924.000000 -3.201056e-05 -4.512501e-07 -3.037684e-07 -2.859534e-07 6.242396e-05 -1.012187e-04 -1.170426e-05 8.272563e-06
 8929.000000 -3.208115e-05 -4.555988e-07 -3.068584e-07 -2.876967e-07 7.275026e-05 -7.687025e-05 -1.255973e-05 9.653738e-07
 8934.000000 -3.199650e-05 -4.576600e-07 -3.082390e-07 -2.880933e-07 7.547670e-05 -4.595060e-05 -2.286667e-05 4.876841e-06
 8939.000000 -3.186739e-05 -4.587739e-07 -3.089548e-07 -2.881350e-07 7.143798e-05 -3.506734e-05 -2.247853e-05 1.099371e-05
 8944.000000 -3.165840e-05 -4.580480e-07 -3.083504e-07 -2.873142e-07 6.702268e-05 -4.194952e-05 -9.518403e-06 8.342770e-06
 8949.000000 -3.153759e-05 -4.589209e-07 -3.088845e-07 -2.872162e-07 6.774368e-05 -2.705919e-05 -1.979067e-05 3.654252e-05
 8953.000000 -3.145151e-05 -4.600161e-07 -3.092947e-07 -2.873568e-07 6.900292e-05 -3.263237e-05 -1.296096e-05 5.093908e-05
 8956.000000 -3.142189e-05 -4.606414e-07 -3.093488e-07 -2.876218e-07 7.776212e-05 -3.937975e-05 -1.313975e-05 4.725462e-05
 8958.000000 -3.139800e-05 -4.608003e-07 -3.092341e-07 -2.881197e-07 8.576173e-05 -6.072474e-05 -6.059587e-06 3.816547e-05
 8959.000000 -3.136647e-05 -4.607535e-07 -3.086823e-07 -2.882109e-07 8.644792e-05 -6.024113e-05 -1.506594e-05 2.603662e-05
 8959.200000 -3.136180e-05 -4.606079e-07 -3.085404e-07 -2.881658e-07 9.363859e-05 -3.822453e-05 -1.758814e-05 2.153793e-05
 8959.400000 -3.131091e-05 -4.598941e-07 -3.083111e-07 -2.878795e-07 8.813446e-05 -5.642847e-05 -1.483206e-05 2.802463e-05
