# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.85687028073687
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000854
# Detector.I1.voltage: -1650.000854
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370859
# Scan.uid: 102ba6a1-4fbf-4e5e-ad4d-412829ebf063
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:22:12.063424
# Scan.end_time: 06/23/2023  01:22:45.947041
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 79.72485099898444
# SampleHeater.temperature2.readback: 77.4
# SampleHeater.voltage.setpoint: 0.3032594160344091
# SampleHeater.voltage.readback: 0.307
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.08787e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.83957e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.7399e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.118e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.52717e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.99702e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.486747e-05 -4.264559e-07 -2.823265e-07 -2.867960e-07 3.658153e-05 -6.683245e-05 -4.887734e-05 3.499274e-05
 8784.000000 -3.495762e-05 -4.274214e-07 -2.831341e-07 -2.879765e-07 4.479838e-05 -3.618645e-05 -5.651400e-05 3.099144e-05
 8789.000000 -3.491783e-05 -4.278844e-07 -2.835864e-07 -2.885785e-07 4.870719e-05 -3.509194e-05 -6.253220e-05 3.430298e-05
 8794.000000 -3.474819e-05 -4.274000e-07 -2.834698e-07 -2.880014e-07 4.695078e-05 -3.002372e-05 -5.660140e-05 3.139270e-05
 8799.000000 -3.434906e-05 -4.242709e-07 -2.815296e-07 -2.853099e-07 4.364462e-05 -2.822649e-05 -5.169778e-05 4.019016e-06
 8804.000000 -3.469763e-05 -4.310025e-07 -2.863521e-07 -2.885723e-07 5.128487e-05 -2.613982e-05 -5.345600e-05 -1.455997e-05
 8809.000000 -3.463080e-05 -4.325141e-07 -2.875912e-07 -2.884355e-07 5.769460e-05 -3.864186e-05 -6.322373e-05 -1.750514e-05
 8814.000000 -3.444722e-05 -4.324956e-07 -2.876758e-07 -2.871460e-07 5.571876e-05 -5.658954e-05 -5.755961e-05 -3.515404e-06
 8819.000000 -3.439546e-05 -4.336624e-07 -2.887112e-07 -2.873400e-07 5.420033e-05 -6.227225e-05 -4.781271e-05 -2.106162e-06
 8824.000000 -3.426082e-05 -4.337372e-07 -2.887362e-07 -2.869879e-07 5.227222e-05 -5.237661e-05 -4.487783e-05 -1.246717e-05
 8829.000000 -3.428500e-05 -4.365290e-07 -2.910847e-07 -2.879261e-07 5.664929e-05 -3.334284e-05 -5.382660e-05 -1.403484e-05
 8834.000000 -3.420089e-05 -4.377175e-07 -2.918805e-07 -2.883215e-07 5.297777e-05 -1.857762e-05 -5.699882e-05 -1.926024e-05
 8839.000000 -3.401172e-05 -4.372331e-07 -2.917526e-07 -2.879915e-07 5.822262e-05 -1.719132e-05 -5.353826e-05 -2.081886e-05
 8844.000000 -3.396809e-05 -4.393935e-07 -2.932425e-07 -2.888035e-07 5.310366e-05 -2.766109e-05 -5.189382e-05 -1.938339e-05
 8849.000000 -3.378283e-05 -4.393922e-07 -2.936494e-07 -2.884825e-07 4.675855e-05 -1.084237e-05 -5.097957e-05 -2.628539e-05
 8854.000000 -3.361083e-05 -4.390744e-07 -2.936728e-07 -2.881420e-07 4.269879e-05 7.323400e-06 -5.169894e-05 -1.960678e-05
 8859.000000 -3.367156e-05 -4.428373e-07 -2.964838e-07 -2.894701e-07 4.265348e-05 2.009896e-05 -4.726708e-05 -2.103786e-05
 8864.000000 -3.362159e-05 -4.446345e-07 -2.977532e-07 -2.899076e-07 4.305317e-05 1.019430e-05 -4.877337e-05 -7.265426e-06
 8869.000000 -3.351049e-05 -4.454141e-07 -2.983521e-07 -2.897887e-07 4.144745e-05 9.332666e-06 -4.318093e-05 2.608146e-05
 8874.000000 -3.339758e-05 -4.460598e-07 -2.989734e-07 -2.896489e-07 3.974996e-05 1.327012e-05 -4.165283e-05 3.279338e-05
 8879.000000 -3.327136e-05 -4.469789e-07 -2.998315e-07 -2.895037e-07 3.730606e-05 1.898473e-05 -4.880055e-05 3.772866e-05
 8884.000000 -3.305045e-05 -4.466115e-07 -2.997699e-07 -2.889433e-07 4.377415e-05 2.867060e-05 -5.203282e-05 3.081968e-05
 8889.000000 -3.276114e-05 -4.454411e-07 -2.989550e-07 -2.877610e-07 3.912341e-05 3.361636e-05 -5.142234e-05 2.564475e-05
 8894.000000 -3.289814e-05 -4.501496e-07 -3.023857e-07 -2.891847e-07 4.229384e-05 2.043311e-05 -4.861365e-05 2.707491e-05
 8899.000000 -3.271097e-05 -4.502219e-07 -3.027553e-07 -2.883687e-07 3.644800e-05 7.318508e-06 -5.259846e-05 -5.229441e-06
 8904.000000 -3.264175e-05 -4.525799e-07 -3.043755e-07 -2.882130e-07 3.563828e-05 8.366766e-06 -4.626210e-05 -8.940277e-06
 8909.000000 -3.257972e-05 -4.548169e-07 -3.061977e-07 -2.879838e-07 4.687612e-05 1.561003e-05 -4.218276e-05 -1.010500e-05
 8914.000000 -3.232232e-05 -4.539052e-07 -3.055533e-07 -2.863382e-07 5.488391e-05 4.189705e-05 -3.719597e-05 -1.339985e-05
 8919.000000 -3.220100e-05 -4.548309e-07 -3.062273e-07 -2.861637e-07 4.573491e-05 2.884836e-05 -5.314533e-05 -1.488924e-05
 8924.000000 -3.207941e-05 -4.552610e-07 -3.066324e-07 -2.860689e-07 4.494637e-05 3.842545e-05 -5.219795e-05 -1.082593e-05
 8929.000000 -3.207415e-05 -4.580325e-07 -3.085049e-07 -2.874293e-07 3.872294e-05 4.502582e-05 -5.180165e-05 -9.237112e-06
 8934.000000 -3.197860e-05 -4.599029e-07 -3.097985e-07 -2.876725e-07 3.894690e-05 2.039219e-05 -7.338419e-05 -5.990172e-06
 8939.000000 -3.182948e-05 -4.602395e-07 -3.100860e-07 -2.873113e-07 4.768520e-05 1.989647e-06 -7.571487e-05 -1.658571e-05
 8944.000000 -3.170452e-05 -4.611785e-07 -3.105711e-07 -2.871022e-07 4.513974e-05 -1.220204e-05 -6.507840e-05 7.604025e-06
 8949.000000 -3.158060e-05 -4.626569e-07 -3.114010e-07 -2.869635e-07 4.267635e-05 -1.211461e-05 -6.393047e-05 3.071633e-05
 8953.000000 -3.149536e-05 -4.640131e-07 -3.119860e-07 -2.871948e-07 3.545457e-05 2.221040e-06 -5.589539e-05 2.737465e-05
 8956.000000 -3.142932e-05 -4.655297e-07 -3.127654e-07 -2.872667e-07 4.047083e-05 -1.499434e-05 -5.221847e-05 1.730681e-05
 8958.000000 -3.137882e-05 -4.661731e-07 -3.129468e-07 -2.872665e-07 4.334001e-05 -3.302938e-05 -5.548880e-05 -1.985157e-05
 8959.000000 -3.130279e-05 -4.651641e-07 -3.119813e-07 -2.869052e-07 4.253068e-05 -1.799112e-05 -5.539952e-05 -2.438733e-05
 8959.200000 -3.128785e-05 -4.643756e-07 -3.114845e-07 -2.869215e-07 4.748763e-05 -1.596701e-05 -5.608857e-05 -2.634794e-05
 8959.400000 -3.119329e-05 -4.634262e-07 -3.105525e-07 -2.860586e-07 3.780694e-05 -2.167208e-06 -6.507727e-05 -3.924524e-05
 8959.600000 -3.128506e-05 -4.652915e-07 -3.116733e-07 -2.869826e-07 4.245715e-05 -2.442795e-05 -6.766674e-05 -3.991917e-05
