# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2546786404343
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999023
# Detector.I1.voltage: -1650.005371
# Detector.I2.voltage: -1650.00354
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370812
# Scan.uid: 8a0a404a-6a53-4753-85fd-63178662f4d4
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:35:28.548230
# Scan.end_time: 06/23/2023  00:36:02.672053
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 152.64473125684796
# SampleHeater.temperature2.readback: 154.9
# SampleHeater.voltage.setpoint: 0.4129440365995473
# SampleHeater.voltage.readback: 0.422
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.24
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.83933e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.126e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.59747e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1825e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.86109e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 3.97255e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.012342e-05 -1.123072e-06 -3.271185e-07 -8.283693e-07 7.703965e-05 6.656045e-04 -3.744629e-05 6.503239e-05
10172.000000 -3.001102e-05 -1.118971e-06 -3.241159e-07 -8.266871e-07 7.880395e-05 6.842244e-04 -3.576410e-05 5.799871e-05
10177.000000 -2.988152e-05 -1.112006e-06 -3.189138e-07 -8.252247e-07 8.166174e-05 6.955006e-04 -2.789993e-05 4.539667e-05
10182.000000 -2.984030e-05 -1.112898e-06 -3.132183e-07 -8.263390e-07 8.481997e-05 7.203283e-04 -3.220230e-05 5.420096e-05
10187.000000 -2.985447e-05 -1.117054e-06 -3.031050e-07 -8.287452e-07 8.037363e-05 7.148229e-04 -2.836707e-05 5.875305e-05
10192.000000 -2.996469e-05 -1.129576e-06 -2.801164e-07 -8.333336e-07 7.583294e-05 7.027822e-04 -3.768554e-05 5.816490e-05
10197.000000 -2.995945e-05 -1.133860e-06 -2.068865e-07 -8.353826e-07 7.816336e-05 7.059715e-04 -4.133795e-05 6.121040e-05
10202.000000 -2.992826e-05 -1.138724e-06 -6.589318e-08 -8.364823e-07 7.801984e-05 7.187428e-04 -3.744455e-05 5.665750e-05
10207.000000 -2.988278e-05 -1.141116e-06 -2.693241e-08 -8.376934e-07 6.832753e-05 7.194356e-04 -4.393219e-05 5.999933e-05
10212.000000 -2.987061e-05 -1.145513e-06 -5.620553e-08 -8.395616e-07 7.439915e-05 7.219311e-04 -3.815970e-05 6.523418e-05
10217.000000 -2.977645e-05 -1.144060e-06 -7.271522e-08 -8.401013e-07 7.541832e-05 7.311420e-04 -3.807139e-05 5.767618e-05
10222.000000 -2.974613e-05 -1.148682e-06 -8.563071e-08 -8.416975e-07 7.117901e-05 7.282293e-04 -4.069117e-05 5.384625e-05
10227.000000 -2.974690e-05 -1.156001e-06 -9.484425e-08 -8.434763e-07 6.855493e-05 7.206779e-04 -3.935683e-05 5.725174e-05
10232.000000 -2.969825e-05 -1.160382e-06 -9.862090e-08 -8.439325e-07 6.929295e-05 7.287298e-04 -4.802717e-05 5.323551e-05
10237.000000 -2.967029e-05 -1.163954e-06 -1.015579e-07 -8.456030e-07 7.189702e-05 7.489338e-04 -4.413883e-05 5.757750e-05
10242.000000 -2.961621e-05 -1.165913e-06 -1.032965e-07 -8.467475e-07 6.804132e-05 7.346938e-04 -3.814375e-05 5.580434e-05
10247.000000 -2.957322e-05 -1.170875e-06 -1.080469e-07 -8.474871e-07 6.913328e-05 7.148735e-04 -4.055542e-05 5.251810e-05
10252.000000 -2.954642e-05 -1.175320e-06 -1.074995e-07 -8.490156e-07 6.013333e-05 7.211225e-04 -4.445778e-05 5.942039e-05
10257.000000 -2.946957e-05 -1.174698e-06 -1.031500e-07 -8.493746e-07 5.251767e-05 7.279969e-04 -5.019688e-05 4.980628e-05
10262.000000 -2.938287e-05 -1.177200e-06 -1.026048e-07 -8.486498e-07 5.129206e-05 7.456233e-04 -4.504663e-05 4.839107e-05
10267.000000 -2.947589e-05 -1.188999e-06 -1.053625e-07 -8.527739e-07 5.965544e-05 7.503452e-04 -4.174434e-05 5.625414e-05
10272.000000 -2.942713e-05 -1.190475e-06 -1.060261e-07 -8.540488e-07 6.420272e-05 7.739350e-04 -3.600339e-05 5.325301e-05
10277.000000 -2.937953e-05 -1.195832e-06 -1.057073e-07 -8.549250e-07 7.237481e-05 8.087265e-04 -3.864651e-05 5.813937e-05
10282.000000 -2.924141e-05 -1.196458e-06 -1.043318e-07 -8.529221e-07 8.058504e-05 7.994089e-04 -4.189323e-05 5.889168e-05
10287.000000 -2.927796e-05 -1.203820e-06 -1.059478e-07 -8.561396e-07 6.869900e-05 8.032289e-04 -4.758320e-05 4.856544e-05
10292.000000 -2.922120e-05 -1.206271e-06 -1.091184e-07 -8.567269e-07 6.868810e-05 7.905133e-04 -5.303850e-05 5.071356e-05
10297.000000 -2.921003e-05 -1.213174e-06 -1.112340e-07 -8.588106e-07 6.164444e-05 7.964951e-04 -4.144511e-05 4.927487e-05
10302.000000 -2.918354e-05 -1.216089e-06 -1.108129e-07 -8.605985e-07 5.642683e-05 7.908895e-04 -3.096339e-05 5.308600e-05
10307.000000 -2.910260e-05 -1.216982e-06 -1.108357e-07 -8.607768e-07 4.867098e-05 7.613783e-04 -3.299646e-05 5.536922e-05
10312.000000 -2.903389e-05 -1.218537e-06 -1.110893e-07 -8.615731e-07 4.843994e-05 7.414780e-04 -3.608853e-05 5.115698e-05
10317.000000 -2.905173e-05 -1.229348e-06 -1.110762e-07 -8.647473e-07 5.572788e-05 7.416746e-04 -3.924971e-05 5.496797e-05
10322.000000 -2.905858e-05 -1.236596e-06 -1.105800e-07 -8.676311e-07 5.285017e-05 7.458340e-04 -2.621301e-05 5.751646e-05
10327.000000 -2.900772e-05 -1.239925e-06 -1.098003e-07 -8.693582e-07 5.604933e-05 7.269467e-04 -2.355161e-05 6.026859e-05
10332.000000 -2.888751e-05 -1.238561e-06 -1.086138e-07 -8.694012e-07 5.977216e-05 7.208319e-04 -3.100083e-05 6.771041e-05
10337.000000 -2.894302e-05 -1.243435e-06 -1.088062e-07 -8.742704e-07 5.821722e-05 6.974588e-04 -3.624252e-05 6.746544e-05
10341.000000 -2.891192e-05 -1.245737e-06 -1.095826e-07 -8.762533e-07 6.730106e-05 7.011288e-04 -2.792151e-05 6.013283e-05
10344.000000 -2.889166e-05 -1.247653e-06 -1.107374e-07 -8.786566e-07 6.986282e-05 6.820369e-04 -2.406050e-05 6.624336e-05
10346.000000 -2.887924e-05 -1.249554e-06 -1.120578e-07 -8.803985e-07 6.093413e-05 7.034732e-04 -1.449165e-05 7.691996e-05
10347.000000 -2.886898e-05 -1.249995e-06 -1.130403e-07 -8.811592e-07 7.060616e-05 6.774141e-04 -1.940202e-05 7.030744e-05
10347.200000 -2.887200e-05 -1.250884e-06 -1.131705e-07 -8.815103e-07 7.422418e-05 6.563752e-04 -1.914584e-05 6.688927e-05
10347.400000 -2.886178e-05 -1.249595e-06 -1.130271e-07 -8.810350e-07 7.784971e-05 6.705791e-04 -2.133367e-05 6.619098e-05
10347.600000 -2.885637e-05 -1.249339e-06 -1.132538e-07 -8.817299e-07 8.103388e-05 6.692237e-04 -7.413273e-06 7.996878e-05
10347.800000 -2.883180e-05 -1.243370e-06 -1.126541e-07 -8.811881e-07 7.056718e-05 6.581214e-04 -4.313242e-06 6.931439e-05
