# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.8134383681729
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1649.998169
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370818
# Scan.uid: 2de9dff5-759d-4ab7-8ec7-f3f565fd4f5d
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:41:27.544628
# Scan.end_time: 06/23/2023  00:42:02.804567
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 214.76410506842896
# SampleHeater.temperature2.readback: 219.70000000000002
# SampleHeater.voltage.setpoint: 0.4468831944049601
# SampleHeater.voltage.readback: 0.47500000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.70302e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.31834e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.51886e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0578e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.62996e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 3.22521e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.022276e-05 -1.108796e-06 -3.229452e-07 -8.351443e-07 8.978461e-05 7.899305e-04 -1.956449e-05 1.656233e-05
10172.000000 -3.014162e-05 -1.107447e-06 -3.206179e-07 -8.346626e-07 9.024376e-05 7.998916e-04 -2.113253e-05 2.271689e-05
10177.000000 -3.006873e-05 -1.104012e-06 -3.165011e-07 -8.347105e-07 8.008975e-05 7.928015e-04 -2.437948e-05 1.606835e-05
10182.000000 -2.999971e-05 -1.103605e-06 -3.106096e-07 -8.352298e-07 8.457567e-05 7.928365e-04 -2.903588e-05 1.018333e-05
10187.000000 -3.001241e-05 -1.106950e-06 -3.001720e-07 -8.380536e-07 8.822743e-05 7.947119e-04 -2.617076e-05 1.210554e-05
10192.000000 -3.009101e-05 -1.116221e-06 -2.769579e-07 -8.419017e-07 8.117343e-05 8.107760e-04 -2.830438e-05 1.382633e-05
10197.000000 -3.005231e-05 -1.119213e-06 -2.045722e-07 -8.430763e-07 7.011271e-05 8.015374e-04 -3.685009e-05 1.422741e-05
10202.000000 -3.000575e-05 -1.122490e-06 -6.532489e-08 -8.440389e-07 7.062791e-05 7.980106e-04 -3.740689e-05 1.197821e-05
10207.000000 -2.986068e-05 -1.116646e-06 -2.624008e-08 -8.426665e-07 6.650234e-05 8.421524e-04 -3.266079e-05 7.374572e-06
10212.000000 -2.986938e-05 -1.123488e-06 -5.513173e-08 -8.448498e-07 7.559306e-05 8.398834e-04 -4.094102e-05 6.584627e-06
10217.000000 -2.989246e-05 -1.130817e-06 -7.173802e-08 -8.473650e-07 7.572184e-05 8.350531e-04 -4.193834e-05 -1.406278e-06
10222.000000 -2.980402e-05 -1.129125e-06 -8.422631e-08 -8.471040e-07 7.041937e-05 8.373021e-04 -3.812519e-05 1.100521e-06
10227.000000 -2.976472e-05 -1.133214e-06 -9.333217e-08 -8.482773e-07 7.770282e-05 8.556117e-04 -3.951240e-05 8.631112e-07
10232.000000 -2.975717e-05 -1.140752e-06 -9.685894e-08 -8.500249e-07 7.966763e-05 8.817373e-04 -4.479332e-05 -3.304687e-06
10237.000000 -2.974961e-05 -1.145938e-06 -9.960503e-08 -8.519996e-07 8.717001e-05 8.752989e-04 -3.907778e-05 2.350993e-06
10242.000000 -2.970303e-05 -1.149198e-06 -1.013542e-07 -8.530428e-07 9.078202e-05 8.573991e-04 -5.131442e-05 -2.994293e-06
10247.000000 -2.965849e-05 -1.152897e-06 -1.060744e-07 -8.539501e-07 8.055103e-05 8.461417e-04 -4.647015e-05 -1.079905e-05
10252.000000 -2.966440e-05 -1.159984e-06 -1.058726e-07 -8.558751e-07 7.625473e-05 8.397318e-04 -2.878163e-05 -4.869840e-06
10257.000000 -2.959890e-05 -1.159788e-06 -1.016713e-07 -8.567938e-07 7.814125e-05 8.189946e-04 -2.904074e-05 -1.002065e-06
10262.000000 -2.952378e-05 -1.161581e-06 -1.010549e-07 -8.566951e-07 8.349080e-05 7.975004e-04 -3.152944e-05 -4.924182e-06
10267.000000 -2.954910e-05 -1.167317e-06 -1.029453e-07 -8.596199e-07 8.750870e-05 7.777340e-04 -1.808961e-05 5.874189e-06
10272.000000 -2.954186e-05 -1.173109e-06 -1.044170e-07 -8.613090e-07 8.578851e-05 7.829964e-04 -3.225523e-05 1.537248e-05
10277.000000 -2.948059e-05 -1.178089e-06 -1.040161e-07 -8.616479e-07 8.837070e-05 7.874643e-04 -2.772906e-05 1.869159e-05
10282.000000 -2.933992e-05 -1.179143e-06 -1.028686e-07 -8.602734e-07 8.723094e-05 7.782998e-04 -3.186469e-05 1.292904e-05
10287.000000 -2.937826e-05 -1.185612e-06 -1.042131e-07 -8.640713e-07 9.001155e-05 7.843482e-04 -3.026259e-05 8.198240e-06
10292.000000 -2.933303e-05 -1.189772e-06 -1.075161e-07 -8.652901e-07 8.624026e-05 8.038721e-04 -2.270830e-05 1.239031e-05
10297.000000 -2.928364e-05 -1.192670e-06 -1.091355e-07 -8.662249e-07 9.138542e-05 8.113310e-04 -2.256684e-05 1.191009e-05
10302.000000 -2.928020e-05 -1.198725e-06 -1.090496e-07 -8.681320e-07 8.559527e-05 7.858826e-04 -1.945459e-05 6.266653e-06
10307.000000 -2.923262e-05 -1.203795e-06 -1.093955e-07 -8.686163e-07 7.904055e-05 7.662600e-04 -2.456342e-05 1.688607e-05
10312.000000 -2.917114e-05 -1.206828e-06 -1.096990e-07 -8.696217e-07 8.520207e-05 7.836727e-04 -2.841340e-05 3.325613e-05
10317.000000 -2.916902e-05 -1.214889e-06 -1.094799e-07 -8.720867e-07 8.383882e-05 8.068878e-04 -2.880762e-05 2.781983e-05
10322.000000 -2.914677e-05 -1.220162e-06 -1.089257e-07 -8.746577e-07 8.839739e-05 8.186894e-04 -2.952103e-05 2.650559e-05
10327.000000 -2.903868e-05 -1.215748e-06 -1.076152e-07 -8.753968e-07 8.738810e-05 8.003591e-04 -2.748070e-05 1.886482e-05
10332.000000 -2.895774e-05 -1.218971e-06 -1.067922e-07 -8.760724e-07 8.130061e-05 7.684275e-04 -2.949378e-05 2.393772e-05
10337.000000 -2.904933e-05 -1.228766e-06 -1.073485e-07 -8.820333e-07 9.061460e-05 7.278431e-04 -3.056396e-05 3.111383e-05
10341.000000 -2.900182e-05 -1.228960e-06 -1.080347e-07 -8.848668e-07 9.085965e-05 6.843770e-04 -3.380599e-05 3.859851e-05
10344.000000 -2.897293e-05 -1.231393e-06 -1.093386e-07 -8.864381e-07 9.611375e-05 6.559414e-04 -2.447127e-05 4.211448e-05
10346.000000 -2.894849e-05 -1.232322e-06 -1.105153e-07 -8.868992e-07 9.731365e-05 6.252485e-04 -3.418243e-05 4.858705e-05
10347.000000 -2.892340e-05 -1.231336e-06 -1.110353e-07 -8.873753e-07 9.258553e-05 6.172943e-04 -4.387481e-05 3.943564e-05
10347.200000 -2.893861e-05 -1.235883e-06 -1.115005e-07 -8.877269e-07 9.170465e-05 6.368192e-04 -4.664462e-05 3.123123e-05
10347.400000 -2.891298e-05 -1.230458e-06 -1.109981e-07 -8.878210e-07 8.196368e-05 6.271558e-04 -4.176322e-05 3.294388e-05
10347.600000 -2.894510e-05 -1.235781e-06 -1.117418e-07 -8.887756e-07 7.878736e-05 6.137378e-04 -4.295553e-05 3.897919e-05
10347.800000 -2.895223e-05 -1.236581e-06 -1.121401e-07 -8.890903e-07 8.442206e-05 6.205772e-04 -3.644176e-05 4.330196e-05
