# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8907731063554
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001709
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1649.998535
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370820
# Scan.uid: 083f4907-0669-45f6-acad-17ea0a5f2517
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:43:28.107104
# Scan.end_time: 06/23/2023  00:44:02.406524
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 235.67609035566772
# SampleHeater.temperature2.readback: 236.0
# SampleHeater.voltage.setpoint: 0.49099323524199345
# SampleHeater.voltage.readback: 0.529
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.13
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.69356e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.13493e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.57328e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0277e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.66087e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 3.08987e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.012765e-05 -1.104162e-06 -3.213325e-07 -8.328385e-07 8.753025e-05 6.830503e-04 -9.823179e-06 3.801113e-06
10172.000000 -3.002580e-05 -1.100905e-06 -3.186853e-07 -8.312251e-07 8.207256e-05 6.679821e-04 -6.481333e-06 5.363788e-06
10177.000000 -2.997902e-05 -1.099842e-06 -3.151523e-07 -8.315066e-07 7.425533e-05 6.587512e-04 -4.961752e-06 -7.182921e-06
10182.000000 -2.978997e-05 -1.087023e-06 -3.057046e-07 -8.292821e-07 7.963940e-05 6.569253e-04 -1.559160e-05 -3.750732e-06
10187.000000 -2.978823e-05 -1.089681e-06 -2.950743e-07 -8.315886e-07 8.201417e-05 6.280827e-04 -1.359025e-05 -5.256411e-06
10192.000000 -2.987691e-05 -1.099527e-06 -2.721599e-07 -8.353764e-07 8.767631e-05 6.296761e-04 -1.490110e-05 1.709517e-06
10197.000000 -2.991929e-05 -1.107115e-06 -2.019902e-07 -8.386704e-07 7.831902e-05 6.468064e-04 -1.654735e-05 6.108282e-06
10202.000000 -2.992639e-05 -1.112466e-06 -6.482020e-08 -8.408110e-07 7.879811e-05 6.433717e-04 -1.480829e-05 4.448980e-07
10207.000000 -2.985909e-05 -1.112458e-06 -2.581019e-08 -8.418496e-07 8.246888e-05 6.447681e-04 -1.514229e-05 6.320668e-07
10212.000000 -2.985834e-05 -1.118177e-06 -5.460688e-08 -8.437609e-07 7.880187e-05 6.359804e-04 -2.823338e-06 1.169973e-05
10217.000000 -2.980065e-05 -1.120202e-06 -7.065962e-08 -8.443242e-07 7.597436e-05 6.360910e-04 2.119704e-06 9.224176e-06
10222.000000 -2.971100e-05 -1.120213e-06 -8.340502e-08 -8.442304e-07 8.275516e-05 6.266949e-04 5.512540e-06 9.595219e-06
10227.000000 -2.967761e-05 -1.124597e-06 -9.192832e-08 -8.450284e-07 7.702650e-05 6.085273e-04 2.490425e-06 9.461094e-06
10232.000000 -2.955339e-05 -1.120483e-06 -9.498549e-08 -8.439240e-07 7.344227e-05 6.283893e-04 -3.992255e-07 1.048257e-05
10237.000000 -2.956057e-05 -1.125389e-06 -9.748341e-08 -8.461590e-07 7.154850e-05 6.172038e-04 2.480629e-06 1.241859e-05
10242.000000 -2.958510e-05 -1.133275e-06 -1.000064e-07 -8.485143e-07 7.644684e-05 6.102180e-04 -9.487714e-07 7.160733e-06
10247.000000 -2.950696e-05 -1.135666e-06 -1.044051e-07 -8.489546e-07 7.683500e-05 6.114342e-04 2.632288e-06 6.420409e-07
10252.000000 -2.953575e-05 -1.144972e-06 -1.041816e-07 -8.518760e-07 8.074416e-05 6.226246e-04 -2.714054e-06 -1.772408e-06
10257.000000 -2.950742e-05 -1.149218e-06 -1.004058e-07 -8.530630e-07 8.432365e-05 6.292592e-04 -3.980521e-06 3.207230e-06
10262.000000 -2.941415e-05 -1.151776e-06 -9.983692e-08 -8.531063e-07 7.389851e-05 6.154492e-04 8.632200e-06 -4.122326e-06
10267.000000 -2.946672e-05 -1.160917e-06 -1.025476e-07 -8.571338e-07 8.237815e-05 6.156685e-04 2.771930e-06 -5.899790e-06
10272.000000 -2.944021e-05 -1.166371e-06 -1.037377e-07 -8.587919e-07 8.222101e-05 6.142388e-04 -2.776877e-06 -7.592797e-06
10277.000000 -2.937744e-05 -1.170773e-06 -1.032879e-07 -8.589737e-07 8.556374e-05 6.200034e-04 -1.396036e-06 -7.377393e-06
10282.000000 -2.920349e-05 -1.169134e-06 -1.016188e-07 -8.566530e-07 7.979894e-05 6.213418e-04 -7.079778e-06 -5.931460e-07
10287.000000 -2.926021e-05 -1.178179e-06 -1.031798e-07 -8.606082e-07 6.890896e-05 6.044390e-04 -2.040345e-05 -7.034824e-06
10292.000000 -2.923987e-05 -1.185004e-06 -1.067072e-07 -8.619093e-07 6.921908e-05 6.128768e-04 -1.924619e-05 -4.473725e-06
10297.000000 -2.921041e-05 -1.190646e-06 -1.088801e-07 -8.630788e-07 7.563668e-05 6.067925e-04 -1.590623e-05 3.223865e-06
10302.000000 -2.919220e-05 -1.193902e-06 -1.085716e-07 -8.657114e-07 7.122700e-05 6.098330e-04 -1.936166e-05 8.759377e-06
10307.000000 -2.916596e-05 -1.200108e-06 -1.087473e-07 -8.670001e-07 7.157504e-05 6.395526e-04 -1.567136e-05 5.442274e-06
10312.000000 -2.913135e-05 -1.206391e-06 -1.095310e-07 -8.678407e-07 7.016625e-05 6.552593e-04 -1.890013e-05 5.918942e-08
10317.000000 -2.905318e-05 -1.205315e-06 -1.087084e-07 -8.687231e-07 7.281635e-05 6.708398e-04 -2.067796e-05 1.127798e-05
10322.000000 -2.902639e-05 -1.211058e-06 -1.079695e-07 -8.714618e-07 8.614126e-05 6.322599e-04 -1.291659e-05 7.253932e-06
10327.000000 -2.898901e-05 -1.215656e-06 -1.074242e-07 -8.738815e-07 8.160350e-05 6.132672e-04 -1.485194e-05 -2.435957e-06
10332.000000 -2.886828e-05 -1.214586e-06 -1.062941e-07 -8.734408e-07 8.385243e-05 6.147130e-04 -4.572986e-06 3.958629e-06
10337.000000 -2.891325e-05 -1.217742e-06 -1.064069e-07 -8.776893e-07 7.680248e-05 6.415127e-04 -7.207948e-07 1.058964e-05
10341.000000 -2.892292e-05 -1.225891e-06 -1.075905e-07 -8.811718e-07 7.120495e-05 6.530516e-04 -9.872704e-06 7.858285e-06
10344.000000 -2.887428e-05 -1.224269e-06 -1.085860e-07 -8.837638e-07 7.673392e-05 6.277768e-04 -1.357871e-05 -7.137923e-06
10346.000000 -2.881600e-05 -1.221092e-06 -1.094483e-07 -8.844017e-07 7.292947e-05 6.306126e-04 -6.561503e-06 -5.108342e-06
10347.000000 -2.886119e-05 -1.229389e-06 -1.108976e-07 -8.865816e-07 6.370648e-05 6.375988e-04 -1.484656e-06 -1.666337e-06
10347.200000 -2.885739e-05 -1.229587e-06 -1.110782e-07 -8.869067e-07 6.401082e-05 6.405234e-04 -4.466118e-06 -3.085936e-06
10347.400000 -2.884527e-05 -1.227606e-06 -1.110098e-07 -8.868136e-07 6.298873e-05 6.467313e-04 6.905725e-06 2.874180e-06
10347.600000 -2.883023e-05 -1.227644e-06 -1.109612e-07 -8.868222e-07 6.981992e-05 6.331940e-04 -2.080131e-06 -3.547793e-06
10347.800000 -2.882354e-05 -1.226767e-06 -1.109118e-07 -8.872756e-07 7.112603e-05 6.365004e-04 -5.287245e-06 2.694300e-06
10348.000000 -2.878103e-05 -1.221428e-06 -1.105813e-07 -8.868753e-07 7.190280e-05 6.454766e-04 -1.306621e-05 -6.294847e-06
10348.200000 -2.882108e-05 -1.225795e-06 -1.112802e-07 -8.876033e-07 6.505296e-05 6.731726e-04 -6.664588e-06 -5.418124e-06
10348.400000 -2.886466e-05 -1.231209e-06 -1.119001e-07 -8.884464e-07 7.120541e-05 6.658033e-04 -5.401290e-06 -1.081622e-05
