# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.03573386999125
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.995972
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1649.999756
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370822
# Scan.uid: 332b290a-4cdf-4296-a462-67f9e8967d31
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:45:26.530715
# Scan.end_time: 06/23/2023  00:46:00.108718
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 256.2201246443896
# SampleHeater.temperature2.readback: 257.5
# SampleHeater.voltage.setpoint: 0.5920517267232124
# SampleHeater.voltage.readback: 0.5710000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.70173e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 9.71596e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.54506e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0105e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.65684e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.91615e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.011588e-05 -1.092142e-06 -3.186741e-07 -8.336991e-07 7.918716e-05 5.785323e-04 -4.472014e-06 -2.235615e-05
10172.000000 -3.007030e-05 -1.094599e-06 -3.175595e-07 -8.334749e-07 7.690568e-05 5.855794e-04 -2.880723e-06 -3.468194e-05
10177.000000 -2.998599e-05 -1.091248e-06 -3.133702e-07 -8.334218e-07 6.958781e-05 6.010477e-04 3.280070e-06 -3.578414e-05
10182.000000 -2.993908e-05 -1.090436e-06 -3.073382e-07 -8.348512e-07 7.648911e-05 5.959736e-04 -2.060177e-06 -3.176454e-05
10187.000000 -2.993856e-05 -1.092576e-06 -2.964419e-07 -8.375102e-07 7.704741e-05 5.983220e-04 -4.733864e-06 -2.319239e-05
10192.000000 -2.997090e-05 -1.096805e-06 -2.722558e-07 -8.405135e-07 7.624863e-05 6.066206e-04 -2.987871e-06 -2.957828e-05
10197.000000 -2.999196e-05 -1.103938e-06 -2.026718e-07 -8.424335e-07 7.791775e-05 5.986125e-04 -2.584538e-06 -2.745836e-05
10202.000000 -2.992180e-05 -1.105299e-06 -6.567760e-08 -8.428315e-07 7.966665e-05 5.786032e-04 3.332681e-07 -2.679737e-05
10207.000000 -2.985041e-05 -1.105675e-06 -2.624915e-08 -8.434053e-07 7.414710e-05 5.693271e-04 -3.186887e-07 -3.951593e-05
10212.000000 -2.987921e-05 -1.113451e-06 -5.487446e-08 -8.454233e-07 7.345419e-05 5.757975e-04 -1.351272e-06 -4.024441e-05
10217.000000 -2.986474e-05 -1.118922e-06 -7.120839e-08 -8.466127e-07 8.012147e-05 6.201209e-04 -2.423424e-06 -3.468852e-05
10222.000000 -2.977555e-05 -1.117325e-06 -8.387734e-08 -8.467779e-07 7.961770e-05 6.571342e-04 -6.284363e-06 -2.249476e-05
10227.000000 -2.966969e-05 -1.115066e-06 -9.223702e-08 -8.464566e-07 7.221612e-05 6.595819e-04 -1.106449e-05 -2.813579e-05
10232.000000 -2.964595e-05 -1.121034e-06 -9.592700e-08 -8.479655e-07 6.914135e-05 6.405819e-04 -8.931955e-06 -2.639326e-05
10237.000000 -2.965429e-05 -1.126763e-06 -9.848482e-08 -8.507606e-07 7.607420e-05 6.242749e-04 2.392188e-06 -1.550517e-05
10242.000000 -2.962445e-05 -1.132502e-06 -1.006301e-07 -8.522048e-07 8.469566e-05 6.292295e-04 1.479423e-06 -1.012512e-05
10247.000000 -2.950088e-05 -1.129438e-06 -1.044089e-07 -8.509644e-07 9.014298e-05 6.136677e-04 -4.080511e-07 -1.151296e-05
10252.000000 -2.950716e-05 -1.135783e-06 -1.041288e-07 -8.530670e-07 9.076586e-05 6.309870e-04 -4.562180e-06 -2.391887e-05
10257.000000 -2.951913e-05 -1.143744e-06 -1.006870e-07 -8.551390e-07 8.056024e-05 6.489954e-04 -1.428028e-05 -3.158824e-05
10262.000000 -2.939694e-05 -1.141115e-06 -9.979088e-08 -8.543116e-07 7.098300e-05 6.576641e-04 -1.154585e-05 -2.667124e-05
10267.000000 -2.945799e-05 -1.150306e-06 -1.024201e-07 -8.584324e-07 7.623061e-05 6.446755e-04 -3.504315e-07 -2.830175e-05
10272.000000 -2.936714e-05 -1.147499e-06 -1.030293e-07 -8.587851e-07 8.020407e-05 6.281428e-04 -6.639681e-06 -3.999220e-05
10277.000000 -2.937052e-05 -1.157537e-06 -1.029984e-07 -8.604163e-07 7.391315e-05 6.091993e-04 -9.417446e-06 -3.795634e-05
10282.000000 -2.922768e-05 -1.158581e-06 -1.014219e-07 -8.586199e-07 7.546118e-05 6.190669e-04 -6.936050e-06 -3.451701e-05
10287.000000 -2.929008e-05 -1.167281e-06 -1.027389e-07 -8.623744e-07 7.473778e-05 6.375803e-04 -1.259998e-06 -2.658309e-05
10292.000000 -2.924243e-05 -1.170426e-06 -1.058853e-07 -8.636510e-07 7.673553e-05 6.353663e-04 -3.251235e-06 -2.753018e-05
10297.000000 -2.922107e-05 -1.176306e-06 -1.080156e-07 -8.650863e-07 7.449281e-05 6.337899e-04 -4.083057e-07 -2.247407e-05
10302.000000 -2.919140e-05 -1.180636e-06 -1.079210e-07 -8.670162e-07 7.754278e-05 6.393750e-04 1.722514e-06 -2.187041e-05
10307.000000 -2.916137e-05 -1.187798e-06 -1.083715e-07 -8.680627e-07 7.578674e-05 6.308868e-04 7.689650e-06 -2.251068e-05
10312.000000 -2.911133e-05 -1.192511e-06 -1.087338e-07 -8.694986e-07 6.537515e-05 6.056554e-04 3.440732e-06 -2.482487e-05
10317.000000 -2.909880e-05 -1.199473e-06 -1.086455e-07 -8.725085e-07 6.869376e-05 5.911617e-04 -8.932274e-07 -1.870591e-05
10322.000000 -2.907434e-05 -1.205670e-06 -1.084449e-07 -8.746068e-07 7.473510e-05 5.861015e-04 -1.289542e-05 -1.944275e-05
10327.000000 -2.904046e-05 -1.212026e-06 -1.077703e-07 -8.761637e-07 7.468601e-05 5.743998e-04 -5.660161e-06 -2.131322e-05
10332.000000 -2.891809e-05 -1.211048e-06 -1.065941e-07 -8.763222e-07 7.944702e-05 5.799186e-04 -1.491503e-06 -1.258059e-05
10337.000000 -2.897535e-05 -1.214558e-06 -1.066857e-07 -8.810590e-07 7.942059e-05 6.218877e-04 -2.982872e-06 -3.053153e-06
10341.000000 -2.888891e-05 -1.209992e-06 -1.069329e-07 -8.816397e-07 6.603775e-05 6.201410e-04 -1.044451e-05 -4.346632e-07
10344.000000 -2.886943e-05 -1.213742e-06 -1.083045e-07 -8.834046e-07 6.947478e-05 5.942352e-04 -4.768272e-06 -2.791560e-06
10346.000000 -2.887279e-05 -1.218431e-06 -1.098995e-07 -8.847430e-07 7.491065e-05 5.826932e-04 2.364078e-06 -1.414011e-05
10347.000000 -2.884720e-05 -1.215437e-06 -1.102212e-07 -8.854574e-07 7.308355e-05 5.747122e-04 4.887255e-06 -4.242927e-06
10347.200000 -2.884305e-05 -1.214202e-06 -1.100392e-07 -8.855071e-07 7.726000e-05 5.802392e-04 1.254129e-05 -5.788839e-06
10347.400000 -2.883484e-05 -1.214548e-06 -1.101997e-07 -8.853530e-07 7.839259e-05 5.839672e-04 4.921555e-06 -7.337540e-06
10347.600000 -2.883315e-05 -1.213493e-06 -1.102467e-07 -8.855168e-07 7.786231e-05 5.557730e-04 -7.787578e-06 -9.919069e-06
