# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2202956162831
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.003052
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370836
# Scan.uid: c76da374-0ae0-4077-92db-ed23eded284c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:59:25.499694
# Scan.end_time: 06/23/2023  00:59:59.804663
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 376.8
# SampleHeater.voltage.setpoint: 0.9672194690004509
# SampleHeater.voltage.readback: 0.968
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.95113e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.35837e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.81784e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1868e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.64676e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.42176e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.014378e-05 -1.056502e-06 -3.085807e-07 -8.315259e-07 4.047766e-05 4.266256e-04 -4.481544e-05 5.006621e-05
10172.000000 -3.003732e-05 -1.053641e-06 -3.061184e-07 -8.307703e-07 4.510014e-05 4.199509e-04 -3.726196e-05 4.532551e-05
10177.000000 -2.997830e-05 -1.052334e-06 -3.027418e-07 -8.316177e-07 3.666263e-05 4.018373e-04 -4.178808e-05 4.261699e-05
10182.000000 -2.992321e-05 -1.051762e-06 -2.969404e-07 -8.327603e-07 3.393535e-05 3.963785e-04 -4.510034e-05 4.674211e-05
10187.000000 -2.992971e-05 -1.055061e-06 -2.871391e-07 -8.353529e-07 2.877775e-05 3.983078e-04 -4.554922e-05 4.910320e-05
10192.000000 -3.001453e-05 -1.064344e-06 -2.650755e-07 -8.388619e-07 3.066620e-05 3.914335e-04 -4.264112e-05 5.782458e-05
10197.000000 -2.995005e-05 -1.062283e-06 -1.960270e-07 -8.392037e-07 3.215709e-05 3.875805e-04 -4.838749e-05 5.516168e-05
10202.000000 -2.987976e-05 -1.062671e-06 -6.309696e-08 -8.398602e-07 3.981167e-05 4.067201e-04 -2.977028e-05 4.549315e-05
10207.000000 -2.984414e-05 -1.065423e-06 -2.519915e-08 -8.411256e-07 3.972000e-05 4.192188e-04 -2.552709e-05 4.807287e-05
10212.000000 -2.984781e-05 -1.072231e-06 -5.310814e-08 -8.425996e-07 3.769189e-05 4.053762e-04 -3.621687e-05 4.804281e-05
10217.000000 -2.980508e-05 -1.075768e-06 -6.880662e-08 -8.433149e-07 3.855038e-05 3.989995e-04 -3.344489e-05 4.930190e-05
10222.000000 -2.979324e-05 -1.082544e-06 -8.128236e-08 -8.448857e-07 3.377642e-05 4.318850e-04 -4.677385e-05 6.388135e-05
10227.000000 -2.963674e-05 -1.074364e-06 -8.917655e-08 -8.434780e-07 2.877951e-05 4.395095e-04 -4.664089e-05 6.549370e-05
10232.000000 -2.961066e-05 -1.080104e-06 -9.275266e-08 -8.453668e-07 3.719210e-05 4.013649e-04 -4.234975e-05 6.008980e-05
10237.000000 -2.958446e-05 -1.080425e-06 -9.479719e-08 -8.475488e-07 3.977263e-05 4.048094e-04 -4.838854e-05 6.250157e-05
10242.000000 -2.951788e-05 -1.079503e-06 -9.630200e-08 -8.481009e-07 2.861787e-05 3.970296e-04 -4.657093e-05 5.989208e-05
10247.000000 -2.956473e-05 -1.093376e-06 -1.009769e-07 -8.507588e-07 3.240006e-05 4.244173e-04 -4.179390e-05 5.718434e-05
10252.000000 -2.958076e-05 -1.100218e-06 -1.010402e-07 -8.528359e-07 3.514474e-05 4.153183e-04 -3.839383e-05 5.284544e-05
10257.000000 -2.951974e-05 -1.100820e-06 -9.731438e-08 -8.537272e-07 3.999185e-05 3.811965e-04 -4.684978e-05 5.623978e-05
10262.000000 -2.937444e-05 -1.096333e-06 -9.614294e-08 -8.522075e-07 4.059847e-05 3.587476e-04 -4.765300e-05 6.488873e-05
10267.000000 -2.942184e-05 -1.104352e-06 -9.863006e-08 -8.555463e-07 4.228239e-05 3.704236e-04 -5.110067e-05 6.249926e-05
10272.000000 -2.936026e-05 -1.105939e-06 -9.949837e-08 -8.560688e-07 4.173443e-05 3.874393e-04 -4.292642e-05 6.562961e-05
10277.000000 -2.936388e-05 -1.116825e-06 -9.943963e-08 -8.576241e-07 4.984829e-05 3.693539e-04 -4.842243e-05 5.694813e-05
10282.000000 -2.924773e-05 -1.120959e-06 -9.846588e-08 -8.560693e-07 5.334966e-05 3.741949e-04 -5.615402e-05 4.981471e-05
10287.000000 -2.929297e-05 -1.129787e-06 -9.987126e-08 -8.593907e-07 5.494007e-05 3.700300e-04 -5.767180e-05 4.403777e-05
10292.000000 -2.924718e-05 -1.133833e-06 -1.032644e-07 -8.601857e-07 6.031860e-05 3.707068e-04 -4.982335e-05 5.219457e-05
10297.000000 -2.918345e-05 -1.134137e-06 -1.048995e-07 -8.613507e-07 5.773705e-05 3.857620e-04 -6.369251e-05 5.354579e-05
10302.000000 -2.919698e-05 -1.141921e-06 -1.048660e-07 -8.643128e-07 5.051993e-05 3.970589e-04 -7.266002e-05 5.698885e-05
10307.000000 -2.914589e-05 -1.144158e-06 -1.049322e-07 -8.654042e-07 4.826075e-05 4.044506e-04 -6.663715e-05 5.043122e-05
10312.000000 -2.908832e-05 -1.145668e-06 -1.049861e-07 -8.664480e-07 4.479806e-05 4.199580e-04 -5.170137e-05 5.552564e-05
10317.000000 -2.906886e-05 -1.152062e-06 -1.050319e-07 -8.684343e-07 5.362897e-05 4.200316e-04 -4.429249e-05 5.446220e-05
10322.000000 -2.905332e-05 -1.158184e-06 -1.045391e-07 -8.704476e-07 5.618961e-05 4.300053e-04 -4.621626e-05 5.311340e-05
10327.000000 -2.899679e-05 -1.160853e-06 -1.035709e-07 -8.716412e-07 4.902064e-05 4.472393e-04 -4.632861e-05 5.513071e-05
10332.000000 -2.889070e-05 -1.161752e-06 -1.026008e-07 -8.719141e-07 4.781238e-05 4.352511e-04 -5.948734e-05 4.584669e-05
10337.000000 -2.895235e-05 -1.164387e-06 -1.026177e-07 -8.774129e-07 4.958729e-05 4.059322e-04 -6.272458e-05 4.139568e-05
10341.000000 -2.891810e-05 -1.166263e-06 -1.034581e-07 -8.799116e-07 6.375718e-05 3.986855e-04 -5.074342e-05 4.102522e-05
10344.000000 -2.891226e-05 -1.172609e-06 -1.050473e-07 -8.821797e-07 6.651608e-05 3.811963e-04 -4.725066e-05 4.694420e-05
10346.000000 -2.889680e-05 -1.175202e-06 -1.061779e-07 -8.835608e-07 5.698134e-05 3.805637e-04 -5.230226e-05 5.075061e-05
10347.000000 -2.886374e-05 -1.172328e-06 -1.064355e-07 -8.841538e-07 5.382436e-05 3.839149e-04 -6.323723e-05 5.650304e-05
10347.200000 -2.888547e-05 -1.177156e-06 -1.071037e-07 -8.844409e-07 5.929010e-05 3.795837e-04 -6.792055e-05 6.011917e-05
10347.400000 -2.888558e-05 -1.176937e-06 -1.073450e-07 -8.843394e-07 5.815559e-05 3.696242e-04 -6.281242e-05 6.097822e-05
10347.600000 -2.887501e-05 -1.176182e-06 -1.075963e-07 -8.842982e-07 5.023977e-05 3.628206e-04 -5.677734e-05 5.014429e-05
10347.800000 -2.886406e-05 -1.174545e-06 -1.074692e-07 -8.842025e-07 5.750536e-05 3.871452e-04 -6.152232e-05 3.778985e-05
