# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7538324904589
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999268
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370840
# Scan.uid: eec50b1b-54f9-46e8-b8db-56e2820e4536
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:03:24.069854
# Scan.end_time: 06/23/2023  01:03:57.135925
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 376.70000000000005
# SampleHeater.voltage.setpoint: 0.9719142931828407
# SampleHeater.voltage.readback: 0.973
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.94468e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.56577e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.78962e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1051e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.56009e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.34016e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.009698e-05 -1.059930e-06 -3.094268e-07 -8.282898e-07 5.511993e-05 2.119245e-04 -3.568509e-05 -3.113548e-05
10172.000000 -2.998055e-05 -1.055162e-06 -3.062473e-07 -8.271594e-07 5.422103e-05 1.931922e-04 -3.419574e-05 -3.073497e-05
10177.000000 -2.989356e-05 -1.052862e-06 -3.027506e-07 -8.265851e-07 5.368766e-05 1.805644e-04 -3.946328e-05 -2.407968e-05
10182.000000 -2.981429e-05 -1.051052e-06 -2.967017e-07 -8.268368e-07 6.100999e-05 1.757893e-04 -4.026513e-05 -2.647124e-05
10187.000000 -2.987795e-05 -1.059351e-06 -2.882073e-07 -8.311269e-07 7.189336e-05 1.859644e-04 -3.756215e-05 -2.449728e-05
10192.000000 -2.990138e-05 -1.063263e-06 -2.645100e-07 -8.341250e-07 6.348350e-05 1.716255e-04 -4.481644e-05 -2.694054e-05
10197.000000 -2.991352e-05 -1.069091e-06 -1.966619e-07 -8.366328e-07 6.073260e-05 1.893614e-04 -4.522957e-05 -2.402404e-05
10202.000000 -2.979846e-05 -1.066033e-06 -6.353365e-08 -8.361912e-07 6.085747e-05 1.840143e-04 -5.241469e-05 -2.036401e-05
10207.000000 -2.980045e-05 -1.072979e-06 -2.541535e-08 -8.379668e-07 6.015997e-05 2.187239e-04 -6.239824e-05 -1.087162e-05
10212.000000 -2.975255e-05 -1.074414e-06 -5.293264e-08 -8.384002e-07 6.345485e-05 2.189255e-04 -5.923026e-05 -1.632466e-05
10217.000000 -2.974006e-05 -1.078478e-06 -6.888702e-08 -8.399953e-07 8.040756e-05 2.223909e-04 -5.698555e-05 -2.380162e-05
10222.000000 -2.973620e-05 -1.086272e-06 -8.166456e-08 -8.417275e-07 7.540442e-05 2.183051e-04 -4.685347e-05 -1.589461e-06
10227.000000 -2.967059e-05 -1.086341e-06 -8.956853e-08 -8.422673e-07 7.480520e-05 2.185655e-04 -3.231489e-05 7.578014e-06
10232.000000 -2.961452e-05 -1.088817e-06 -9.296432e-08 -8.426691e-07 7.221534e-05 2.008795e-04 -2.694535e-05 5.362434e-06
10237.000000 -2.961039e-05 -1.092864e-06 -9.558697e-08 -8.449309e-07 7.108555e-05 2.166338e-04 -3.415199e-05 1.041083e-05
10242.000000 -2.942885e-05 -1.080274e-06 -9.663671e-08 -8.428019e-07 7.356867e-05 2.442562e-04 -3.846440e-05 1.333684e-05
10247.000000 -2.942903e-05 -1.088505e-06 -1.009820e-07 -8.451917e-07 7.938768e-05 2.385969e-04 -2.935821e-05 9.407528e-06
10252.000000 -2.949058e-05 -1.100267e-06 -1.010809e-07 -8.487981e-07 7.874954e-05 2.401155e-04 -3.235393e-05 -1.035509e-05
10257.000000 -2.944447e-05 -1.103843e-06 -9.738307e-08 -8.495256e-07 7.525281e-05 2.463037e-04 -3.619540e-05 -1.288975e-05
10262.000000 -2.936161e-05 -1.106276e-06 -9.707963e-08 -8.492462e-07 7.132763e-05 2.202589e-04 -4.168024e-05 -1.698616e-05
10267.000000 -2.941984e-05 -1.114650e-06 -9.929618e-08 -8.531573e-07 6.569678e-05 2.112019e-04 -4.778893e-05 -2.779177e-05
10272.000000 -2.940086e-05 -1.120052e-06 -1.004017e-07 -8.546906e-07 5.656523e-05 2.121783e-04 -5.069321e-05 -2.677758e-05
10277.000000 -2.933440e-05 -1.122914e-06 -9.994834e-08 -8.550867e-07 6.535999e-05 2.318655e-04 -4.474107e-05 -3.449922e-05
10282.000000 -2.918685e-05 -1.122688e-06 -9.841858e-08 -8.529097e-07 6.475652e-05 2.337559e-04 -3.583073e-05 -3.407029e-05
10287.000000 -2.921360e-05 -1.128102e-06 -9.947541e-08 -8.557223e-07 6.174921e-05 2.109015e-04 -2.881376e-05 -1.050480e-05
10292.000000 -2.915703e-05 -1.129149e-06 -1.027644e-07 -8.566611e-07 6.738541e-05 1.928708e-04 -2.854427e-05 -5.475800e-07
10297.000000 -2.914823e-05 -1.136227e-06 -1.044808e-07 -8.586904e-07 7.325770e-05 2.006165e-04 -2.789679e-05 -1.946408e-05
10302.000000 -2.911543e-05 -1.137702e-06 -1.043818e-07 -8.603218e-07 7.153712e-05 2.140269e-04 -2.613602e-05 -2.751535e-05
10307.000000 -2.902358e-05 -1.135938e-06 -1.040124e-07 -8.604510e-07 7.536111e-05 2.254526e-04 -2.660991e-05 -3.234924e-05
10312.000000 -2.902625e-05 -1.145840e-06 -1.046844e-07 -8.629530e-07 6.460590e-05 2.292198e-04 -2.585256e-05 -2.972226e-05
10317.000000 -2.900410e-05 -1.152961e-06 -1.047672e-07 -8.645055e-07 7.194370e-05 1.948914e-04 -2.314334e-05 -2.390936e-05
10322.000000 -2.900080e-05 -1.162599e-06 -1.046399e-07 -8.664742e-07 7.555734e-05 2.118121e-04 -3.229701e-05 -2.650311e-05
10327.000000 -2.893083e-05 -1.163532e-06 -1.035912e-07 -8.678496e-07 7.773930e-05 2.433989e-04 -3.432130e-05 -2.767645e-05
10332.000000 -2.879598e-05 -1.161399e-06 -1.025975e-07 -8.678229e-07 7.476275e-05 2.481021e-04 -3.010318e-05 -3.333746e-05
10337.000000 -2.890654e-05 -1.174339e-06 -1.034946e-07 -8.739075e-07 7.501476e-05 2.509824e-04 -2.294895e-05 -3.125073e-05
10341.000000 -2.886598e-05 -1.174748e-06 -1.040637e-07 -8.758607e-07 7.355995e-05 2.301683e-04 -3.318918e-05 -1.212906e-05
10344.000000 -2.880529e-05 -1.171930e-06 -1.048532e-07 -8.771846e-07 7.124742e-05 2.432838e-04 -3.171453e-05 -1.268388e-05
10346.000000 -2.875939e-05 -1.169500e-06 -1.057050e-07 -8.784398e-07 7.542938e-05 2.735497e-04 -2.892052e-05 -2.592827e-05
10347.000000 -2.875349e-05 -1.169089e-06 -1.065268e-07 -8.796835e-07 7.263618e-05 2.635978e-04 -2.575877e-05 -2.542654e-05
10347.200000 -2.869949e-05 -1.162620e-06 -1.062727e-07 -8.788832e-07 6.935821e-05 2.811281e-04 -2.616879e-05 -2.090929e-05
10347.400000 -2.866711e-05 -1.158241e-06 -1.061823e-07 -8.783146e-07 7.401815e-05 2.774764e-04 -2.866066e-05 -2.271074e-05
10347.600000 -2.867755e-05 -1.160119e-06 -1.063219e-07 -8.789792e-07 7.880660e-05 2.736155e-04 -2.263725e-05 -2.272228e-05
