# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.60103886531465
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.00293
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370848
# Scan.uid: 091b75a8-6476-4c0e-995e-ea7f087928ea
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:11:23.508100
# Scan.end_time: 06/23/2023  01:11:55.803440
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 332.7440699206458
# SampleHeater.temperature2.readback: 333.3
# SampleHeater.voltage.setpoint: 0.7321096995052027
# SampleHeater.voltage.readback: 0.721
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.3
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.01692e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.60687e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.77887e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1653e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.69984e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.11721e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.010430e-05 -1.081158e-06 -3.155222e-07 -8.266998e-07 6.032173e-05 1.028266e-04 -6.916356e-05 5.176830e-05
10172.000000 -3.003127e-05 -1.080244e-06 -3.134823e-07 -8.265141e-07 6.581461e-05 1.291524e-04 -6.482329e-05 4.318900e-05
10177.000000 -2.994483e-05 -1.076701e-06 -3.094715e-07 -8.257682e-07 4.976426e-05 1.452848e-04 -6.673255e-05 4.844501e-05
10182.000000 -2.989699e-05 -1.077333e-06 -3.039987e-07 -8.266295e-07 5.249346e-05 1.501252e-04 -6.155417e-05 5.273336e-05
10187.000000 -2.991759e-05 -1.082346e-06 -2.941169e-07 -8.295583e-07 5.998248e-05 1.475592e-04 -6.408679e-05 4.487462e-05
10192.000000 -2.996668e-05 -1.087808e-06 -2.704226e-07 -8.329038e-07 5.326796e-05 1.703887e-04 -5.759238e-05 4.589525e-05
10197.000000 -2.990628e-05 -1.086187e-06 -1.999716e-07 -8.334386e-07 5.009761e-05 1.749724e-04 -6.947326e-05 4.282911e-05
10202.000000 -2.990458e-05 -1.091661e-06 -6.479100e-08 -8.359257e-07 4.807974e-05 1.697236e-04 -7.120187e-05 4.868619e-05
10207.000000 -2.987930e-05 -1.094719e-06 -2.568287e-08 -8.378093e-07 4.211946e-05 1.610670e-04 -7.055866e-05 4.931525e-05
10212.000000 -2.983505e-05 -1.096416e-06 -5.410431e-08 -8.391648e-07 4.556987e-05 1.703738e-04 -7.457905e-05 5.085089e-05
10217.000000 -2.978124e-05 -1.098012e-06 -7.003311e-08 -8.399946e-07 4.637650e-05 1.577251e-04 -8.008110e-05 4.570808e-05
10222.000000 -2.971564e-05 -1.098864e-06 -8.243146e-08 -8.402420e-07 4.599288e-05 1.776062e-04 -8.348983e-05 4.312665e-05
10227.000000 -2.973435e-05 -1.108986e-06 -9.170770e-08 -8.420464e-07 5.226790e-05 1.877062e-04 -8.488415e-05 4.182639e-05
10232.000000 -2.966508e-05 -1.109269e-06 -9.495884e-08 -8.416599e-07 4.567986e-05 1.831232e-04 -8.021851e-05 4.498807e-05
10237.000000 -2.956437e-05 -1.104406e-06 -9.664219e-08 -8.411882e-07 4.753909e-05 1.750598e-04 -7.849967e-05 4.688119e-05
10242.000000 -2.945084e-05 -1.100862e-06 -9.816505e-08 -8.403793e-07 4.771796e-05 1.596915e-04 -7.649033e-05 4.949487e-05
10247.000000 -2.940430e-05 -1.104769e-06 -1.026970e-07 -8.413014e-07 3.575292e-05 1.609299e-04 -8.002702e-05 4.778237e-05
10252.000000 -2.929536e-05 -1.101719e-06 -1.018500e-07 -8.408964e-07 4.175708e-05 1.635784e-04 -7.712750e-05 4.838397e-05
10257.000000 -2.913681e-05 -1.094376e-06 -9.731337e-08 -8.379207e-07 4.483520e-05 1.647937e-04 -8.122638e-05 3.602738e-05
10262.000000 -2.912143e-05 -1.102552e-06 -9.720919e-08 -8.395299e-07 4.559497e-05 1.809820e-04 -7.203035e-05 3.113073e-05
10267.000000 -2.929300e-05 -1.121592e-06 -1.002144e-07 -8.474750e-07 5.260312e-05 1.840197e-04 -7.511126e-05 3.806016e-05
10272.000000 -2.932126e-05 -1.130891e-06 -1.017165e-07 -8.501865e-07 4.567081e-05 1.608233e-04 -6.674440e-05 3.705774e-05
10277.000000 -2.935535e-05 -1.144577e-06 -1.017107e-07 -8.530146e-07 4.077229e-05 1.598830e-04 -6.888990e-05 3.627870e-05
10282.000000 -2.921032e-05 -1.143013e-06 -1.001268e-07 -8.513335e-07 4.638445e-05 1.581700e-04 -7.257711e-05 2.830687e-05
10287.000000 -2.926230e-05 -1.151653e-06 -1.018268e-07 -8.548457e-07 5.201267e-05 1.597341e-04 -6.145086e-05 4.594386e-05
10292.000000 -2.916639e-05 -1.149324e-06 -1.047389e-07 -8.547754e-07 4.958771e-05 1.685689e-04 -5.941238e-05 4.075012e-05
10297.000000 -2.914062e-05 -1.154201e-06 -1.062516e-07 -8.560902e-07 5.258589e-05 1.806894e-04 -6.699335e-05 4.336969e-05
10302.000000 -2.916818e-05 -1.164437e-06 -1.068608e-07 -8.582367e-07 5.427875e-05 1.646233e-04 -6.967657e-05 4.849226e-05
10307.000000 -2.906236e-05 -1.161433e-06 -1.064314e-07 -8.583656e-07 4.968136e-05 1.334916e-04 -7.772595e-05 5.388583e-05
10312.000000 -2.908695e-05 -1.173623e-06 -1.072648e-07 -8.613527e-07 5.114005e-05 1.384618e-04 -6.977930e-05 4.935490e-05
10317.000000 -2.905039e-05 -1.178836e-06 -1.071687e-07 -8.632982e-07 4.819401e-05 1.375689e-04 -7.150505e-05 5.173941e-05
10322.000000 -2.902618e-05 -1.183748e-06 -1.064819e-07 -8.652650e-07 5.083635e-05 1.148515e-04 -6.824972e-05 5.320262e-05
10327.000000 -2.897680e-05 -1.186435e-06 -1.056435e-07 -8.674086e-07 5.880930e-05 1.262946e-04 -6.906337e-05 5.449771e-05
10332.000000 -2.886961e-05 -1.188300e-06 -1.047955e-07 -8.680558e-07 4.768084e-05 1.624954e-04 -6.920354e-05 4.615435e-05
10337.000000 -2.895463e-05 -1.198555e-06 -1.055514e-07 -8.732397e-07 3.936707e-05 2.282565e-04 -6.392083e-05 5.579121e-05
10341.000000 -2.892155e-05 -1.202208e-06 -1.065156e-07 -8.751666e-07 4.532651e-05 2.538276e-04 -7.148198e-05 4.844306e-05
10344.000000 -2.888531e-05 -1.204371e-06 -1.078629e-07 -8.767243e-07 4.941547e-05 2.594223e-04 -6.991197e-05 4.367501e-05
10346.000000 -2.885294e-05 -1.203201e-06 -1.087067e-07 -8.784302e-07 5.130369e-05 2.717119e-04 -7.100152e-05 4.338449e-05
10347.000000 -2.879342e-05 -1.196133e-06 -1.086518e-07 -8.789603e-07 4.339112e-05 2.603677e-04 -8.139696e-05 4.837654e-05
10347.200000 -2.878360e-05 -1.194522e-06 -1.085860e-07 -8.791325e-07 4.135267e-05 2.616902e-04 -8.339149e-05 5.091641e-05
10347.400000 -2.875052e-05 -1.189705e-06 -1.082130e-07 -8.782995e-07 3.740817e-05 2.699874e-04 -8.223669e-05 4.438893e-05
10347.600000 -2.879128e-05 -1.194550e-06 -1.085922e-07 -8.789799e-07 4.192570e-05 2.515253e-04 -6.951475e-05 5.307053e-05
10347.800000 -2.884062e-05 -1.203236e-06 -1.094593e-07 -8.804024e-07 4.170135e-05 2.644150e-04 -7.980010e-05 5.429137e-05
