# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3293409272015
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370858
# Scan.uid: b6038262-3c22-4c0c-9e16-b7261ddf75f0
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:21:14.515379
# Scan.end_time: 06/23/2023  01:21:48.085121
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 102.91900761922199
# SampleHeater.temperature2.readback: 105.0
# SampleHeater.voltage.setpoint: 0.2595574693732725
# SampleHeater.voltage.readback: 0.278
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.28
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.05132e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.98836e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.83196e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2169e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.69581e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.09356e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.007575e-05 -1.129561e-06 -3.290270e-07 -8.185620e-07 5.265582e-05 -8.451993e-05 -4.926395e-05 -1.964995e-05
10172.000000 -2.990373e-05 -1.118174e-06 -3.240924e-07 -8.156012e-07 5.328565e-05 -5.410287e-05 -4.603707e-05 -1.946615e-05
10177.000000 -2.988577e-05 -1.118623e-06 -3.208592e-07 -8.168519e-07 5.303929e-05 -5.821596e-05 -4.447234e-05 -2.059256e-05
10182.000000 -2.984328e-05 -1.118085e-06 -3.149883e-07 -8.182357e-07 5.155709e-05 -5.172949e-05 -4.370541e-05 -2.726900e-05
10187.000000 -2.980063e-05 -1.119510e-06 -3.038470e-07 -8.201042e-07 5.237064e-05 -4.431926e-05 -4.998675e-05 -2.642045e-05
10192.000000 -2.970875e-05 -1.118272e-06 -2.777078e-07 -8.196312e-07 5.801813e-05 -3.999000e-05 -4.975710e-05 -2.335563e-05
10197.000000 -2.978821e-05 -1.126461e-06 -2.063334e-07 -8.239263e-07 5.111304e-05 -3.104031e-05 -4.419732e-05 -2.478701e-05
10202.000000 -2.968336e-05 -1.126695e-06 -6.692810e-08 -8.236765e-07 6.057246e-05 -1.934174e-05 -4.809176e-05 -2.616959e-05
10207.000000 -2.963555e-05 -1.129022e-06 -2.659717e-08 -8.251833e-07 5.924319e-05 -5.363376e-06 -4.913946e-05 -1.506261e-05
10212.000000 -2.975516e-05 -1.140985e-06 -5.597661e-08 -8.311141e-07 5.706021e-05 -6.448816e-06 -5.194658e-05 -1.570353e-05
10217.000000 -2.969701e-05 -1.141962e-06 -7.231948e-08 -8.314116e-07 6.012868e-05 2.666505e-06 -5.235042e-05 -1.891862e-05
10222.000000 -2.970730e-05 -1.147318e-06 -8.571034e-08 -8.332515e-07 6.347985e-05 2.242812e-05 -5.672254e-05 -1.305629e-05
10227.000000 -2.967415e-05 -1.152357e-06 -9.484417e-08 -8.344418e-07 5.466208e-05 6.900409e-06 -5.297461e-05 -1.191493e-05
10232.000000 -2.959623e-05 -1.154721e-06 -9.854452e-08 -8.346352e-07 5.046601e-05 1.574358e-05 -5.224658e-05 -2.737759e-05
10237.000000 -2.959435e-05 -1.160401e-06 -1.012770e-07 -8.372641e-07 5.255691e-05 -1.890306e-07 -4.830024e-05 -2.466690e-05
10242.000000 -2.956087e-05 -1.163570e-06 -1.032045e-07 -8.384952e-07 5.191192e-05 1.074933e-05 -4.301697e-05 -2.072082e-05
10247.000000 -2.948824e-05 -1.166897e-06 -1.076878e-07 -8.387256e-07 5.184740e-05 1.187215e-05 -4.916887e-05 -2.945251e-05
10252.000000 -2.947356e-05 -1.173179e-06 -1.072918e-07 -8.401756e-07 4.906547e-05 1.141857e-05 -5.661610e-05 -2.566064e-05
10257.000000 -2.943914e-05 -1.177588e-06 -1.035526e-07 -8.411954e-07 5.310511e-05 1.746623e-05 -3.542154e-05 -2.696694e-05
10262.000000 -2.936847e-05 -1.180552e-06 -1.029151e-07 -8.411267e-07 4.688997e-05 -8.439957e-06 -3.343351e-05 -3.543013e-05
10267.000000 -2.937483e-05 -1.185218e-06 -1.050932e-07 -8.437561e-07 4.622854e-05 -2.618520e-05 -2.168226e-05 -1.897120e-05
10272.000000 -2.932936e-05 -1.189555e-06 -1.062549e-07 -8.446529e-07 4.894367e-05 -2.453007e-05 -1.712855e-05 1.521312e-05
10277.000000 -2.919723e-05 -1.190085e-06 -1.056092e-07 -8.431141e-07 6.281075e-05 9.250428e-06 -1.850261e-05 1.976837e-05
10282.000000 -2.914269e-05 -1.197725e-06 -1.047714e-07 -8.431944e-07 6.101968e-05 9.916960e-06 -3.189051e-05 2.378683e-05
10287.000000 -2.910372e-05 -1.199823e-06 -1.058114e-07 -8.445642e-07 4.852299e-05 -1.595200e-05 -2.931523e-05 2.710809e-05
10292.000000 -2.910048e-05 -1.206296e-06 -1.094812e-07 -8.466383e-07 6.157832e-05 9.638219e-07 -3.265312e-05 2.572311e-05
10297.000000 -2.908875e-05 -1.212069e-06 -1.112707e-07 -8.487121e-07 6.632699e-05 1.349661e-05 -3.716278e-05 1.496114e-05
10302.000000 -2.910388e-05 -1.218685e-06 -1.113154e-07 -8.513194e-07 6.419779e-05 1.791901e-05 -3.322536e-05 2.006292e-06
10307.000000 -2.906092e-05 -1.223352e-06 -1.116179e-07 -8.522167e-07 5.346642e-05 2.792186e-05 -3.861921e-05 -3.255778e-05
10312.000000 -2.898671e-05 -1.225317e-06 -1.118856e-07 -8.527644e-07 6.149388e-05 3.750609e-05 -3.778667e-05 -2.740252e-05
10317.000000 -2.894695e-05 -1.231337e-06 -1.116283e-07 -8.540344e-07 5.767068e-05 2.083703e-05 -3.623608e-05 -2.242573e-05
10322.000000 -2.898612e-05 -1.241561e-06 -1.113103e-07 -8.575160e-07 5.116072e-05 1.660047e-05 -3.431086e-05 -2.059137e-05
10327.000000 -2.892851e-05 -1.245479e-06 -1.105171e-07 -8.593797e-07 4.635225e-05 -1.961337e-05 -4.800006e-05 -2.397332e-05
10332.000000 -2.878104e-05 -1.242219e-06 -1.092537e-07 -8.591184e-07 5.276925e-05 -5.662572e-05 -6.058702e-05 -1.332706e-05
10337.000000 -2.888362e-05 -1.252096e-06 -1.098137e-07 -8.653085e-07 4.755304e-05 -6.698927e-05 -4.959646e-05 -5.831660e-06
10341.000000 -2.885786e-05 -1.257465e-06 -1.109240e-07 -8.677157e-07 5.049099e-05 -5.032513e-05 -4.325013e-05 7.801228e-07
10344.000000 -2.882318e-05 -1.259251e-06 -1.121213e-07 -8.690653e-07 6.026422e-05 -4.211364e-05 -3.943563e-05 -5.732644e-06
10346.000000 -2.880802e-05 -1.261789e-06 -1.136447e-07 -8.706335e-07 6.953262e-05 -7.100584e-05 -5.310355e-05 -7.895216e-06
10347.000000 -2.881335e-05 -1.262076e-06 -1.142844e-07 -8.715095e-07 6.902532e-05 -6.421283e-05 -5.479573e-05 -2.079737e-05
10347.200000 -2.881192e-05 -1.261200e-06 -1.145322e-07 -8.714198e-07 7.915398e-05 -4.430067e-05 -5.395026e-05 -2.310445e-05
10347.400000 -2.880165e-05 -1.260137e-06 -1.144132e-07 -8.716917e-07 6.662259e-05 -3.054837e-05 -5.060882e-05 -2.304000e-05
10347.600000 -2.878943e-05 -1.257958e-06 -1.140884e-07 -8.721377e-07 6.008924e-05 -6.071485e-05 -5.543809e-05 -1.940381e-05
