# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1587156671304
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1649.999023
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370866
# Scan.uid: efc279d1-ccdc-43cb-afc5-ebaac185c373
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:35:46.515609
# Scan.end_time: 06/23/2023  01:36:20.791111
# Scan.name: Cu2O+Ga2O3-1st O2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 28.0
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.27454e-09
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.26137e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.95191e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.09582e-09
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.44318e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.46361e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.491622e-05 -4.321614e-07 -2.861885e-07 -2.873229e-07 2.946881e-05 2.938490e-05 -3.304808e-05 -3.715059e-06
 8784.000000 -3.506425e-05 -4.341910e-07 -2.875507e-07 -2.889437e-07 3.083594e-05 6.306303e-05 -2.736453e-05 4.192718e-06
 8789.000000 -3.494240e-05 -4.329852e-07 -2.870577e-07 -2.886760e-07 3.144647e-05 7.436653e-05 -2.599822e-05 5.589783e-06
 8794.000000 -3.471914e-05 -4.310980e-07 -2.859320e-07 -2.874663e-07 3.085431e-05 8.824403e-05 -2.098190e-05 1.063624e-05
 8799.000000 -3.432558e-05 -4.282112e-07 -2.842961e-07 -2.850096e-07 2.958914e-05 7.383369e-05 -2.377752e-05 5.273824e-06
 8804.000000 -3.469400e-05 -4.345430e-07 -2.888243e-07 -2.883938e-07 4.608837e-05 6.171053e-05 -1.892420e-05 4.011673e-06
 8809.000000 -3.464866e-05 -4.354310e-07 -2.894271e-07 -2.887617e-07 3.873606e-05 7.910938e-05 -2.839575e-05 -1.875858e-06
 8814.000000 -3.437787e-05 -4.339368e-07 -2.884856e-07 -2.869007e-07 4.048964e-05 1.054674e-04 -2.543311e-05 5.635954e-06
 8819.000000 -3.445279e-05 -4.370280e-07 -2.906071e-07 -2.878003e-07 3.683354e-05 1.052860e-04 -1.651451e-05 1.140310e-05
 8824.000000 -3.443557e-05 -4.392553e-07 -2.925887e-07 -2.885024e-07 3.443726e-05 1.035223e-04 -1.450060e-05 1.455931e-06
 8829.000000 -3.433035e-05 -4.403525e-07 -2.932825e-07 -2.885853e-07 3.388492e-05 8.533673e-05 -1.943701e-05 3.827665e-06
 8834.000000 -3.420267e-05 -4.413339e-07 -2.941060e-07 -2.885022e-07 3.036928e-05 7.547555e-05 -2.342900e-05 9.738010e-07
 8839.000000 -3.410182e-05 -4.424959e-07 -2.950377e-07 -2.886832e-07 2.988101e-05 9.115041e-05 -1.480633e-05 -2.871681e-06
 8844.000000 -3.394583e-05 -4.434361e-07 -2.961828e-07 -2.884877e-07 2.217758e-05 1.196256e-04 -7.241105e-06 -1.100962e-06
 8849.000000 -3.387579e-05 -4.458218e-07 -2.980088e-07 -2.889752e-07 3.413129e-05 1.036761e-04 -1.089107e-05 1.065825e-05
 8854.000000 -3.376794e-05 -4.466706e-07 -2.987546e-07 -2.891794e-07 3.928974e-05 8.383488e-05 -8.557461e-06 3.924662e-06
 8859.000000 -3.372033e-05 -4.491026e-07 -3.003221e-07 -2.898540e-07 3.920000e-05 5.994417e-05 -1.226883e-05 9.001847e-07
 8864.000000 -3.365721e-05 -4.510377e-07 -3.018008e-07 -2.901628e-07 4.749895e-05 6.054755e-05 -2.036323e-05 -5.399230e-06
 8869.000000 -3.355738e-05 -4.526832e-07 -3.032638e-07 -2.901989e-07 3.504678e-05 6.132230e-05 -1.967334e-05 -3.594951e-06
 8874.000000 -3.343368e-05 -4.537654e-07 -3.040471e-07 -2.900260e-07 3.474274e-05 5.866933e-05 -9.540990e-06 4.063185e-06
 8879.000000 -3.330554e-05 -4.547861e-07 -3.048883e-07 -2.898303e-07 4.190732e-05 6.629979e-05 -1.167346e-05 2.697766e-06
 8884.000000 -3.300515e-05 -4.531725e-07 -3.039876e-07 -2.882403e-07 4.532879e-05 9.084650e-05 -1.642406e-05 2.409232e-06
 8889.000000 -3.281611e-05 -4.534147e-07 -3.045303e-07 -2.881661e-07 2.889591e-05 8.334521e-05 -1.082405e-05 1.358147e-05
 8894.000000 -3.295941e-05 -4.576616e-07 -3.074994e-07 -2.898931e-07 3.294511e-05 7.767298e-05 -6.916665e-06 1.564526e-05
 8899.000000 -3.284549e-05 -4.585785e-07 -3.081897e-07 -2.893919e-07 3.836524e-05 6.908401e-05 -8.626107e-06 9.714631e-06
 8904.000000 -3.273696e-05 -4.600604e-07 -3.092984e-07 -2.889370e-07 3.760906e-05 5.665497e-05 -1.310562e-05 4.935626e-06
 8909.000000 -3.257052e-05 -4.602563e-07 -3.096964e-07 -2.881637e-07 3.470072e-05 5.604702e-05 -9.449010e-06 3.268560e-06
 8914.000000 -3.228208e-05 -4.591412e-07 -3.089753e-07 -2.861625e-07 3.757344e-05 6.285672e-05 -9.040578e-06 -3.139893e-06
 8919.000000 -3.223703e-05 -4.615735e-07 -3.105481e-07 -2.865379e-07 3.230821e-05 5.178912e-05 -6.576234e-06 -1.336463e-06
 8924.000000 -3.212021e-05 -4.626264e-07 -3.115959e-07 -2.865042e-07 2.642064e-05 5.285929e-05 -1.028774e-05 4.652257e-07
 8929.000000 -3.210295e-05 -4.660503e-07 -3.139792e-07 -2.875352e-07 3.352341e-05 8.001759e-05 -1.336363e-05 -1.727204e-06
 8934.000000 -3.202438e-05 -4.684406e-07 -3.157117e-07 -2.880286e-07 4.290214e-05 9.821170e-05 -1.497513e-05 -6.735226e-07
 8939.000000 -3.186106e-05 -4.693454e-07 -3.160308e-07 -2.875714e-07 3.730526e-05 8.989117e-05 -1.678088e-05 5.243471e-06
 8944.000000 -3.171927e-05 -4.700730e-07 -3.164672e-07 -2.871892e-07 2.865000e-05 7.221631e-05 -2.030871e-05 7.952345e-06
 8949.000000 -3.160702e-05 -4.694691e-07 -3.158210e-07 -2.870118e-07 2.654870e-05 4.319309e-05 -2.846169e-05 4.590348e-06
 8953.000000 -3.150892e-05 -4.684743e-07 -3.149085e-07 -2.869765e-07 2.301299e-05 1.097152e-05 -4.275046e-05 3.549371e-06
 8956.000000 -3.144739e-05 -4.694145e-07 -3.150875e-07 -2.871928e-07 2.467552e-05 -2.877257e-06 -5.255264e-05 2.861120e-06
 8958.000000 -3.140487e-05 -4.704332e-07 -3.156041e-07 -2.872490e-07 2.304104e-05 1.239938e-07 -4.994970e-05 1.580443e-05
 8959.000000 -3.129738e-05 -4.693636e-07 -3.148504e-07 -2.865277e-07 2.134029e-05 1.026076e-05 -4.495167e-05 1.951948e-05
 8959.200000 -3.128129e-05 -4.695212e-07 -3.148783e-07 -2.864103e-07 2.810295e-05 1.078429e-05 -4.110730e-05 2.815629e-05
 8959.400000 -3.129210e-05 -4.696123e-07 -3.146964e-07 -2.866536e-07 2.342888e-05 1.351599e-05 -4.534927e-05 2.484081e-05
 8959.600000 -3.134993e-05 -4.707299e-07 -3.154914e-07 -2.872719e-07 2.599584e-05 1.736643e-05 -4.586017e-05 1.627671e-05
