# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4031096265993
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003052
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370868
# Scan.uid: 8fd0ee11-73fb-4793-9acd-8794082588f3
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:37:47.521994
# Scan.end_time: 06/23/2023  01:38:22.328949
# Scan.name: Cu2O+Ga2O3-1st O2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.700000000000003
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.0
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 4.79061e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32716e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.79038e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.33185e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.07483e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.13724e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.485338e-05 -4.294867e-07 -2.842865e-07 -2.864136e-07 4.570079e-05 6.317557e-06 -3.158363e-05 4.037121e-05
 8784.000000 -3.482369e-05 -4.298532e-07 -2.845223e-07 -2.867596e-07 4.680794e-05 3.882716e-06 -3.599200e-05 3.939714e-05
 8789.000000 -3.482459e-05 -4.314545e-07 -2.859507e-07 -2.875273e-07 4.613175e-05 5.870114e-06 -3.850299e-05 3.188859e-05
 8794.000000 -3.485293e-05 -4.339229e-07 -2.877605e-07 -2.883484e-07 4.485953e-05 2.603693e-05 -3.688818e-05 3.076186e-05
 8799.000000 -3.451617e-05 -4.315906e-07 -2.864607e-07 -2.862899e-07 4.743837e-05 8.747429e-06 -3.556855e-05 3.229834e-05
 8804.000000 -3.479146e-05 -4.359707e-07 -2.893438e-07 -2.891076e-07 2.949328e-05 2.332740e-05 -3.586318e-05 3.436726e-05
 8809.000000 -3.456968e-05 -4.347386e-07 -2.887681e-07 -2.878651e-07 3.005746e-05 2.069492e-05 -4.388308e-05 2.933572e-05
 8814.000000 -3.441524e-05 -4.355175e-07 -2.897364e-07 -2.870588e-07 2.573138e-05 3.114343e-05 -4.298380e-05 3.217318e-05
 8819.000000 -3.450876e-05 -4.389930e-07 -2.919565e-07 -2.881882e-07 1.957108e-05 5.618768e-05 -4.977980e-05 2.568938e-05
 8824.000000 -3.445463e-05 -4.408192e-07 -2.934741e-07 -2.884091e-07 2.449595e-05 7.547887e-05 -4.861636e-05 3.224516e-05
 8829.000000 -3.434549e-05 -4.417706e-07 -2.944504e-07 -2.884566e-07 2.899282e-05 6.349230e-05 -4.970963e-05 3.092401e-05
 8834.000000 -3.429618e-05 -4.437597e-07 -2.962179e-07 -2.891724e-07 3.643844e-05 6.672869e-05 -5.460078e-05 3.796755e-05
 8839.000000 -3.423019e-05 -4.456846e-07 -2.975252e-07 -2.896270e-07 4.126829e-05 8.162484e-05 -5.089352e-05 3.007939e-05
 8844.000000 -3.403322e-05 -4.459226e-07 -2.979910e-07 -2.890262e-07 3.831327e-05 7.833199e-05 -5.654333e-05 3.454093e-05
 8849.000000 -3.389294e-05 -4.464631e-07 -2.984335e-07 -2.890744e-07 3.703031e-05 6.254620e-05 -5.282970e-05 4.040194e-05
 8854.000000 -3.377515e-05 -4.473289e-07 -2.991681e-07 -2.890963e-07 3.016979e-05 5.821829e-05 -5.167875e-05 3.987935e-05
 8859.000000 -3.356523e-05 -4.467132e-07 -2.987046e-07 -2.883499e-07 3.047645e-05 6.394807e-05 -4.133085e-05 5.063825e-05
 8864.000000 -3.357487e-05 -4.487561e-07 -3.001730e-07 -2.892246e-07 2.994012e-05 7.085199e-05 -3.263027e-05 5.116123e-05
 8869.000000 -3.341969e-05 -4.492897e-07 -3.010002e-07 -2.886742e-07 3.112060e-05 6.175783e-05 -3.180411e-05 3.517322e-05
 8874.000000 -3.341999e-05 -4.525198e-07 -3.035138e-07 -2.895400e-07 3.202359e-05 4.381855e-05 -3.116998e-05 3.082583e-05
 8879.000000 -3.334256e-05 -4.544846e-07 -3.049491e-07 -2.897975e-07 2.269942e-05 3.615883e-05 -4.148655e-05 2.552354e-05
 8884.000000 -3.306773e-05 -4.533880e-07 -3.043344e-07 -2.886878e-07 2.982523e-05 5.511716e-05 -4.190242e-05 2.595175e-05
 8889.000000 -3.278973e-05 -4.528223e-07 -3.042753e-07 -2.877486e-07 3.553341e-05 6.589339e-05 -3.998062e-05 3.433830e-05
 8894.000000 -3.296992e-05 -4.586316e-07 -3.081985e-07 -2.896970e-07 3.481582e-05 6.789848e-05 -4.195160e-05 3.807363e-05
 8899.000000 -3.288249e-05 -4.601787e-07 -3.093621e-07 -2.895031e-07 3.247198e-05 8.528225e-05 -5.066906e-05 4.049056e-05
 8904.000000 -3.272979e-05 -4.611374e-07 -3.100040e-07 -2.886036e-07 3.511886e-05 9.233540e-05 -5.055867e-05 3.258458e-05
 8909.000000 -3.251929e-05 -4.615056e-07 -3.103892e-07 -2.873978e-07 4.097652e-05 1.079776e-04 -4.517811e-05 2.686023e-05
 8914.000000 -3.233688e-05 -4.626135e-07 -3.114076e-07 -2.864910e-07 3.970733e-05 1.228012e-04 -4.815140e-05 1.343408e-05
 8919.000000 -3.220961e-05 -4.637807e-07 -3.122743e-07 -2.860713e-07 4.032504e-05 1.291454e-04 -4.530022e-05 1.261055e-05
 8924.000000 -3.212359e-05 -4.657639e-07 -3.137013e-07 -2.861687e-07 3.965338e-05 1.022536e-04 -4.023878e-05 1.180797e-05
 8929.000000 -3.208623e-05 -4.682484e-07 -3.155523e-07 -2.870979e-07 4.184152e-05 9.078601e-05 -5.040574e-05 1.016947e-05
 8934.000000 -3.201420e-05 -4.695093e-07 -3.160908e-07 -2.877097e-07 3.707052e-05 9.550458e-05 -5.117187e-05 1.147350e-05
 8939.000000 -3.187139e-05 -4.697707e-07 -3.163558e-07 -2.874138e-07 3.737773e-05 8.097324e-05 -4.847056e-05 1.835783e-05
 8944.000000 -3.178204e-05 -4.704555e-07 -3.167940e-07 -2.874627e-07 4.117626e-05 5.521309e-05 -4.415954e-05 1.312372e-05
 8949.000000 -3.165532e-05 -4.713335e-07 -3.172334e-07 -2.871817e-07 3.389690e-05 5.320585e-05 -3.266512e-05 1.871788e-05
 8953.000000 -3.155024e-05 -4.715208e-07 -3.170526e-07 -2.871950e-07 3.835795e-05 7.568300e-05 -3.916143e-05 2.232479e-05
 8956.000000 -3.152000e-05 -4.728785e-07 -3.176884e-07 -2.875635e-07 4.949989e-05 1.009225e-04 -3.506160e-05 1.511829e-05
 8958.000000 -3.148049e-05 -4.734329e-07 -3.177158e-07 -2.875596e-07 4.442970e-05 1.101947e-04 -3.061101e-05 1.508526e-05
 8959.000000 -3.147772e-05 -4.739456e-07 -3.180043e-07 -2.878322e-07 4.366113e-05 1.052130e-04 -4.298310e-05 1.821797e-05
 8959.200000 -3.147107e-05 -4.740522e-07 -3.179518e-07 -2.878145e-07 4.219003e-05 8.467828e-05 -5.433785e-05 1.965724e-05
 8959.400000 -3.143072e-05 -4.734323e-07 -3.173936e-07 -2.875146e-07 4.820358e-05 9.079286e-05 -4.010994e-05 3.221931e-05
 8959.600000 -3.140890e-05 -4.731632e-07 -3.173023e-07 -2.874435e-07 4.478140e-05 1.053216e-04 -4.012811e-05 2.786099e-05
