# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8064994662684
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000977
# Detector.I1.voltage: -1649.999756
# Detector.I2.voltage: -1649.999146
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370863
# Scan.uid: def261db-1ea8-4304-b012-878264805c2f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:32:48.081201
# Scan.end_time: 06/23/2023  01:33:21.967428
# Scan.name: Cu2O+Ga2O3-1st O2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 30.0
# SampleHeater.voltage.setpoint: 0.07365864352633204
# SampleHeater.voltage.readback: 0.076
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 7.24
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.68474e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.12848e-08
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.23012e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.3607e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.12781e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.99209e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.990698e-05 -1.147005e-06 -3.344149e-07 -8.138753e-07 6.518203e-05 -1.331547e-05 -2.877736e-05 3.241766e-06
10172.000000 -2.975724e-05 -1.141537e-06 -3.310433e-07 -8.117343e-07 5.476503e-05 -8.613347e-06 -2.619472e-05 5.245670e-06
10177.000000 -2.972251e-05 -1.142239e-06 -3.280640e-07 -8.120505e-07 5.787283e-05 1.582584e-06 -1.788083e-05 4.386867e-06
10182.000000 -2.971284e-05 -1.144533e-06 -3.226840e-07 -8.138604e-07 5.473946e-05 1.660866e-07 -2.227940e-05 4.168045e-06
10187.000000 -2.970536e-05 -1.148420e-06 -3.121077e-07 -8.165873e-07 5.412461e-05 1.305882e-05 -2.427497e-05 3.811726e-06
10192.000000 -2.974908e-05 -1.154464e-06 -2.871934e-07 -8.203083e-07 5.921346e-05 4.439685e-06 -3.332563e-05 -2.485584e-07
10197.000000 -2.974712e-05 -1.159121e-06 -2.130934e-07 -8.225947e-07 5.871776e-05 -5.079942e-06 -3.622440e-05 1.748283e-08
10202.000000 -2.971443e-05 -1.161450e-06 -6.896188e-08 -8.237725e-07 5.986735e-05 -2.310714e-06 -3.648538e-05 -2.813063e-07
10207.000000 -2.967118e-05 -1.164040e-06 -2.761217e-08 -8.248389e-07 5.519969e-05 -3.460830e-06 -2.081007e-05 3.425109e-06
10212.000000 -2.966977e-05 -1.169921e-06 -5.761136e-08 -8.269963e-07 5.449322e-05 -7.567166e-06 -2.110252e-05 6.779375e-06
10217.000000 -2.961412e-05 -1.171859e-06 -7.468205e-08 -8.282085e-07 5.272269e-05 -8.509361e-06 -1.997334e-05 6.299666e-06
10222.000000 -2.958557e-05 -1.175278e-06 -8.825415e-08 -8.292550e-07 5.223275e-05 -3.489420e-05 -1.036177e-05 9.119295e-06
10227.000000 -2.948560e-05 -1.176159e-06 -9.721359e-08 -8.287989e-07 4.923074e-05 -1.407765e-05 -2.187431e-05 3.976303e-06
10232.000000 -2.946003e-05 -1.178979e-06 -1.009964e-07 -8.301316e-07 6.387687e-05 -1.530266e-06 -2.740200e-05 5.002213e-06
10237.000000 -2.946587e-05 -1.184628e-06 -1.036810e-07 -8.332866e-07 6.704558e-05 -3.375391e-06 -2.654662e-05 6.064406e-06
10242.000000 -2.941131e-05 -1.188688e-06 -1.056349e-07 -8.343100e-07 6.879608e-05 2.314052e-05 -1.425584e-05 3.873605e-06
10247.000000 -2.932025e-05 -1.190175e-06 -1.102156e-07 -8.343566e-07 6.687858e-05 5.254840e-05 -6.058134e-06 1.308241e-05
10252.000000 -2.933995e-05 -1.195886e-06 -1.095517e-07 -8.365159e-07 5.385727e-05 3.492721e-05 3.657038e-07 1.872642e-05
10257.000000 -2.923249e-05 -1.195197e-06 -1.054906e-07 -8.359774e-07 4.100145e-05 2.490520e-05 -1.331222e-05 1.153616e-05
10262.000000 -2.919218e-05 -1.199474e-06 -1.050001e-07 -8.369084e-07 4.309802e-05 6.870568e-05 -1.115614e-05 2.790382e-06
10267.000000 -2.923598e-05 -1.206059e-06 -1.072708e-07 -8.402554e-07 4.130717e-05 3.309697e-05 -1.577448e-05 -8.250326e-07
10272.000000 -2.920795e-05 -1.210233e-06 -1.086782e-07 -8.416337e-07 4.261200e-05 1.614299e-05 -1.608093e-05 2.510979e-06
10277.000000 -2.908867e-05 -1.210612e-06 -1.077911e-07 -8.409064e-07 5.275394e-05 3.472709e-05 -7.433981e-06 5.244457e-06
10282.000000 -2.901699e-05 -1.214073e-06 -1.064667e-07 -8.402940e-07 4.889446e-05 3.363372e-05 -9.378758e-06 1.089647e-05
10287.000000 -2.907734e-05 -1.223817e-06 -1.080988e-07 -8.438775e-07 4.907828e-05 1.461086e-05 -1.819982e-05 4.603068e-07
10292.000000 -2.904200e-05 -1.228965e-06 -1.115113e-07 -8.442457e-07 4.993823e-05 2.052790e-05 -1.151439e-05 6.156764e-06
10297.000000 -2.899168e-05 -1.233230e-06 -1.133762e-07 -8.450626e-07 4.794156e-05 3.925140e-05 -1.634284e-06 1.045381e-05
10302.000000 -2.898081e-05 -1.239371e-06 -1.136939e-07 -8.470900e-07 4.568136e-05 6.297763e-05 -1.076061e-05 4.478069e-06
10307.000000 -2.893627e-05 -1.245612e-06 -1.140466e-07 -8.478169e-07 4.562370e-05 3.295756e-05 -1.522765e-05 5.959792e-06
10312.000000 -2.887960e-05 -1.251404e-06 -1.145030e-07 -8.488398e-07 5.458600e-05 2.435427e-05 -3.208944e-05 -1.095647e-06
10317.000000 -2.887712e-05 -1.258545e-06 -1.142782e-07 -8.509534e-07 5.617528e-05 2.130833e-05 -2.797569e-05 8.980942e-06
10322.000000 -2.883241e-05 -1.261894e-06 -1.134120e-07 -8.525583e-07 4.000804e-05 2.708685e-06 -2.111580e-05 9.084656e-06
10327.000000 -2.878627e-05 -1.266628e-06 -1.127818e-07 -8.545022e-07 4.445974e-05 -2.057639e-07 -2.097391e-05 5.894792e-06
10332.000000 -2.866449e-05 -1.265418e-06 -1.115667e-07 -8.548576e-07 5.051260e-05 -1.662885e-06 -2.861044e-05 5.642864e-06
10337.000000 -2.875961e-05 -1.275749e-06 -1.120999e-07 -8.605382e-07 4.464117e-05 -1.603327e-05 -2.135514e-05 -2.294053e-06
10341.000000 -2.870153e-05 -1.276572e-06 -1.129361e-07 -8.621506e-07 5.574550e-05 -1.041096e-05 -1.835822e-05 -7.053705e-06
10344.000000 -2.862595e-05 -1.270747e-06 -1.135781e-07 -8.630480e-07 6.050445e-05 6.369665e-06 -2.504624e-05 -2.441207e-06
10346.000000 -2.861008e-05 -1.272959e-06 -1.149501e-07 -8.644263e-07 5.512497e-05 -2.557738e-06 -2.451259e-05 6.312335e-06
10347.000000 -2.865512e-05 -1.279320e-06 -1.160257e-07 -8.660502e-07 6.131807e-05 -4.420591e-05 -2.419717e-05 8.810664e-06
10347.200000 -2.866427e-05 -1.281769e-06 -1.162584e-07 -8.665463e-07 6.328084e-05 -4.980792e-05 -2.739770e-05 6.819422e-06
10347.400000 -2.866839e-05 -1.279731e-06 -1.161999e-07 -8.666193e-07 6.029183e-05 -5.375633e-05 -3.556869e-05 6.098297e-06
10347.600000 -2.865015e-05 -1.278827e-06 -1.162782e-07 -8.666674e-07 7.112523e-05 -6.239618e-05 -3.991332e-05 1.706199e-06
