# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.26192261272564
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370874
# Scan.uid: 55544385-9ac8-4858-87dd-f42bd55d5db1
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:45:21.046753
# Scan.end_time: 06/23/2023  01:45:58.031022
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 80.46745632819227
# SampleHeater.temperature2.readback: 79.9
# SampleHeater.voltage.setpoint: 0.3431426131255822
# SampleHeater.voltage.readback: 0.355
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.21
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 4.88157e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.31813e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.12431e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.49137e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.3846e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.508003e-05 -4.245683e-07 -2.808427e-07 -2.891745e-07 4.948297e-05 -1.174304e-04 -6.803344e-05 -1.272431e-06
 8784.000000 -3.519786e-05 -4.256435e-07 -2.817878e-07 -2.905615e-07 5.190420e-05 -1.270330e-04 -6.737805e-05 5.020866e-06
 8789.000000 -3.513102e-05 -4.253304e-07 -2.819138e-07 -2.907703e-07 4.129640e-05 -1.279011e-04 -6.493219e-05 2.952221e-07
 8794.000000 -3.496923e-05 -4.245997e-07 -2.816563e-07 -2.901713e-07 2.616178e-05 -1.140419e-04 -7.130705e-05 -1.244872e-05
 8799.000000 -3.457139e-05 -4.216291e-07 -2.799187e-07 -2.875034e-07 3.244284e-05 -1.017658e-04 -7.154589e-05 -1.516468e-05
 8804.000000 -3.484338e-05 -4.261300e-07 -2.829785e-07 -2.901191e-07 3.922419e-05 -1.094885e-04 -6.082568e-05 -8.767485e-06
 8809.000000 -3.475647e-05 -4.269181e-07 -2.839344e-07 -2.899746e-07 3.068041e-05 -9.165171e-05 -5.731656e-05 -1.017885e-08
 8814.000000 -3.451333e-05 -4.249332e-07 -2.826260e-07 -2.883647e-07 2.827937e-05 -9.767714e-05 -6.312494e-05 -8.236382e-06
 8819.000000 -3.442728e-05 -4.255285e-07 -2.833906e-07 -2.881678e-07 3.383722e-05 -1.068248e-04 -6.572832e-05 -5.750910e-06
 8824.000000 -3.445319e-05 -4.283849e-07 -2.850070e-07 -2.892260e-07 3.250123e-05 -1.204374e-04 -6.526533e-05 -1.439029e-05
 8829.000000 -3.429948e-05 -4.293748e-07 -2.862119e-07 -2.890255e-07 3.263222e-05 -1.128934e-04 -5.903336e-05 -1.676483e-05
 8834.000000 -3.422199e-05 -4.312556e-07 -2.874712e-07 -2.893602e-07 3.680878e-05 -1.162123e-04 -5.431818e-05 -8.828245e-06
 8839.000000 -3.412375e-05 -4.327037e-07 -2.887949e-07 -2.894410e-07 3.988433e-05 -1.005448e-04 -5.660781e-05 -1.262489e-05
 8844.000000 -3.402948e-05 -4.346700e-07 -2.903668e-07 -2.897811e-07 3.550654e-05 -1.265779e-04 -6.255338e-05 -2.063361e-05
 8849.000000 -3.399851e-05 -4.366771e-07 -2.918035e-07 -2.906650e-07 3.533822e-05 -1.289656e-04 -5.960588e-05 -2.217500e-05
 8854.000000 -3.394801e-05 -4.386224e-07 -2.930515e-07 -2.914665e-07 3.326675e-05 -1.137803e-04 -5.834228e-05 -1.489027e-05
 8859.000000 -3.382631e-05 -4.392225e-07 -2.935334e-07 -2.915273e-07 3.394192e-05 -1.136569e-04 -6.171380e-05 -1.658425e-05
 8864.000000 -3.375137e-05 -4.409515e-07 -2.949364e-07 -2.917291e-07 4.036947e-05 -1.149230e-04 -6.587626e-05 -1.264545e-05
 8869.000000 -3.362010e-05 -4.417028e-07 -2.957114e-07 -2.914986e-07 3.814955e-05 -1.177347e-04 -6.431654e-05 -5.094683e-06
 8874.000000 -3.352501e-05 -4.429508e-07 -2.970363e-07 -2.914812e-07 4.069595e-05 -9.030352e-05 -6.382417e-05 2.751518e-05
 8879.000000 -3.335147e-05 -4.434221e-07 -2.973948e-07 -2.907866e-07 3.216957e-05 -1.156491e-04 -7.248503e-05 3.289947e-05
 8884.000000 -3.307754e-05 -4.415855e-07 -2.962718e-07 -2.895292e-07 3.054785e-05 -1.205004e-04 -7.118498e-05 3.803254e-05
 8889.000000 -3.268813e-05 -4.379783e-07 -2.940886e-07 -2.876375e-07 2.275536e-05 -1.088837e-04 -6.556306e-05 3.082296e-05
 8894.000000 -3.297858e-05 -4.447326e-07 -2.986409e-07 -2.906299e-07 2.231335e-05 -1.037725e-04 -6.620459e-05 2.754970e-05
 8899.000000 -3.297216e-05 -4.472897e-07 -3.004242e-07 -2.910467e-07 3.020658e-05 -1.119611e-04 -6.229537e-05 2.702621e-05
 8904.000000 -3.286805e-05 -4.488953e-07 -3.020640e-07 -2.906782e-07 3.229804e-05 -9.348952e-05 -7.323617e-05 3.223399e-05
 8909.000000 -3.269390e-05 -4.491206e-07 -3.022750e-07 -2.895579e-07 3.686438e-05 -8.842633e-05 -7.139833e-05 4.848391e-05
 8914.000000 -3.244923e-05 -4.485109e-07 -3.019260e-07 -2.879739e-07 3.932583e-05 -1.043664e-04 -6.186276e-05 5.073290e-05
 8919.000000 -3.234352e-05 -4.498570e-07 -3.027982e-07 -2.880037e-07 4.214931e-05 -1.108498e-04 -4.707041e-05 3.542533e-05
 8924.000000 -3.199299e-05 -4.474488e-07 -3.012441e-07 -2.860022e-07 3.453825e-05 -1.027650e-04 -4.963428e-05 3.178486e-07
 8929.000000 -3.211224e-05 -4.532116e-07 -3.053397e-07 -2.880686e-07 4.210310e-05 -1.023914e-04 -5.618018e-05 1.699981e-06
 8934.000000 -3.208888e-05 -4.568480e-07 -3.077551e-07 -2.890528e-07 3.730363e-05 -7.420859e-05 -6.787592e-05 -7.782348e-06
 8939.000000 -3.198628e-05 -4.579388e-07 -3.083556e-07 -2.892912e-07 3.219575e-05 -9.798352e-05 -6.378354e-05 -3.133493e-06
 8944.000000 -3.183779e-05 -4.592759e-07 -3.092662e-07 -2.888649e-07 2.338120e-05 -8.610814e-05 -6.526198e-05 -1.055311e-05
 8949.000000 -3.165615e-05 -4.605551e-07 -3.099023e-07 -2.880597e-07 2.053544e-05 -8.309518e-05 -6.655272e-05 -1.811584e-05
 8953.000000 -3.156862e-05 -4.626446e-07 -3.110234e-07 -2.880958e-07 2.931000e-05 -6.232419e-05 -5.879778e-05 -2.332224e-05
 8956.000000 -3.149882e-05 -4.632587e-07 -3.111221e-07 -2.881713e-07 3.240921e-05 -7.829808e-05 -6.308600e-05 -1.321945e-05
 8958.000000 -3.141992e-05 -4.622735e-07 -3.104328e-07 -2.879124e-07 4.075533e-05 -1.071484e-04 -6.355738e-05 -5.506244e-06
 8959.000000 -3.145490e-05 -4.626090e-07 -3.103365e-07 -2.884195e-07 3.642343e-05 -1.063509e-04 -6.809966e-05 -7.333674e-06
 8959.200000 -3.145181e-05 -4.627618e-07 -3.105776e-07 -2.884065e-07 3.147975e-05 -9.778495e-05 -7.440563e-05 -1.318721e-05
 8959.400000 -3.145437e-05 -4.627984e-07 -3.105029e-07 -2.887941e-07 3.625524e-05 -1.055494e-04 -7.967429e-05 -2.010242e-06
