# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.69413898806124
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.002808
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370880
# Scan.uid: bbd93c0a-63be-4b4d-9a06-becee6a7164c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:51:24.016568
# Scan.end_time: 06/23/2023  01:52:00.628106
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 141.65089206492578
# SampleHeater.temperature2.readback: 141.1
# SampleHeater.voltage.setpoint: 0.45633400652980827
# SampleHeater.voltage.readback: 0.446
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.97198e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30824e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.64136e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.71536e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6727e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.14713e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.490411e-05 -4.193109e-07 -2.776309e-07 -2.877901e-07 4.530044e-05 -7.130598e-05 -6.380922e-05 8.690594e-06
 8784.000000 -3.496290e-05 -4.196238e-07 -2.779259e-07 -2.891675e-07 4.933936e-05 -7.103435e-05 -5.745585e-05 2.030519e-05
 8789.000000 -3.495120e-05 -4.202843e-07 -2.785628e-07 -2.898505e-07 5.406320e-05 -8.301490e-05 -5.961415e-05 3.463922e-05
 8794.000000 -3.489624e-05 -4.222643e-07 -2.799396e-07 -2.901508e-07 5.739974e-05 -7.615274e-05 -6.143834e-05 4.114260e-05
 8799.000000 -3.446212e-05 -4.191551e-07 -2.781395e-07 -2.872045e-07 4.839435e-05 -1.112532e-04 -4.619110e-05 3.544056e-05
 8804.000000 -3.475074e-05 -4.245338e-07 -2.821826e-07 -2.900411e-07 4.439153e-05 -1.191375e-04 -3.778703e-05 3.685582e-05
 8809.000000 -3.472528e-05 -4.265477e-07 -2.838299e-07 -2.903242e-07 5.497070e-05 -1.020879e-04 -3.983000e-05 3.044001e-05
 8814.000000 -3.451199e-05 -4.255544e-07 -2.831119e-07 -2.889551e-07 4.943736e-05 -1.154949e-04 -4.089125e-05 3.497081e-05
 8819.000000 -3.457736e-05 -4.288612e-07 -2.855525e-07 -2.899089e-07 4.884796e-05 -1.215107e-04 -4.726062e-05 2.733463e-05
 8824.000000 -3.451799e-05 -4.302550e-07 -2.865355e-07 -2.901538e-07 5.290304e-05 -1.051511e-04 -5.208343e-05 -2.151100e-06
 8829.000000 -3.440919e-05 -4.304802e-07 -2.868921e-07 -2.902817e-07 4.648595e-05 -8.571271e-05 -4.212224e-05 -2.653714e-05
 8834.000000 -3.428997e-05 -4.312466e-07 -2.874496e-07 -2.903486e-07 4.827057e-05 -8.285400e-05 -4.827789e-05 -2.888836e-05
 8839.000000 -3.413653e-05 -4.314102e-07 -2.878936e-07 -2.900361e-07 6.112508e-05 -1.136631e-04 -4.980735e-05 -3.142451e-05
 8844.000000 -3.398347e-05 -4.321070e-07 -2.885170e-07 -2.897541e-07 6.323768e-05 -1.196249e-04 -4.755298e-05 -2.710856e-05
 8849.000000 -3.394794e-05 -4.350530e-07 -2.907267e-07 -2.904874e-07 6.482949e-05 -1.113227e-04 -5.001840e-05 -3.304197e-05
 8854.000000 -3.388460e-05 -4.369258e-07 -2.921596e-07 -2.912008e-07 5.748343e-05 -1.003505e-04 -5.052151e-05 -3.390554e-05
 8859.000000 -3.380133e-05 -4.384917e-07 -2.934217e-07 -2.917515e-07 4.790635e-05 -8.478877e-05 -4.590460e-05 -3.568403e-05
 8864.000000 -3.368029e-05 -4.388346e-07 -2.937033e-07 -2.915491e-07 3.851593e-05 -8.256710e-05 -5.002286e-05 -3.073575e-05
 8869.000000 -3.354429e-05 -4.398648e-07 -2.944278e-07 -2.911191e-07 4.167587e-05 -8.571707e-05 -3.687714e-05 -1.650055e-05
 8874.000000 -3.349720e-05 -4.426087e-07 -2.965685e-07 -2.914996e-07 3.719184e-05 -1.008382e-04 -2.920122e-05 -2.086027e-05
 8879.000000 -3.337445e-05 -4.432459e-07 -2.974324e-07 -2.914021e-07 4.442951e-05 -1.201612e-04 -3.009228e-05 -1.526525e-05
 8884.000000 -3.313890e-05 -4.426836e-07 -2.973417e-07 -2.905853e-07 4.549209e-05 -1.166705e-04 -3.920293e-05 -2.472632e-05
 8889.000000 -3.285412e-05 -4.412425e-07 -2.962970e-07 -2.896490e-07 3.432840e-05 -1.417800e-04 -3.839296e-05 -1.957251e-05
 8894.000000 -3.291693e-05 -4.435768e-07 -2.979121e-07 -2.904081e-07 2.977489e-05 -1.396441e-04 -3.703026e-05 -1.560202e-05
 8899.000000 -3.288068e-05 -4.461739e-07 -2.998429e-07 -2.902551e-07 3.754019e-05 -1.320520e-04 -4.633996e-05 -1.998573e-05
 8904.000000 -3.277069e-05 -4.474030e-07 -3.006571e-07 -2.898984e-07 2.940888e-05 -1.183890e-04 -3.839143e-05 -1.743794e-05
 8909.000000 -3.260871e-05 -4.477331e-07 -3.009418e-07 -2.889649e-07 1.477781e-05 -1.177300e-04 -3.660341e-05 -1.327473e-05
 8914.000000 -3.238128e-05 -4.475674e-07 -3.012939e-07 -2.876665e-07 1.891613e-05 -1.301438e-04 -4.212850e-05 -1.112460e-05
 8919.000000 -3.217423e-05 -4.470984e-07 -3.012247e-07 -2.868752e-07 2.765823e-05 -1.356107e-04 -4.808683e-05 -5.957213e-06
 8924.000000 -3.202264e-05 -4.480417e-07 -3.018371e-07 -2.864672e-07 2.874387e-05 -1.380170e-04 -5.177694e-05 -1.763699e-05
 8929.000000 -3.213068e-05 -4.536798e-07 -3.055243e-07 -2.885913e-07 2.948364e-05 -1.368389e-04 -5.716097e-05 -2.195282e-05
 8934.000000 -3.207268e-05 -4.564838e-07 -3.076273e-07 -2.893008e-07 2.533257e-05 -1.673936e-04 -6.092396e-05 -1.680144e-05
 8939.000000 -3.192272e-05 -4.573222e-07 -3.080123e-07 -2.890283e-07 2.977366e-05 -1.816825e-04 -5.951306e-05 -1.862525e-05
 8944.000000 -3.177408e-05 -4.583311e-07 -3.086731e-07 -2.887158e-07 4.557231e-05 -1.569692e-04 -5.637352e-05 -1.662873e-05
 8949.000000 -3.165782e-05 -4.595311e-07 -3.093405e-07 -2.884328e-07 3.756314e-05 -1.309989e-04 -6.294221e-05 -9.175150e-06
 8953.000000 -3.158305e-05 -4.600550e-07 -3.093987e-07 -2.887093e-07 3.207527e-05 -1.254422e-04 -6.279564e-05 -1.781179e-05
 8956.000000 -3.153864e-05 -4.613513e-07 -3.098302e-07 -2.892008e-07 3.164080e-05 -1.188647e-04 -6.692142e-05 -2.475022e-05
 8958.000000 -3.150147e-05 -4.622090e-07 -3.101182e-07 -2.891074e-07 3.812524e-05 -1.107623e-04 -6.030004e-05 -2.641168e-05
 8959.000000 -3.146493e-05 -4.620611e-07 -3.098133e-07 -2.888192e-07 3.134634e-05 -1.120289e-04 -6.019265e-05 -2.417998e-05
 8959.200000 -3.142785e-05 -4.609032e-07 -3.090794e-07 -2.885053e-07 3.166536e-05 -1.061688e-04 -5.783945e-05 -1.564779e-05
 8959.400000 -3.140014e-05 -4.603151e-07 -3.087193e-07 -2.880536e-07 3.849431e-05 -1.163178e-04 -5.396482e-05 -1.152052e-05
