# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.10181437645565
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000977
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370888
# Scan.uid: eae8177e-e339-4699-a7db-2893e881dd0d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:59:26.073854
# Scan.end_time: 06/23/2023  01:59:58.903903
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 222.9113069191817
# SampleHeater.temperature2.readback: 225.8
# SampleHeater.voltage.setpoint: 0.5182563443298012
# SampleHeater.voltage.readback: 0.541
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.99038e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.31985e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.24576e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.20245e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7329e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 9.63093e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.483047e-05 -4.083771e-07 -2.703874e-07 -2.893933e-07 3.182868e-05 -1.201089e-04 -8.278076e-05 1.361359e-05
 8784.000000 -3.491055e-05 -4.100243e-07 -2.716788e-07 -2.901839e-07 2.416106e-05 -1.249807e-04 -7.881822e-05 1.251732e-05
 8789.000000 -3.486824e-05 -4.109461e-07 -2.724375e-07 -2.906230e-07 2.010075e-05 -1.122105e-04 -7.947937e-05 9.691028e-06
 8794.000000 -3.470815e-05 -4.104618e-07 -2.721850e-07 -2.902447e-07 2.064456e-05 -1.041405e-04 -8.160229e-05 1.479235e-05
 8799.000000 -3.430741e-05 -4.073715e-07 -2.702955e-07 -2.876226e-07 2.368783e-05 -9.489143e-05 -7.903987e-05 1.331544e-05
 8804.000000 -3.461261e-05 -4.128695e-07 -2.742492e-07 -2.904106e-07 2.572425e-05 -8.840207e-05 -8.056199e-05 1.795598e-05
 8809.000000 -3.452534e-05 -4.136455e-07 -2.748914e-07 -2.903340e-07 2.423947e-05 -6.263619e-05 -6.852090e-05 1.437475e-05
 8814.000000 -3.435623e-05 -4.132376e-07 -2.746518e-07 -2.895549e-07 2.529856e-05 -8.230775e-05 -7.511359e-05 1.036005e-05
 8819.000000 -3.437574e-05 -4.157721e-07 -2.767042e-07 -2.902349e-07 1.940098e-05 -8.063191e-05 -7.568356e-05 9.798108e-06
 8824.000000 -3.434009e-05 -4.180463e-07 -2.781363e-07 -2.905106e-07 2.291002e-05 -6.482408e-05 -6.852593e-05 8.014103e-06
 8829.000000 -3.412801e-05 -4.171434e-07 -2.779060e-07 -2.898872e-07 2.395799e-05 -9.936458e-05 -5.283397e-05 2.094152e-05
 8834.000000 -3.398812e-05 -4.174322e-07 -2.783884e-07 -2.896139e-07 1.877627e-05 -1.112046e-04 -6.713240e-05 1.800009e-05
 8839.000000 -3.405236e-05 -4.215341e-07 -2.813457e-07 -2.911168e-07 1.378994e-05 -1.278668e-04 -6.399875e-05 1.549572e-05
 8844.000000 -3.391900e-05 -4.223878e-07 -2.820199e-07 -2.911093e-07 1.964981e-05 -1.303702e-04 -6.326527e-05 6.942099e-06
 8849.000000 -3.383011e-05 -4.237980e-07 -2.832128e-07 -2.915468e-07 2.056324e-05 -1.247908e-04 -6.651961e-05 -1.611750e-06
 8854.000000 -3.366873e-05 -4.234670e-07 -2.828638e-07 -2.915947e-07 1.286358e-05 -1.226833e-04 -6.845605e-05 8.829147e-06
 8859.000000 -3.361840e-05 -4.253219e-07 -2.846635e-07 -2.921403e-07 1.028717e-05 -1.021190e-04 -7.723301e-05 1.993209e-05
 8864.000000 -3.352696e-05 -4.263769e-07 -2.856320e-07 -2.922185e-07 9.790484e-06 -1.071021e-04 -7.419917e-05 1.785401e-05
 8869.000000 -3.342801e-05 -4.274704e-07 -2.864287e-07 -2.920739e-07 7.990020e-06 -1.068495e-04 -7.591347e-05 8.635847e-06
 8874.000000 -3.331745e-05 -4.282963e-07 -2.873604e-07 -2.920720e-07 1.386629e-05 -8.838318e-05 -7.841899e-05 4.581225e-06
 8879.000000 -3.318732e-05 -4.288474e-07 -2.876934e-07 -2.919532e-07 1.035108e-05 -1.007831e-04 -8.138734e-05 7.454390e-06
 8884.000000 -3.295746e-05 -4.282752e-07 -2.873292e-07 -2.909499e-07 1.598439e-05 -9.860171e-05 -7.661601e-05 1.092135e-05
 8889.000000 -3.267768e-05 -4.271627e-07 -2.868362e-07 -2.894500e-07 2.428725e-05 -1.092215e-04 -6.710116e-05 1.953728e-05
 8894.000000 -3.280951e-05 -4.311227e-07 -2.897643e-07 -2.906362e-07 3.982450e-05 -9.566551e-05 -6.752305e-05 1.109496e-05
 8899.000000 -3.278300e-05 -4.339311e-07 -2.917813e-07 -2.909617e-07 2.604028e-05 -1.248722e-04 -8.241291e-05 1.180172e-05
 8904.000000 -3.254849e-05 -4.325428e-07 -2.912020e-07 -2.895533e-07 2.495393e-05 -1.071645e-04 -9.355802e-05 3.928747e-06
 8909.000000 -3.240116e-05 -4.326388e-07 -2.911854e-07 -2.887404e-07 1.833495e-05 -9.167280e-05 -8.820845e-05 1.187785e-05
 8914.000000 -3.220949e-05 -4.332112e-07 -2.916713e-07 -2.876881e-07 2.147035e-05 -1.075006e-04 -7.796489e-05 2.755421e-05
 8919.000000 -3.210220e-05 -4.348150e-07 -2.928264e-07 -2.875407e-07 3.172521e-05 -1.275407e-04 -7.830230e-05 2.753258e-05
 8924.000000 -3.199649e-05 -4.363611e-07 -2.938906e-07 -2.876972e-07 2.765119e-05 -1.338907e-04 -8.933992e-05 2.906528e-05
 8929.000000 -3.203200e-05 -4.402496e-07 -2.966200e-07 -2.891606e-07 2.451907e-05 -1.399525e-04 -8.900492e-05 2.482890e-05
 8934.000000 -3.191918e-05 -4.414752e-07 -2.973789e-07 -2.891308e-07 2.749767e-05 -1.276729e-04 -6.852560e-05 1.865762e-05
 8939.000000 -3.178965e-05 -4.423824e-07 -2.978457e-07 -2.891086e-07 2.951202e-05 -1.469461e-04 -7.073756e-05 2.454832e-05
 8944.000000 -3.167012e-05 -4.434970e-07 -2.985361e-07 -2.890765e-07 3.125151e-05 -1.430903e-04 -7.842424e-05 2.647816e-05
 8949.000000 -3.144156e-05 -4.421723e-07 -2.975856e-07 -2.884290e-07 1.934645e-05 -1.609196e-04 -7.371959e-05 2.350722e-05
 8953.000000 -3.137068e-05 -4.431409e-07 -2.979972e-07 -2.886856e-07 2.490430e-05 -1.735879e-04 -7.099499e-05 1.072282e-05
 8956.000000 -3.137251e-05 -4.451680e-07 -2.990111e-07 -2.894734e-07 3.529282e-05 -1.711849e-04 -6.672637e-05 1.118310e-05
 8958.000000 -3.134217e-05 -4.455393e-07 -2.989387e-07 -2.895964e-07 3.225843e-05 -1.618571e-04 -7.328751e-05 1.608838e-05
 8959.000000 -3.134556e-05 -4.463681e-07 -2.991849e-07 -2.898374e-07 3.307936e-05 -1.677311e-04 -8.329180e-05 1.182812e-05
 8959.200000 -3.134596e-05 -4.465665e-07 -2.993052e-07 -2.901312e-07 2.874417e-05 -1.799166e-04 -8.574468e-05 7.242277e-06
 8959.400000 -3.132531e-05 -4.466337e-07 -2.995110e-07 -2.896875e-07 2.613853e-05 -1.658387e-04 -8.210119e-05 9.167160e-06
