# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 398.90415628491866
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370896
# Scan.uid: 7893c193-3ea0-43cc-bbd1-58f7d81483ff
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:07:22.063065
# Scan.end_time: 06/23/2023  02:07:55.696231
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 303.19850373336857
# SampleHeater.temperature2.readback: 301.5
# SampleHeater.voltage.setpoint: 0.7599424804092245
# SampleHeater.voltage.readback: 0.732
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.99
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.5329e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.36629e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.01403e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.19867e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7501e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.26837e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.487945e-05 -4.010753e-07 -2.654865e-07 -2.908558e-07 5.847865e-05 -1.234016e-04 -7.519164e-05 -2.632224e-05
 8784.000000 -3.494069e-05 -4.022187e-07 -2.664860e-07 -2.919395e-07 5.223457e-05 -1.580032e-04 -7.031230e-05 -1.951668e-05
 8789.000000 -3.490826e-05 -4.033684e-07 -2.673811e-07 -2.923592e-07 5.067425e-05 -1.472118e-04 -6.482377e-05 -1.727058e-05
 8794.000000 -3.476069e-05 -4.033829e-07 -2.673788e-07 -2.919875e-07 4.774133e-05 -1.450817e-04 -6.346077e-05 -1.539047e-05
 8799.000000 -3.441203e-05 -4.016433e-07 -2.665573e-07 -2.900490e-07 4.699551e-05 -1.493521e-04 -5.958187e-05 -6.514655e-06
 8804.000000 -3.470052e-05 -4.067717e-07 -2.701543e-07 -2.930453e-07 4.422912e-05 -1.683751e-04 -6.161273e-05 -1.806634e-05
 8809.000000 -3.462382e-05 -4.080620e-07 -2.713949e-07 -2.927481e-07 4.844315e-05 -1.644240e-04 -6.933901e-05 -1.992557e-05
 8814.000000 -3.441670e-05 -4.073668e-07 -2.709083e-07 -2.913224e-07 3.537951e-05 -1.737254e-04 -6.764482e-05 -1.962934e-05
 8819.000000 -3.444566e-05 -4.098386e-07 -2.724745e-07 -2.919364e-07 2.548503e-05 -1.804377e-04 -6.687093e-05 -2.092476e-05
 8824.000000 -3.441005e-05 -4.115737e-07 -2.739940e-07 -2.925714e-07 3.211820e-05 -1.916754e-04 -7.815137e-05 -1.703073e-05
 8829.000000 -3.430121e-05 -4.116773e-07 -2.741450e-07 -2.927859e-07 3.667305e-05 -1.699113e-04 -7.393574e-05 -2.541380e-05
 8834.000000 -3.410432e-05 -4.100111e-07 -2.733591e-07 -2.920518e-07 3.893737e-05 -1.653060e-04 -6.913649e-05 -2.612307e-05
 8839.000000 -3.395646e-05 -4.101184e-07 -2.738072e-07 -2.919200e-07 3.883471e-05 -1.754202e-04 -6.276538e-05 -2.885566e-05
 8844.000000 -3.391786e-05 -4.128935e-07 -2.757230e-07 -2.926256e-07 4.436727e-05 -1.807156e-04 -6.221592e-05 -2.646835e-05
 8849.000000 -3.386266e-05 -4.154851e-07 -2.774858e-07 -2.933396e-07 4.447417e-05 -1.778480e-04 -8.255237e-05 -3.770919e-05
 8854.000000 -3.377287e-05 -4.167354e-07 -2.786154e-07 -2.939143e-07 4.429594e-05 -1.905734e-04 -8.489482e-05 -3.668633e-05
 8859.000000 -3.366804e-05 -4.174821e-07 -2.789815e-07 -2.943394e-07 3.939962e-05 -1.904024e-04 -8.474903e-05 -2.718308e-05
 8864.000000 -3.353288e-05 -4.176575e-07 -2.795231e-07 -2.940750e-07 4.599146e-05 -2.001133e-04 -7.889572e-05 -2.810340e-05
 8869.000000 -3.342128e-05 -4.185169e-07 -2.803622e-07 -2.938379e-07 4.833421e-05 -1.866354e-04 -8.245248e-05 -2.432371e-05
 8874.000000 -3.334849e-05 -4.205455e-07 -2.818648e-07 -2.937804e-07 3.671815e-05 -1.815666e-04 -8.241337e-05 -2.530517e-05
 8879.000000 -3.313108e-05 -4.190271e-07 -2.811787e-07 -2.926446e-07 3.717325e-05 -1.979600e-04 -8.174236e-05 -2.306078e-05
 8884.000000 -3.296940e-05 -4.205995e-07 -2.823512e-07 -2.925339e-07 3.206874e-05 -2.101279e-04 -8.259758e-05 -1.478754e-05
 8889.000000 -3.277644e-05 -4.217093e-07 -2.830937e-07 -2.921354e-07 3.804645e-05 -1.984995e-04 -8.547793e-05 -2.122972e-05
 8894.000000 -3.285916e-05 -4.242178e-07 -2.851818e-07 -2.930626e-07 4.452127e-05 -1.705668e-04 -7.787499e-05 -1.859210e-05
 8899.000000 -3.277907e-05 -4.261635e-07 -2.864643e-07 -2.931383e-07 3.700195e-05 -1.770520e-04 -7.761440e-05 -2.346742e-05
 8904.000000 -3.264460e-05 -4.268399e-07 -2.870442e-07 -2.924621e-07 2.390366e-05 -1.894780e-04 -7.032154e-05 -2.831193e-05
 8909.000000 -3.248177e-05 -4.274469e-07 -2.877864e-07 -2.914399e-07 2.402784e-05 -1.844594e-04 -6.646704e-05 -9.266204e-06
 8914.000000 -3.228642e-05 -4.284822e-07 -2.884952e-07 -2.902105e-07 3.343691e-05 -1.828454e-04 -6.653943e-05 -8.549970e-06
 8919.000000 -3.219503e-05 -4.300567e-07 -2.896482e-07 -2.902624e-07 3.733270e-05 -2.039666e-04 -6.260030e-05 -2.033242e-05
 8924.000000 -3.200767e-05 -4.295919e-07 -2.893137e-07 -2.895321e-07 4.786004e-05 -2.010983e-04 -5.681790e-05 -1.463789e-05
 8929.000000 -3.185568e-05 -4.283113e-07 -2.885856e-07 -2.894360e-07 3.965836e-05 -1.919200e-04 -6.112576e-05 8.222538e-07
 8934.000000 -3.185437e-05 -4.323235e-07 -2.913006e-07 -2.904181e-07 4.108091e-05 -1.761909e-04 -6.800761e-05 3.784991e-05
 8939.000000 -3.180967e-05 -4.352806e-07 -2.932998e-07 -2.913141e-07 3.841137e-05 -1.751742e-04 -6.567095e-05 3.815703e-05
 8944.000000 -3.169939e-05 -4.364248e-07 -2.938920e-07 -2.915353e-07 3.125917e-05 -2.003417e-04 -6.041982e-05 2.102787e-05
 8949.000000 -3.155380e-05 -4.371206e-07 -2.941056e-07 -2.908305e-07 3.241734e-05 -1.798605e-04 -6.464412e-05 6.621829e-06
 8953.000000 -3.143366e-05 -4.363276e-07 -2.932950e-07 -2.905033e-07 3.330229e-05 -1.847887e-04 -6.762279e-05 -2.776767e-06
 8956.000000 -3.138034e-05 -4.370834e-07 -2.935177e-07 -2.909247e-07 3.717261e-05 -1.884425e-04 -6.505341e-05 9.618842e-07
 8958.000000 -3.137633e-05 -4.380671e-07 -2.938999e-07 -2.913681e-07 3.566598e-05 -1.697218e-04 -6.975794e-05 3.411441e-06
 8959.000000 -3.131480e-05 -4.368987e-07 -2.929216e-07 -2.910422e-07 3.308415e-05 -1.845363e-04 -7.337402e-05 7.663523e-06
 8959.200000 -3.130010e-05 -4.368332e-07 -2.928632e-07 -2.909093e-07 3.657419e-05 -1.818951e-04 -8.022365e-05 6.706777e-08
 8959.400000 -3.132022e-05 -4.378427e-07 -2.933525e-07 -2.910543e-07 2.842317e-05 -1.499765e-04 -8.855772e-05 -7.725780e-06
