# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.63146561767337
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997803
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370898
# Scan.uid: 00ed7587-ddb4-4831-9016-fab9cb287944
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:09:21.074284
# Scan.end_time: 06/23/2023  02:09:57.542737
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 323.2234437879893
# SampleHeater.temperature2.readback: 322.20000000000005
# SampleHeater.voltage.setpoint: 0.8102827686079183
# SampleHeater.voltage.readback: 0.811
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.8681e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32802e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.99192e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 8.66998e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7458e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.79059e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.475371e-05 -3.951199e-07 -2.614916e-07 -2.903710e-07 3.971542e-05 -1.420566e-04 -6.953634e-05 -1.235912e-05
 8784.000000 -3.490043e-05 -3.979870e-07 -2.636640e-07 -2.920802e-07 4.045948e-05 -1.359425e-04 -7.042149e-05 -2.963479e-06
 8789.000000 -3.485555e-05 -3.986050e-07 -2.642237e-07 -2.927723e-07 4.129020e-05 -1.219409e-04 -6.336363e-05 1.407305e-05
 8794.000000 -3.465874e-05 -3.970642e-07 -2.633779e-07 -2.921978e-07 4.050930e-05 -1.296621e-04 -6.106562e-05 1.250551e-05
 8799.000000 -3.410257e-05 -3.907798e-07 -2.593616e-07 -2.885110e-07 4.587174e-05 -1.363816e-04 -7.311647e-05 5.480527e-06
 8804.000000 -3.447865e-05 -3.976128e-07 -2.639496e-07 -2.922245e-07 4.295667e-05 -1.144442e-04 -5.854285e-05 1.256858e-05
 8809.000000 -3.452333e-05 -4.013504e-07 -2.667438e-07 -2.931322e-07 4.342591e-05 -1.044206e-04 -6.203482e-05 3.065207e-06
 8814.000000 -3.436808e-05 -4.021119e-07 -2.674253e-07 -2.921855e-07 3.587747e-05 -1.200846e-04 -6.751632e-05 5.626798e-06
 8819.000000 -3.432490e-05 -4.033015e-07 -2.682647e-07 -2.922078e-07 3.790102e-05 -1.455339e-04 -6.853904e-05 8.836787e-06
 8824.000000 -3.426789e-05 -4.042903e-07 -2.692047e-07 -2.924725e-07 3.670671e-05 -1.333400e-04 -6.886742e-05 1.318351e-05
 8829.000000 -3.415809e-05 -4.046901e-07 -2.695381e-07 -2.926550e-07 3.449791e-05 -9.294509e-05 -7.411814e-05 9.436309e-06
 8834.000000 -3.402133e-05 -4.043489e-07 -2.697013e-07 -2.925824e-07 3.658964e-05 -7.782655e-05 -6.938896e-05 5.632612e-06
 8839.000000 -3.398113e-05 -4.065486e-07 -2.714209e-07 -2.932817e-07 4.464881e-05 -7.951477e-05 -6.541046e-05 2.743618e-06
 8844.000000 -3.384921e-05 -4.074123e-07 -2.721170e-07 -2.930567e-07 4.775455e-05 -8.728891e-05 -6.249861e-05 9.589776e-06
 8849.000000 -3.371169e-05 -4.077945e-07 -2.726115e-07 -2.928223e-07 4.681099e-05 -1.138593e-04 -6.433834e-05 6.735138e-06
 8854.000000 -3.367447e-05 -4.105938e-07 -2.745502e-07 -2.936601e-07 4.432399e-05 -1.151559e-04 -6.074982e-05 9.366191e-07
 8859.000000 -3.354547e-05 -4.113486e-07 -2.754119e-07 -2.936963e-07 3.775816e-05 -1.192796e-04 -6.718760e-05 3.308290e-07
 8864.000000 -3.346423e-05 -4.130929e-07 -2.764840e-07 -2.937152e-07 3.762972e-05 -1.268102e-04 -6.457132e-05 1.742912e-06
 8869.000000 -3.337809e-05 -4.148148e-07 -2.779215e-07 -2.935033e-07 2.846557e-05 -1.297537e-04 -6.127895e-05 -6.892360e-07
 8874.000000 -3.325465e-05 -4.152992e-07 -2.783246e-07 -2.931023e-07 3.075795e-05 -1.082953e-04 -5.633276e-05 -2.700872e-06
 8879.000000 -3.309321e-05 -4.148285e-07 -2.781107e-07 -2.927983e-07 2.781091e-05 -1.228943e-04 -7.040680e-05 -1.592033e-05
 8884.000000 -3.288529e-05 -4.149764e-07 -2.784452e-07 -2.920973e-07 3.403673e-05 -1.299088e-04 -6.709091e-05 -1.182276e-05
 8889.000000 -3.268343e-05 -4.154834e-07 -2.788221e-07 -2.913193e-07 3.332958e-05 -1.431277e-04 -7.903766e-05 -1.766360e-05
 8894.000000 -3.284506e-05 -4.193420e-07 -2.816306e-07 -2.934107e-07 3.002080e-05 -1.398363e-04 -7.030965e-05 -7.408467e-06
 8899.000000 -3.273541e-05 -4.199045e-07 -2.823500e-07 -2.932318e-07 3.636037e-05 -1.759279e-04 -7.109073e-05 -7.916386e-06
 8904.000000 -3.259703e-05 -4.206719e-07 -2.830958e-07 -2.924352e-07 4.061495e-05 -1.986061e-04 -6.923765e-05 -6.233863e-06
 8909.000000 -3.241638e-05 -4.202706e-07 -2.828837e-07 -2.913760e-07 4.065230e-05 -1.869336e-04 -7.049516e-05 -6.964876e-06
 8914.000000 -3.206623e-05 -4.171227e-07 -2.807183e-07 -2.889836e-07 4.449110e-05 -1.713687e-04 -6.842523e-05 -1.030567e-05
 8919.000000 -3.202056e-05 -4.197953e-07 -2.826540e-07 -2.890467e-07 4.597989e-05 -1.810836e-04 -6.926835e-05 -1.196829e-05
 8924.000000 -3.191206e-05 -4.211286e-07 -2.837661e-07 -2.890643e-07 5.580600e-05 -1.719310e-04 -6.494970e-05 -8.242666e-06
 8929.000000 -3.188076e-05 -4.228622e-07 -2.848194e-07 -2.903254e-07 4.117950e-05 -1.543559e-04 -6.367465e-05 -4.220139e-06
 8934.000000 -3.183502e-05 -4.255593e-07 -2.865640e-07 -2.908907e-07 3.907605e-05 -1.536672e-04 -7.038458e-05 -1.450812e-05
 8939.000000 -3.174765e-05 -4.278226e-07 -2.881718e-07 -2.913102e-07 4.986297e-05 -1.395675e-04 -7.043540e-05 -1.372765e-05
 8944.000000 -3.156577e-05 -4.281172e-07 -2.882987e-07 -2.911205e-07 4.809231e-05 -1.377495e-04 -7.071609e-05 -1.137265e-05
 8949.000000 -3.142460e-05 -4.284540e-07 -2.882857e-07 -2.907438e-07 4.826153e-05 -1.481895e-04 -6.554563e-05 2.960723e-06
 8953.000000 -3.137679e-05 -4.296839e-07 -2.889374e-07 -2.908581e-07 4.940664e-05 -1.447657e-04 -7.108163e-05 3.132613e-06
 8956.000000 -3.131487e-05 -4.299804e-07 -2.888541e-07 -2.910394e-07 5.205506e-05 -1.405902e-04 -7.881352e-05 9.229008e-07
 8958.000000 -3.125450e-05 -4.293839e-07 -2.880670e-07 -2.906515e-07 4.931034e-05 -1.447670e-04 -7.118728e-05 -1.151258e-06
 8959.000000 -3.114888e-05 -4.272103e-07 -2.865438e-07 -2.899964e-07 4.714093e-05 -1.505969e-04 -7.236329e-05 -1.952468e-06
 8959.200000 -3.102308e-05 -4.234206e-07 -2.839421e-07 -2.891198e-07 4.768381e-05 -1.437901e-04 -8.191293e-05 4.096269e-06
 8959.400000 -3.102614e-05 -4.242990e-07 -2.845507e-07 -2.892178e-07 4.314573e-05 -1.495055e-04 -7.372923e-05 8.085053e-06
 8959.600000 -3.113538e-05 -4.273831e-07 -2.867948e-07 -2.905033e-07 4.976383e-05 -1.504804e-04 -6.442046e-05 1.481577e-05
 8959.800000 -3.125384e-05 -4.311076e-07 -2.892646e-07 -2.914621e-07 5.339465e-05 -1.648981e-04 -8.002900e-05 2.048190e-05
 8960.000000 -3.129219e-05 -4.325946e-07 -2.900355e-07 -2.921145e-07 5.012970e-05 -1.851324e-04 -9.010481e-05 7.537956e-06
 8960.200000 -3.127012e-05 -4.320852e-07 -2.895318e-07 -2.916588e-07 5.446040e-05 -1.658092e-04 -7.977528e-05 9.025191e-06
 8960.400000 -3.124452e-05 -4.313508e-07 -2.887868e-07 -2.914808e-07 5.540827e-05 -1.666476e-04 -7.732637e-05 1.219491e-05
 8960.600000 -3.119415e-05 -4.302641e-07 -2.877285e-07 -2.910071e-07 4.868971e-05 -1.654870e-04 -7.136262e-05 1.176948e-05
 8960.800000 -3.111955e-05 -4.280497e-07 -2.865568e-07 -2.902747e-07 4.710410e-05 -1.725940e-04 -7.674323e-05 5.509558e-06
 8961.000000 -3.100622e-05 -4.252802e-07 -2.848267e-07 -2.894057e-07 5.250935e-05 -1.809634e-04 -6.778003e-05 9.276118e-06
 8961.200000 -3.101331e-05 -4.255224e-07 -2.850919e-07 -2.896129e-07 4.127872e-05 -1.797881e-04 -7.778250e-05 2.131241e-05
 8961.400000 -3.113709e-05 -4.287638e-07 -2.869799e-07 -2.905958e-07 4.017790e-05 -1.663754e-04 -6.847117e-05 3.051572e-05
 8961.600000 -3.120796e-05 -4.310976e-07 -2.884547e-07 -2.911645e-07 4.170613e-05 -1.621220e-04 -8.848188e-05 1.176702e-05
 8961.800000 -3.120493e-05 -4.319150e-07 -2.888637e-07 -2.912702e-07 2.861781e-05 -1.622534e-04 -9.169733e-05 1.349632e-05
 8962.000000 -3.121058e-05 -4.322463e-07 -2.888690e-07 -2.912596e-07 4.041898e-05 -1.512321e-04 -8.407325e-05 6.892282e-06
 8962.200000 -3.111744e-05 -4.298634e-07 -2.876129e-07 -2.907131e-07 3.994768e-05 -1.719113e-04 -6.648000e-05 1.019826e-05
 8962.400000 -3.108037e-05 -4.282170e-07 -2.865572e-07 -2.904167e-07 2.961398e-05 -1.862520e-04 -7.963299e-05 9.770783e-06
 8962.600000 -3.106968e-05 -4.280711e-07 -2.865236e-07 -2.905878e-07 2.705440e-05 -1.653519e-04 -8.936506e-05 9.357484e-06
 8962.800000 -3.104993e-05 -4.277554e-07 -2.862692e-07 -2.906813e-07 3.678573e-05 -1.615748e-04 -9.556458e-05 3.719991e-06
 8963.000000 -3.105968e-05 -4.278539e-07 -2.862483e-07 -2.906475e-07 3.722247e-05 -1.838791e-04 -9.059983e-05 1.519252e-05
 8963.200000 -3.112295e-05 -4.305011e-07 -2.878427e-07 -2.912890e-07 3.012236e-05 -1.508958e-04 -9.699120e-05 8.805382e-06
 8963.400000 -3.119490e-05 -4.315678e-07 -2.883607e-07 -2.918382e-07 3.416566e-05 -1.504101e-04 -8.723999e-05 3.743936e-06
 8963.600000 -3.116163e-05 -4.313621e-07 -2.883122e-07 -2.916966e-07 3.287202e-05 -1.583050e-04 -9.795391e-05 1.719372e-06
 8963.800000 -3.117976e-05 -4.319418e-07 -2.888471e-07 -2.919874e-07 4.014442e-05 -1.622593e-04 -1.019293e-04 -3.495462e-06
 8964.000000 -3.118015e-05 -4.325835e-07 -2.893089e-07 -2.922219e-07 3.624160e-05 -1.455785e-04 -9.663505e-05 -1.218513e-05
 8964.200000 -3.119136e-05 -4.332825e-07 -2.895542e-07 -2.923314e-07 3.794002e-05 -1.487810e-04 -9.581938e-05 -4.792648e-06
 8964.400000 -3.119836e-05 -4.329741e-07 -2.890938e-07 -2.923547e-07 3.383304e-05 -1.619815e-04 -9.380181e-05 -9.638105e-06
 8964.600000 -3.116432e-05 -4.327417e-07 -2.885579e-07 -2.921532e-07 3.216278e-05 -1.369983e-04 -7.171013e-05 6.916537e-06
 8964.800000 -3.116397e-05 -4.323050e-07 -2.884195e-07 -2.922945e-07 3.280485e-05 -1.424108e-04 -9.025096e-05 -1.267511e-06
 8965.000000 -3.113805e-05 -4.320283e-07 -2.883062e-07 -2.921781e-07 2.790068e-05 -1.407372e-04 -9.488993e-05 -2.271045e-06
 8965.200000 -3.113411e-05 -4.316914e-07 -2.880880e-07 -2.922853e-07 2.704145e-05 -1.487493e-04 -1.038118e-04 -9.939534e-07
 8965.400000 -3.114341e-05 -4.326169e-07 -2.887814e-07 -2.924926e-07 3.698788e-05 -1.611738e-04 -7.693665e-05 -8.280477e-07
 8965.600000 -3.108426e-05 -4.306715e-07 -2.872421e-07 -2.917660e-07 3.576571e-05 -1.614476e-04 -8.351756e-05 -7.932591e-06
 8965.800000 -3.107037e-05 -4.303201e-07 -2.867480e-07 -2.919038e-07 2.663412e-05 -1.582073e-04 -9.071062e-05 -4.883547e-06
 8966.000000 -3.110575e-05 -4.318036e-07 -2.873146e-07 -2.922302e-07 2.761259e-05 -1.423650e-04 -8.731493e-05 7.283066e-07
