# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.22824433863053
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999268
# Detector.I1.voltage: -1649.997314
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370900
# Scan.uid: 5b6d23b0-a7cc-4a92-aaa3-8cac624af548
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:11:24.080983
# Scan.end_time: 06/23/2023  02:11:57.865430
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 343.9915162495879
# SampleHeater.temperature2.readback: 340.70000000000005
# SampleHeater.voltage.setpoint: 0.8760478618386627
# SampleHeater.voltage.readback: 0.834
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.41626e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.3263e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.93971e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 8.03089e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7415e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.53615e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.469145e-05 -3.923135e-07 -2.597766e-07 -2.904668e-07 3.729350e-05 -2.187872e-04 -6.637633e-05 9.168065e-06
 8784.000000 -3.482801e-05 -3.950232e-07 -2.618130e-07 -2.919123e-07 3.539044e-05 -1.959843e-04 -6.325325e-05 4.249685e-06
 8789.000000 -3.483967e-05 -3.971129e-07 -2.630605e-07 -2.929810e-07 3.335366e-05 -1.824177e-04 -6.654518e-05 1.265758e-05
 8794.000000 -3.465773e-05 -3.964478e-07 -2.627667e-07 -2.922092e-07 3.106856e-05 -1.847766e-04 -7.322724e-05 1.280763e-05
 8799.000000 -3.421105e-05 -3.924636e-07 -2.605977e-07 -2.894894e-07 3.044305e-05 -1.901899e-04 -7.047881e-05 1.461257e-05
 8804.000000 -3.458863e-05 -3.995525e-07 -2.652702e-07 -2.930272e-07 2.764942e-05 -2.178905e-04 -7.307093e-05 2.224965e-05
 8809.000000 -3.452600e-05 -4.008361e-07 -2.662739e-07 -2.934021e-07 3.295004e-05 -2.272893e-04 -7.248812e-05 2.517988e-05
 8814.000000 -3.430499e-05 -3.999268e-07 -2.656717e-07 -2.917547e-07 2.660620e-05 -2.173336e-04 -6.873573e-05 2.856681e-05
 8819.000000 -3.426550e-05 -4.012434e-07 -2.670438e-07 -2.914345e-07 3.445906e-05 -1.919484e-04 -6.237829e-05 3.105499e-05
 8824.000000 -3.415568e-05 -4.009407e-07 -2.671009e-07 -2.914706e-07 3.862740e-05 -1.708072e-04 -6.566774e-05 3.812715e-05
 8829.000000 -3.403923e-05 -4.007856e-07 -2.673866e-07 -2.917526e-07 3.400760e-05 -1.803457e-04 -6.935675e-05 6.777836e-05
 8834.000000 -3.396203e-05 -4.022672e-07 -2.682611e-07 -2.921177e-07 3.053553e-05 -2.130750e-04 -6.671382e-05 6.606175e-05
 8839.000000 -3.393004e-05 -4.047789e-07 -2.702702e-07 -2.927632e-07 4.026937e-05 -2.100959e-04 -7.510461e-05 5.924901e-05
 8844.000000 -3.384139e-05 -4.064038e-07 -2.713457e-07 -2.931264e-07 4.629794e-05 -2.191033e-04 -7.220179e-05 6.528553e-05
 8849.000000 -3.369497e-05 -4.066030e-07 -2.716160e-07 -2.926912e-07 3.355348e-05 -2.254798e-04 -7.980291e-05 7.014604e-05
 8854.000000 -3.361498e-05 -4.083216e-07 -2.732386e-07 -2.929979e-07 3.996354e-05 -2.154232e-04 -7.093488e-05 6.822395e-05
 8859.000000 -3.355416e-05 -4.106300e-07 -2.749673e-07 -2.936570e-07 3.871394e-05 -2.099574e-04 -6.893925e-05 6.971508e-05
 8864.000000 -3.349205e-05 -4.127265e-07 -2.764583e-07 -2.940638e-07 4.017774e-05 -2.031505e-04 -7.005154e-05 7.581834e-05
 8869.000000 -3.338284e-05 -4.138839e-07 -2.774881e-07 -2.940596e-07 4.631357e-05 -2.120560e-04 -6.675552e-05 6.720683e-05
 8874.000000 -3.330476e-05 -4.156659e-07 -2.784925e-07 -2.939011e-07 3.798661e-05 -2.160460e-04 -6.607271e-05 6.166638e-05
 8879.000000 -3.317684e-05 -4.162188e-07 -2.791368e-07 -2.936690e-07 2.594210e-05 -2.086267e-04 -6.797818e-05 5.254403e-05
 8884.000000 -3.287641e-05 -4.142753e-07 -2.780727e-07 -2.921823e-07 2.783147e-05 -1.915568e-04 -7.627316e-05 4.489081e-05
 8889.000000 -3.262230e-05 -4.131068e-07 -2.773002e-07 -2.913278e-07 3.534420e-05 -1.949321e-04 -7.245611e-05 5.211996e-05
 8894.000000 -3.276231e-05 -4.166382e-07 -2.799801e-07 -2.926182e-07 3.727001e-05 -1.724733e-04 -6.827611e-05 4.446357e-05
 8899.000000 -3.267173e-05 -4.182380e-07 -2.811399e-07 -2.923436e-07 3.930425e-05 -1.585314e-04 -6.485776e-05 4.556581e-05
 8904.000000 -3.257559e-05 -4.204469e-07 -2.827323e-07 -2.920867e-07 3.893838e-05 -1.828758e-04 -6.354842e-05 3.538098e-05
 8909.000000 -3.244490e-05 -4.210412e-07 -2.831576e-07 -2.915872e-07 3.514865e-05 -1.815703e-04 -6.992118e-05 1.369130e-05
 8914.000000 -3.220285e-05 -4.202043e-07 -2.829432e-07 -2.904629e-07 3.391945e-05 -1.714489e-04 -7.802550e-05 6.940323e-06
 8919.000000 -3.209172e-05 -4.209917e-07 -2.835982e-07 -2.903394e-07 3.354162e-05 -1.717678e-04 -7.839525e-05 1.965398e-06
 8924.000000 -3.195867e-05 -4.221153e-07 -2.843237e-07 -2.903310e-07 4.359729e-05 -1.766883e-04 -7.587405e-05 1.348125e-05
 8929.000000 -3.195185e-05 -4.242501e-07 -2.858252e-07 -2.918840e-07 3.669511e-05 -1.763426e-04 -8.076804e-05 7.861680e-06
 8934.000000 -3.185081e-05 -4.253910e-07 -2.866620e-07 -2.923057e-07 3.479966e-05 -1.911880e-04 -8.444267e-05 -9.302858e-07
 8939.000000 -3.171940e-05 -4.262505e-07 -2.870233e-07 -2.917799e-07 3.510459e-05 -1.893530e-04 -9.368590e-05 -3.595677e-06
 8944.000000 -3.154498e-05 -4.260759e-07 -2.869503e-07 -2.910553e-07 4.352869e-05 -1.896483e-04 -8.256759e-05 -2.895030e-06
 8949.000000 -3.147945e-05 -4.283819e-07 -2.882879e-07 -2.910435e-07 4.560076e-05 -2.012785e-04 -6.949466e-05 2.138598e-06
 8953.000000 -3.137523e-05 -4.284985e-07 -2.881173e-07 -2.906119e-07 3.461965e-05 -2.232296e-04 -7.851372e-05 2.873069e-06
 8956.000000 -3.135273e-05 -4.300695e-07 -2.888401e-07 -2.914565e-07 3.024888e-05 -2.573654e-04 -8.609099e-05 -1.115015e-06
 8958.000000 -3.128921e-05 -4.294561e-07 -2.882284e-07 -2.917053e-07 3.532974e-05 -2.518919e-04 -7.969717e-05 -5.465979e-06
 8959.000000 -3.122943e-05 -4.281545e-07 -2.875143e-07 -2.912979e-07 3.615003e-05 -2.495335e-04 -7.725142e-05 -7.202067e-06
 8959.200000 -3.112607e-05 -4.258050e-07 -2.857078e-07 -2.904369e-07 3.266548e-05 -2.479299e-04 -7.936302e-05 -1.629919e-05
 8959.400000 -3.118564e-05 -4.271034e-07 -2.865613e-07 -2.909718e-07 2.952544e-05 -2.429178e-04 -7.741004e-05 -1.688451e-05
 8959.600000 -3.125400e-05 -4.289138e-07 -2.874398e-07 -2.917854e-07 1.914643e-05 -2.387495e-04 -7.457431e-05 -6.444806e-06
