# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.05672420621585
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004272
# Detector.I1.voltage: -1649.998413
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370904
# Scan.uid: 76f8b23f-b5a8-47c4-ba4e-6184b220010b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:15:20.526327
# Scan.end_time: 06/23/2023  02:15:56.485881
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 383.8898124452969
# SampleHeater.temperature2.readback: 384.3
# SampleHeater.voltage.setpoint: 0.8914176324073804
# SampleHeater.voltage.readback: 0.883
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.53437e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.28588e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.88859e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.39611e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7114e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.28028e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.471145e-05 -3.928763e-07 -2.600136e-07 -2.912429e-07 6.609415e-05 -1.803415e-04 -7.030915e-05 -2.236288e-06
 8784.000000 -3.479196e-05 -3.945819e-07 -2.611206e-07 -2.926387e-07 6.437191e-05 -1.783928e-04 -6.589778e-05 5.233780e-06
 8789.000000 -3.471275e-05 -3.945806e-07 -2.614588e-07 -2.931523e-07 5.389103e-05 -1.747911e-04 -7.097073e-05 -6.018354e-06
 8794.000000 -3.459015e-05 -3.949296e-07 -2.618782e-07 -2.930353e-07 5.082169e-05 -1.608698e-04 -6.822820e-05 -8.279594e-06
 8799.000000 -3.417123e-05 -3.917386e-07 -2.599666e-07 -2.904049e-07 4.669813e-05 -1.424457e-04 -6.390598e-05 -5.148946e-06
 8804.000000 -3.440979e-05 -3.955011e-07 -2.626803e-07 -2.930809e-07 4.785173e-05 -1.356408e-04 -7.283009e-05 -3.994649e-06
 8809.000000 -3.432235e-05 -3.964156e-07 -2.636072e-07 -2.928499e-07 6.043664e-05 -1.591926e-04 -7.809711e-05 -1.395999e-05
 8814.000000 -3.422432e-05 -3.980628e-07 -2.648118e-07 -2.922613e-07 5.464422e-05 -1.612143e-04 -8.291891e-05 -1.384487e-05
 8819.000000 -3.420093e-05 -3.993969e-07 -2.657813e-07 -2.925391e-07 4.715627e-05 -1.577994e-04 -7.297486e-05 -1.151841e-05
 8824.000000 -3.395053e-05 -3.960388e-07 -2.635966e-07 -2.915992e-07 4.728982e-05 -1.704880e-04 -6.903432e-05 -1.110169e-05
 8829.000000 -3.406797e-05 -4.016936e-07 -2.675873e-07 -2.934179e-07 4.016378e-05 -1.823478e-04 -7.467096e-05 -2.636477e-05
 8834.000000 -3.392335e-05 -4.013012e-07 -2.676746e-07 -2.932018e-07 3.728186e-05 -1.761379e-04 -6.842074e-05 -1.760474e-05
 8839.000000 -3.388037e-05 -4.037560e-07 -2.695502e-07 -2.938130e-07 3.797149e-05 -1.404569e-04 -6.905405e-05 -1.521846e-05
 8844.000000 -3.375635e-05 -4.048952e-07 -2.704762e-07 -2.936127e-07 4.410616e-05 -1.421541e-04 -6.853681e-05 -1.701568e-05
 8849.000000 -3.366530e-05 -4.061734e-07 -2.713021e-07 -2.937748e-07 4.221127e-05 -1.341122e-04 -7.177460e-05 -1.656270e-05
 8854.000000 -3.355699e-05 -4.069229e-07 -2.719125e-07 -2.938092e-07 3.906844e-05 -1.227209e-04 -7.827034e-05 -4.270086e-06
 8859.000000 -3.344523e-05 -4.078460e-07 -2.727765e-07 -2.935510e-07 4.509357e-05 -1.186983e-04 -8.375754e-05 -1.189984e-06
 8864.000000 -3.332217e-05 -4.081254e-07 -2.734212e-07 -2.933865e-07 4.330975e-05 -9.401423e-05 -8.351300e-05 -7.611350e-06
 8869.000000 -3.327246e-05 -4.106966e-07 -2.753849e-07 -2.934278e-07 4.473126e-05 -8.404779e-05 -7.559956e-05 -7.482078e-06
 8874.000000 -3.305899e-05 -4.087539e-07 -2.741582e-07 -2.924907e-07 4.301390e-05 -1.139441e-04 -8.474819e-05 -2.093608e-06
 8879.000000 -3.296166e-05 -4.098770e-07 -2.749479e-07 -2.924995e-07 4.124410e-05 -8.981472e-05 -8.658409e-05 5.126393e-06
 8884.000000 -3.274728e-05 -4.094707e-07 -2.746229e-07 -2.919222e-07 2.976020e-05 -9.866633e-05 -8.030436e-05 -6.048695e-06
 8889.000000 -3.240592e-05 -4.061494e-07 -2.729964e-07 -2.902753e-07 3.337479e-05 -1.224448e-04 -8.283858e-05 -9.915622e-06
 8894.000000 -3.267263e-05 -4.129875e-07 -2.775922e-07 -2.927881e-07 3.273327e-05 -1.442006e-04 -8.150631e-05 -8.528193e-06
 8899.000000 -3.263017e-05 -4.153975e-07 -2.795978e-07 -2.929762e-07 3.132834e-05 -1.672527e-04 -9.002859e-05 -2.368644e-05
 8904.000000 -3.252621e-05 -4.168552e-07 -2.803794e-07 -2.925799e-07 1.917921e-05 -1.854293e-04 -8.295957e-05 -1.744683e-05
 8909.000000 -3.227173e-05 -4.141917e-07 -2.785545e-07 -2.908804e-07 2.663776e-05 -1.704887e-04 -7.648230e-05 -1.221956e-05
 8914.000000 -3.192993e-05 -4.111316e-07 -2.764305e-07 -2.886033e-07 2.863081e-05 -1.810666e-04 -8.172774e-05 -3.981993e-07
 8919.000000 -3.198719e-05 -4.161468e-07 -2.802543e-07 -2.898976e-07 2.803596e-05 -1.831856e-04 -8.428437e-05 5.947133e-06
 8924.000000 -3.179358e-05 -4.155640e-07 -2.799093e-07 -2.895144e-07 3.460034e-05 -2.196457e-04 -6.861124e-05 1.246612e-05
 8929.000000 -3.180020e-05 -4.185228e-07 -2.817986e-07 -2.910312e-07 4.067206e-05 -2.266305e-04 -6.865908e-05 1.625017e-05
 8934.000000 -3.168521e-05 -4.195619e-07 -2.826684e-07 -2.909555e-07 4.401529e-05 -2.279678e-04 -6.249237e-05 1.562210e-05
 8939.000000 -3.160088e-05 -4.222113e-07 -2.844978e-07 -2.907064e-07 5.125341e-05 -2.191933e-04 -6.592488e-05 -1.452111e-05
 8944.000000 -3.147180e-05 -4.231548e-07 -2.849799e-07 -2.909907e-07 4.595736e-05 -2.207373e-04 -7.767470e-05 -1.482706e-05
 8949.000000 -3.137008e-05 -4.251037e-07 -2.861148e-07 -2.909914e-07 3.369797e-05 -2.242177e-04 -9.908480e-05 -1.119031e-05
 8953.000000 -3.130180e-05 -4.261793e-07 -2.864837e-07 -2.919612e-07 3.411070e-05 -2.543560e-04 -9.734972e-05 -2.292134e-06
 8956.000000 -3.129564e-05 -4.286816e-07 -2.879210e-07 -2.925286e-07 3.036325e-05 -2.504861e-04 -9.312973e-05 -9.022872e-06
 8958.000000 -3.125331e-05 -4.289478e-07 -2.879661e-07 -2.925469e-07 3.031556e-05 -2.471460e-04 -8.491605e-05 -5.325370e-06
 8959.000000 -3.120222e-05 -4.278736e-07 -2.869364e-07 -2.924010e-07 3.506319e-05 -2.390957e-04 -8.550552e-05 -5.514523e-06
 8959.200000 -3.117699e-05 -4.277098e-07 -2.867068e-07 -2.921248e-07 3.064513e-05 -2.405463e-04 -8.238773e-05 -3.794500e-06
 8959.400000 -3.119309e-05 -4.274966e-07 -2.869211e-07 -2.921657e-07 3.390336e-05 -2.444559e-04 -9.114014e-05 1.021417e-05
