# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6930763910861
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003052
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1649.997437
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370910
# Scan.uid: 2bda1639-8db3-4946-86ed-d4f17c3c2151
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:21:20.549349
# Scan.end_time: 06/23/2023  02:21:54.502742
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 401.5
# SampleHeater.voltage.setpoint: 0.8800339779891856
# SampleHeater.voltage.readback: 0.873
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.370000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.0339e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.29276e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.84525e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.75293e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7028e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.85145e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.494964e-05 -3.908121e-07 -2.585678e-07 -2.936888e-07 6.923436e-05 -2.274914e-04 -5.026014e-05 3.709450e-05
 8784.000000 -3.502119e-05 -3.909919e-07 -2.588189e-07 -2.950813e-07 7.482901e-05 -2.144202e-04 -4.689585e-05 3.647490e-05
 8789.000000 -3.494907e-05 -3.906422e-07 -2.590102e-07 -2.952385e-07 7.717700e-05 -2.130247e-04 -4.482737e-05 3.622214e-05
 8794.000000 -3.482700e-05 -3.910046e-07 -2.592448e-07 -2.949436e-07 8.167214e-05 -1.921472e-04 -4.570959e-05 3.244935e-05
 8799.000000 -3.437263e-05 -3.872383e-07 -2.570025e-07 -2.916103e-07 7.173628e-05 -1.912273e-04 -4.319728e-05 1.969300e-05
 8804.000000 -3.471588e-05 -3.933560e-07 -2.613025e-07 -2.951069e-07 6.466913e-05 -2.102138e-04 -3.811422e-05 1.524817e-05
 8809.000000 -3.467552e-05 -3.954939e-07 -2.627849e-07 -2.949525e-07 7.175671e-05 -1.962008e-04 -4.897983e-05 2.309756e-06
 8814.000000 -3.444629e-05 -3.943325e-07 -2.621789e-07 -2.932270e-07 8.139149e-05 -1.920399e-04 -6.256607e-05 8.893761e-06
 8819.000000 -3.438277e-05 -3.943782e-07 -2.623258e-07 -2.936932e-07 8.227264e-05 -1.950122e-04 -6.438017e-05 2.132361e-05
 8824.000000 -3.432661e-05 -3.954733e-07 -2.633749e-07 -2.944542e-07 7.342499e-05 -1.937201e-04 -6.770655e-05 2.862526e-05
 8829.000000 -3.428443e-05 -3.975953e-07 -2.650470e-07 -2.952410e-07 7.422066e-05 -1.851181e-04 -6.056130e-05 3.087368e-05
 8834.000000 -3.407456e-05 -3.958616e-07 -2.640619e-07 -2.945902e-07 7.592260e-05 -2.094491e-04 -5.449616e-05 2.977584e-05
 8839.000000 -3.397081e-05 -3.971315e-07 -2.652186e-07 -2.946367e-07 8.038790e-05 -2.179381e-04 -5.530822e-05 1.652224e-05
 8844.000000 -3.403416e-05 -4.022807e-07 -2.684536e-07 -2.962406e-07 7.966274e-05 -2.084923e-04 -5.396857e-05 1.739871e-05
 8849.000000 -3.388371e-05 -4.022538e-07 -2.686557e-07 -2.962182e-07 7.990911e-05 -2.120188e-04 -5.166215e-05 2.588180e-05
 8854.000000 -3.381977e-05 -4.038860e-07 -2.701430e-07 -2.967431e-07 6.859561e-05 -1.989278e-04 -5.417328e-05 3.079021e-05
 8859.000000 -3.364081e-05 -4.025326e-07 -2.695438e-07 -2.964522e-07 6.313656e-05 -2.068730e-04 -5.938374e-05 3.243351e-05
 8864.000000 -3.355848e-05 -4.045609e-07 -2.710547e-07 -2.964532e-07 5.762512e-05 -2.091926e-04 -6.344223e-05 3.346079e-05
 8869.000000 -3.328562e-05 -4.019934e-07 -2.694991e-07 -2.949170e-07 5.615053e-05 -2.189602e-04 -7.448529e-05 3.083588e-05
 8874.000000 -3.316138e-05 -4.028901e-07 -2.701354e-07 -2.945795e-07 6.636779e-05 -2.309642e-04 -6.773543e-05 2.679545e-05
 8879.000000 -3.304011e-05 -4.038046e-07 -2.707090e-07 -2.943664e-07 6.868999e-05 -2.384091e-04 -6.289557e-05 3.538058e-05
 8884.000000 -3.292824e-05 -4.066372e-07 -2.730259e-07 -2.941818e-07 6.526332e-05 -2.512493e-04 -6.300104e-05 4.003335e-05
 8889.000000 -3.273701e-05 -4.080872e-07 -2.740526e-07 -2.935850e-07 7.489840e-05 -2.331229e-04 -6.233687e-05 3.996946e-05
 8894.000000 -3.294392e-05 -4.144345e-07 -2.787585e-07 -2.955908e-07 7.246476e-05 -2.266906e-04 -6.554561e-05 4.243556e-05
 8899.000000 -3.283958e-05 -4.159305e-07 -2.797181e-07 -2.953060e-07 6.308628e-05 -2.169112e-04 -6.964966e-05 3.018775e-05
 8904.000000 -3.274888e-05 -4.177325e-07 -2.809052e-07 -2.947524e-07 6.283581e-05 -2.022695e-04 -6.884815e-05 2.173909e-05
 8909.000000 -3.252434e-05 -4.155786e-07 -2.793766e-07 -2.933304e-07 5.748166e-05 -2.370416e-04 -7.712490e-05 2.418646e-05
 8914.000000 -3.229900e-05 -4.152377e-07 -2.792604e-07 -2.921840e-07 6.832216e-05 -2.476056e-04 -7.118658e-05 2.778290e-05
 8919.000000 -3.225354e-05 -4.176205e-07 -2.812571e-07 -2.928328e-07 7.513110e-05 -2.411081e-04 -6.775458e-05 3.328663e-05
 8924.000000 -3.209043e-05 -4.177706e-07 -2.812658e-07 -2.922629e-07 6.838341e-05 -2.416111e-04 -7.098709e-05 1.813106e-05
 8929.000000 -3.210325e-05 -4.206223e-07 -2.831986e-07 -2.938500e-07 7.571899e-05 -2.355599e-04 -6.151744e-05 2.391170e-05
 8934.000000 -3.199291e-05 -4.219870e-07 -2.843356e-07 -2.937458e-07 7.075299e-05 -2.174430e-04 -7.707371e-05 3.541827e-05
 8939.000000 -3.184122e-05 -4.220223e-07 -2.844747e-07 -2.937992e-07 7.162499e-05 -2.090218e-04 -7.840963e-05 3.239173e-05
 8944.000000 -3.175658e-05 -4.244080e-07 -2.859064e-07 -2.942319e-07 7.102227e-05 -2.103929e-04 -7.430792e-05 3.614594e-05
 8949.000000 -3.158833e-05 -4.240869e-07 -2.854785e-07 -2.936895e-07 7.990521e-05 -2.260661e-04 -6.723127e-05 3.791424e-05
 8953.000000 -3.150136e-05 -4.244460e-07 -2.853718e-07 -2.940010e-07 7.604308e-05 -2.252533e-04 -6.954873e-05 3.258847e-05
 8956.000000 -3.143052e-05 -4.246167e-07 -2.852180e-07 -2.938915e-07 6.884592e-05 -2.309486e-04 -7.491999e-05 2.901314e-05
 8958.000000 -3.138174e-05 -4.244321e-07 -2.846238e-07 -2.938970e-07 6.416558e-05 -2.110252e-04 -7.108751e-05 2.623821e-05
 8959.000000 -3.140405e-05 -4.259302e-07 -2.856271e-07 -2.942790e-07 5.526201e-05 -2.004742e-04 -8.039983e-05 2.077451e-05
 8959.200000 -3.140588e-05 -4.260786e-07 -2.857699e-07 -2.943415e-07 5.468804e-05 -2.009312e-04 -7.962813e-05 2.079401e-05
 8959.400000 -3.142323e-05 -4.263795e-07 -2.862358e-07 -2.946838e-07 5.223191e-05 -1.796631e-04 -9.473904e-05 2.117269e-05
 8959.600000 -3.138745e-05 -4.256469e-07 -2.855453e-07 -2.944091e-07 5.158544e-05 -2.126383e-04 -8.638601e-05 3.158491e-05
