# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.82004042697855
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999146
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.002686
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370918
# Scan.uid: dad5c2a7-b50c-4a3c-8d3c-e1b53a27b74a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:29:20.062133
# Scan.end_time: 06/23/2023  02:29:54.091004
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 370.59779039223986
# SampleHeater.temperature2.readback: 373.20000000000005
# SampleHeater.voltage.setpoint: 0.7463465585761261
# SampleHeater.voltage.readback: 0.739
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.96953e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32759e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80534e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.03254e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7329e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.30445e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.481530e-05 -3.946863e-07 -2.612549e-07 -2.906936e-07 5.881140e-05 -3.116952e-04 -6.998602e-05 4.493440e-05
 8784.000000 -3.494790e-05 -3.966381e-07 -2.626599e-07 -2.928771e-07 5.980519e-05 -2.750363e-04 -6.944268e-05 3.582958e-05
 8789.000000 -3.485964e-05 -3.965238e-07 -2.627519e-07 -2.930743e-07 6.913182e-05 -2.819197e-04 -6.362064e-05 3.767257e-05
 8794.000000 -3.476531e-05 -3.976840e-07 -2.639357e-07 -2.929284e-07 7.006525e-05 -2.803527e-04 -6.101258e-05 3.863378e-05
 8799.000000 -3.429014e-05 -3.932383e-07 -2.610532e-07 -2.899133e-07 5.767604e-05 -2.804558e-04 -6.177528e-05 2.736391e-05
 8804.000000 -3.464987e-05 -4.002454e-07 -2.657716e-07 -2.936122e-07 5.695976e-05 -2.619438e-04 -6.716027e-05 3.456886e-05
 8809.000000 -3.458129e-05 -4.015504e-07 -2.667687e-07 -2.936407e-07 6.435381e-05 -2.553364e-04 -7.321103e-05 2.980114e-05
 8814.000000 -3.439768e-05 -4.013798e-07 -2.669390e-07 -2.924632e-07 6.108847e-05 -2.434651e-04 -6.116249e-05 3.101491e-05
 8819.000000 -3.431752e-05 -4.018957e-07 -2.675363e-07 -2.922647e-07 6.183903e-05 -2.616456e-04 -6.386243e-05 2.395244e-05
 8824.000000 -3.419493e-05 -4.020636e-07 -2.676937e-07 -2.919973e-07 6.684204e-05 -2.536851e-04 -6.783802e-05 3.289623e-05
 8829.000000 -3.407967e-05 -4.030602e-07 -2.683081e-07 -2.919951e-07 6.655034e-05 -2.512467e-04 -6.901749e-05 3.706801e-05
 8834.000000 -3.412813e-05 -4.072341e-07 -2.712775e-07 -2.931508e-07 6.702115e-05 -2.723290e-04 -7.025643e-05 3.970298e-05
 8839.000000 -3.405901e-05 -4.089030e-07 -2.729664e-07 -2.934063e-07 6.493895e-05 -2.785251e-04 -7.548067e-05 3.735518e-05
 8844.000000 -3.395445e-05 -4.099756e-07 -2.738934e-07 -2.938492e-07 6.163974e-05 -2.667151e-04 -5.955954e-05 4.181516e-05
 8849.000000 -3.384532e-05 -4.103692e-07 -2.744209e-07 -2.943120e-07 6.115308e-05 -2.715669e-04 -6.618165e-05 3.139698e-05
 8854.000000 -3.378612e-05 -4.123295e-07 -2.759157e-07 -2.948417e-07 5.876765e-05 -2.587570e-04 -5.718973e-05 4.012421e-05
 8859.000000 -3.367669e-05 -4.131434e-07 -2.764768e-07 -2.949961e-07 5.443383e-05 -2.621332e-04 -6.888925e-05 3.622362e-05
 8864.000000 -3.357571e-05 -4.140722e-07 -2.774282e-07 -2.950266e-07 5.671441e-05 -2.637223e-04 -8.389913e-05 2.847998e-05
 8869.000000 -3.347843e-05 -4.158283e-07 -2.786802e-07 -2.947378e-07 6.594411e-05 -2.591797e-04 -9.313549e-05 2.343676e-05
 8874.000000 -3.332120e-05 -4.153894e-07 -2.787131e-07 -2.939922e-07 6.866640e-05 -2.549981e-04 -8.230591e-05 2.385655e-05
 8879.000000 -3.319004e-05 -4.159898e-07 -2.791898e-07 -2.937399e-07 6.692484e-05 -2.761934e-04 -8.605584e-05 2.267751e-05
 8884.000000 -3.300666e-05 -4.164671e-07 -2.794355e-07 -2.931949e-07 6.587127e-05 -2.788575e-04 -8.927994e-05 1.663827e-05
 8889.000000 -3.273245e-05 -4.154930e-07 -2.788970e-07 -2.921016e-07 5.798505e-05 -2.852875e-04 -7.738725e-05 2.122448e-05
 8894.000000 -3.289609e-05 -4.203698e-07 -2.822894e-07 -2.935950e-07 5.629395e-05 -2.617549e-04 -7.728821e-05 2.109033e-05
 8899.000000 -3.278909e-05 -4.213145e-07 -2.833507e-07 -2.933137e-07 5.514629e-05 -2.678405e-04 -7.824413e-05 3.181445e-05
 8904.000000 -3.268342e-05 -4.231570e-07 -2.847037e-07 -2.931167e-07 5.290638e-05 -2.610077e-04 -8.270312e-05 2.430401e-05
 8909.000000 -3.250284e-05 -4.223650e-07 -2.843401e-07 -2.921135e-07 5.513853e-05 -3.190277e-04 -8.516064e-05 2.895178e-05
 8914.000000 -3.220114e-05 -4.202650e-07 -2.827049e-07 -2.901576e-07 5.078358e-05 -3.252685e-04 -8.346093e-05 3.281039e-05
 8919.000000 -3.214954e-05 -4.232052e-07 -2.850006e-07 -2.905020e-07 5.548540e-05 -3.104396e-04 -8.419216e-05 2.728915e-05
 8924.000000 -3.200379e-05 -4.249558e-07 -2.862528e-07 -2.902331e-07 6.551184e-05 -3.253778e-04 -7.453595e-05 1.691371e-05
 8929.000000 -3.196706e-05 -4.269279e-07 -2.876687e-07 -2.911546e-07 7.272176e-05 -3.048201e-04 -6.468659e-05 1.733195e-05
 8934.000000 -3.195685e-05 -4.312023e-07 -2.905057e-07 -2.920617e-07 6.416126e-05 -2.987102e-04 -6.376027e-05 2.552874e-05
 8939.000000 -3.180178e-05 -4.314340e-07 -2.907096e-07 -2.920180e-07 6.050307e-05 -2.692636e-04 -6.224580e-05 2.542993e-05
 8944.000000 -3.159721e-05 -4.306787e-07 -2.900383e-07 -2.907076e-07 7.138481e-05 -2.437118e-04 -5.639598e-05 2.799804e-05
 8949.000000 -3.147323e-05 -4.321316e-07 -2.908741e-07 -2.905773e-07 6.159416e-05 -2.201562e-04 -5.740535e-05 3.042634e-05
 8953.000000 -3.143198e-05 -4.339662e-07 -2.918027e-07 -2.911379e-07 5.779493e-05 -2.273468e-04 -5.464150e-05 4.149169e-05
 8956.000000 -3.138247e-05 -4.350728e-07 -2.921142e-07 -2.911127e-07 5.518231e-05 -2.389354e-04 -5.708188e-05 3.903580e-05
 8958.000000 -3.133844e-05 -4.354936e-07 -2.922569e-07 -2.911889e-07 6.092032e-05 -2.081345e-04 -6.153384e-05 3.471868e-05
 8959.000000 -3.126874e-05 -4.334623e-07 -2.905692e-07 -2.910256e-07 7.044920e-05 -2.170000e-04 -5.200637e-05 4.835397e-05
 8959.200000 -3.124267e-05 -4.329867e-07 -2.901475e-07 -2.908685e-07 7.139742e-05 -2.266643e-04 -5.213319e-05 4.467250e-05
 8959.400000 -3.118086e-05 -4.312267e-07 -2.888787e-07 -2.906296e-07 7.110057e-05 -2.091941e-04 -6.447547e-05 3.961367e-05
 8959.600000 -3.121496e-05 -4.328263e-07 -2.899369e-07 -2.908619e-07 6.271069e-05 -2.001643e-04 -6.300845e-05 4.992966e-05
