# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.79053322797176
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001953
# Detector.I1.voltage: -1649.999756
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370871
# Scan.uid: 558a0e72-b0f2-46e8-a325-51a72f87c9c8
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:42:22.028207
# Scan.end_time: 06/23/2023  01:42:57.668179
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 49.90153820744506
# SampleHeater.temperature2.readback: 48.1
# SampleHeater.voltage.setpoint: 0.30461184035873856
# SampleHeater.voltage.readback: 0.315
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.37742e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30308e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.44445e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 3.16083e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.5609e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.60175e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.975654e-05 -1.064582e-06 -3.109762e-07 -8.122968e-07 5.356397e-05 -3.388879e-05 -1.172186e-05 2.190066e-05
10172.000000 -2.972737e-05 -1.070091e-06 -3.107811e-07 -8.132832e-07 5.113240e-05 -4.537780e-05 -1.270974e-05 2.345955e-05
10177.000000 -2.963669e-05 -1.072414e-06 -3.085363e-07 -8.125462e-07 4.761377e-05 -6.503085e-05 -2.819955e-05 2.358740e-05
10182.000000 -2.954998e-05 -1.074992e-06 -3.039058e-07 -8.123381e-07 4.967163e-05 -6.781630e-05 -2.890542e-05 2.331384e-05
10187.000000 -2.961858e-05 -1.084850e-06 -2.954377e-07 -8.167600e-07 4.834556e-05 -4.504451e-05 -2.459880e-05 9.393760e-06
10192.000000 -2.961647e-05 -1.092250e-06 -2.724180e-07 -8.193388e-07 4.938653e-05 -1.955363e-05 -2.366678e-05 7.239542e-06
10197.000000 -2.961964e-05 -1.098872e-06 -2.023765e-07 -8.213186e-07 3.532113e-05 -6.237816e-05 -3.288941e-05 3.482031e-06
10202.000000 -2.955825e-05 -1.104034e-06 -6.533501e-08 -8.216481e-07 4.373445e-05 -5.415086e-05 -2.009148e-05 9.135497e-06
10207.000000 -2.957875e-05 -1.111994e-06 -2.706591e-08 -8.245406e-07 4.917166e-05 -3.810796e-05 -1.294233e-05 1.246834e-05
10212.000000 -2.960218e-05 -1.121084e-06 -5.604876e-08 -8.274100e-07 4.214544e-05 -3.482099e-05 -4.704505e-06 1.986035e-05
10217.000000 -2.954769e-05 -1.125649e-06 -7.278430e-08 -8.284109e-07 3.727192e-05 -3.970694e-05 -1.875953e-05 1.597355e-05
10222.000000 -2.957162e-05 -1.134354e-06 -8.605278e-08 -8.309769e-07 3.225881e-05 -6.473456e-05 -2.856270e-05 1.148840e-05
10227.000000 -2.955241e-05 -1.141336e-06 -9.507056e-08 -8.326291e-07 2.731817e-05 -6.823118e-05 -1.934123e-05 2.020462e-05
10232.000000 -2.948457e-05 -1.145243e-06 -9.872654e-08 -8.332231e-07 3.052893e-05 -1.080517e-04 -1.856233e-05 2.419535e-05
10237.000000 -2.945888e-05 -1.151262e-06 -1.018259e-07 -8.352854e-07 3.816397e-05 -1.168390e-04 -2.153781e-05 2.435470e-05
10242.000000 -2.946929e-05 -1.159184e-06 -1.041553e-07 -8.373193e-07 4.129975e-05 -1.132829e-04 -1.918960e-05 1.848108e-05
10247.000000 -2.942053e-05 -1.164998e-06 -1.088034e-07 -8.382616e-07 4.240430e-05 -9.158302e-05 -2.646796e-05 2.060182e-05
10252.000000 -2.938355e-05 -1.170260e-06 -1.088049e-07 -8.399192e-07 4.065217e-05 -9.126129e-05 -2.904367e-05 1.426634e-05
10257.000000 -2.936198e-05 -1.175917e-06 -1.050139e-07 -8.411714e-07 3.647127e-05 -1.004844e-04 -3.126745e-05 1.496951e-05
10262.000000 -2.928221e-05 -1.178341e-06 -1.042472e-07 -8.410035e-07 3.254996e-05 -8.523173e-05 -3.126659e-05 4.013252e-05
10267.000000 -2.929066e-05 -1.183324e-06 -1.062618e-07 -8.439511e-07 3.709720e-05 -8.115025e-05 -3.011983e-05 5.655595e-05
10272.000000 -2.921405e-05 -1.185162e-06 -1.075950e-07 -8.444190e-07 3.713198e-05 -7.436263e-05 -2.509141e-05 5.305708e-05
10277.000000 -2.914555e-05 -1.187243e-06 -1.067499e-07 -8.447885e-07 3.556592e-05 -8.956623e-05 -2.029506e-05 4.953120e-05
10282.000000 -2.900796e-05 -1.188412e-06 -1.054553e-07 -8.428681e-07 4.080229e-05 -9.650199e-05 -3.165459e-05 5.334665e-05
10287.000000 -2.911708e-05 -1.200075e-06 -1.071262e-07 -8.472193e-07 4.012877e-05 -9.373116e-05 -3.914993e-05 5.809953e-05
10292.000000 -2.907771e-05 -1.205049e-06 -1.107962e-07 -8.481650e-07 4.117219e-05 -4.852307e-05 -4.098606e-05 5.726225e-05
10297.000000 -2.901013e-05 -1.207942e-06 -1.123302e-07 -8.487465e-07 3.732448e-05 -3.850555e-05 -4.287801e-05 3.845140e-05
10302.000000 -2.904493e-05 -1.216484e-06 -1.124551e-07 -8.516865e-07 3.398558e-05 -4.373141e-05 -3.063079e-05 1.239943e-05
10307.000000 -2.899364e-05 -1.220106e-06 -1.126506e-07 -8.520886e-07 4.030315e-05 -7.503213e-05 -2.722798e-05 1.238548e-05
10312.000000 -2.892747e-05 -1.223442e-06 -1.128880e-07 -8.526132e-07 4.516901e-05 -8.033948e-05 -3.233032e-05 1.075373e-05
10317.000000 -2.891300e-05 -1.230617e-06 -1.130193e-07 -8.546131e-07 4.836878e-05 -5.782169e-05 -3.390213e-05 1.303134e-05
10322.000000 -2.890195e-05 -1.236610e-06 -1.123510e-07 -8.568277e-07 4.431386e-05 -3.932041e-05 -3.010184e-05 1.346339e-05
10327.000000 -2.883970e-05 -1.240690e-06 -1.115221e-07 -8.583944e-07 4.465458e-05 -3.733713e-05 -2.040859e-05 1.409675e-05
10332.000000 -2.871389e-05 -1.238464e-06 -1.102496e-07 -8.582941e-07 5.057595e-05 -5.147879e-05 -2.179111e-05 5.017818e-06
10337.000000 -2.878240e-05 -1.241716e-06 -1.101346e-07 -8.636488e-07 4.481898e-05 -6.094987e-05 -2.763541e-05 -5.105877e-07
10341.000000 -2.873991e-05 -1.243005e-06 -1.109549e-07 -8.656516e-07 6.169916e-05 -7.597234e-05 -3.334005e-05 -4.323512e-06
10344.000000 -2.870852e-05 -1.246156e-06 -1.123712e-07 -8.677258e-07 6.318341e-05 -8.889634e-05 -3.990007e-05 -5.237964e-06
10346.000000 -2.870334e-05 -1.249076e-06 -1.137345e-07 -8.693556e-07 5.892429e-05 -5.811256e-05 -3.947006e-05 1.602680e-06
10347.000000 -2.871700e-05 -1.251359e-06 -1.146882e-07 -8.700879e-07 5.957552e-05 -6.674066e-05 -3.745494e-05 9.465453e-07
10347.200000 -2.871394e-05 -1.251358e-06 -1.147617e-07 -8.698557e-07 6.353429e-05 -7.100737e-05 -4.560932e-05 3.059149e-06
10347.400000 -2.869160e-05 -1.249651e-06 -1.147864e-07 -8.702573e-07 6.625385e-05 -5.478126e-05 -2.604003e-05 1.091723e-05
10347.600000 -2.868857e-05 -1.249998e-06 -1.149066e-07 -8.705458e-07 5.143461e-05 -6.464060e-05 -4.204726e-05 -4.213746e-06
