# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7260002275988
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1649.998779
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370873
# Scan.uid: c6a16c2b-b489-48df-8b2e-0ee45b944ba3
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:44:22.529307
# Scan.end_time: 06/23/2023  01:44:56.628622
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 70.25912365335603
# SampleHeater.temperature2.readback: 70.9
# SampleHeater.voltage.setpoint: 0.428113854584185
# SampleHeater.voltage.readback: 0.28500000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.16
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.54316e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.31856e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.25155e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.65484e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6211e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.44974e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.000959e-05 -1.125683e-06 -3.291406e-07 -8.177706e-07 3.086573e-05 -8.418660e-05 -5.891384e-05 3.081387e-06
10172.000000 -2.986133e-05 -1.117107e-06 -3.249374e-07 -8.157530e-07 3.064795e-05 -6.551988e-05 -5.888550e-05 5.997572e-06
10177.000000 -2.981760e-05 -1.115830e-06 -3.211337e-07 -8.158720e-07 2.610103e-05 -7.599325e-05 -4.952520e-05 -2.812747e-06
10182.000000 -2.966465e-05 -1.110535e-06 -3.140440e-07 -8.147164e-07 1.931273e-05 -8.488160e-05 -4.351645e-05 1.742316e-06
10187.000000 -2.974023e-05 -1.118145e-06 -3.043321e-07 -8.191214e-07 1.884401e-05 -1.041216e-04 -5.516548e-05 1.750142e-05
10192.000000 -2.974704e-05 -1.120289e-06 -2.790453e-07 -8.217690e-07 2.588145e-05 -9.794259e-05 -5.177427e-05 4.250336e-05
10197.000000 -2.977794e-05 -1.128323e-06 -2.072116e-07 -8.246256e-07 2.465641e-05 -8.721714e-05 -4.214867e-05 5.333154e-05
10202.000000 -2.978754e-05 -1.135027e-06 -6.704402e-08 -8.269898e-07 2.752500e-05 -1.198162e-04 -4.528301e-05 5.936462e-05
10207.000000 -2.973372e-05 -1.136663e-06 -2.738980e-08 -8.279167e-07 3.581384e-05 -1.394659e-04 -5.474597e-05 5.215074e-05
10212.000000 -2.976362e-05 -1.143576e-06 -5.691747e-08 -8.305663e-07 4.480758e-05 -1.215418e-04 -5.511255e-05 4.863123e-05
10217.000000 -2.973567e-05 -1.148216e-06 -7.396010e-08 -8.321847e-07 4.145864e-05 -1.067707e-04 -3.883266e-05 5.076854e-05
10222.000000 -2.969249e-05 -1.151025e-06 -8.710222e-08 -8.330390e-07 3.764471e-05 -1.408787e-04 -3.879977e-05 5.390455e-05
10227.000000 -2.964695e-05 -1.154807e-06 -9.592131e-08 -8.339782e-07 3.825162e-05 -1.488063e-04 -5.280173e-05 4.456246e-05
10232.000000 -2.956132e-05 -1.154860e-06 -9.951205e-08 -8.341225e-07 3.994015e-05 -1.614246e-04 -5.672076e-05 7.582147e-06
10237.000000 -2.957547e-05 -1.159630e-06 -1.023078e-07 -8.369722e-07 4.220400e-05 -1.606531e-04 -6.678225e-05 -4.549739e-06
10242.000000 -2.952805e-05 -1.161848e-06 -1.039310e-07 -8.380867e-07 4.733729e-05 -1.600778e-04 -5.826400e-05 -2.434823e-06
10247.000000 -2.943837e-05 -1.163019e-06 -1.084786e-07 -8.382857e-07 4.942967e-05 -1.473198e-04 -5.637128e-05 -6.371861e-06
10252.000000 -2.944557e-05 -1.169415e-06 -1.083882e-07 -8.409881e-07 4.802580e-05 -1.518704e-04 -4.114057e-05 -1.111072e-06
10257.000000 -2.938783e-05 -1.172017e-06 -1.040349e-07 -8.420171e-07 4.654967e-05 -1.609721e-04 -4.437449e-05 -1.035666e-05
10262.000000 -2.930605e-05 -1.174426e-06 -1.034983e-07 -8.415508e-07 4.384793e-05 -1.816027e-04 -4.045982e-05 -8.523903e-06
10267.000000 -2.935088e-05 -1.183118e-06 -1.061421e-07 -8.450424e-07 3.665755e-05 -1.836128e-04 -5.096029e-05 -1.531346e-05
10272.000000 -2.933544e-05 -1.190089e-06 -1.076512e-07 -8.467495e-07 5.092394e-05 -1.888103e-04 -5.006220e-05 -1.050102e-05
10277.000000 -2.924604e-05 -1.193781e-06 -1.071686e-07 -8.465530e-07 5.914650e-05 -1.748932e-04 -5.167192e-05 -1.642894e-05
10282.000000 -2.912339e-05 -1.195410e-06 -1.059414e-07 -8.444626e-07 4.928054e-05 -1.632947e-04 -4.481914e-05 -1.237397e-05
10287.000000 -2.916881e-05 -1.204058e-06 -1.075943e-07 -8.478439e-07 5.052264e-05 -1.522549e-04 -4.045570e-05 -9.643905e-06
10292.000000 -2.914971e-05 -1.208708e-06 -1.107454e-07 -8.490934e-07 4.556681e-05 -1.437211e-04 -4.931206e-05 -1.055978e-05
10297.000000 -2.911944e-05 -1.213329e-06 -1.126050e-07 -8.502214e-07 4.444432e-05 -1.484252e-04 -5.724474e-05 -1.103884e-05
10302.000000 -2.911401e-05 -1.218623e-06 -1.126428e-07 -8.521842e-07 3.125981e-05 -1.577484e-04 -5.804520e-05 -1.049349e-05
10307.000000 -2.905090e-05 -1.222025e-06 -1.125002e-07 -8.528539e-07 2.554098e-05 -1.597338e-04 -5.205829e-05 -1.335006e-05
10312.000000 -2.901131e-05 -1.227376e-06 -1.133473e-07 -8.537150e-07 1.646914e-05 -1.582731e-04 -5.160444e-05 -1.211015e-05
10317.000000 -2.896877e-05 -1.232126e-06 -1.129188e-07 -8.555218e-07 2.885342e-05 -1.574845e-04 -5.295543e-05 -9.414380e-06
10322.000000 -2.894845e-05 -1.237841e-06 -1.123302e-07 -8.578821e-07 4.057792e-05 -1.373606e-04 -4.689158e-05 -7.058983e-06
10327.000000 -2.886304e-05 -1.240586e-06 -1.113508e-07 -8.590785e-07 4.013746e-05 -1.345571e-04 -4.858475e-05 3.101304e-05
10332.000000 -2.876565e-05 -1.241705e-06 -1.103493e-07 -8.594508e-07 3.155459e-05 -1.296671e-04 -4.177383e-05 3.040255e-05
10337.000000 -2.885083e-05 -1.250230e-06 -1.108291e-07 -8.649039e-07 3.412137e-05 -1.446975e-04 -4.710994e-05 -1.480534e-06
10341.000000 -2.882618e-05 -1.252140e-06 -1.116886e-07 -8.671693e-07 3.296326e-05 -1.505191e-04 -5.197885e-05 1.768256e-06
10344.000000 -2.877173e-05 -1.251492e-06 -1.127778e-07 -8.686326e-07 2.283039e-05 -1.331600e-04 -4.934400e-05 -4.019366e-06
10346.000000 -2.875003e-05 -1.253242e-06 -1.142460e-07 -8.701008e-07 1.979172e-05 -1.374889e-04 -5.237459e-05 -7.871687e-06
10347.000000 -2.876912e-05 -1.256119e-06 -1.150666e-07 -8.712011e-07 2.695862e-05 -1.585747e-04 -6.502533e-05 -9.746038e-06
10347.200000 -2.877933e-05 -1.255316e-06 -1.150748e-07 -8.715533e-07 3.000953e-05 -1.477892e-04 -6.513735e-05 -1.337890e-05
10347.400000 -2.877421e-05 -1.255958e-06 -1.152259e-07 -8.715620e-07 3.877035e-05 -1.701163e-04 -6.629126e-05 -5.227820e-06
10347.600000 -2.877639e-05 -1.255915e-06 -1.156006e-07 -8.722386e-07 2.820622e-05 -1.496878e-04 -7.354270e-05 -3.205584e-06
