# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4152028384437
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370877
# Scan.uid: fdde2fed-8dee-434b-9736-40936ec21ef0
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:48:24.067702
# Scan.end_time: 06/23/2023  01:48:58.692473
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 110.97112487441785
# SampleHeater.temperature2.readback: 112.9
# SampleHeater.voltage.setpoint: 0.3416611670056613
# SampleHeater.voltage.readback: 0.34900000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 1.9978841543197632
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 4.06424e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.35554e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.84117e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.0515e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7028e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.25022e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.998409e-05 -1.123766e-06 -3.283211e-07 -8.160653e-07 6.085557e-05 -1.720179e-05 -7.333705e-05 5.226465e-05
10172.000000 -2.988215e-05 -1.121905e-06 -3.259316e-07 -8.146728e-07 6.502592e-05 -2.185365e-05 -6.397712e-05 5.253014e-05
10177.000000 -2.977469e-05 -1.117343e-06 -3.216843e-07 -8.133485e-07 7.133747e-05 -3.981496e-05 -5.979887e-05 4.958000e-05
10182.000000 -2.973531e-05 -1.118176e-06 -3.159112e-07 -8.144884e-07 6.426613e-05 -6.126093e-05 -6.761742e-05 3.002752e-05
10187.000000 -2.967330e-05 -1.118176e-06 -3.045853e-07 -8.159488e-07 6.528854e-05 -9.935438e-05 -5.946526e-05 2.495543e-05
10192.000000 -2.976071e-05 -1.125148e-06 -2.804219e-07 -8.201847e-07 6.189457e-05 -1.145104e-04 -5.465360e-05 3.726089e-05
10197.000000 -2.971682e-05 -1.125842e-06 -2.076433e-07 -8.215144e-07 5.375432e-05 -1.267323e-04 -4.568594e-05 4.325542e-05
10202.000000 -2.967215e-05 -1.128546e-06 -6.698856e-08 -8.227084e-07 5.446913e-05 -1.384252e-04 -4.881796e-05 3.537473e-05
10207.000000 -2.968365e-05 -1.134329e-06 -2.738114e-08 -8.253764e-07 5.292945e-05 -1.513039e-04 -5.549122e-05 2.317043e-05
10212.000000 -2.965024e-05 -1.137701e-06 -5.711309e-08 -8.271606e-07 6.012611e-05 -1.449674e-04 -4.761734e-05 2.905620e-05
10217.000000 -2.961980e-05 -1.141205e-06 -7.379116e-08 -8.289425e-07 6.376279e-05 -1.413002e-04 -5.151010e-05 2.419636e-05
10222.000000 -2.961746e-05 -1.147477e-06 -8.685033e-08 -8.306391e-07 6.081365e-05 -1.383184e-04 -4.674377e-05 2.519957e-05
10227.000000 -2.952090e-05 -1.148350e-06 -9.547091e-08 -8.301300e-07 6.144308e-05 -1.340642e-04 -5.879954e-05 2.651780e-05
10232.000000 -2.948451e-05 -1.151909e-06 -9.899588e-08 -8.308339e-07 6.149121e-05 -1.276840e-04 -5.233843e-05 2.456667e-05
10237.000000 -2.951286e-05 -1.158311e-06 -1.021660e-07 -8.336764e-07 5.688225e-05 -1.174838e-04 -4.332550e-05 2.461179e-05
10242.000000 -2.946114e-05 -1.160591e-06 -1.042819e-07 -8.349693e-07 6.093089e-05 -1.309612e-04 -4.588601e-05 2.563695e-05
10247.000000 -2.939450e-05 -1.162801e-06 -1.087308e-07 -8.356217e-07 5.963914e-05 -1.171511e-04 -5.814679e-05 2.444070e-05
10252.000000 -2.938553e-05 -1.167985e-06 -1.081350e-07 -8.380228e-07 5.425624e-05 -1.242384e-04 -6.253082e-05 2.080672e-05
10257.000000 -2.935086e-05 -1.172057e-06 -1.040364e-07 -8.393910e-07 6.332105e-05 -1.115641e-04 -5.195049e-05 2.146385e-05
10262.000000 -2.922157e-05 -1.170859e-06 -1.032135e-07 -8.375140e-07 6.159991e-05 -1.113227e-04 -4.691623e-05 2.719854e-05
10267.000000 -2.926760e-05 -1.179064e-06 -1.057964e-07 -8.403670e-07 6.122134e-05 -9.262087e-05 -4.326485e-05 3.758038e-05
10272.000000 -2.925554e-05 -1.183453e-06 -1.069583e-07 -8.421923e-07 6.481921e-05 -8.706918e-05 -4.723407e-05 2.885452e-05
10277.000000 -2.918691e-05 -1.184751e-06 -1.061953e-07 -8.419758e-07 7.016207e-05 -9.589045e-05 -3.746290e-05 3.845736e-05
10282.000000 -2.894755e-05 -1.176438e-06 -1.039468e-07 -8.377093e-07 7.110265e-05 -7.671124e-05 -4.135975e-05 3.683628e-05
10287.000000 -2.901203e-05 -1.185327e-06 -1.052739e-07 -8.418887e-07 7.080338e-05 -7.949530e-05 -4.532948e-05 4.042114e-05
10292.000000 -2.902882e-05 -1.193889e-06 -1.091746e-07 -8.436282e-07 6.975053e-05 -9.610689e-05 -3.905391e-05 3.804982e-05
10297.000000 -2.902698e-05 -1.201262e-06 -1.112608e-07 -8.450620e-07 7.335188e-05 -8.793336e-05 -4.319928e-05 4.364674e-05
10302.000000 -2.896812e-05 -1.204235e-06 -1.113015e-07 -8.459055e-07 7.772724e-05 -7.595603e-05 -4.068010e-05 4.346670e-05
10307.000000 -2.894454e-05 -1.211259e-06 -1.117914e-07 -8.474555e-07 7.429929e-05 -8.036962e-05 -4.338394e-05 4.744669e-05
10312.000000 -2.890644e-05 -1.215720e-06 -1.120354e-07 -8.489760e-07 6.240902e-05 -7.618824e-05 -5.806656e-05 4.674051e-05
10317.000000 -2.891775e-05 -1.224730e-06 -1.119344e-07 -8.520694e-07 5.813796e-05 -9.153694e-05 -5.860752e-05 5.636365e-05
10322.000000 -2.886187e-05 -1.228060e-06 -1.115447e-07 -8.539157e-07 6.651200e-05 -8.624932e-05 -5.203469e-05 5.677518e-05
10327.000000 -2.884259e-05 -1.235537e-06 -1.109538e-07 -8.565808e-07 7.006619e-05 -8.045157e-05 -5.220576e-05 5.104436e-05
10332.000000 -2.874208e-05 -1.238083e-06 -1.100190e-07 -8.574146e-07 6.881406e-05 -7.678461e-05 -5.590544e-05 5.379374e-05
10337.000000 -2.882236e-05 -1.245287e-06 -1.103730e-07 -8.629113e-07 7.105544e-05 -5.283785e-05 -5.734732e-05 5.919937e-05
10341.000000 -2.875191e-05 -1.245008e-06 -1.109927e-07 -8.642090e-07 6.617643e-05 -4.925415e-05 -6.791480e-05 6.067263e-05
10344.000000 -2.874865e-05 -1.248906e-06 -1.124613e-07 -8.667130e-07 6.386559e-05 -1.981267e-05 -6.132651e-05 5.535600e-05
10346.000000 -2.870687e-05 -1.248096e-06 -1.135223e-07 -8.676124e-07 6.896889e-05 -1.859380e-06 -5.899485e-05 5.152905e-05
10347.000000 -2.873882e-05 -1.253199e-06 -1.145656e-07 -8.692935e-07 7.168290e-05 -3.253339e-05 -5.688639e-05 4.759988e-05
10347.200000 -2.873508e-05 -1.252980e-06 -1.145835e-07 -8.694831e-07 7.279920e-05 -4.084523e-05 -5.372960e-05 4.956996e-05
10347.400000 -2.872878e-05 -1.253026e-06 -1.147041e-07 -8.696076e-07 7.641538e-05 -3.139379e-05 -5.834071e-05 4.583710e-05
10347.600000 -2.872803e-05 -1.254055e-06 -1.151144e-07 -8.699564e-07 6.870696e-05 -4.230193e-05 -7.005070e-05 4.049653e-05
