# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2425919718436
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00354
# Detector.I1.voltage: -1650.00354
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370891
# Scan.uid: bfd8889b-4496-4317-9189-2ebe73c7adce
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:02:28.059431
# Scan.end_time: 06/23/2023  02:03:00.558797
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 253.23629030611062
# SampleHeater.temperature2.readback: 250.3
# SampleHeater.voltage.setpoint: 0.750166043377672
# SampleHeater.voltage.readback: 0.775
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.15
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.74272e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.33275e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.18307e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.06189e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7157e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 9.12371e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.000267e-05 -1.091616e-06 -3.188440e-07 -8.220384e-07 6.809152e-05 -6.278617e-05 -7.773611e-05 -8.919163e-06
10172.000000 -2.989623e-05 -1.088467e-06 -3.161531e-07 -8.215674e-07 6.761653e-05 -6.901624e-05 -8.522628e-05 -6.927942e-06
10177.000000 -2.976589e-05 -1.082918e-06 -3.114562e-07 -8.202408e-07 6.871775e-05 -7.394385e-05 -9.183721e-05 6.115455e-07
10182.000000 -2.966068e-05 -1.079526e-06 -3.049805e-07 -8.194852e-07 7.162016e-05 -5.790653e-05 -8.456544e-05 9.248507e-06
10187.000000 -2.969249e-05 -1.085220e-06 -2.954130e-07 -8.226946e-07 5.955708e-05 -7.766268e-05 -8.322635e-05 5.450613e-06
10192.000000 -2.975911e-05 -1.090851e-06 -2.714169e-07 -8.266185e-07 5.735547e-05 -7.107832e-05 -8.360973e-05 -2.160713e-06
10197.000000 -2.979459e-05 -1.097114e-06 -2.017827e-07 -8.294575e-07 6.349001e-05 -7.372110e-05 -7.807284e-05 -5.219178e-06
10202.000000 -2.973567e-05 -1.098921e-06 -6.488463e-08 -8.300973e-07 5.935550e-05 -9.001634e-05 -7.246247e-05 -6.288759e-06
10207.000000 -2.974737e-05 -1.105463e-06 -2.623180e-08 -8.327455e-07 4.133042e-05 -1.161708e-04 -7.808816e-05 -2.619815e-06
10212.000000 -2.970402e-05 -1.108597e-06 -5.505417e-08 -8.339213e-07 3.929398e-05 -1.510580e-04 -6.988438e-05 1.392939e-05
10217.000000 -2.963496e-05 -1.108405e-06 -7.096408e-08 -8.339043e-07 5.353592e-05 -1.395339e-04 -7.485409e-05 4.830879e-05
10222.000000 -2.964319e-05 -1.115523e-06 -8.417050e-08 -8.356145e-07 6.104919e-05 -1.287267e-04 -7.186789e-05 4.471026e-05
10227.000000 -2.959195e-05 -1.119042e-06 -9.279559e-08 -8.359982e-07 5.975353e-05 -1.289963e-04 -7.721161e-05 4.357208e-05
10232.000000 -2.948162e-05 -1.118618e-06 -9.622177e-08 -8.354263e-07 5.070613e-05 -1.203397e-04 -8.478065e-05 4.249200e-05
10237.000000 -2.950373e-05 -1.126467e-06 -9.917806e-08 -8.382591e-07 4.117575e-05 -1.140338e-04 -9.586881e-05 4.129551e-05
10242.000000 -2.950421e-05 -1.134210e-06 -1.011046e-07 -8.405732e-07 4.251448e-05 -1.202709e-04 -8.595472e-05 4.827332e-05
10247.000000 -2.944599e-05 -1.138393e-06 -1.056502e-07 -8.411998e-07 4.321919e-05 -1.126946e-04 -7.989419e-05 5.396676e-05
10252.000000 -2.943218e-05 -1.143686e-06 -1.055674e-07 -8.427992e-07 4.756911e-05 -1.049716e-04 -7.514831e-05 6.220282e-05
10257.000000 -2.937314e-05 -1.147461e-06 -1.015797e-07 -8.434404e-07 5.444636e-05 -9.412656e-05 -7.373424e-05 5.285460e-05
10262.000000 -2.929725e-05 -1.148961e-06 -1.009567e-07 -8.429830e-07 5.439302e-05 -7.908884e-05 -7.394986e-05 4.624473e-05
10267.000000 -2.933619e-05 -1.155404e-06 -1.032546e-07 -8.464187e-07 4.943023e-05 -7.690554e-05 -7.891342e-05 2.193118e-05
10272.000000 -2.929616e-05 -1.157462e-06 -1.040446e-07 -8.477560e-07 5.710276e-05 -8.151601e-05 -6.725069e-05 1.334527e-05
10277.000000 -2.922868e-05 -1.159013e-06 -1.036146e-07 -8.481656e-07 7.160130e-05 -1.060439e-04 -5.494481e-05 1.498010e-05
10282.000000 -2.907266e-05 -1.158180e-06 -1.018714e-07 -8.460497e-07 6.254255e-05 -1.370900e-04 -6.853104e-05 8.894873e-06
10287.000000 -2.903976e-05 -1.158405e-06 -1.028811e-07 -8.478329e-07 5.069177e-05 -1.235797e-04 -6.646477e-05 9.992896e-06
10292.000000 -2.895002e-05 -1.156932e-06 -1.057392e-07 -8.474176e-07 6.083583e-05 -1.453798e-04 -7.404797e-05 1.198948e-08
10297.000000 -2.902671e-05 -1.173001e-06 -1.083835e-07 -8.509293e-07 6.177858e-05 -1.392541e-04 -7.828660e-05 2.595140e-06
10302.000000 -2.903460e-05 -1.178901e-06 -1.085377e-07 -8.534694e-07 5.125557e-05 -1.325585e-04 -7.834012e-05 5.746800e-07
10307.000000 -2.897862e-05 -1.180681e-06 -1.083444e-07 -8.546258e-07 4.832920e-05 -1.173639e-04 -7.325574e-05 -2.232987e-06
10312.000000 -2.896565e-05 -1.187552e-06 -1.089691e-07 -8.565196e-07 4.391466e-05 -1.041131e-04 -7.679219e-05 6.806350e-06
10317.000000 -2.891974e-05 -1.190652e-06 -1.086597e-07 -8.582571e-07 5.290070e-05 -8.540333e-05 -7.753735e-05 -3.502611e-06
10322.000000 -2.885189e-05 -1.191505e-06 -1.076087e-07 -8.600519e-07 4.374143e-05 -1.056532e-04 -6.832880e-05 3.908565e-07
10327.000000 -2.879056e-05 -1.194800e-06 -1.066879e-07 -8.609657e-07 4.829550e-05 -1.219214e-04 -6.482369e-05 9.572594e-06
10332.000000 -2.871246e-05 -1.199433e-06 -1.060326e-07 -8.616733e-07 5.405282e-05 -8.633103e-05 -5.816564e-05 7.357718e-06
10337.000000 -2.881082e-05 -1.209966e-06 -1.068586e-07 -8.668820e-07 5.546003e-05 -9.642094e-05 -5.600677e-05 7.554795e-06
10341.000000 -2.878902e-05 -1.215673e-06 -1.078638e-07 -8.697640e-07 6.219059e-05 -1.141772e-04 -6.712038e-05 1.391997e-05
10344.000000 -2.871996e-05 -1.212019e-06 -1.086758e-07 -8.709194e-07 6.250676e-05 -1.014729e-04 -6.353846e-05 3.852858e-05
10346.000000 -2.870629e-05 -1.214377e-06 -1.100817e-07 -8.720502e-07 5.549374e-05 -6.582445e-05 -5.968966e-05 8.760714e-06
10347.000000 -2.869872e-05 -1.217048e-06 -1.110495e-07 -8.725963e-07 6.693271e-05 -7.143213e-05 -4.588046e-05 6.314138e-06
10347.200000 -2.866594e-05 -1.213765e-06 -1.109863e-07 -8.723876e-07 7.478331e-05 -8.162992e-05 -4.974275e-05 -7.282065e-06
10347.400000 -2.865326e-05 -1.214972e-06 -1.113417e-07 -8.724565e-07 6.677920e-05 -7.441718e-05 -6.605613e-05 -2.783313e-06
10347.600000 -2.869071e-05 -1.217093e-06 -1.114422e-07 -8.733653e-07 6.379464e-05 -7.579631e-05 -6.914290e-05 3.170982e-06
