# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2039791095952
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998047
# Detector.I1.voltage: -1649.999878
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370893
# Scan.uid: c87b314e-6c0a-4e0c-8c30-30d876256e98
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:04:27.533243
# Scan.end_time: 06/23/2023  02:05:01.144922
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 273.38888876919276
# SampleHeater.temperature2.readback: 272.5
# SampleHeater.voltage.setpoint: 0.6796005844600668
# SampleHeater.voltage.readback: 0.668
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.91674e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.3091e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.14041e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.98342e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7157e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.58368e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.000743e-05 -1.083973e-06 -3.167168e-07 -8.238832e-07 6.038162e-05 -2.390118e-04 -7.145345e-05 1.222668e-05
10172.000000 -2.991995e-05 -1.082582e-06 -3.145948e-07 -8.235832e-07 6.146943e-05 -2.691127e-04 -7.124115e-05 7.913733e-06
10177.000000 -2.982816e-05 -1.079306e-06 -3.103573e-07 -8.230491e-07 5.813562e-05 -2.417958e-04 -7.765675e-05 5.033369e-05
10182.000000 -2.976792e-05 -1.078430e-06 -3.044479e-07 -8.233547e-07 4.770506e-05 -2.156915e-04 -7.569647e-05 6.530703e-05
10187.000000 -2.975121e-05 -1.078659e-06 -2.937300e-07 -8.255270e-07 3.978840e-05 -2.032685e-04 -7.590012e-05 6.634650e-05
10192.000000 -2.980509e-05 -1.084161e-06 -2.700611e-07 -8.286876e-07 4.595231e-05 -2.063891e-04 -7.455042e-05 5.910425e-05
10197.000000 -2.980708e-05 -1.087577e-06 -2.002227e-07 -8.310064e-07 5.219598e-05 -2.209210e-04 -7.399354e-05 5.605399e-05
10202.000000 -2.976026e-05 -1.089325e-06 -6.482913e-08 -8.322773e-07 5.061801e-05 -2.182251e-04 -7.523484e-05 4.378307e-05
10207.000000 -2.974227e-05 -1.095485e-06 -2.605132e-08 -8.336151e-07 4.895643e-05 -1.937291e-04 -7.602103e-05 4.683241e-06
10212.000000 -2.971438e-05 -1.100000e-06 -5.456988e-08 -8.345358e-07 5.042120e-05 -1.921379e-04 -7.081689e-05 -5.127190e-06
10217.000000 -2.966394e-05 -1.102793e-06 -7.097201e-08 -8.349696e-07 4.620707e-05 -1.990003e-04 -6.857621e-05 2.777935e-05
10222.000000 -2.960402e-05 -1.104472e-06 -8.335524e-08 -8.361499e-07 4.251985e-05 -1.925170e-04 -7.042614e-05 3.737491e-05
10227.000000 -2.950553e-05 -1.101396e-06 -9.155644e-08 -8.365171e-07 3.910817e-05 -1.899615e-04 -7.624164e-05 5.233226e-05
10232.000000 -2.949457e-05 -1.107261e-06 -9.514255e-08 -8.383583e-07 4.177351e-05 -2.016974e-04 -7.354506e-05 4.248938e-05
10237.000000 -2.947175e-05 -1.110233e-06 -9.747583e-08 -8.398814e-07 4.105935e-05 -2.292251e-04 -7.587434e-05 3.628085e-05
10242.000000 -2.942314e-05 -1.113201e-06 -9.962127e-08 -8.408395e-07 4.377100e-05 -2.104395e-04 -7.888525e-05 2.503050e-05
10247.000000 -2.940536e-05 -1.121450e-06 -1.042179e-07 -8.421700e-07 4.713230e-05 -2.158196e-04 -7.332586e-05 3.508408e-05
10252.000000 -2.939102e-05 -1.126732e-06 -1.040050e-07 -8.441598e-07 4.334633e-05 -2.058342e-04 -7.432287e-05 2.939739e-05
10257.000000 -2.932302e-05 -1.126820e-06 -9.987639e-08 -8.442411e-07 5.827855e-05 -1.718743e-04 -7.132201e-05 2.703365e-05
10262.000000 -2.921983e-05 -1.125940e-06 -9.875690e-08 -8.429167e-07 5.497329e-05 -1.642971e-04 -6.947524e-05 2.782566e-05
10267.000000 -2.931751e-05 -1.137248e-06 -1.014398e-07 -8.476849e-07 5.728799e-05 -1.877582e-04 -6.978734e-05 2.611551e-05
10272.000000 -2.929237e-05 -1.140409e-06 -1.025166e-07 -8.498651e-07 5.551570e-05 -1.837701e-04 -6.844173e-05 2.716342e-05
10277.000000 -2.921917e-05 -1.142646e-06 -1.021961e-07 -8.499088e-07 6.037151e-05 -1.621502e-04 -6.959227e-05 3.138438e-05
10282.000000 -2.904919e-05 -1.140451e-06 -1.008041e-07 -8.476738e-07 6.209770e-05 -1.666197e-04 -7.788176e-05 2.511942e-05
10287.000000 -2.904594e-05 -1.144135e-06 -1.017744e-07 -8.500501e-07 5.807822e-05 -1.809508e-04 -7.984357e-05 3.547718e-05
10292.000000 -2.906637e-05 -1.154573e-06 -1.054320e-07 -8.523200e-07 5.348979e-05 -1.802642e-04 -8.434995e-05 4.191666e-05
10297.000000 -2.901529e-05 -1.158143e-06 -1.071276e-07 -8.532421e-07 4.899977e-05 -1.819394e-04 -7.426803e-05 4.873164e-05
10302.000000 -2.899471e-05 -1.161751e-06 -1.072239e-07 -8.556337e-07 4.675190e-05 -2.080637e-04 -6.677274e-05 5.057148e-05
10307.000000 -2.898860e-05 -1.168961e-06 -1.075086e-07 -8.574371e-07 4.222333e-05 -1.841335e-04 -6.484510e-05 5.045519e-05
10312.000000 -2.893831e-05 -1.172077e-06 -1.077601e-07 -8.585123e-07 3.426935e-05 -1.767614e-04 -5.601412e-05 4.235169e-05
10317.000000 -2.891233e-05 -1.177532e-06 -1.073372e-07 -8.601934e-07 3.276348e-05 -2.042499e-04 -6.580075e-05 3.382372e-05
10322.000000 -2.886226e-05 -1.178846e-06 -1.064743e-07 -8.616483e-07 3.034386e-05 -1.991994e-04 -7.000652e-05 3.873885e-05
10327.000000 -2.879036e-05 -1.179415e-06 -1.054384e-07 -8.623875e-07 4.265148e-05 -1.870485e-04 -6.435474e-05 2.940015e-06
10332.000000 -2.870240e-05 -1.185074e-06 -1.050161e-07 -8.630654e-07 5.067140e-05 -1.997966e-04 -6.383310e-05 2.224118e-05
10337.000000 -2.879850e-05 -1.195284e-06 -1.057276e-07 -8.682508e-07 5.101736e-05 -1.858253e-04 -6.474975e-05 1.722273e-05
10341.000000 -2.874162e-05 -1.194091e-06 -1.061160e-07 -8.704907e-07 4.844844e-05 -1.979510e-04 -7.840578e-05 4.832986e-05
10344.000000 -2.873814e-05 -1.199132e-06 -1.076705e-07 -8.733079e-07 5.089524e-05 -1.946799e-04 -6.906705e-05 4.553458e-05
10346.000000 -2.872306e-05 -1.202961e-06 -1.091587e-07 -8.744427e-07 4.532590e-05 -2.041711e-04 -6.582884e-05 3.594871e-05
10347.000000 -2.864123e-05 -1.193881e-06 -1.088915e-07 -8.739218e-07 4.049287e-05 -2.203517e-04 -6.807000e-05 3.267777e-05
10347.200000 -2.860700e-05 -1.190052e-06 -1.088529e-07 -8.736990e-07 4.172581e-05 -2.226031e-04 -6.566376e-05 3.338918e-05
10347.400000 -2.865504e-05 -1.195053e-06 -1.094720e-07 -8.749336e-07 3.955788e-05 -2.216872e-04 -6.155230e-05 4.265230e-05
10347.600000 -2.869802e-05 -1.203366e-06 -1.103887e-07 -8.759177e-07 4.819146e-05 -2.436968e-04 -6.020901e-05 3.931471e-05
10347.800000 -2.870174e-05 -1.202045e-06 -1.102870e-07 -8.762963e-07 5.750792e-05 -2.119559e-04 -6.230898e-05 3.330064e-05
10348.000000 -2.873129e-05 -1.207227e-06 -1.107795e-07 -8.764407e-07 5.641976e-05 -1.977047e-04 -6.309139e-05 4.651078e-05
10348.200000 -2.873050e-05 -1.206679e-06 -1.110083e-07 -8.770620e-07 4.570290e-05 -1.881300e-04 -6.374220e-05 5.289191e-05
10348.400000 -2.869607e-05 -1.202468e-06 -1.109437e-07 -8.767666e-07 4.878788e-05 -1.973688e-04 -7.039147e-05 4.871191e-05
10348.600000 -2.869229e-05 -1.203003e-06 -1.111826e-07 -8.769224e-07 5.717363e-05 -1.871784e-04 -7.179364e-05 4.870895e-05
10348.800000 -2.870473e-05 -1.205748e-06 -1.115284e-07 -8.775049e-07 5.608034e-05 -1.968870e-04 -7.579632e-05 3.602432e-05
10349.000000 -2.872396e-05 -1.207284e-06 -1.113465e-07 -8.771691e-07 6.809124e-05 -2.057511e-04 -7.507337e-05 3.498639e-05
10349.200000 -2.870972e-05 -1.206329e-06 -1.114811e-07 -8.773061e-07 6.093838e-05 -2.071415e-04 -7.448539e-05 3.608461e-05
10349.400000 -2.870437e-05 -1.206528e-06 -1.116074e-07 -8.775024e-07 5.476264e-05 -2.077642e-04 -6.345311e-05 4.372290e-05
10349.600000 -2.868767e-05 -1.204285e-06 -1.115460e-07 -8.772575e-07 5.044910e-05 -2.331719e-04 -6.559656e-05 5.191387e-05
10349.800000 -2.866612e-05 -1.201836e-06 -1.116230e-07 -8.778753e-07 4.616401e-05 -2.094720e-04 -7.234352e-05 4.238040e-05
10350.000000 -2.868787e-05 -1.204852e-06 -1.118520e-07 -8.780630e-07 4.685786e-05 -2.239974e-04 -6.654795e-05 3.739497e-05
10350.200000 -2.869884e-05 -1.204940e-06 -1.120347e-07 -8.785931e-07 5.713134e-05 -2.210363e-04 -6.661579e-05 3.819308e-05
10350.400000 -2.869480e-05 -1.206347e-06 -1.122092e-07 -8.787448e-07 4.909670e-05 -1.919727e-04 -7.225230e-05 3.682912e-05
10350.600000 -2.868883e-05 -1.203666e-06 -1.120716e-07 -8.787631e-07 4.954753e-05 -1.774850e-04 -7.285474e-05 4.478596e-05
10350.800000 -2.869547e-05 -1.206004e-06 -1.121623e-07 -8.791548e-07 5.101715e-05 -1.741078e-04 -6.258706e-05 4.727846e-05
10351.000000 -2.869844e-05 -1.205142e-06 -1.120319e-07 -8.793437e-07 4.304715e-05 -1.786446e-04 -6.713944e-05 4.194866e-05
10351.200000 -2.868681e-05 -1.204105e-06 -1.120543e-07 -8.794258e-07 3.897078e-05 -1.934358e-04 -8.197792e-05 3.264547e-05
10351.400000 -2.867390e-05 -1.202686e-06 -1.119656e-07 -8.799440e-07 3.350973e-05 -1.845382e-04 -7.427795e-05 2.824801e-05
10351.600000 -2.865934e-05 -1.202644e-06 -1.120961e-07 -8.799864e-07 3.244699e-05 -1.750719e-04 -7.928952e-05 3.339114e-05
10351.800000 -2.865789e-05 -1.201650e-06 -1.122530e-07 -8.806187e-07 3.824537e-05 -1.738150e-04 -7.024894e-05 4.142314e-05
10352.000000 -2.866963e-05 -1.201414e-06 -1.124622e-07 -8.808366e-07 5.343244e-05 -1.690571e-04 -6.539955e-05 4.395945e-05
10352.200000 -2.868746e-05 -1.206872e-06 -1.128975e-07 -8.814539e-07 4.617057e-05 -1.582978e-04 -6.549665e-05 3.628498e-05
10352.400000 -2.867506e-05 -1.204372e-06 -1.125173e-07 -8.820163e-07 3.852031e-05 -1.774792e-04 -6.324413e-05 3.238858e-05
10352.600000 -2.864361e-05 -1.200704e-06 -1.123610e-07 -8.817961e-07 3.222279e-05 -1.542767e-04 -6.030738e-05 3.668479e-05
10352.800000 -2.867673e-05 -1.203151e-06 -1.126773e-07 -8.825909e-07 4.281476e-05 -1.673923e-04 -5.216225e-05 2.932213e-05
10353.000000 -2.866396e-05 -1.203155e-06 -1.129083e-07 -8.825984e-07 4.466952e-05 -1.795779e-04 -5.940670e-05 3.413417e-05
10353.200000 -2.866758e-05 -1.205486e-06 -1.133369e-07 -8.827298e-07 4.823143e-05 -1.801247e-04 -5.438604e-05 4.358909e-05
10353.400000 -2.865896e-05 -1.201401e-06 -1.130098e-07 -8.829253e-07 5.115334e-05 -1.878586e-04 -6.178833e-05 4.242950e-05
10353.600000 -2.865670e-05 -1.205081e-06 -1.135624e-07 -8.834705e-07 4.955444e-05 -1.504893e-04 -6.311067e-05 4.606785e-05
10353.800000 -2.866019e-05 -1.205306e-06 -1.135062e-07 -8.839061e-07 4.592466e-05 -1.394758e-04 -6.284358e-05 4.357063e-05
10354.000000 -2.865453e-05 -1.203583e-06 -1.133686e-07 -8.840094e-07 4.930364e-05 -1.486395e-04 -6.772358e-05 3.921841e-05
10354.200000 -2.863665e-05 -1.202695e-06 -1.131517e-07 -8.844469e-07 5.053204e-05 -1.522927e-04 -6.677312e-05 5.011505e-05
10354.400000 -2.863333e-05 -1.202723e-06 -1.131034e-07 -8.845389e-07 4.476954e-05 -1.350465e-04 -6.557588e-05 5.252384e-05
10354.600000 -2.864525e-05 -1.205688e-06 -1.134167e-07 -8.845874e-07 4.197857e-05 -1.441714e-04 -6.803214e-05 4.739574e-05
10354.800000 -2.862952e-05 -1.202606e-06 -1.131991e-07 -8.852586e-07 3.472599e-05 -1.295716e-04 -7.929310e-05 4.167162e-05
10355.000000 -2.859884e-05 -1.204574e-06 -1.135921e-07 -8.850010e-07 3.481295e-05 -1.512947e-04 -7.534802e-05 4.382576e-05
10355.200000 -2.861260e-05 -1.202930e-06 -1.135691e-07 -8.854417e-07 3.837398e-05 -1.967397e-04 -6.591615e-05 5.109118e-05
10355.400000 -2.860397e-05 -1.200727e-06 -1.133674e-07 -8.855286e-07 3.509091e-05 -1.796113e-04 -6.308466e-05 4.981842e-05
