# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.34483725811344
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001221
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370895
# Scan.uid: ac97257e-0fc3-44fc-853b-73b8841d4e99
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:06:24.523703
# Scan.end_time: 06/23/2023  02:06:57.773066
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 293.1541381579047
# SampleHeater.temperature2.readback: 290.5
# SampleHeater.voltage.setpoint: 0.7756460175914335
# SampleHeater.voltage.readback: 0.743
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.56004e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30609e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.01684e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.39625e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7157e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.07058e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.992640e-05 -1.068725e-06 -3.121588e-07 -8.238477e-07 7.279569e-05 -1.516438e-04 -7.821469e-05 -1.885600e-05
10172.000000 -2.984917e-05 -1.068796e-06 -3.106699e-07 -8.238828e-07 7.370883e-05 -1.582640e-04 -8.139782e-05 -5.983828e-06
10177.000000 -2.977279e-05 -1.068062e-06 -3.073241e-07 -8.238076e-07 6.440907e-05 -1.770042e-04 -8.212789e-05 -6.441056e-06
10182.000000 -2.968467e-05 -1.066473e-06 -3.016337e-07 -8.241487e-07 7.035001e-05 -1.683961e-04 -7.646401e-05 -1.111598e-05
10187.000000 -2.970210e-05 -1.070890e-06 -2.917827e-07 -8.271557e-07 6.582831e-05 -1.845055e-04 -7.078136e-05 -1.625992e-05
10192.000000 -2.978072e-05 -1.079614e-06 -2.689395e-07 -8.311459e-07 7.391867e-05 -2.013798e-04 -6.717248e-05 -1.662854e-05
10197.000000 -2.977905e-05 -1.083891e-06 -1.996379e-07 -8.330491e-07 6.551039e-05 -2.037959e-04 -8.072480e-05 -1.796544e-05
10202.000000 -2.973359e-05 -1.085551e-06 -6.489117e-08 -8.338425e-07 6.959836e-05 -1.967251e-04 -7.950985e-05 -1.461966e-05
10207.000000 -2.968173e-05 -1.086183e-06 -2.560078e-08 -8.347275e-07 6.898251e-05 -2.164438e-04 -7.718417e-05 -1.775617e-05
10212.000000 -2.956482e-05 -1.081178e-06 -5.366167e-08 -8.335713e-07 7.331997e-05 -2.212670e-04 -6.889921e-05 -2.672693e-05
10217.000000 -2.956196e-05 -1.088335e-06 -6.997684e-08 -8.353571e-07 7.714083e-05 -2.290042e-04 -6.807503e-05 -2.780877e-05
10222.000000 -2.961158e-05 -1.099087e-06 -8.270137e-08 -8.383240e-07 7.424999e-05 -2.261598e-04 -6.359282e-05 -2.497022e-05
10227.000000 -2.956705e-05 -1.103519e-06 -9.147408e-08 -8.390265e-07 6.912355e-05 -2.429022e-04 -6.613898e-05 -2.367667e-05
10232.000000 -2.945293e-05 -1.101794e-06 -9.454108e-08 -8.381090e-07 6.324171e-05 -2.359335e-04 -6.222831e-05 -1.785313e-05
10237.000000 -2.945861e-05 -1.106859e-06 -9.732362e-08 -8.405298e-07 7.158417e-05 -2.300266e-04 -5.964756e-05 -1.995435e-05
10242.000000 -2.946726e-05 -1.114809e-06 -9.982414e-08 -8.425864e-07 7.568975e-05 -2.229785e-04 -7.207520e-05 -2.842666e-05
10247.000000 -2.940707e-05 -1.118019e-06 -1.041261e-07 -8.429609e-07 6.859139e-05 -2.510671e-04 -8.889176e-05 -2.322772e-05
10252.000000 -2.937007e-05 -1.120954e-06 -1.037581e-07 -8.447711e-07 6.312210e-05 -2.276438e-04 -7.920125e-05 -1.887821e-05
10257.000000 -2.927882e-05 -1.120127e-06 -9.954362e-08 -8.450116e-07 5.269797e-05 -2.041952e-04 -6.158784e-05 -2.568323e-05
10262.000000 -2.911831e-05 -1.115190e-06 -9.843283e-08 -8.429432e-07 5.457706e-05 -1.941420e-04 -6.252998e-05 -2.425382e-05
10267.000000 -2.923913e-05 -1.128493e-06 -1.012682e-07 -8.483403e-07 6.228186e-05 -1.881043e-04 -6.146805e-05 -1.645085e-05
10272.000000 -2.921134e-05 -1.131675e-06 -1.021787e-07 -8.500330e-07 7.035318e-05 -1.960560e-04 -5.944443e-05 -1.726617e-05
10277.000000 -2.915365e-05 -1.134809e-06 -1.019778e-07 -8.503462e-07 7.496952e-05 -1.856595e-04 -6.032994e-05 -6.002338e-06
10282.000000 -2.903248e-05 -1.136948e-06 -1.004560e-07 -8.484383e-07 7.237703e-05 -1.978223e-04 -6.171495e-05 -1.233109e-05
10287.000000 -2.905537e-05 -1.143007e-06 -1.015778e-07 -8.514987e-07 6.547810e-05 -2.108453e-04 -5.689241e-05 -1.436769e-05
10292.000000 -2.902594e-05 -1.148641e-06 -1.047165e-07 -8.530435e-07 6.426492e-05 -2.171053e-04 -5.429271e-05 -8.949868e-06
10297.000000 -2.901073e-05 -1.154264e-06 -1.066012e-07 -8.542222e-07 6.504514e-05 -2.141561e-04 -4.988545e-05 -1.134045e-05
10302.000000 -2.897320e-05 -1.156293e-06 -1.066199e-07 -8.559662e-07 7.052380e-05 -2.016053e-04 -5.773366e-05 -1.208702e-05
10307.000000 -2.895152e-05 -1.161951e-06 -1.068834e-07 -8.571954e-07 6.876372e-05 -2.073357e-04 -6.483781e-05 -1.683704e-05
10312.000000 -2.892501e-05 -1.166756e-06 -1.071524e-07 -8.587485e-07 6.420394e-05 -2.352653e-04 -5.563152e-05 -1.332640e-05
10317.000000 -2.886472e-05 -1.168776e-06 -1.064673e-07 -8.602071e-07 5.855712e-05 -2.268311e-04 -6.083409e-05 -1.552254e-05
10322.000000 -2.885001e-05 -1.175973e-06 -1.062088e-07 -8.622889e-07 5.977269e-05 -2.449518e-04 -6.186592e-05 -1.615684e-05
10327.000000 -2.878660e-05 -1.179090e-06 -1.056201e-07 -8.639728e-07 7.398963e-05 -2.470812e-04 -6.218600e-05 -1.250648e-05
10332.000000 -2.866782e-05 -1.180841e-06 -1.048423e-07 -8.645176e-07 7.077506e-05 -2.018074e-04 -6.816632e-05 1.369325e-05
10337.000000 -2.876931e-05 -1.189469e-06 -1.052203e-07 -8.698757e-07 6.011427e-05 -1.863521e-04 -7.312732e-05 1.926370e-05
10341.000000 -2.872809e-05 -1.189130e-06 -1.057490e-07 -8.724026e-07 6.075491e-05 -1.925439e-04 -7.531781e-05 1.097013e-05
10344.000000 -2.866710e-05 -1.187244e-06 -1.066315e-07 -8.735711e-07 5.513314e-05 -2.165557e-04 -8.245356e-05 4.728672e-06
10346.000000 -2.866851e-05 -1.191300e-06 -1.082481e-07 -8.752222e-07 5.294890e-05 -2.330719e-04 -7.677109e-05 4.257510e-06
10347.000000 -2.866077e-05 -1.192870e-06 -1.089403e-07 -8.760226e-07 4.970190e-05 -2.335715e-04 -7.498842e-05 5.719865e-06
10347.200000 -2.863517e-05 -1.189942e-06 -1.087030e-07 -8.760129e-07 4.636728e-05 -2.397659e-04 -7.789405e-05 8.608483e-06
10347.400000 -2.865259e-05 -1.191897e-06 -1.090864e-07 -8.762813e-07 4.349801e-05 -2.444580e-04 -8.235793e-05 9.537337e-07
10347.600000 -2.866494e-05 -1.195466e-06 -1.097249e-07 -8.763522e-07 5.253081e-05 -2.293895e-04 -8.145523e-05 -1.262328e-06
