# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.07010886585147
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000366
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370897
# Scan.uid: 025215cb-0e79-404a-b140-13a07b1a8233
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:08:21.521551
# Scan.end_time: 06/23/2023  02:08:56.646807
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 312.87156069561166
# SampleHeater.temperature2.readback: 310.20000000000005
# SampleHeater.voltage.setpoint: 0.8177405057308448
# SampleHeater.voltage.readback: 0.801
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.43796e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30566e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.98433e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 8.97561e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7114e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.03152e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.002688e-05 -1.065310e-06 -3.114883e-07 -8.287996e-07 4.823293e-05 -2.656811e-04 -6.555820e-05 -1.699985e-05
10172.000000 -2.991701e-05 -1.060600e-06 -3.085235e-07 -8.277466e-07 4.868098e-05 -2.585282e-04 -6.507083e-05 -1.749482e-05
10177.000000 -2.981377e-05 -1.055733e-06 -3.042020e-07 -8.272289e-07 4.938282e-05 -2.799491e-04 -7.440065e-05 -2.521406e-05
10182.000000 -2.976376e-05 -1.056557e-06 -2.990307e-07 -8.279623e-07 5.594601e-05 -2.860175e-04 -7.075159e-05 -1.661488e-05
10187.000000 -2.980384e-05 -1.064756e-06 -2.900464e-07 -8.307112e-07 5.793756e-05 -2.822846e-04 -6.736671e-05 -1.125369e-05
10192.000000 -2.978583e-05 -1.064853e-06 -2.655137e-07 -8.325755e-07 5.585815e-05 -3.177056e-04 -6.685423e-05 -8.861572e-06
10197.000000 -2.974015e-05 -1.065076e-06 -1.962958e-07 -8.334879e-07 5.647266e-05 -3.038798e-04 -6.841102e-05 -5.885771e-06
10202.000000 -2.978283e-05 -1.074922e-06 -6.376107e-08 -8.366402e-07 6.406247e-05 -2.775365e-04 -6.229792e-05 -7.357439e-06
10207.000000 -2.975429e-05 -1.079335e-06 -2.572153e-08 -8.378867e-07 6.338313e-05 -3.030570e-04 -5.949421e-05 -1.401237e-05
10212.000000 -2.973046e-05 -1.083042e-06 -5.371396e-08 -8.388639e-07 5.681960e-05 -2.917953e-04 -6.511006e-05 -1.127902e-05
10217.000000 -2.971269e-05 -1.087840e-06 -6.994730e-08 -8.403539e-07 5.198592e-05 -2.526590e-04 -6.017344e-05 -1.294772e-05
10222.000000 -2.962880e-05 -1.087903e-06 -8.224767e-08 -8.407378e-07 4.602951e-05 -2.681738e-04 -6.264599e-05 -1.484781e-05
10227.000000 -2.953803e-05 -1.087643e-06 -9.094527e-08 -8.398768e-07 4.660799e-05 -2.850625e-04 -6.960075e-05 -1.278122e-05
10232.000000 -2.953232e-05 -1.095851e-06 -9.462425e-08 -8.414028e-07 4.786846e-05 -2.821118e-04 -7.070716e-05 -1.352316e-05
10237.000000 -2.955046e-05 -1.102238e-06 -9.733843e-08 -8.444906e-07 5.250453e-05 -2.886657e-04 -6.799510e-05 -1.759792e-05
10242.000000 -2.949616e-05 -1.103252e-06 -9.871620e-08 -8.455669e-07 5.093956e-05 -2.860643e-04 -6.204570e-05 -1.157840e-05
10247.000000 -2.943762e-05 -1.106116e-06 -1.029100e-07 -8.464695e-07 5.722239e-05 -2.803582e-04 -6.774935e-05 -1.400033e-05
10252.000000 -2.941784e-05 -1.109771e-06 -1.026415e-07 -8.485490e-07 6.458715e-05 -2.786603e-04 -6.591626e-05 -1.056683e-05
10257.000000 -2.937401e-05 -1.112049e-06 -9.883461e-08 -8.497373e-07 6.519936e-05 -2.921457e-04 -7.519845e-05 -1.033545e-05
10262.000000 -2.928233e-05 -1.112859e-06 -9.826910e-08 -8.492530e-07 6.270982e-05 -2.799082e-04 -8.052489e-05 -1.734052e-05
10267.000000 -2.931021e-05 -1.118652e-06 -1.001161e-07 -8.525538e-07 5.814923e-05 -2.736533e-04 -8.533635e-05 -1.364064e-05
10272.000000 -2.931008e-05 -1.125238e-06 -1.015910e-07 -8.545964e-07 6.273328e-05 -2.926650e-04 -7.956511e-05 -1.846459e-05
10277.000000 -2.925166e-05 -1.130210e-06 -1.013988e-07 -8.544758e-07 6.479066e-05 -2.823041e-04 -7.899904e-05 -2.158379e-05
10282.000000 -2.909344e-05 -1.129526e-06 -1.002475e-07 -8.518668e-07 6.534640e-05 -2.579356e-04 -8.171767e-05 -1.831592e-05
10287.000000 -2.915851e-05 -1.139144e-06 -1.014390e-07 -8.559681e-07 6.028243e-05 -2.420598e-04 -6.953356e-05 -1.553477e-05
10292.000000 -2.911545e-05 -1.143009e-06 -1.046719e-07 -8.568267e-07 6.357498e-05 -2.409310e-04 -6.964835e-05 -1.929650e-05
10297.000000 -2.908330e-05 -1.147585e-06 -1.062213e-07 -8.578471e-07 5.886701e-05 -2.436447e-04 -6.759448e-05 -2.894572e-05
10302.000000 -2.907487e-05 -1.152477e-06 -1.064485e-07 -8.599394e-07 6.658959e-05 -2.562038e-04 -7.015522e-05 -2.309863e-05
10307.000000 -2.899641e-05 -1.152997e-06 -1.064371e-07 -8.602763e-07 6.407688e-05 -2.623090e-04 -8.041482e-05 -2.539655e-05
10312.000000 -2.899100e-05 -1.161052e-06 -1.070569e-07 -8.627005e-07 5.895875e-05 -2.726666e-04 -7.227870e-05 -1.525354e-05
10317.000000 -2.897036e-05 -1.167318e-06 -1.068457e-07 -8.649381e-07 5.202660e-05 -2.923650e-04 -6.810154e-05 -1.118199e-05
10322.000000 -2.892456e-05 -1.169861e-06 -1.060523e-07 -8.668635e-07 5.120302e-05 -2.981690e-04 -7.110536e-05 -1.393188e-05
10327.000000 -2.883724e-05 -1.168788e-06 -1.049131e-07 -8.675498e-07 5.068840e-05 -2.965024e-04 -7.480209e-05 -2.118724e-05
10332.000000 -2.872485e-05 -1.168489e-06 -1.039302e-07 -8.677209e-07 4.893573e-05 -3.037495e-04 -6.603388e-05 -2.443786e-05
10337.000000 -2.883103e-05 -1.178482e-06 -1.044581e-07 -8.741253e-07 5.091352e-05 -3.127838e-04 -6.764593e-05 -3.403270e-05
10341.000000 -2.878974e-05 -1.180598e-06 -1.052463e-07 -8.758107e-07 5.072535e-05 -3.115879e-04 -6.166123e-05 -3.231849e-05
10344.000000 -2.872721e-05 -1.178128e-06 -1.062394e-07 -8.779710e-07 5.689653e-05 -3.170887e-04 -7.643600e-05 -3.007074e-05
10346.000000 -2.866614e-05 -1.174383e-06 -1.069840e-07 -8.782973e-07 7.473050e-05 -3.042831e-04 -8.219421e-05 -4.787257e-05
10347.000000 -2.862882e-05 -1.172016e-06 -1.074600e-07 -8.790037e-07 7.180595e-05 -3.117302e-04 -7.888042e-05 -3.726519e-05
10347.200000 -2.861847e-05 -1.169782e-06 -1.071635e-07 -8.785772e-07 7.647879e-05 -3.327168e-04 -7.712993e-05 -2.915517e-05
10347.400000 -2.862083e-05 -1.170930e-06 -1.075963e-07 -8.792457e-07 7.664070e-05 -3.395594e-04 -8.761987e-05 -4.403340e-05
10347.600000 -2.863471e-05 -1.175227e-06 -1.080824e-07 -8.798302e-07 7.630257e-05 -3.294843e-04 -8.482457e-05 -5.008909e-05
