# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.597805035363
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370905
# Scan.uid: 2607665b-1e8f-4da5-8cc2-ba9acc3cbf74
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:16:23.052578
# Scan.end_time: 06/23/2023  02:16:57.032621
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 394.0197246010024
# SampleHeater.temperature2.readback: 394.90000000000003
# SampleHeater.voltage.setpoint: 0.9053354140048527
# SampleHeater.voltage.readback: 0.904
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.991536617279053
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.3308e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.34221e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.88046e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.2814e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7501e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.34991e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.992372e-05 -1.040757e-06 -3.041071e-07 -8.310037e-07 6.316709e-05 -2.222081e-04 -5.938840e-05 2.944090e-05
10172.000000 -2.976396e-05 -1.033146e-06 -3.004508e-07 -8.290269e-07 5.503100e-05 -2.386249e-04 -6.456840e-05 4.190600e-05
10177.000000 -2.974966e-05 -1.035985e-06 -2.980984e-07 -8.301917e-07 6.383818e-05 -2.607082e-04 -6.299401e-05 6.055573e-05
10182.000000 -2.969104e-05 -1.035357e-06 -2.924020e-07 -8.316224e-07 6.480348e-05 -2.774981e-04 -6.450583e-05 6.414645e-05
10187.000000 -2.971274e-05 -1.040318e-06 -2.830513e-07 -8.342965e-07 5.760126e-05 -2.975196e-04 -5.298003e-05 6.765679e-05
10192.000000 -2.973078e-05 -1.043111e-06 -2.596986e-07 -8.367306e-07 5.807733e-05 -3.323007e-04 -5.814006e-05 4.695370e-05
10197.000000 -2.973056e-05 -1.046822e-06 -1.931250e-07 -8.386181e-07 5.792988e-05 -3.389658e-04 -4.564237e-05 3.125822e-05
10202.000000 -2.963945e-05 -1.044747e-06 -6.220337e-08 -8.383955e-07 6.155213e-05 -3.349476e-04 -5.464063e-05 3.024270e-05
10207.000000 -2.962562e-05 -1.048732e-06 -2.501455e-08 -8.400675e-07 5.356043e-05 -3.296986e-04 -4.738498e-05 3.026883e-05
10212.000000 -2.955488e-05 -1.047613e-06 -5.208289e-08 -8.400439e-07 4.948302e-05 -3.514122e-04 -5.076032e-05 2.602711e-05
10217.000000 -2.959868e-05 -1.057340e-06 -6.766453e-08 -8.430577e-07 4.887152e-05 -3.340165e-04 -4.555985e-05 2.177259e-05
10222.000000 -2.957947e-05 -1.063227e-06 -7.991210e-08 -8.443746e-07 4.594175e-05 -3.286268e-04 -3.678946e-05 3.096265e-05
10227.000000 -2.953421e-05 -1.066465e-06 -8.849812e-08 -8.453005e-07 5.228951e-05 -3.193570e-04 -4.365687e-05 3.084772e-05
10232.000000 -2.947428e-05 -1.069359e-06 -9.183984e-08 -8.457748e-07 5.429992e-05 -3.322720e-04 -4.973145e-05 2.892255e-05
10237.000000 -2.945111e-05 -1.072171e-06 -9.423230e-08 -8.475972e-07 4.516868e-05 -3.438428e-04 -6.352719e-05 2.131685e-05
10242.000000 -2.941439e-05 -1.075628e-06 -9.642046e-08 -8.488719e-07 5.488608e-05 -3.141045e-04 -5.884093e-05 3.308987e-05
10247.000000 -2.932912e-05 -1.077917e-06 -1.004443e-07 -8.483709e-07 6.375782e-05 -3.028419e-04 -6.458597e-05 2.577700e-05
10252.000000 -2.927645e-05 -1.078764e-06 -9.964068e-08 -8.490791e-07 5.979312e-05 -3.114776e-04 -6.197424e-05 2.650276e-05
10257.000000 -2.925209e-05 -1.082429e-06 -9.623573e-08 -8.510232e-07 5.616696e-05 -3.250359e-04 -5.955450e-05 2.903234e-05
10262.000000 -2.922286e-05 -1.089419e-06 -9.582074e-08 -8.519527e-07 5.056257e-05 -3.051971e-04 -5.697627e-05 4.013809e-05
10267.000000 -2.924058e-05 -1.094424e-06 -9.756696e-08 -8.545569e-07 5.073664e-05 -2.833254e-04 -5.655501e-05 3.752800e-05
10272.000000 -2.922688e-05 -1.098020e-06 -9.881874e-08 -8.559154e-07 5.126455e-05 -2.806970e-04 -5.689611e-05 3.927902e-05
10277.000000 -2.911140e-05 -1.094460e-06 -9.812200e-08 -8.553472e-07 4.452993e-05 -2.644865e-04 -5.491130e-05 3.860620e-05
10282.000000 -2.894487e-05 -1.092004e-06 -9.665023e-08 -8.530290e-07 5.151918e-05 -2.539780e-04 -5.140893e-05 4.162133e-05
10287.000000 -2.901260e-05 -1.101556e-06 -9.790154e-08 -8.569525e-07 5.422321e-05 -2.483002e-04 -4.915808e-05 4.487438e-05
10292.000000 -2.896722e-05 -1.104882e-06 -1.010864e-07 -8.574919e-07 6.866905e-05 -2.589545e-04 -5.468399e-05 4.541046e-05
10297.000000 -2.894248e-05 -1.110470e-06 -1.028466e-07 -8.589658e-07 6.679336e-05 -2.734860e-04 -5.054325e-05 5.388092e-05
10302.000000 -2.897373e-05 -1.120329e-06 -1.030820e-07 -8.627157e-07 6.523858e-05 -2.950578e-04 -5.031557e-05 5.211675e-05
10307.000000 -2.887987e-05 -1.118442e-06 -1.030490e-07 -8.627226e-07 5.886488e-05 -2.976922e-04 -4.358195e-05 3.974222e-05
10312.000000 -2.875131e-05 -1.112579e-06 -1.026313e-07 -8.616230e-07 4.996936e-05 -2.925949e-04 -5.505763e-05 4.167592e-05
10317.000000 -2.884887e-05 -1.131883e-06 -1.033712e-07 -8.671543e-07 5.105968e-05 -2.718278e-04 -6.209119e-05 4.915759e-05
10322.000000 -2.884068e-05 -1.139246e-06 -1.028438e-07 -8.697359e-07 5.538185e-05 -2.618922e-04 -6.240624e-05 4.142889e-05
10327.000000 -2.876997e-05 -1.140040e-06 -1.018939e-07 -8.707800e-07 5.141168e-05 -2.833354e-04 -5.827134e-05 3.054923e-05
10332.000000 -2.861665e-05 -1.135019e-06 -1.007956e-07 -8.704917e-07 5.674090e-05 -2.480568e-04 -6.328811e-05 3.670551e-05
10337.000000 -2.873643e-05 -1.147474e-06 -1.015515e-07 -8.767585e-07 6.471464e-05 -2.112073e-04 -6.644571e-05 2.639412e-05
10341.000000 -2.871503e-05 -1.152195e-06 -1.026252e-07 -8.788145e-07 5.984425e-05 -1.776216e-04 -6.560171e-05 2.492860e-05
10344.000000 -2.867701e-05 -1.153778e-06 -1.039636e-07 -8.807919e-07 5.483639e-05 -1.522750e-04 -5.830794e-05 3.880661e-05
10346.000000 -2.864399e-05 -1.153879e-06 -1.051692e-07 -8.824155e-07 6.513902e-05 -1.472748e-04 -4.630375e-05 4.293008e-05
10347.000000 -2.862134e-05 -1.152347e-06 -1.055205e-07 -8.833427e-07 6.644186e-05 -1.410030e-04 -2.973147e-05 4.769052e-05
10347.200000 -2.862233e-05 -1.153147e-06 -1.056702e-07 -8.834745e-07 6.536025e-05 -1.398467e-04 -1.678588e-05 5.307348e-05
10347.400000 -2.861256e-05 -1.152676e-06 -1.057968e-07 -8.836945e-07 6.625055e-05 -1.488621e-04 -3.299938e-05 4.670917e-05
10347.600000 -2.862320e-05 -1.153370e-06 -1.059691e-07 -8.842917e-07 6.519177e-05 -1.583340e-04 -3.161750e-05 4.032907e-05
