# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.18734437239027
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996338
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370921
# Scan.uid: 322e248a-48bb-429c-ac6f-5bf751754d43
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:32:20.011582
# Scan.end_time: 06/23/2023  02:32:53.597625
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 151.08511051336924
# SampleHeater.temperature2.readback: 156.3
# SampleHeater.voltage.setpoint: 0.1841367806806523
# SampleHeater.voltage.readback: 0.198
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 12.71
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.1095e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.2833e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80461e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 8.88477e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6899e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 5.95744e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.986678e-05 -1.095087e-06 -3.203001e-07 -8.269047e-07 7.015566e-05 -3.868907e-04 -5.905415e-05 -2.242195e-06
10172.000000 -2.973409e-05 -1.088432e-06 -3.166414e-07 -8.252916e-07 7.710539e-05 -3.806794e-04 -5.170735e-05 -6.517361e-07
10177.000000 -2.964248e-05 -1.085708e-06 -3.124938e-07 -8.247643e-07 7.811385e-05 -3.854273e-04 -5.707819e-05 -7.228751e-06
10182.000000 -2.962197e-05 -1.087125e-06 -3.075135e-07 -8.263646e-07 8.225605e-05 -4.143179e-04 -5.633783e-05 -2.309340e-05
10187.000000 -2.965953e-05 -1.093093e-06 -2.980049e-07 -8.294617e-07 8.774105e-05 -4.092229e-04 -6.544121e-05 -3.290769e-05
10192.000000 -2.969911e-05 -1.097071e-06 -2.736393e-07 -8.326766e-07 8.901676e-05 -3.921260e-04 -5.226870e-05 -2.127259e-05
10197.000000 -2.959281e-05 -1.094929e-06 -2.019070e-07 -8.326256e-07 8.696358e-05 -3.984997e-04 -5.684290e-05 -2.248631e-05
10202.000000 -2.935090e-05 -1.086731e-06 -6.443921e-08 -8.285977e-07 8.978894e-05 -3.997471e-04 -5.864087e-05 -2.808902e-05
10207.000000 -2.959177e-05 -1.105343e-06 -2.629804e-08 -8.372451e-07 8.131412e-05 -3.850808e-04 -5.890782e-05 -2.740855e-05
10212.000000 -2.961503e-05 -1.110764e-06 -5.526911e-08 -8.400450e-07 7.824150e-05 -3.833196e-04 -5.448343e-05 -1.767142e-05
10217.000000 -2.949415e-05 -1.108578e-06 -7.137882e-08 -8.392545e-07 8.248023e-05 -3.781756e-04 -4.912676e-05 -1.218341e-05
10222.000000 -2.940122e-05 -1.108361e-06 -8.388413e-08 -8.387426e-07 8.377895e-05 -3.794790e-04 -5.732935e-05 -1.214292e-05
10227.000000 -2.940848e-05 -1.113696e-06 -9.261767e-08 -8.409485e-07 8.664788e-05 -3.577213e-04 -6.186937e-05 -6.140033e-06
10232.000000 -2.933437e-05 -1.115092e-06 -9.624141e-08 -8.409959e-07 8.171187e-05 -3.424268e-04 -5.455465e-05 2.059485e-06
10237.000000 -2.937406e-05 -1.122021e-06 -9.906902e-08 -8.444798e-07 7.986846e-05 -3.266446e-04 -5.615699e-05 -4.004054e-06
10242.000000 -2.930964e-05 -1.124556e-06 -1.010758e-07 -8.451142e-07 7.699329e-05 -3.359350e-04 -4.815814e-05 1.836432e-06
10247.000000 -2.924068e-05 -1.126392e-06 -1.052683e-07 -8.457127e-07 8.289748e-05 -3.256196e-04 -5.961387e-05 2.915479e-06
10252.000000 -2.927192e-05 -1.134490e-06 -1.049326e-07 -8.488008e-07 8.410427e-05 -3.183542e-04 -5.708624e-05 2.249328e-10
10257.000000 -2.919194e-05 -1.136560e-06 -1.010451e-07 -8.488851e-07 8.941193e-05 -3.163665e-04 -5.753001e-05 -5.946098e-06
10262.000000 -2.900749e-05 -1.132281e-06 -1.000970e-07 -8.460827e-07 8.077158e-05 -3.123200e-04 -5.063159e-05 2.797899e-06
10267.000000 -2.913151e-05 -1.147382e-06 -1.030561e-07 -8.516544e-07 7.874733e-05 -3.190576e-04 -5.303531e-05 6.709867e-06
10272.000000 -2.911681e-05 -1.153230e-06 -1.042652e-07 -8.524514e-07 8.124314e-05 -3.211133e-04 -5.212769e-05 9.803621e-06
10277.000000 -2.907791e-05 -1.157639e-06 -1.039883e-07 -8.530939e-07 8.602599e-05 -2.919677e-04 -5.472209e-05 3.701769e-07
10282.000000 -2.895810e-05 -1.159314e-06 -1.027185e-07 -8.512113e-07 8.795954e-05 -2.747088e-04 -4.655560e-05 6.430807e-06
10287.000000 -2.903035e-05 -1.169416e-06 -1.040808e-07 -8.553567e-07 7.889065e-05 -2.719176e-04 -5.328710e-05 2.446544e-06
10292.000000 -2.901237e-05 -1.175793e-06 -1.075062e-07 -8.571093e-07 7.480083e-05 -2.780260e-04 -6.124788e-05 1.280849e-06
10297.000000 -2.895117e-05 -1.178347e-06 -1.094048e-07 -8.584569e-07 8.200508e-05 -2.910816e-04 -5.374251e-05 7.051746e-07
10302.000000 -2.896736e-05 -1.186640e-06 -1.093958e-07 -8.606771e-07 7.917962e-05 -2.976118e-04 -6.450564e-05 3.263280e-07
10307.000000 -2.895087e-05 -1.193125e-06 -1.099384e-07 -8.618682e-07 8.282941e-05 -2.980139e-04 -5.392598e-05 -3.452476e-06
10312.000000 -2.889153e-05 -1.195257e-06 -1.100839e-07 -8.626797e-07 8.796281e-05 -2.886636e-04 -4.425085e-05 5.467321e-06
10317.000000 -2.880973e-05 -1.195881e-06 -1.096885e-07 -8.637126e-07 9.367848e-05 -3.088977e-04 -5.028509e-05 5.419601e-06
10322.000000 -2.875342e-05 -1.198877e-06 -1.086900e-07 -8.653800e-07 8.478120e-05 -3.083636e-04 -5.492781e-05 -5.270459e-07
10327.000000 -2.873824e-05 -1.204652e-06 -1.080954e-07 -8.682987e-07 7.875449e-05 -2.883859e-04 -5.151238e-05 -3.110988e-06
10332.000000 -2.865624e-05 -1.204702e-06 -1.069511e-07 -8.694716e-07 8.094889e-05 -3.070260e-04 -4.810770e-05 -5.773082e-06
10337.000000 -2.871536e-05 -1.209832e-06 -1.071176e-07 -8.745080e-07 8.053159e-05 -3.059580e-04 -4.190344e-05 5.639589e-06
10341.000000 -2.866026e-05 -1.210610e-06 -1.077943e-07 -8.761464e-07 7.649142e-05 -2.933592e-04 -4.801913e-05 1.170156e-05
10344.000000 -2.865430e-05 -1.212076e-06 -1.088864e-07 -8.784948e-07 7.752976e-05 -3.323255e-04 -5.018537e-05 1.112482e-05
10346.000000 -2.864646e-05 -1.214686e-06 -1.101229e-07 -8.802220e-07 8.315043e-05 -3.378820e-04 -5.617353e-05 8.500972e-06
10347.000000 -2.861972e-05 -1.214282e-06 -1.109550e-07 -8.809511e-07 8.426871e-05 -3.229920e-04 -4.772454e-05 9.999820e-06
10347.200000 -2.864487e-05 -1.218230e-06 -1.114848e-07 -8.818317e-07 9.425343e-05 -3.271721e-04 -4.181801e-05 1.465038e-05
10347.400000 -2.864123e-05 -1.216111e-06 -1.113923e-07 -8.816968e-07 1.003468e-04 -3.323381e-04 -5.863793e-05 -4.337817e-07
10347.600000 -2.865518e-05 -1.219654e-06 -1.117933e-07 -8.820212e-07 1.032734e-04 -3.264806e-04 -4.269626e-05 5.974893e-06
