# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9178316972922
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004883
# Detector.I1.voltage: -1650.003662
# Detector.I2.voltage: -1650.002686
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370930
# Scan.uid: 7f3d8bac-f1a1-4991-84ab-dc34d77ffde3
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:16:09.054772
# Scan.end_time: 06/23/2023  03:16:43.016963
# Scan.name: CuGaO2-4th H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.700000000000003
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.24
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1546223908662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.417508e-05 -2.970057e-07 -1.969169e-07 -3.091918e-07 8.461966e-05 8.460964e-04 -2.275838e-05 2.811074e-05
 8784.000000 -3.430146e-05 -3.004807e-07 -1.993505e-07 -3.108375e-07 8.800069e-05 8.389589e-04 -3.329699e-05 2.184982e-05
 8789.000000 -3.439498e-05 -3.023687e-07 -2.005216e-07 -3.123351e-07 9.210339e-05 8.144793e-04 -3.286230e-05 2.542672e-05
 8794.000000 -3.431003e-05 -3.047937e-07 -2.022376e-07 -3.122432e-07 9.369181e-05 8.191794e-04 -3.687895e-05 3.003823e-05
 8799.000000 -3.395863e-05 -3.056991e-07 -2.031765e-07 -3.095277e-07 8.990112e-05 8.106567e-04 -2.828389e-05 2.463504e-05
 8804.000000 -3.430129e-05 -3.116445e-07 -2.072458e-07 -3.129666e-07 8.357577e-05 8.142816e-04 -4.008581e-05 2.877308e-05
 8809.000000 -3.435083e-05 -3.132162e-07 -2.084441e-07 -3.139058e-07 9.109951e-05 8.280557e-04 -3.833003e-05 2.317096e-05
 8814.000000 -3.418043e-05 -3.146571e-07 -2.093800e-07 -3.130123e-07 8.366820e-05 8.061329e-04 -3.819291e-05 1.899335e-05
 8819.000000 -3.402622e-05 -3.237452e-07 -2.157153e-07 -3.121058e-07 8.044850e-05 8.040008e-04 -4.235882e-05 1.504401e-05
 8824.000000 -3.417909e-05 -3.233623e-07 -2.155701e-07 -3.141395e-07 8.191469e-05 8.235697e-04 -3.444704e-05 2.271872e-05
 8829.000000 -3.418919e-05 -3.247612e-07 -2.165872e-07 -3.149921e-07 8.405728e-05 8.477715e-04 -3.530854e-05 2.477280e-05
 8834.000000 -3.406211e-05 -3.292076e-07 -2.198480e-07 -3.147077e-07 8.861306e-05 8.272351e-04 -2.507603e-05 3.631273e-05
 8839.000000 -3.401622e-05 -3.311412e-07 -2.212590e-07 -3.149819e-07 9.094047e-05 8.588713e-04 -2.150741e-05 4.156461e-05
 8844.000000 -3.387759e-05 -3.352397e-07 -2.241123e-07 -3.146397e-07 8.091392e-05 8.531753e-04 -3.355876e-05 3.772737e-05
 8849.000000 -3.382383e-05 -3.373076e-07 -2.257672e-07 -3.151685e-07 8.543188e-05 8.544151e-04 -3.679503e-05 2.634551e-05
 8854.000000 -3.380019e-05 -3.396734e-07 -2.275191e-07 -3.158982e-07 9.168304e-05 8.650915e-04 -3.916568e-05 1.839034e-05
 8859.000000 -3.370407e-05 -3.422978e-07 -2.293258e-07 -3.162532e-07 9.180487e-05 8.380697e-04 -4.425287e-05 2.102280e-05
 8864.000000 -3.362963e-05 -3.455739e-07 -2.317801e-07 -3.164125e-07 8.592065e-05 8.335116e-04 -4.190138e-05 1.997284e-05
 8869.000000 -3.353454e-05 -3.486482e-07 -2.340566e-07 -3.163118e-07 8.731170e-05 8.301760e-04 -5.489974e-05 1.619433e-05
 8874.000000 -3.337619e-05 -3.520986e-07 -2.364786e-07 -3.157408e-07 9.296039e-05 8.257482e-04 -4.903428e-05 1.876033e-05
 8879.000000 -3.323732e-05 -3.558272e-07 -2.391941e-07 -3.151954e-07 8.590306e-05 8.465650e-04 -4.321372e-05 2.446127e-05
 8884.000000 -3.308923e-05 -3.558104e-07 -2.393212e-07 -3.149439e-07 8.147213e-05 8.580292e-04 -4.113808e-05 2.441352e-05
 8889.000000 -3.277717e-05 -3.579000e-07 -2.409643e-07 -3.131851e-07 9.129503e-05 8.393641e-04 -2.719467e-05 2.973225e-05
 8894.000000 -3.299564e-05 -3.621178e-07 -2.439100e-07 -3.153625e-07 8.483757e-05 8.381026e-04 -3.252412e-05 2.988575e-05
 8899.000000 -3.287814e-05 -3.637312e-07 -2.450671e-07 -3.149954e-07 9.303305e-05 8.413932e-04 -3.974462e-05 3.209484e-05
 8904.000000 -3.274218e-05 -3.662997e-07 -2.468377e-07 -3.141420e-07 8.930836e-05 8.562284e-04 -3.797778e-05 4.900474e-05
 8909.000000 -3.261826e-05 -3.685546e-07 -2.483826e-07 -3.135013e-07 8.708846e-05 8.594302e-04 -4.177578e-05 2.737962e-05
 8914.000000 -3.237350e-05 -3.684775e-07 -2.484414e-07 -3.117440e-07 8.131699e-05 8.587238e-04 -3.841999e-05 2.797982e-05
 8919.000000 -3.225290e-05 -3.702829e-07 -2.497450e-07 -3.114360e-07 7.860544e-05 8.497382e-04 -4.297290e-05 3.332370e-05
 8924.000000 -3.208804e-05 -3.711470e-07 -2.506413e-07 -3.109014e-07 7.849173e-05 8.418338e-04 -4.533106e-05 2.995085e-05
 8929.000000 -3.213619e-05 -3.732735e-07 -2.521740e-07 -3.127145e-07 8.154797e-05 8.631673e-04 -5.531893e-05 2.454583e-05
 8934.000000 -3.198625e-05 -3.749850e-07 -2.532317e-07 -3.128025e-07 9.197511e-05 8.455486e-04 -4.843751e-05 2.797008e-05
 8939.000000 -3.174358e-05 -3.749740e-07 -2.532863e-07 -3.117691e-07 9.607958e-05 8.160409e-04 -4.596163e-05 2.980186e-05
 8944.000000 -3.172084e-05 -3.741149e-07 -2.525000e-07 -3.124795e-07 9.334391e-05 8.140533e-04 -4.093039e-05 3.062683e-05
 8949.000000 -3.160000e-05 -3.753506e-07 -2.532106e-07 -3.122121e-07 8.341967e-05 8.358392e-04 -3.724858e-05 2.876706e-05
 8953.000000 -3.150214e-05 -3.768976e-07 -2.539343e-07 -3.121081e-07 9.668655e-05 8.493849e-04 -3.741218e-05 2.541705e-05
 8956.000000 -3.148011e-05 -3.775964e-07 -2.542151e-07 -3.125908e-07 1.034560e-04 8.485257e-04 -4.513538e-05 2.923957e-05
 8958.000000 -3.142341e-05 -3.769179e-07 -2.536684e-07 -3.126178e-07 1.028357e-04 8.434159e-04 -5.138500e-05 3.666525e-05
 8959.000000 -3.141403e-05 -3.759633e-07 -2.529164e-07 -3.128836e-07 9.619334e-05 8.297356e-04 -4.896993e-05 3.344450e-05
 8959.200000 -3.142216e-05 -3.758061e-07 -2.528237e-07 -3.130608e-07 9.975866e-05 8.170833e-04 -4.942870e-05 2.769427e-05
 8959.400000 -3.144262e-05 -3.752496e-07 -2.521130e-07 -3.130728e-07 9.933115e-05 8.235841e-04 -5.505299e-05 2.285259e-05
 8959.600000 -3.141051e-05 -3.753781e-07 -2.521121e-07 -3.129455e-07 9.488042e-05 8.437181e-04 -5.887148e-05 2.627759e-05
