# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.8912100604177
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003296
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.004883
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370932
# Scan.uid: 41d0e7c1-6c2a-4d23-a931-a00f4e1fc127
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:18:06.109317
# Scan.end_time: 06/23/2023  03:18:40.787204
# Scan.name: CuGaO2-4th H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.6
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.19
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1546223908662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.494514e-05 -3.511589e-07 -2.329649e-07 -3.135717e-07 9.522080e-05 8.450601e-04 -3.196552e-05 4.020945e-05
 8784.000000 -3.508333e-05 -3.500630e-07 -2.321626e-07 -3.153250e-07 1.022438e-04 8.662713e-04 -2.401181e-05 3.866745e-05
 8789.000000 -3.504075e-05 -3.468359e-07 -2.303548e-07 -3.158705e-07 9.632052e-05 8.704222e-04 -1.577809e-05 3.656970e-05
 8794.000000 -3.490759e-05 -3.430500e-07 -2.280437e-07 -3.155413e-07 9.621183e-05 8.779026e-04 -2.124204e-05 3.757768e-05
 8799.000000 -3.451617e-05 -3.404874e-07 -2.264528e-07 -3.129910e-07 1.020298e-04 8.549763e-04 -1.745744e-05 3.817527e-05
 8804.000000 -3.474764e-05 -3.432066e-07 -2.282884e-07 -3.155184e-07 9.660079e-05 8.364323e-04 -1.936396e-05 2.880296e-05
 8809.000000 -3.464824e-05 -3.429391e-07 -2.281694e-07 -3.155520e-07 1.092027e-04 8.320046e-04 -2.346290e-05 5.954060e-06
 8814.000000 -3.451800e-05 -3.405468e-07 -2.267677e-07 -3.149281e-07 1.121370e-04 8.200332e-04 -2.795769e-05 1.305956e-05
 8819.000000 -3.443332e-05 -3.423606e-07 -2.282444e-07 -3.146881e-07 1.104940e-04 8.283666e-04 -2.280859e-05 2.078480e-05
 8824.000000 -3.446839e-05 -3.413684e-07 -2.277662e-07 -3.158061e-07 1.059346e-04 8.318000e-04 -3.012406e-05 2.031659e-05
 8829.000000 -3.437908e-05 -3.404800e-07 -2.271133e-07 -3.160952e-07 1.072149e-04 8.220065e-04 -2.529041e-05 1.072543e-05
 8834.000000 -3.425262e-05 -3.396928e-07 -2.270283e-07 -3.159424e-07 1.086357e-04 8.205272e-04 -1.904949e-05 1.251009e-05
 8839.000000 -3.415291e-05 -3.394344e-07 -2.270058e-07 -3.161408e-07 1.001203e-04 8.073462e-04 -1.960537e-05 1.176180e-05
 8844.000000 -3.402859e-05 -3.387342e-07 -2.266958e-07 -3.159984e-07 1.018448e-04 8.246529e-04 -1.494705e-05 1.285852e-05
 8849.000000 -3.394197e-05 -3.373466e-07 -2.257438e-07 -3.162741e-07 1.040492e-04 8.338857e-04 -1.902552e-05 1.240818e-05
 8854.000000 -3.384558e-05 -3.376055e-07 -2.258706e-07 -3.166432e-07 1.033955e-04 8.256436e-04 -1.172247e-05 2.628233e-06
 8859.000000 -3.367198e-05 -3.404001e-07 -2.279855e-07 -3.161267e-07 1.100513e-04 8.260560e-04 -2.205155e-05 3.150715e-06
 8864.000000 -3.357576e-05 -3.411756e-07 -2.288664e-07 -3.163048e-07 1.072706e-04 8.231431e-04 -2.476998e-05 5.272966e-06
 8869.000000 -3.353389e-05 -3.413357e-07 -2.292643e-07 -3.168566e-07 1.051314e-04 8.213820e-04 -2.105905e-05 3.717975e-06
 8874.000000 -3.346206e-05 -3.439943e-07 -2.310025e-07 -3.168981e-07 1.123656e-04 8.444152e-04 -2.669453e-05 5.662265e-06
 8879.000000 -3.333960e-05 -3.471535e-07 -2.333420e-07 -3.165755e-07 1.134589e-04 8.288508e-04 -2.932067e-05 1.922996e-05
 8884.000000 -3.304933e-05 -3.498402e-07 -2.353457e-07 -3.149975e-07 1.119283e-04 8.207449e-04 -3.384278e-05 1.523990e-05
 8889.000000 -3.283625e-05 -3.507072e-07 -2.359372e-07 -3.141604e-07 1.077004e-04 8.085013e-04 -2.584616e-05 1.875838e-05
 8894.000000 -3.298953e-05 -3.560746e-07 -2.395624e-07 -3.159109e-07 1.042223e-04 8.095772e-04 -2.337337e-05 2.542854e-05
 8899.000000 -3.279479e-05 -3.604606e-07 -2.427356e-07 -3.147904e-07 1.137861e-04 7.664805e-04 -2.726197e-05 3.073159e-05
 8904.000000 -3.281722e-05 -3.611047e-07 -2.434104e-07 -3.152616e-07 1.110834e-04 7.688041e-04 -2.629512e-05 2.492574e-05
 8909.000000 -3.267226e-05 -3.641920e-07 -2.456009e-07 -3.145072e-07 9.537506e-05 7.537068e-04 -3.458403e-05 1.472786e-05
 8914.000000 -3.237873e-05 -3.655758e-07 -2.466634e-07 -3.121041e-07 1.023441e-04 7.574386e-04 -5.129740e-05 -3.425718e-06
 8919.000000 -3.235310e-05 -3.679367e-07 -2.482264e-07 -3.127083e-07 1.060063e-04 7.578514e-04 -4.589443e-05 -4.706370e-06
 8924.000000 -3.214993e-05 -3.700009e-07 -2.498219e-07 -3.117583e-07 9.702033e-05 7.447951e-04 -4.012928e-05 -7.873073e-07
 8929.000000 -3.214594e-05 -3.742734e-07 -2.525799e-07 -3.131044e-07 9.520641e-05 7.457932e-04 -4.522264e-05 -2.626946e-07
 8934.000000 -3.206591e-05 -3.775051e-07 -2.548781e-07 -3.134911e-07 9.734525e-05 7.644202e-04 -4.349657e-05 1.530282e-06
 8939.000000 -3.189034e-05 -3.800545e-07 -2.567382e-07 -3.130297e-07 1.065937e-04 7.671374e-04 -4.317136e-05 5.839134e-07
 8944.000000 -3.173780e-05 -3.820467e-07 -2.578676e-07 -3.125944e-07 1.028057e-04 7.569696e-04 -2.328993e-05 -2.112448e-06
 8949.000000 -3.165870e-05 -3.813218e-07 -2.571565e-07 -3.127064e-07 9.182196e-05 7.583804e-04 -1.065653e-05 6.250208e-06
 8953.000000 -3.159861e-05 -3.805921e-07 -2.564574e-07 -3.130475e-07 9.625137e-05 7.479770e-04 -1.730080e-05 1.738326e-05
 8956.000000 -3.148679e-05 -3.801323e-07 -2.558837e-07 -3.128709e-07 9.059735e-05 7.492002e-04 -1.889084e-05 1.910859e-05
 8958.000000 -3.128671e-05 -3.787960e-07 -2.547928e-07 -3.117900e-07 9.143674e-05 7.867816e-04 -1.943298e-05 2.339589e-05
 8959.000000 -3.148750e-05 -3.818381e-07 -2.568840e-07 -3.134062e-07 1.028001e-04 8.026596e-04 -4.733261e-06 2.111628e-05
 8959.200000 -3.152880e-05 -3.821650e-07 -2.571786e-07 -3.137023e-07 1.013844e-04 7.943857e-04 -1.095321e-05 1.622668e-05
 8959.400000 -3.151499e-05 -3.824188e-07 -2.572093e-07 -3.136321e-07 1.033620e-04 8.052186e-04 -1.464268e-05 1.994890e-05
 8959.600000 -3.150079e-05 -3.810824e-07 -2.560258e-07 -3.134887e-07 1.018750e-04 7.972364e-04 -9.357538e-06 1.300976e-05
