# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.55429930939624
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004272
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370927
# Scan.uid: 46510430-88ac-4787-9970-ea70ab2ca56c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:13:13.515640
# Scan.end_time: 06/23/2023  03:13:46.491117
# Scan.name: CuGaO2-4th H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.47801396
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 30.0
# SampleHeater.voltage.setpoint: 0.058258047556447846
# SampleHeater.voltage.readback: 0.061
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.17
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.997298e-05 -7.095799e-07 -2.039156e-07 -1.002980e-06 1.072820e-04 8.926795e-04 -4.413536e-05 5.447148e-05
10172.000000 -2.986119e-05 -7.052312e-07 -2.018600e-07 -1.001171e-06 1.115109e-04 8.915711e-04 -4.185182e-05 5.075787e-05
10177.000000 -2.978067e-05 -7.040543e-07 -1.995901e-07 -1.000074e-06 9.635097e-05 8.848360e-04 -2.949938e-05 5.324114e-05
10182.000000 -2.966752e-05 -7.030557e-07 -1.957231e-07 -9.985611e-07 9.204079e-05 8.465741e-04 -3.624423e-05 5.064117e-05
10187.000000 -2.972705e-05 -7.037697e-07 -1.886953e-07 -1.004603e-06 9.610964e-05 8.495229e-04 -4.747791e-05 6.182799e-05
10192.000000 -2.980075e-05 -7.078482e-07 -1.730622e-07 -1.009905e-06 1.024748e-04 8.559654e-04 -5.229638e-05 6.029778e-05
10197.000000 -2.975844e-05 -7.101540e-07 -1.271661e-07 -1.010683e-06 1.015126e-04 8.539321e-04 -5.202011e-05 5.785166e-05
10202.000000 -2.972881e-05 -7.119759e-07 -4.042493e-08 -1.012252e-06 9.869287e-05 8.607218e-04 -5.212959e-05 5.806060e-05
10207.000000 -2.971873e-05 -7.147446e-07 -1.697358e-08 -1.014535e-06 9.718946e-05 8.758473e-04 -5.024087e-05 5.801264e-05
10212.000000 -2.969312e-05 -7.168522e-07 -3.497372e-08 -1.016244e-06 9.376324e-05 9.093781e-04 -4.647270e-05 6.509842e-05
10217.000000 -2.962986e-05 -7.180862e-07 -4.534308e-08 -1.016475e-06 1.024129e-04 8.937288e-04 -5.122932e-05 5.891817e-05
10222.000000 -2.960397e-05 -7.203153e-07 -5.305991e-08 -1.018104e-06 1.013102e-04 8.902202e-04 -4.950700e-05 6.242930e-05
10227.000000 -2.955115e-05 -7.223143e-07 -5.845652e-08 -1.018296e-06 1.005954e-04 8.890536e-04 -5.050351e-05 6.501810e-05
10232.000000 -2.944886e-05 -7.237959e-07 -6.049346e-08 -1.016596e-06 9.883763e-05 8.884037e-04 -3.681644e-05 6.898633e-05
10237.000000 -2.938247e-05 -7.245539e-07 -6.193579e-08 -1.016779e-06 9.429291e-05 8.755275e-04 -4.608441e-05 6.110294e-05
10242.000000 -2.939945e-05 -7.260486e-07 -6.334833e-08 -1.020419e-06 9.534110e-05 8.823475e-04 -4.483334e-05 5.727148e-05
10247.000000 -2.936873e-05 -7.282218e-07 -6.619241e-08 -1.022740e-06 8.966694e-05 9.009140e-04 -3.251000e-05 5.364426e-05
10252.000000 -2.936091e-05 -7.302976e-07 -6.580894e-08 -1.025234e-06 9.538678e-05 9.125545e-04 -3.476612e-05 6.709277e-05
10257.000000 -2.934251e-05 -7.325957e-07 -6.352039e-08 -1.027334e-06 1.044873e-04 9.161611e-04 -3.684828e-05 6.863293e-05
10262.000000 -2.924318e-05 -7.334382e-07 -6.289525e-08 -1.026737e-06 9.463042e-05 8.988445e-04 -5.091571e-05 6.149854e-05
10267.000000 -2.928190e-05 -7.374752e-07 -6.412860e-08 -1.031124e-06 8.601495e-05 9.082537e-04 -3.672497e-05 6.704142e-05
10272.000000 -2.926366e-05 -7.410373e-07 -6.506554e-08 -1.033630e-06 8.791652e-05 9.318126e-04 -2.944613e-05 6.589631e-05
10277.000000 -2.917767e-05 -7.425201e-07 -6.480071e-08 -1.033155e-06 8.843559e-05 9.286712e-04 -3.733721e-05 7.259566e-05
10282.000000 -2.899669e-05 -7.421648e-07 -6.394448e-08 -1.029123e-06 8.496621e-05 9.251471e-04 -4.136149e-05 7.822405e-05
10287.000000 -2.907703e-05 -7.475595e-07 -6.485711e-08 -1.034957e-06 7.258218e-05 9.163037e-04 -3.950491e-05 8.025340e-05
10292.000000 -2.901338e-05 -7.492556e-07 -6.670234e-08 -1.035349e-06 8.030135e-05 9.255892e-04 -4.006110e-05 7.770854e-05
10297.000000 -2.897053e-05 -7.508826e-07 -6.785150e-08 -1.036520e-06 9.000106e-05 9.418197e-04 -3.244835e-05 6.742413e-05
10302.000000 -2.898006e-05 -7.545445e-07 -6.775308e-08 -1.040025e-06 9.245807e-05 9.397738e-04 -3.386438e-05 5.740364e-05
10307.000000 -2.894460e-05 -7.572209e-07 -6.801007e-08 -1.041130e-06 9.978262e-05 9.213700e-04 -3.790950e-05 5.752576e-05
10312.000000 -2.894241e-05 -7.609443e-07 -6.837857e-08 -1.043829e-06 9.459210e-05 9.026543e-04 -3.692430e-05 5.965927e-05
10317.000000 -2.892995e-05 -7.641892e-07 -6.804573e-08 -1.046841e-06 9.999215e-05 9.284108e-04 -3.172562e-05 6.614147e-05
10322.000000 -2.887563e-05 -7.649286e-07 -6.747014e-08 -1.048353e-06 9.221506e-05 9.233141e-04 -2.962835e-05 6.533121e-05
10327.000000 -2.882059e-05 -7.670039e-07 -6.695993e-08 -1.050204e-06 1.042507e-04 9.165167e-04 -3.295742e-05 5.812094e-05
10332.000000 -2.872560e-05 -7.679857e-07 -6.656884e-08 -1.051392e-06 1.132739e-04 9.246862e-04 -3.992070e-05 5.676663e-05
10337.000000 -2.876927e-05 -7.713401e-07 -6.669456e-08 -1.056356e-06 1.159956e-04 9.762990e-04 -3.756748e-05 5.986419e-05
10341.000000 -2.878049e-05 -7.747724e-07 -6.724303e-08 -1.060959e-06 1.139938e-04 1.033365e-03 -3.274011e-05 5.605250e-05
10344.000000 -2.868558e-05 -7.731492e-07 -6.778607e-08 -1.060195e-06 1.073343e-04 1.009885e-03 -3.608018e-05 5.085425e-05
10346.000000 -2.857024e-05 -7.684084e-07 -6.812228e-08 -1.057734e-06 1.106564e-04 1.022492e-03 -3.602323e-05 4.930452e-05
10347.000000 -2.864183e-05 -7.720011e-07 -6.883656e-08 -1.062766e-06 1.083042e-04 1.028616e-03 -3.335423e-05 3.946267e-05
10347.200000 -2.865071e-05 -7.736817e-07 -6.889449e-08 -1.063340e-06 1.025108e-04 1.032577e-03 -3.295184e-05 3.758397e-05
10347.400000 -2.865183e-05 -7.722749e-07 -6.871431e-08 -1.064150e-06 1.096550e-04 1.030343e-03 -3.735152e-05 4.080911e-05
10347.600000 -2.865950e-05 -7.708116e-07 -6.868250e-08 -1.064469e-06 1.124564e-04 1.018164e-03 -4.012966e-05 3.910594e-05
