# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1364407763591
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002441
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370940
# Scan.uid: 783aa34f-3037-4e23-96ef-785a5f8efcdf
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:26:45.494598
# Scan.end_time: 06/23/2023  03:27:20.147748
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 103.05350524647001
# SampleHeater.temperature2.readback: 102.10000000000001
# SampleHeater.voltage.setpoint: 0.36649020292919987
# SampleHeater.voltage.readback: 0.36
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.950000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.500897e-05 -3.300824e-07 -2.189390e-07 -3.170223e-07 7.179761e-05 6.185831e-04 -3.554082e-05 7.513331e-05
 8784.000000 -3.510121e-05 -3.274691e-07 -2.173166e-07 -3.188893e-07 7.100081e-05 6.215010e-04 -3.227276e-05 5.099467e-05
 8789.000000 -3.507365e-05 -3.255900e-07 -2.163480e-07 -3.196185e-07 7.470199e-05 6.417825e-04 -3.300292e-05 5.597773e-05
 8794.000000 -3.475324e-05 -3.266919e-07 -2.171865e-07 -3.178640e-07 7.065877e-05 6.522668e-04 -2.849621e-05 5.109740e-05
 8799.000000 -3.442913e-05 -3.225598e-07 -2.143379e-07 -3.156172e-07 7.100596e-05 6.315809e-04 -2.484261e-05 5.761704e-05
 8804.000000 -3.466490e-05 -3.266684e-07 -2.172361e-07 -3.184721e-07 6.552026e-05 6.235589e-04 -2.931248e-05 5.610978e-05
 8809.000000 -3.455960e-05 -3.279307e-07 -2.185232e-07 -3.182393e-07 6.160981e-05 6.080341e-04 -3.358170e-05 5.970132e-05
 8814.000000 -3.443829e-05 -3.261056e-07 -2.173577e-07 -3.175130e-07 5.778870e-05 6.247592e-04 -3.709536e-05 6.689565e-05
 8819.000000 -3.439026e-05 -3.282398e-07 -2.189322e-07 -3.177318e-07 6.011546e-05 6.181158e-04 -3.180766e-05 6.235618e-05
 8824.000000 -3.442614e-05 -3.270441e-07 -2.180590e-07 -3.187154e-07 6.129765e-05 6.322596e-04 -3.112073e-05 5.672263e-05
 8829.000000 -3.443563e-05 -3.261836e-07 -2.178317e-07 -3.194989e-07 6.137685e-05 6.413072e-04 -3.751484e-05 6.042978e-05
 8834.000000 -3.435037e-05 -3.254535e-07 -2.175592e-07 -3.196913e-07 5.390427e-05 6.601047e-04 -4.657563e-05 6.050900e-05
 8839.000000 -3.423582e-05 -3.256784e-07 -2.180169e-07 -3.197523e-07 5.574915e-05 6.726064e-04 -3.906925e-05 5.727975e-05
 8844.000000 -3.410110e-05 -3.270443e-07 -2.186708e-07 -3.200595e-07 5.654985e-05 6.532875e-04 -3.236798e-05 5.737867e-05
 8849.000000 -3.395404e-05 -3.280499e-07 -2.195240e-07 -3.198894e-07 5.427299e-05 6.298450e-04 -4.182092e-05 5.518168e-05
 8854.000000 -3.374100e-05 -3.315589e-07 -2.218384e-07 -3.189633e-07 5.577393e-05 6.196111e-04 -4.018740e-05 5.272757e-05
 8859.000000 -3.342637e-05 -3.360727e-07 -2.254504e-07 -3.173337e-07 5.605580e-05 5.901214e-04 -3.266764e-05 4.682279e-05
 8864.000000 -3.326557e-05 -3.394214e-07 -2.277773e-07 -3.168277e-07 5.906178e-05 5.934617e-04 -3.364668e-05 5.274997e-05
 8869.000000 -3.333733e-05 -3.390996e-07 -2.277688e-07 -3.178398e-07 5.593162e-05 6.041253e-04 -4.164390e-05 4.973694e-05
 8874.000000 -3.345577e-05 -3.378932e-07 -2.268365e-07 -3.192338e-07 5.647370e-05 5.683515e-04 -4.503702e-05 5.186420e-05
 8879.000000 -3.340860e-05 -3.379293e-07 -2.270196e-07 -3.196910e-07 5.207557e-05 5.819837e-04 -4.094858e-05 5.484072e-05
 8884.000000 -3.308904e-05 -3.385683e-07 -2.275561e-07 -3.182403e-07 5.981560e-05 5.633145e-04 -3.546056e-05 6.304178e-05
 8889.000000 -3.265245e-05 -3.422742e-07 -2.304871e-07 -3.157219e-07 6.722850e-05 5.406502e-04 -3.897736e-05 8.235979e-05
 8894.000000 -3.286887e-05 -3.454456e-07 -2.327885e-07 -3.178277e-07 6.955876e-05 5.541735e-04 -4.110444e-05 6.121508e-05
 8899.000000 -3.291757e-05 -3.447474e-07 -2.322912e-07 -3.185254e-07 6.759875e-05 5.579315e-04 -4.208394e-05 4.799059e-05
 8904.000000 -3.277883e-05 -3.472069e-07 -2.338169e-07 -3.178663e-07 6.564405e-05 5.637873e-04 -4.458220e-05 5.407691e-05
 8909.000000 -3.260846e-05 -3.493778e-07 -2.354497e-07 -3.164691e-07 5.500304e-05 5.670024e-04 -4.222284e-05 5.258643e-05
 8914.000000 -3.241995e-05 -3.484823e-07 -2.349488e-07 -3.149553e-07 5.696181e-05 5.782504e-04 -3.244285e-05 5.528315e-05
 8919.000000 -3.233251e-05 -3.499670e-07 -2.361738e-07 -3.152936e-07 5.304011e-05 5.954789e-04 -3.045627e-05 5.794489e-05
 8924.000000 -3.214126e-05 -3.499343e-07 -2.361137e-07 -3.146255e-07 5.192678e-05 5.686177e-04 -4.323653e-05 5.086087e-05
 8929.000000 -3.209369e-05 -3.530286e-07 -2.382858e-07 -3.155644e-07 5.855755e-05 5.754868e-04 -3.674415e-05 4.926810e-05
 8934.000000 -3.201798e-05 -3.549104e-07 -2.396468e-07 -3.160803e-07 5.381781e-05 5.962973e-04 -4.200724e-05 4.187736e-05
 8939.000000 -3.179225e-05 -3.568144e-07 -2.409952e-07 -3.153016e-07 5.540978e-05 5.942117e-04 -4.685349e-05 3.526160e-05
 8944.000000 -3.173735e-05 -3.552759e-07 -2.397803e-07 -3.157294e-07 5.670930e-05 6.197027e-04 -4.717293e-05 2.402093e-05
 8949.000000 -3.165965e-05 -3.532883e-07 -2.383286e-07 -3.159660e-07 5.871975e-05 6.189597e-04 -4.278740e-05 3.902010e-05
 8953.000000 -3.158873e-05 -3.524360e-07 -2.374965e-07 -3.164670e-07 6.451841e-05 6.065744e-04 -4.236440e-05 4.362725e-05
 8956.000000 -3.151107e-05 -3.524122e-07 -2.372163e-07 -3.168411e-07 5.376338e-05 6.271738e-04 -3.769803e-05 4.596219e-05
 8958.000000 -3.144393e-05 -3.530555e-07 -2.375481e-07 -3.168493e-07 5.457422e-05 6.452119e-04 -4.461554e-05 4.406272e-05
 8959.000000 -3.137743e-05 -3.544747e-07 -2.382700e-07 -3.165704e-07 5.820485e-05 6.559205e-04 -3.996740e-05 3.609539e-05
 8959.200000 -3.140528e-05 -3.532750e-07 -2.374287e-07 -3.171125e-07 6.135607e-05 6.522115e-04 -4.460385e-05 2.923416e-05
 8959.400000 -3.141637e-05 -3.548168e-07 -2.383051e-07 -3.170827e-07 5.801069e-05 6.838998e-04 -3.486610e-05 3.079392e-05
 8959.600000 -3.138768e-05 -3.558459e-07 -2.390820e-07 -3.167708e-07 5.838534e-05 6.932219e-04 -4.017410e-05 3.620146e-05
