# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.97150301748
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.00354
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370942
# Scan.uid: 906464e7-6f20-49a5-ac3c-f4557cc76ed6
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:28:47.049205
# Scan.end_time: 06/23/2023  03:29:21.472174
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 124.1343427590382
# SampleHeater.temperature2.readback: 126.0
# SampleHeater.voltage.setpoint: 0.3546003869900559
# SampleHeater.voltage.readback: 0.356
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.485157e-05 -3.519854e-07 -2.335856e-07 -3.141859e-07 7.564192e-05 5.605271e-04 -4.965733e-05 9.364502e-05
 8784.000000 -3.509362e-05 -3.506912e-07 -2.327001e-07 -3.168746e-07 6.922134e-05 5.561368e-04 -4.281627e-05 8.643222e-05
 8789.000000 -3.501178e-05 -3.480993e-07 -2.311643e-07 -3.172058e-07 6.310535e-05 5.745035e-04 -4.697034e-05 7.199994e-05
 8794.000000 -3.480258e-05 -3.456901e-07 -2.298954e-07 -3.163466e-07 6.913704e-05 5.699124e-04 -5.180030e-05 7.246665e-05
 8799.000000 -3.446432e-05 -3.405235e-07 -2.265319e-07 -3.142673e-07 7.711931e-05 5.509361e-04 -3.850730e-05 7.346131e-05
 8804.000000 -3.466955e-05 -3.446706e-07 -2.295416e-07 -3.166235e-07 7.077015e-05 5.637244e-04 -4.430007e-05 7.499901e-05
 8809.000000 -3.466702e-05 -3.441188e-07 -2.291911e-07 -3.171525e-07 8.016069e-05 5.915039e-04 -4.206703e-05 7.318999e-05
 8814.000000 -3.448876e-05 -3.418992e-07 -2.279067e-07 -3.160045e-07 7.766028e-05 5.773093e-04 -5.382525e-05 6.296307e-05
 8819.000000 -3.444635e-05 -3.443199e-07 -2.295063e-07 -3.162897e-07 8.157098e-05 5.707357e-04 -5.119623e-05 6.198633e-05
 8824.000000 -3.448474e-05 -3.451096e-07 -2.301701e-07 -3.174321e-07 7.711447e-05 5.742509e-04 -3.445662e-05 6.551193e-05
 8829.000000 -3.438138e-05 -3.471181e-07 -2.317256e-07 -3.173700e-07 7.818640e-05 5.620736e-04 -4.840778e-05 7.356375e-05
 8834.000000 -3.428174e-05 -3.483464e-07 -2.330382e-07 -3.172846e-07 7.316367e-05 5.421107e-04 -5.287788e-05 7.567705e-05
 8839.000000 -3.416571e-05 -3.489226e-07 -2.336345e-07 -3.172654e-07 7.116620e-05 5.436481e-04 -4.510774e-05 7.048024e-05
 8844.000000 -3.398890e-05 -3.508612e-07 -2.350444e-07 -3.169688e-07 6.293068e-05 5.555347e-04 -3.901046e-05 6.552676e-05
 8849.000000 -3.395755e-05 -3.501722e-07 -2.343987e-07 -3.177712e-07 5.930218e-05 5.663941e-04 -4.389103e-05 6.436311e-05
 8854.000000 -3.386767e-05 -3.506429e-07 -2.350241e-07 -3.181437e-07 6.082022e-05 5.499993e-04 -5.179097e-05 7.024579e-05
 8859.000000 -3.371085e-05 -3.516517e-07 -2.359745e-07 -3.178997e-07 6.680050e-05 5.643927e-04 -4.105743e-05 6.911633e-05
 8864.000000 -3.370293e-05 -3.511151e-07 -2.359273e-07 -3.186809e-07 5.802821e-05 5.495043e-04 -4.298964e-05 6.386709e-05
 8869.000000 -3.351149e-05 -3.536678e-07 -2.375779e-07 -3.180026e-07 5.765488e-05 5.650157e-04 -4.473749e-05 6.861214e-05
 8874.000000 -3.343171e-05 -3.549870e-07 -2.384315e-07 -3.177025e-07 5.116319e-05 5.804040e-04 -2.896829e-05 7.354822e-05
 8879.000000 -3.327189e-05 -3.575330e-07 -2.401971e-07 -3.170740e-07 5.683874e-05 5.724853e-04 -2.221775e-05 7.889286e-05
 8884.000000 -3.292322e-05 -3.598418e-07 -2.419591e-07 -3.150534e-07 6.728896e-05 5.597083e-04 -2.862637e-05 7.347958e-05
 8889.000000 -3.268131e-05 -3.603598e-07 -2.424987e-07 -3.140928e-07 6.167288e-05 5.474034e-04 -3.978142e-05 6.393109e-05
 8894.000000 -3.287845e-05 -3.645220e-07 -2.455012e-07 -3.160005e-07 6.505333e-05 5.669601e-04 -3.591123e-05 6.654148e-05
 8899.000000 -3.278282e-05 -3.665329e-07 -2.469866e-07 -3.156834e-07 6.588689e-05 5.530590e-04 -3.632267e-05 6.582011e-05
 8904.000000 -3.262774e-05 -3.689615e-07 -2.487100e-07 -3.148535e-07 7.812120e-05 5.442450e-04 -3.241562e-05 7.039462e-05
 8909.000000 -3.260194e-05 -3.687928e-07 -2.487146e-07 -3.149081e-07 7.409364e-05 5.462891e-04 -2.947092e-05 6.473880e-05
 8914.000000 -3.239768e-05 -3.682360e-07 -2.485600e-07 -3.134070e-07 6.894546e-05 5.588268e-04 -2.684546e-05 6.095426e-05
 8919.000000 -3.231077e-05 -3.693278e-07 -2.493679e-07 -3.134881e-07 6.085305e-05 5.427187e-04 -2.189704e-05 5.890255e-05
 8924.000000 -3.211615e-05 -3.695674e-07 -2.495043e-07 -3.128175e-07 4.793852e-05 5.366477e-04 -3.510577e-05 6.659790e-05
 8929.000000 -3.214626e-05 -3.724274e-07 -2.515484e-07 -3.144297e-07 5.376617e-05 5.309729e-04 -4.123026e-05 7.103637e-05
 8934.000000 -3.205765e-05 -3.741603e-07 -2.526383e-07 -3.149880e-07 5.548162e-05 5.323360e-04 -4.138586e-05 6.881999e-05
 8939.000000 -3.188662e-05 -3.747026e-07 -2.530548e-07 -3.146280e-07 6.489129e-05 5.345690e-04 -3.825579e-05 6.897507e-05
 8944.000000 -3.175645e-05 -3.750685e-07 -2.533223e-07 -3.142800e-07 6.741975e-05 5.824208e-04 -2.986576e-05 7.197916e-05
 8949.000000 -3.160943e-05 -3.752337e-07 -2.531876e-07 -3.138460e-07 5.928521e-05 5.988281e-04 -3.815664e-05 7.825113e-05
 8953.000000 -3.154772e-05 -3.753078e-07 -2.529844e-07 -3.143067e-07 6.680935e-05 6.050154e-04 -3.658323e-05 7.546861e-05
 8956.000000 -3.144136e-05 -3.752933e-07 -2.527071e-07 -3.141365e-07 6.600755e-05 6.072731e-04 -3.723776e-05 7.238156e-05
 8958.000000 -3.144355e-05 -3.760325e-07 -2.529840e-07 -3.146377e-07 5.814704e-05 5.890670e-04 -4.759165e-05 6.125521e-05
 8959.000000 -3.145714e-05 -3.763002e-07 -2.529704e-07 -3.149298e-07 5.389895e-05 5.967871e-04 -4.402994e-05 5.645709e-05
 8959.200000 -3.145680e-05 -3.769132e-07 -2.533221e-07 -3.149848e-07 5.633488e-05 5.976488e-04 -4.494391e-05 4.914329e-05
 8959.400000 -3.143768e-05 -3.765948e-07 -2.531402e-07 -3.149697e-07 5.477648e-05 6.235842e-04 -5.724988e-05 5.067563e-05
 8959.600000 -3.137303e-05 -3.760377e-07 -2.528419e-07 -3.144587e-07 5.527613e-05 6.331902e-04 -5.630635e-05 6.382892e-05
