# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.784446424994
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002686
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1649.999146
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370946
# Scan.uid: 8627e8b0-5ebf-4997-8ad6-d6e279207ca5
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:32:48.536927
# Scan.end_time: 06/23/2023  03:33:21.948248
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 165.87328770942526
# SampleHeater.temperature2.readback: 167.70000000000002
# SampleHeater.voltage.setpoint: 0.40745311906272613
# SampleHeater.voltage.readback: 0.40700000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.88
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.486476e-05 -3.416105e-07 -2.266363e-07 -3.164914e-07 6.779903e-05 4.895114e-04 -5.303015e-05 6.324197e-05
 8784.000000 -3.497027e-05 -3.386111e-07 -2.246480e-07 -3.183800e-07 6.465866e-05 5.034453e-04 -4.946969e-05 7.139022e-05
 8789.000000 -3.494066e-05 -3.366636e-07 -2.235702e-07 -3.190108e-07 6.356923e-05 4.959640e-04 -5.493317e-05 6.429409e-05
 8794.000000 -3.483092e-05 -3.350949e-07 -2.226937e-07 -3.188700e-07 6.870007e-05 5.018452e-04 -5.206093e-05 5.634977e-05
 8799.000000 -3.444818e-05 -3.320880e-07 -2.208932e-07 -3.162527e-07 6.799211e-05 4.839018e-04 -4.575794e-05 5.804634e-05
 8804.000000 -3.466761e-05 -3.389581e-07 -2.255851e-07 -3.189344e-07 5.836521e-05 4.735989e-04 -4.362564e-05 6.310559e-05
 8809.000000 -3.462730e-05 -3.418642e-07 -2.275560e-07 -3.191066e-07 5.865832e-05 4.550881e-04 -4.587426e-05 6.733997e-05
 8814.000000 -3.447141e-05 -3.402200e-07 -2.266079e-07 -3.180915e-07 6.425801e-05 4.477456e-04 -4.843550e-05 6.174418e-05
 8819.000000 -3.447458e-05 -3.435318e-07 -2.292906e-07 -3.184930e-07 6.630109e-05 4.548300e-04 -4.711887e-05 5.203115e-05
 8824.000000 -3.447384e-05 -3.451686e-07 -2.304031e-07 -3.189884e-07 6.919947e-05 4.601984e-04 -6.110655e-05 5.628724e-05
 8829.000000 -3.440096e-05 -3.462249e-07 -2.311912e-07 -3.193328e-07 5.702021e-05 4.468099e-04 -5.348525e-05 6.504825e-05
 8834.000000 -3.418610e-05 -3.484803e-07 -2.327913e-07 -3.184422e-07 4.917625e-05 4.246274e-04 -5.828732e-05 6.716691e-05
 8839.000000 -3.405459e-05 -3.485992e-07 -2.331709e-07 -3.184522e-07 5.707738e-05 4.272175e-04 -6.229486e-05 6.189526e-05
 8844.000000 -3.397918e-05 -3.475204e-07 -2.325905e-07 -3.186940e-07 5.937139e-05 4.255314e-04 -7.399106e-05 6.201275e-05
 8849.000000 -3.375351e-05 -3.486340e-07 -2.334256e-07 -3.180291e-07 6.836750e-05 4.261129e-04 -7.774625e-05 6.840003e-05
 8854.000000 -3.366424e-05 -3.485920e-07 -2.334610e-07 -3.183267e-07 6.968786e-05 4.317738e-04 -8.041170e-05 6.503025e-05
 8859.000000 -3.355457e-05 -3.488863e-07 -2.338004e-07 -3.184476e-07 7.470362e-05 4.372682e-04 -8.359586e-05 5.692837e-05
 8864.000000 -3.337941e-05 -3.501726e-07 -2.348407e-07 -3.176135e-07 8.334021e-05 4.463723e-04 -8.730293e-05 5.852193e-05
 8869.000000 -3.335203e-05 -3.501383e-07 -2.350991e-07 -3.180221e-07 7.658404e-05 4.401200e-04 -7.799304e-05 6.595010e-05
 8874.000000 -3.313050e-05 -3.517495e-07 -2.363379e-07 -3.169236e-07 6.807030e-05 4.454196e-04 -7.802706e-05 6.254834e-05
 8879.000000 -3.317710e-05 -3.507944e-07 -2.357339e-07 -3.181341e-07 6.476639e-05 4.516325e-04 -7.756977e-05 6.866874e-05
 8884.000000 -3.287882e-05 -3.511805e-07 -2.362159e-07 -3.165552e-07 6.630390e-05 4.184953e-04 -6.807152e-05 6.084348e-05
 8889.000000 -3.260644e-05 -3.510653e-07 -2.361500e-07 -3.154279e-07 6.872945e-05 4.331143e-04 -6.314075e-05 5.069546e-05
 8894.000000 -3.279960e-05 -3.545484e-07 -2.386709e-07 -3.175749e-07 7.460851e-05 4.401899e-04 -5.978508e-05 5.100446e-05
 8899.000000 -3.281618e-05 -3.539626e-07 -2.382661e-07 -3.182388e-07 7.725992e-05 4.282887e-04 -6.161276e-05 4.829061e-05
 8904.000000 -3.271466e-05 -3.547154e-07 -2.391090e-07 -3.177254e-07 7.754415e-05 4.152654e-04 -6.894996e-05 4.883720e-05
 8909.000000 -3.255576e-05 -3.561984e-07 -2.403732e-07 -3.167379e-07 7.880113e-05 4.253410e-04 -5.631139e-05 5.928615e-05
 8914.000000 -3.230902e-05 -3.562254e-07 -2.403924e-07 -3.151126e-07 7.374095e-05 4.365456e-04 -6.804710e-05 6.314226e-05
 8919.000000 -3.221956e-05 -3.582313e-07 -2.416584e-07 -3.151685e-07 7.072994e-05 4.272954e-04 -6.732328e-05 8.714690e-05
 8924.000000 -3.206305e-05 -3.592665e-07 -2.424661e-07 -3.145984e-07 6.511839e-05 4.555126e-04 -6.545605e-05 9.549868e-05
 8929.000000 -3.207120e-05 -3.621877e-07 -2.444660e-07 -3.160039e-07 6.684113e-05 4.856436e-04 -5.286785e-05 7.331110e-05
 8934.000000 -3.198244e-05 -3.633183e-07 -2.453346e-07 -3.164518e-07 7.022258e-05 4.718634e-04 -5.360999e-05 5.693372e-05
 8939.000000 -3.184851e-05 -3.644175e-07 -2.460806e-07 -3.161987e-07 8.203926e-05 4.476627e-04 -6.075539e-05 6.672816e-05
 8944.000000 -3.172423e-05 -3.661671e-07 -2.471666e-07 -3.159648e-07 7.648558e-05 4.467215e-04 -6.514719e-05 6.294268e-05
 8949.000000 -3.151603e-05 -3.663061e-07 -2.471102e-07 -3.151194e-07 7.194016e-05 4.424026e-04 -5.929692e-05 5.929815e-05
 8953.000000 -3.146594e-05 -3.657075e-07 -2.464602e-07 -3.155514e-07 7.559522e-05 4.618137e-04 -6.106809e-05 5.692860e-05
 8956.000000 -3.142691e-05 -3.667766e-07 -2.469103e-07 -3.157582e-07 7.634129e-05 4.507027e-04 -6.497160e-05 5.627662e-05
 8958.000000 -3.140150e-05 -3.679891e-07 -2.475138e-07 -3.159394e-07 7.792790e-05 4.588817e-04 -6.368377e-05 6.016985e-05
 8959.000000 -3.132170e-05 -3.683064e-07 -2.476997e-07 -3.156065e-07 7.653133e-05 4.646874e-04 -6.606997e-05 5.699786e-05
 8959.200000 -3.122931e-05 -3.691926e-07 -2.483801e-07 -3.149384e-07 7.996488e-05 4.648951e-04 -6.268975e-05 6.442665e-05
 8959.400000 -3.116921e-05 -3.678595e-07 -2.472066e-07 -3.143895e-07 7.648630e-05 4.481190e-04 -6.915159e-05 5.768178e-05
 8959.600000 -3.130090e-05 -3.686928e-07 -2.477266e-07 -3.155983e-07 7.124675e-05 4.607096e-04 -6.859746e-05 5.814448e-05
