# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.36776626086515
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003052
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370950
# Scan.uid: 7064381b-4a51-4b8c-906e-939545baa9b4
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:36:46.529707
# Scan.end_time: 06/23/2023  03:37:21.469832
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 207.10403040621753
# SampleHeater.temperature2.readback: 210.0
# SampleHeater.voltage.setpoint: 0.45543877368880337
# SampleHeater.voltage.readback: 0.459
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.83
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.500592e-05 -3.391565e-07 -2.249664e-07 -3.191386e-07 6.038168e-05 3.298838e-04 -4.141979e-05 8.922753e-05
 8784.000000 -3.499386e-05 -3.383339e-07 -2.246248e-07 -3.202813e-07 6.238854e-05 3.239665e-04 -3.938066e-05 8.949545e-05
 8789.000000 -3.488214e-05 -3.369328e-07 -2.237781e-07 -3.202642e-07 6.996034e-05 3.092629e-04 -4.505604e-05 8.823890e-05
 8794.000000 -3.487345e-05 -3.321726e-07 -2.207592e-07 -3.209956e-07 7.124381e-05 2.979422e-04 -4.872081e-05 9.031426e-05
 8799.000000 -3.444247e-05 -3.296938e-07 -2.190639e-07 -3.177751e-07 6.641025e-05 3.126634e-04 -4.936467e-05 9.041393e-05
 8804.000000 -3.472317e-05 -3.346561e-07 -2.225331e-07 -3.209916e-07 6.293169e-05 3.209852e-04 -6.262819e-05 9.104956e-05
 8809.000000 -3.465314e-05 -3.358216e-07 -2.235467e-07 -3.212153e-07 6.321317e-05 3.230257e-04 -6.294900e-05 8.981140e-05
 8814.000000 -3.451534e-05 -3.342431e-07 -2.227009e-07 -3.203740e-07 6.860082e-05 3.378854e-04 -6.333571e-05 9.704745e-05
 8819.000000 -3.457279e-05 -3.359605e-07 -2.239689e-07 -3.214664e-07 7.014484e-05 3.397442e-04 -4.988592e-05 1.006925e-04
 8824.000000 -3.450811e-05 -3.371474e-07 -2.250385e-07 -3.216789e-07 6.749171e-05 3.590812e-04 -5.135137e-05 9.437753e-05
 8829.000000 -3.445485e-05 -3.370453e-07 -2.249879e-07 -3.222480e-07 6.232068e-05 3.472079e-04 -5.948288e-05 9.529675e-05
 8834.000000 -3.433495e-05 -3.387021e-07 -2.264069e-07 -3.220540e-07 6.767905e-05 3.509628e-04 -7.207414e-05 1.039113e-04
 8839.000000 -3.422570e-05 -3.387832e-07 -2.266207e-07 -3.219677e-07 6.952988e-05 3.682545e-04 -6.503001e-05 1.057732e-04
 8844.000000 -3.410448e-05 -3.390132e-07 -2.268909e-07 -3.218408e-07 6.339435e-05 3.551311e-04 -5.876390e-05 9.486108e-05
 8849.000000 -3.399534e-05 -3.391752e-07 -2.269760e-07 -3.220775e-07 6.536480e-05 3.610998e-04 -5.358069e-05 9.008684e-05
 8854.000000 -3.392408e-05 -3.386829e-07 -2.268416e-07 -3.227017e-07 7.008766e-05 3.414373e-04 -5.238036e-05 9.269886e-05
 8859.000000 -3.382421e-05 -3.386930e-07 -2.267965e-07 -3.227692e-07 7.011967e-05 3.303781e-04 -5.417195e-05 1.010924e-04
 8864.000000 -3.371997e-05 -3.391059e-07 -2.274972e-07 -3.227529e-07 7.072481e-05 3.361376e-04 -5.700058e-05 9.072499e-05
 8869.000000 -3.351793e-05 -3.414698e-07 -2.291187e-07 -3.217961e-07 7.171199e-05 3.408553e-04 -4.027264e-05 9.546680e-05
 8874.000000 -3.314729e-05 -3.469898e-07 -2.330960e-07 -3.193663e-07 6.754517e-05 3.548788e-04 -3.774301e-05 9.473750e-05
 8879.000000 -3.314915e-05 -3.471777e-07 -2.331532e-07 -3.201255e-07 7.214493e-05 3.442893e-04 -3.524100e-05 9.948849e-05
 8884.000000 -3.306619e-05 -3.452309e-07 -2.320354e-07 -3.202905e-07 7.582448e-05 3.518062e-04 -3.812023e-05 1.045966e-04
 8889.000000 -3.279179e-05 -3.464050e-07 -2.332057e-07 -3.188605e-07 7.871611e-05 3.578344e-04 -4.083019e-05 1.047393e-04
 8894.000000 -3.299099e-05 -3.495921e-07 -2.355083e-07 -3.210356e-07 7.069778e-05 3.667445e-04 -4.298538e-05 9.734114e-05
 8899.000000 -3.287265e-05 -3.506435e-07 -2.362567e-07 -3.203990e-07 6.757103e-05 3.556502e-04 -4.656937e-05 9.063190e-05
 8904.000000 -3.280356e-05 -3.510179e-07 -2.365186e-07 -3.201922e-07 6.488275e-05 3.630110e-04 -5.002834e-05 8.436965e-05
 8909.000000 -3.265850e-05 -3.515070e-07 -2.370439e-07 -3.194157e-07 6.410931e-05 3.683143e-04 -4.382316e-05 8.739720e-05
 8914.000000 -3.241876e-05 -3.509865e-07 -2.369167e-07 -3.180298e-07 6.586039e-05 3.774437e-04 -3.707100e-05 8.100924e-05
 8919.000000 -3.232603e-05 -3.533417e-07 -2.384900e-07 -3.182201e-07 6.953623e-05 3.684294e-04 -4.509410e-05 7.539907e-05
 8924.000000 -3.215798e-05 -3.548867e-07 -2.394093e-07 -3.174943e-07 7.957834e-05 3.555446e-04 -4.555785e-05 7.940430e-05
 8929.000000 -3.212516e-05 -3.587170e-07 -2.420966e-07 -3.185083e-07 7.442750e-05 3.537133e-04 -5.433281e-05 7.369231e-05
 8934.000000 -3.205319e-05 -3.619600e-07 -2.444918e-07 -3.189438e-07 7.918038e-05 3.594015e-04 -4.751446e-05 7.933182e-05
 8939.000000 -3.195405e-05 -3.623899e-07 -2.446700e-07 -3.189367e-07 7.798450e-05 3.605672e-04 -4.477557e-05 8.735591e-05
 8944.000000 -3.180513e-05 -3.630566e-07 -2.450552e-07 -3.186382e-07 7.593116e-05 3.780472e-04 -5.664726e-05 8.926852e-05
 8949.000000 -3.163752e-05 -3.644299e-07 -2.458555e-07 -3.179307e-07 7.480144e-05 3.911856e-04 -6.231137e-05 9.128604e-05
 8953.000000 -3.157210e-05 -3.649687e-07 -2.459070e-07 -3.180791e-07 7.551143e-05 3.757513e-04 -5.782935e-05 8.348721e-05
 8956.000000 -3.150230e-05 -3.662083e-07 -2.465317e-07 -3.181163e-07 8.064357e-05 3.666869e-04 -5.154173e-05 8.779856e-05
 8958.000000 -3.135266e-05 -3.666354e-07 -2.467127e-07 -3.175805e-07 7.038031e-05 3.710167e-04 -4.512700e-05 8.442550e-05
 8959.000000 -3.122649e-05 -3.666592e-07 -2.466071e-07 -3.168769e-07 5.915366e-05 3.476874e-04 -4.853393e-05 8.776163e-05
 8959.200000 -3.125093e-05 -3.675129e-07 -2.472759e-07 -3.170799e-07 5.714657e-05 3.487696e-04 -5.463074e-05 8.908497e-05
 8959.400000 -3.133447e-05 -3.653380e-07 -2.454469e-07 -3.178490e-07 5.938348e-05 3.601748e-04 -5.484603e-05 9.638534e-05
 8959.600000 -3.140138e-05 -3.660611e-07 -2.458149e-07 -3.183267e-07 5.666212e-05 3.571103e-04 -5.684348e-05 8.812066e-05
 8959.800000 -3.144187e-05 -3.655591e-07 -2.454198e-07 -3.188611e-07 6.438199e-05 3.515248e-04 -5.347613e-05 8.575904e-05
 8960.000000 -3.145388e-05 -3.645417e-07 -2.448177e-07 -3.190602e-07 5.778628e-05 3.489773e-04 -5.503764e-05 8.634276e-05
 8960.200000 -3.146111e-05 -3.652371e-07 -2.454715e-07 -3.189822e-07 6.720511e-05 3.419016e-04 -5.841538e-05 9.546308e-05
 8960.400000 -3.144185e-05 -3.631013e-07 -2.439921e-07 -3.191650e-07 6.720228e-05 3.616160e-04 -6.117937e-05 9.569400e-05
 8960.600000 -3.138491e-05 -3.669310e-07 -2.464046e-07 -3.184858e-07 6.020244e-05 3.754460e-04 -4.697507e-05 9.739286e-05
 8960.800000 -3.140188e-05 -3.641017e-07 -2.445177e-07 -3.189098e-07 7.510829e-05 3.730263e-04 -4.375702e-05 9.842653e-05
 8961.000000 -3.145069e-05 -3.648043e-07 -2.447533e-07 -3.192570e-07 7.943336e-05 3.693991e-04 -3.244220e-05 9.791375e-05
 8961.200000 -3.143639e-05 -3.656388e-07 -2.451743e-07 -3.192357e-07 7.856562e-05 3.506870e-04 -4.622601e-05 9.538521e-05
 8961.400000 -3.142199e-05 -3.647417e-07 -2.448265e-07 -3.193136e-07 6.790793e-05 3.552650e-04 -5.039082e-05 9.876393e-05
 8961.600000 -3.141793e-05 -3.657512e-07 -2.452725e-07 -3.194204e-07 7.235431e-05 3.497744e-04 -4.570619e-05 9.141661e-05
 8961.800000 -3.137884e-05 -3.629007e-07 -2.432342e-07 -3.194404e-07 6.597092e-05 3.470873e-04 -5.635323e-05 7.917194e-05
 8962.000000 -3.136564e-05 -3.663355e-07 -2.457103e-07 -3.188734e-07 7.404353e-05 3.478868e-04 -6.473624e-05 9.383853e-05
 8962.200000 -3.139068e-05 -3.637408e-07 -2.438493e-07 -3.193816e-07 7.371156e-05 3.449759e-04 -6.337128e-05 9.882874e-05
 8962.400000 -3.140571e-05 -3.646275e-07 -2.445797e-07 -3.193923e-07 7.238643e-05 3.678036e-04 -6.614023e-05 9.944383e-05
 8962.600000 -3.138775e-05 -3.654007e-07 -2.449431e-07 -3.195815e-07 6.783985e-05 3.650909e-04 -5.678697e-05 9.102152e-05
 8962.800000 -3.138654e-05 -3.647642e-07 -2.445061e-07 -3.198160e-07 5.379810e-05 3.737565e-04 -6.581644e-05 8.254021e-05
 8963.000000 -3.137120e-05 -3.652240e-07 -2.448664e-07 -3.196749e-07 6.027853e-05 3.617633e-04 -4.391933e-05 9.200052e-05
 8963.200000 -3.136664e-05 -3.658112e-07 -2.451739e-07 -3.197771e-07 6.751329e-05 3.691367e-04 -4.633133e-05 1.006258e-04
