# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6233472626287
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370970
# Scan.uid: 888a7339-b673-4c58-8637-c7b0a83b5d5b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:56:45.078166
# Scan.end_time: 06/23/2023  03:57:19.098899
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 96.40311845143637
# SampleHeater.temperature2.readback: 95.5
# SampleHeater.voltage.setpoint: 0.23881072839959536
# SampleHeater.voltage.readback: 0.263
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.15
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.479810e-05 -3.273379e-07 -2.170399e-07 -3.147898e-07 6.428255e-05 1.692387e-04 -4.013566e-05 4.432696e-06
 8784.000000 -3.490241e-05 -3.256432e-07 -2.159514e-07 -3.163100e-07 7.071556e-05 1.781262e-04 -4.148198e-05 -2.143187e-06
 8789.000000 -3.480492e-05 -3.252658e-07 -2.158739e-07 -3.163676e-07 6.393997e-05 1.912562e-04 -3.741416e-05 2.858509e-06
 8794.000000 -3.468801e-05 -3.205854e-07 -2.130254e-07 -3.162200e-07 5.806260e-05 1.919902e-04 -4.673469e-05 2.454021e-06
 8799.000000 -3.416290e-05 -3.190666e-07 -2.120617e-07 -3.121834e-07 6.142103e-05 1.910117e-04 -4.660668e-05 1.316803e-05
 8804.000000 -3.453655e-05 -3.206138e-07 -2.132883e-07 -3.158772e-07 6.340882e-05 1.699084e-04 -4.317103e-05 3.472757e-06
 8809.000000 -3.449524e-05 -3.204275e-07 -2.131953e-07 -3.161307e-07 7.361398e-05 1.742165e-04 -4.921592e-05 -2.975141e-06
 8814.000000 -3.431491e-05 -3.203515e-07 -2.134390e-07 -3.149909e-07 6.509492e-05 1.807724e-04 -5.270487e-05 -1.084180e-05
 8819.000000 -3.437054e-05 -3.215827e-07 -2.143889e-07 -3.160429e-07 6.579062e-05 1.971544e-04 -4.740124e-05 -1.260099e-05
 8824.000000 -3.428549e-05 -3.221826e-07 -2.148862e-07 -3.161571e-07 6.737176e-05 1.555049e-04 -5.837986e-05 -1.101434e-05
 8829.000000 -3.416674e-05 -3.253791e-07 -2.169337e-07 -3.162724e-07 5.958420e-05 1.289600e-04 -4.619325e-05 -5.431620e-06
 8834.000000 -3.406840e-05 -3.274693e-07 -2.186321e-07 -3.163744e-07 6.161551e-05 1.436780e-04 -5.223950e-05 -8.407108e-06
 8839.000000 -3.389191e-05 -3.298929e-07 -2.202945e-07 -3.157636e-07 5.502335e-05 1.383867e-04 -5.228955e-05 -1.607188e-05
 8844.000000 -3.386814e-05 -3.278003e-07 -2.191588e-07 -3.166927e-07 5.604943e-05 1.297580e-04 -4.997338e-05 -1.934677e-05
 8849.000000 -3.377911e-05 -3.279224e-07 -2.194691e-07 -3.169429e-07 7.050800e-05 1.452384e-04 -5.104882e-05 -1.430319e-05
 8854.000000 -3.366927e-05 -3.276618e-07 -2.194500e-07 -3.170303e-07 6.528541e-05 1.831906e-04 -5.158127e-05 -6.694275e-06
 8859.000000 -3.354911e-05 -3.284787e-07 -2.201337e-07 -3.169910e-07 6.371834e-05 1.839905e-04 -6.364629e-05 -1.455059e-05
 8864.000000 -3.348391e-05 -3.291922e-07 -2.207171e-07 -3.177045e-07 7.054200e-05 1.738757e-04 -4.086498e-05 -1.198820e-05
 8869.000000 -3.330500e-05 -3.328648e-07 -2.231615e-07 -3.168196e-07 7.557986e-05 1.681092e-04 -4.094156e-05 -6.171459e-06
 8874.000000 -3.328881e-05 -3.317101e-07 -2.223838e-07 -3.175954e-07 7.932575e-05 1.646101e-04 -4.651708e-05 1.431864e-05
 8879.000000 -3.315881e-05 -3.325198e-07 -2.232391e-07 -3.171757e-07 8.434195e-05 1.730209e-04 -3.868493e-05 2.480937e-05
 8884.000000 -3.290432e-05 -3.328937e-07 -2.236216e-07 -3.160136e-07 7.456540e-05 1.864960e-04 -4.355998e-05 8.907118e-06
 8889.000000 -3.266767e-05 -3.331012e-07 -2.239868e-07 -3.150795e-07 6.853425e-05 1.845107e-04 -5.009136e-05 8.414476e-06
 8894.000000 -3.279644e-05 -3.364444e-07 -2.262093e-07 -3.164862e-07 6.340103e-05 1.825964e-04 -5.002354e-05 1.256243e-05
 8899.000000 -3.269633e-05 -3.372795e-07 -2.270387e-07 -3.161197e-07 6.994165e-05 1.759387e-04 -3.716993e-05 1.317897e-05
 8904.000000 -3.261350e-05 -3.363459e-07 -2.263853e-07 -3.159887e-07 7.485254e-05 1.566274e-04 -4.260980e-05 1.624340e-06
 8909.000000 -3.248091e-05 -3.373920e-07 -2.273700e-07 -3.151081e-07 7.902703e-05 1.531679e-04 -5.002854e-05 2.122379e-06
 8914.000000 -3.220476e-05 -3.385308e-07 -2.283262e-07 -3.131413e-07 7.990051e-05 1.567255e-04 -5.794380e-05 -6.943849e-06
 8919.000000 -3.211887e-05 -3.410571e-07 -2.298881e-07 -3.132369e-07 7.018768e-05 1.631720e-04 -5.897693e-05 9.337703e-07
 8924.000000 -3.193564e-05 -3.427004e-07 -2.311122e-07 -3.123526e-07 6.652164e-05 1.704219e-04 -5.973810e-05 2.662000e-06
 8929.000000 -3.198564e-05 -3.447434e-07 -2.324784e-07 -3.141080e-07 6.961461e-05 1.825548e-04 -4.287101e-05 1.192745e-05
 8934.000000 -3.190718e-05 -3.458591e-07 -2.332185e-07 -3.145499e-07 6.206482e-05 1.627563e-04 -3.852780e-05 1.391719e-05
 8939.000000 -3.169871e-05 -3.497065e-07 -2.359700e-07 -3.136262e-07 5.765670e-05 1.645870e-04 -3.759681e-05 5.682714e-06
 8944.000000 -3.156849e-05 -3.499474e-07 -2.360176e-07 -3.134279e-07 5.303330e-05 1.792540e-04 -4.461236e-05 1.392752e-06
 8949.000000 -3.146820e-05 -3.493025e-07 -2.354984e-07 -3.138315e-07 4.906233e-05 1.586013e-04 -2.739513e-05 1.359020e-06
 8953.000000 -3.139346e-05 -3.477071e-07 -2.341200e-07 -3.140961e-07 5.679356e-05 1.486398e-04 -2.348173e-05 -2.503599e-06
 8956.000000 -3.132306e-05 -3.484371e-07 -2.343142e-07 -3.143583e-07 6.564960e-05 1.640051e-04 -3.057742e-05 2.540822e-06
 8958.000000 -3.132386e-05 -3.475590e-07 -2.336943e-07 -3.147168e-07 6.821638e-05 1.553540e-04 -3.868146e-05 4.654514e-06
 8959.000000 -3.129636e-05 -3.478245e-07 -2.338141e-07 -3.147560e-07 6.289362e-05 1.333496e-04 -3.326228e-05 1.924378e-08
 8959.200000 -3.132070e-05 -3.480620e-07 -2.339062e-07 -3.150222e-07 6.748237e-05 1.384327e-04 -4.133504e-05 3.441430e-06
 8959.400000 -3.131245e-05 -3.466252e-07 -2.327149e-07 -3.149927e-07 7.290110e-05 1.483270e-04 -2.463821e-05 8.569416e-06
 8959.600000 -3.129577e-05 -3.480286e-07 -2.336633e-07 -3.147490e-07 7.039402e-05 1.493161e-04 -3.189065e-05 6.883538e-06
