# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.45268244938023
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001709
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370941
# Scan.uid: a3db81b7-e089-4f8c-bc0d-4fff05c0b2fb
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:27:47.515066
# Scan.end_time: 06/23/2023  03:28:22.950140
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 113.45123030123888
# SampleHeater.temperature2.readback: 113.10000000000001
# SampleHeater.voltage.setpoint: 0.3770617971004515
# SampleHeater.voltage.readback: 0.376
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.01
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.993562e-05 -6.893997e-07 -2.037557e-07 -1.003333e-06 8.738185e-05 6.222349e-04 -4.816036e-05 9.348510e-05
10172.000000 -2.978960e-05 -6.850478e-07 -2.014336e-07 -1.000482e-06 9.188490e-05 6.498911e-04 -4.191893e-05 1.013910e-04
10177.000000 -2.975066e-05 -6.855412e-07 -1.997402e-07 -1.000969e-06 9.416450e-05 6.348135e-04 -3.881546e-05 9.833282e-05
10182.000000 -2.968325e-05 -6.857067e-07 -1.963759e-07 -1.001079e-06 8.921710e-05 6.327373e-04 -3.363122e-05 9.849022e-05
10187.000000 -2.962941e-05 -6.846134e-07 -1.888124e-07 -1.002262e-06 8.010784e-05 6.300207e-04 -3.706660e-05 8.851032e-05
10192.000000 -2.970585e-05 -6.876748e-07 -1.732213e-07 -1.007473e-06 6.649926e-05 6.266838e-04 -3.598035e-05 8.764800e-05
10197.000000 -2.974877e-05 -6.910329e-07 -1.282554e-07 -1.011872e-06 6.586976e-05 6.617797e-04 -3.874821e-05 9.200444e-05
10202.000000 -2.964130e-05 -6.926699e-07 -4.093138e-08 -1.010117e-06 7.486588e-05 6.583644e-04 -4.240279e-05 9.492135e-05
10207.000000 -2.964345e-05 -6.952305e-07 -1.738020e-08 -1.013148e-06 7.105706e-05 6.623819e-04 -4.339537e-05 8.644360e-05
10212.000000 -2.966548e-05 -6.972291e-07 -3.540876e-08 -1.016791e-06 6.883072e-05 6.939984e-04 -3.483067e-05 8.301949e-05
10217.000000 -2.965541e-05 -6.985399e-07 -4.552498e-08 -1.019051e-06 7.797504e-05 6.855488e-04 -3.336781e-05 7.361759e-05
10222.000000 -2.960658e-05 -7.006224e-07 -5.374803e-08 -1.019552e-06 8.157995e-05 6.772331e-04 -3.374043e-05 7.719019e-05
10227.000000 -2.956319e-05 -7.027652e-07 -5.947261e-08 -1.019953e-06 7.737361e-05 7.052151e-04 -3.727072e-05 8.006168e-05
10232.000000 -2.950189e-05 -7.029477e-07 -6.157293e-08 -1.020511e-06 7.697609e-05 7.178739e-04 -1.842967e-05 9.159016e-05
10237.000000 -2.949647e-05 -7.053486e-07 -6.328368e-08 -1.023377e-06 7.862513e-05 7.035809e-04 -2.118008e-05 8.612329e-05
10242.000000 -2.945976e-05 -7.074567e-07 -6.449683e-08 -1.024904e-06 8.015741e-05 6.853182e-04 -2.007771e-05 8.116593e-05
10247.000000 -2.937960e-05 -7.089249e-07 -6.716268e-08 -1.024735e-06 8.297395e-05 6.981715e-04 -2.562656e-05 7.881574e-05
10252.000000 -2.937835e-05 -7.114225e-07 -6.675388e-08 -1.027826e-06 7.866857e-05 7.129742e-04 -3.105507e-05 8.324971e-05
10257.000000 -2.930179e-05 -7.132682e-07 -6.427145e-08 -1.027288e-06 7.966523e-05 7.457613e-04 -2.953020e-05 8.152789e-05
10262.000000 -2.916938e-05 -7.146920e-07 -6.397197e-08 -1.024839e-06 7.581770e-05 7.397619e-04 -4.160944e-05 7.436285e-05
10267.000000 -2.920424e-05 -7.184921e-07 -6.517646e-08 -1.028869e-06 7.419539e-05 7.210846e-04 -5.384996e-05 7.088863e-05
10272.000000 -2.920217e-05 -7.216094e-07 -6.586565e-08 -1.031574e-06 7.199142e-05 6.867882e-04 -4.196987e-05 7.697881e-05
10277.000000 -2.919596e-05 -7.240185e-07 -6.574204e-08 -1.034511e-06 6.762520e-05 6.663200e-04 -3.645938e-05 8.467588e-05
10282.000000 -2.902049e-05 -7.240992e-07 -6.470852e-08 -1.030848e-06 6.998496e-05 6.666722e-04 -2.900905e-05 9.120056e-05
10287.000000 -2.909218e-05 -7.298461e-07 -6.578211e-08 -1.036386e-06 7.437447e-05 6.561366e-04 -3.507883e-05 9.370916e-05
10292.000000 -2.902368e-05 -7.327529e-07 -6.782851e-08 -1.036215e-06 7.310458e-05 6.734632e-04 -2.704262e-05 9.486004e-05
10297.000000 -2.905388e-05 -7.363203e-07 -6.907627e-08 -1.040590e-06 6.793676e-05 6.803098e-04 -4.230923e-05 9.281100e-05
10302.000000 -2.905699e-05 -7.392304e-07 -6.899117e-08 -1.043843e-06 6.750452e-05 6.913748e-04 -4.476697e-05 9.441834e-05
10307.000000 -2.901623e-05 -7.414520e-07 -6.920980e-08 -1.045372e-06 7.187043e-05 6.722095e-04 -3.197217e-05 8.454274e-05
10312.000000 -2.893675e-05 -7.438562e-07 -6.910379e-08 -1.045391e-06 7.783744e-05 6.663604e-04 -3.322632e-05 8.119216e-05
10317.000000 -2.888603e-05 -7.464555e-07 -6.889344e-08 -1.046241e-06 8.038254e-05 6.577834e-04 -3.649750e-05 9.716658e-05
10322.000000 -2.888188e-05 -7.499374e-07 -6.861921e-08 -1.049374e-06 7.947625e-05 6.579012e-04 -2.914483e-05 9.761169e-05
10327.000000 -2.880445e-05 -7.514169e-07 -6.786256e-08 -1.049860e-06 8.481304e-05 6.990583e-04 -3.146313e-05 8.558525e-05
10332.000000 -2.871036e-05 -7.513271e-07 -6.736231e-08 -1.050854e-06 8.421425e-05 7.352951e-04 -3.439578e-05 8.536003e-05
10337.000000 -2.882474e-05 -7.578309e-07 -6.774139e-08 -1.059300e-06 7.965833e-05 7.330394e-04 -4.426530e-05 9.176328e-05
10341.000000 -2.880777e-05 -7.598840e-07 -6.832904e-08 -1.063159e-06 8.215031e-05 7.292038e-04 -5.568024e-05 1.006738e-04
10344.000000 -2.875800e-05 -7.591007e-07 -6.882861e-08 -1.064562e-06 7.819369e-05 7.387140e-04 -7.033117e-05 9.989970e-05
10346.000000 -2.861183e-05 -7.549818e-07 -6.932038e-08 -1.060811e-06 7.180521e-05 7.656338e-04 -6.936510e-05 8.213861e-05
10347.000000 -2.860679e-05 -7.546757e-07 -6.951691e-08 -1.061879e-06 7.829284e-05 7.691019e-04 -6.997102e-05 9.313888e-05
10347.200000 -2.863406e-05 -7.533051e-07 -6.957858e-08 -1.063464e-06 8.412471e-05 7.758894e-04 -7.322412e-05 1.030497e-04
10347.400000 -2.868381e-05 -7.564073e-07 -7.032739e-08 -1.066018e-06 7.738349e-05 7.741528e-04 -7.147416e-05 1.033309e-04
10347.600000 -2.873215e-05 -7.593102e-07 -7.048734e-08 -1.068309e-06 7.516063e-05 7.756934e-04 -6.976000e-05 9.661866e-05
10347.800000 -2.873413e-05 -7.586920e-07 -7.046823e-08 -1.068730e-06 8.308161e-05 7.659700e-04 -7.556576e-05 1.014588e-04
