# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.35009766450634
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370947
# Scan.uid: 124c7b6a-d1e2-4175-805e-d31dd527de66
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:33:48.498164
# Scan.end_time: 06/23/2023  03:34:23.848217
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 175.95741254346973
# SampleHeater.temperature2.readback: 175.5
# SampleHeater.voltage.setpoint: 0.5258277220709588
# SampleHeater.voltage.readback: 0.539
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.950000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.991987e-05 -6.740983e-07 -1.951152e-07 -1.005713e-06 7.731371e-05 4.446693e-04 -6.438189e-05 3.898236e-05
10172.000000 -2.984941e-05 -6.693229e-07 -1.928327e-07 -1.006319e-06 7.496361e-05 4.738541e-04 -5.350429e-05 2.123442e-05
10177.000000 -2.978381e-05 -6.694772e-07 -1.909828e-07 -1.005956e-06 7.453802e-05 4.858923e-04 -6.440706e-05 2.275608e-05
10182.000000 -2.973233e-05 -6.696799e-07 -1.877145e-07 -1.007015e-06 7.785946e-05 4.808392e-04 -5.723181e-05 2.270103e-05
10187.000000 -2.973220e-05 -6.710825e-07 -1.810398e-07 -1.010281e-06 7.598510e-05 4.807351e-04 -6.493883e-05 2.104763e-05
10192.000000 -2.977498e-05 -6.749773e-07 -1.661448e-07 -1.014070e-06 8.109467e-05 4.693427e-04 -5.551030e-05 1.966623e-05
10197.000000 -2.977927e-05 -6.771226e-07 -1.221246e-07 -1.016733e-06 7.893661e-05 4.820358e-04 -5.530070e-05 2.616434e-05
10202.000000 -2.972062e-05 -6.792237e-07 -3.867888e-08 -1.017160e-06 7.273993e-05 5.232187e-04 -5.012599e-05 2.668135e-05
10207.000000 -2.969650e-05 -6.811939e-07 -1.626526e-08 -1.019094e-06 6.632183e-05 4.947073e-04 -3.830517e-05 2.387351e-05
10212.000000 -2.969604e-05 -6.841457e-07 -3.363815e-08 -1.021451e-06 7.113169e-05 4.708038e-04 -4.530155e-05 2.119257e-05
10217.000000 -2.965429e-05 -6.871900e-07 -4.364953e-08 -1.022256e-06 7.103919e-05 4.617551e-04 -4.821024e-05 1.942331e-05
10222.000000 -2.959877e-05 -6.890827e-07 -5.139742e-08 -1.022530e-06 6.568226e-05 4.624335e-04 -4.631803e-05 1.593383e-05
10227.000000 -2.956548e-05 -6.906873e-07 -5.648265e-08 -1.023601e-06 6.262550e-05 4.616304e-04 -4.459894e-05 1.486146e-05
10232.000000 -2.939148e-05 -6.919121e-07 -5.859531e-08 -1.019297e-06 6.339963e-05 4.412925e-04 -4.631291e-05 1.370584e-05
10237.000000 -2.932644e-05 -6.940617e-07 -6.019447e-08 -1.019586e-06 6.086580e-05 4.519432e-04 -4.505899e-05 1.584364e-05
10242.000000 -2.932304e-05 -6.967380e-07 -6.152271e-08 -1.022502e-06 6.623369e-05 4.570361e-04 -4.388321e-05 1.648620e-05
10247.000000 -2.932006e-05 -6.980407e-07 -6.382687e-08 -1.025389e-06 6.987528e-05 4.694594e-04 -4.794387e-05 1.083589e-05
10252.000000 -2.935035e-05 -7.001789e-07 -6.364585e-08 -1.029711e-06 7.276818e-05 4.547467e-04 -4.310024e-05 1.544842e-05
10257.000000 -2.930676e-05 -7.027622e-07 -6.132103e-08 -1.030973e-06 6.441317e-05 4.462951e-04 -4.363648e-05 2.198116e-05
10262.000000 -2.927001e-05 -7.043171e-07 -6.119137e-08 -1.032671e-06 6.797057e-05 4.568812e-04 -4.620942e-05 2.300536e-05
10267.000000 -2.929859e-05 -7.072946e-07 -6.244634e-08 -1.036461e-06 6.648994e-05 4.606112e-04 -4.034204e-05 1.508849e-05
10272.000000 -2.921299e-05 -7.103135e-07 -6.322667e-08 -1.035283e-06 7.697423e-05 4.688825e-04 -4.375477e-05 2.379387e-05
10277.000000 -2.917971e-05 -7.125299e-07 -6.275236e-08 -1.037265e-06 7.169290e-05 4.567163e-04 -4.271791e-05 2.955439e-05
10282.000000 -2.907414e-05 -7.129431e-07 -6.177824e-08 -1.036579e-06 7.776763e-05 4.430130e-04 -4.270168e-05 3.388207e-05
10287.000000 -2.909175e-05 -7.183378e-07 -6.287657e-08 -1.039470e-06 6.886402e-05 4.434985e-04 -3.848337e-05 3.215538e-05
10292.000000 -2.906426e-05 -7.197163e-07 -6.467499e-08 -1.041557e-06 7.272992e-05 4.334925e-04 -4.258332e-05 3.625576e-05
10297.000000 -2.905262e-05 -7.222189e-07 -6.574238e-08 -1.044118e-06 7.620069e-05 4.484073e-04 -4.461676e-05 3.032997e-05
10302.000000 -2.906334e-05 -7.258566e-07 -6.574864e-08 -1.047248e-06 7.276695e-05 4.323562e-04 -5.281747e-05 2.411198e-05
10307.000000 -2.902497e-05 -7.285792e-07 -6.582744e-08 -1.048513e-06 7.322732e-05 4.103866e-04 -6.765605e-05 1.631613e-05
10312.000000 -2.898445e-05 -7.312268e-07 -6.619618e-08 -1.049881e-06 7.276379e-05 4.241419e-04 -5.983833e-05 2.381963e-05
10317.000000 -2.895628e-05 -7.331994e-07 -6.588996e-08 -1.052062e-06 6.996948e-05 4.314290e-04 -5.510675e-05 1.727372e-05
10322.000000 -2.891572e-05 -7.356623e-07 -6.542234e-08 -1.054155e-06 6.911840e-05 4.520861e-04 -5.702140e-05 2.176648e-05
10327.000000 -2.881574e-05 -7.379886e-07 -6.493480e-08 -1.054674e-06 6.597103e-05 4.534710e-04 -6.069923e-05 1.685108e-05
10332.000000 -2.871346e-05 -7.379590e-07 -6.436437e-08 -1.055769e-06 6.904123e-05 4.592072e-04 -6.051269e-05 -1.256519e-06
10337.000000 -2.882343e-05 -7.406491e-07 -6.441450e-08 -1.063518e-06 6.864018e-05 4.873582e-04 -5.956175e-05 -1.265552e-05
10341.000000 -2.879315e-05 -7.416012e-07 -6.481590e-08 -1.065664e-06 7.176209e-05 4.824088e-04 -5.774930e-05 -3.803370e-06
10344.000000 -2.877247e-05 -7.444007e-07 -6.580371e-08 -1.068233e-06 7.828748e-05 5.052484e-04 -5.476277e-05 9.688850e-06
10346.000000 -2.873462e-05 -7.457341e-07 -6.658728e-08 -1.069296e-06 7.264345e-05 4.977256e-04 -5.095049e-05 1.922718e-05
10347.000000 -2.869223e-05 -7.462222e-07 -6.688661e-08 -1.068275e-06 7.108804e-05 4.635486e-04 -6.130616e-05 1.763956e-05
10347.200000 -2.868667e-05 -7.463364e-07 -6.699799e-08 -1.068071e-06 6.781009e-05 4.704349e-04 -5.669681e-05 2.017975e-05
10347.400000 -2.873391e-05 -7.471411e-07 -6.727035e-08 -1.070599e-06 7.698165e-05 4.727080e-04 -6.038326e-05 2.511173e-05
10347.600000 -2.874836e-05 -7.474030e-07 -6.723637e-08 -1.071269e-06 8.106134e-05 4.722382e-04 -5.820427e-05 2.081970e-05
10347.800000 -2.873120e-05 -7.464954e-07 -6.719037e-08 -1.070947e-06 7.941864e-05 4.597660e-04 -5.816177e-05 1.780996e-05
