# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.64092785163865
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001953
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370959
# Scan.uid: f45ce748-99bc-4c91-b02a-104cf3ecc7f1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:45:52.534430
# Scan.end_time: 06/23/2023  03:46:25.944363
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 251.60000000000002
# SampleHeater.voltage.setpoint: 0.5595447743377724
# SampleHeater.voltage.readback: 0.557
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.983218e-05 -6.811158e-07 -1.971003e-07 -1.007072e-06 6.677443e-05 3.047782e-04 -4.568968e-05 6.537928e-06
10172.000000 -2.972739e-05 -6.792961e-07 -1.956135e-07 -1.005451e-06 7.644444e-05 3.221025e-04 -4.949582e-05 1.434128e-05
10177.000000 -2.966384e-05 -6.819472e-07 -1.942493e-07 -1.004685e-06 7.573355e-05 3.286637e-04 -6.338914e-05 5.824264e-06
10182.000000 -2.960733e-05 -6.818854e-07 -1.908838e-07 -1.005226e-06 6.750226e-05 3.111542e-04 -5.605361e-05 -9.091900e-06
10187.000000 -2.956891e-05 -6.812514e-07 -1.838544e-07 -1.006610e-06 6.311708e-05 3.042637e-04 -6.243598e-05 -3.700592e-06
10192.000000 -2.964258e-05 -6.846229e-07 -1.686213e-07 -1.012156e-06 6.383896e-05 3.016594e-04 -5.970258e-05 -6.721031e-06
10197.000000 -2.966501e-05 -6.853636e-07 -1.234633e-07 -1.016169e-06 5.586310e-05 2.969104e-04 -6.579354e-05 -1.285390e-05
10202.000000 -2.961272e-05 -6.877127e-07 -3.907751e-08 -1.016776e-06 5.749342e-05 3.033311e-04 -6.878326e-05 -3.083380e-06
10207.000000 -2.959559e-05 -6.899200e-07 -1.630751e-08 -1.018544e-06 5.313771e-05 3.003654e-04 -5.666809e-05 -1.137119e-05
10212.000000 -2.948598e-05 -6.924339e-07 -3.392504e-08 -1.016246e-06 6.803740e-05 3.258086e-04 -4.763932e-05 -1.350955e-05
10217.000000 -2.927338e-05 -6.936289e-07 -4.393505e-08 -1.010032e-06 6.989877e-05 3.263482e-04 -4.398871e-05 -1.604412e-05
10222.000000 -2.944161e-05 -6.969768e-07 -5.162815e-08 -1.020219e-06 6.316780e-05 3.194409e-04 -3.881131e-05 -1.541563e-05
10227.000000 -2.936510e-05 -6.981579e-07 -5.693987e-08 -1.019823e-06 6.903901e-05 3.087804e-04 -3.704740e-05 -3.743276e-06
10232.000000 -2.926054e-05 -6.985675e-07 -5.909674e-08 -1.018235e-06 7.402073e-05 3.330361e-04 -3.723682e-05 -1.324958e-08
10237.000000 -2.928732e-05 -7.008230e-07 -6.072868e-08 -1.021945e-06 7.055891e-05 3.363224e-04 -4.362984e-05 -8.055594e-07
10242.000000 -2.907281e-05 -7.008775e-07 -6.184882e-08 -1.015538e-06 6.630411e-05 3.279467e-04 -5.144593e-05 -4.349973e-06
10247.000000 -2.908421e-05 -7.035682e-07 -6.455922e-08 -1.019180e-06 7.035618e-05 3.303300e-04 -5.692422e-05 -2.612283e-06
10252.000000 -2.920728e-05 -7.065356e-07 -6.422132e-08 -1.027671e-06 6.767081e-05 3.167003e-04 -5.266175e-05 9.927032e-06
10257.000000 -2.922496e-05 -7.082598e-07 -6.181001e-08 -1.031907e-06 6.876941e-05 3.199692e-04 -5.473715e-05 9.923424e-06
10262.000000 -2.916361e-05 -7.098869e-07 -6.148835e-08 -1.032960e-06 7.622046e-05 3.246288e-04 -6.312650e-05 1.229008e-05
10267.000000 -2.916750e-05 -7.139127e-07 -6.275274e-08 -1.036041e-06 6.603930e-05 3.128461e-04 -6.867381e-05 1.786061e-05
10272.000000 -2.907549e-05 -7.165060e-07 -6.352805e-08 -1.034793e-06 6.358624e-05 3.251341e-04 -6.408219e-05 1.508854e-05
10277.000000 -2.904553e-05 -7.174543e-07 -6.303215e-08 -1.037262e-06 6.841903e-05 3.184548e-04 -5.930067e-05 1.307113e-05
10282.000000 -2.889357e-05 -7.176316e-07 -6.222130e-08 -1.034582e-06 7.374915e-05 3.046510e-04 -6.037749e-05 7.756027e-06
10287.000000 -2.892998e-05 -7.224408e-07 -6.297085e-08 -1.038857e-06 6.930929e-05 2.975761e-04 -6.866429e-05 7.983393e-06
10292.000000 -2.885977e-05 -7.241033e-07 -6.490058e-08 -1.038848e-06 6.674303e-05 3.180563e-04 -6.226230e-05 1.070134e-05
10297.000000 -2.889877e-05 -7.279252e-07 -6.628822e-08 -1.043237e-06 5.609119e-05 3.258847e-04 -6.465376e-05 1.137076e-05
10302.000000 -2.891947e-05 -7.309995e-07 -6.609846e-08 -1.046401e-06 5.825161e-05 3.362565e-04 -6.253947e-05 4.155437e-06
10307.000000 -2.884120e-05 -7.333125e-07 -6.620558e-08 -1.046093e-06 5.618477e-05 3.425965e-04 -3.899310e-05 1.963386e-05
10312.000000 -2.882245e-05 -7.359711e-07 -6.653397e-08 -1.048839e-06 5.509561e-05 3.587101e-04 -3.816484e-05 1.202559e-05
10317.000000 -2.878696e-05 -7.392788e-07 -6.652624e-08 -1.050917e-06 5.499466e-05 3.247263e-04 -4.820719e-05 7.883134e-06
10322.000000 -2.879142e-05 -7.423708e-07 -6.614365e-08 -1.054678e-06 6.553390e-05 3.213274e-04 -4.367272e-05 5.923009e-06
10327.000000 -2.872749e-05 -7.448501e-07 -6.548121e-08 -1.055151e-06 7.148953e-05 3.143993e-04 -5.408734e-05 1.392853e-06
10332.000000 -2.863133e-05 -7.452476e-07 -6.488975e-08 -1.055518e-06 6.524682e-05 3.289205e-04 -5.234974e-05 3.751711e-06
10337.000000 -2.873388e-05 -7.491196e-07 -6.511954e-08 -1.062874e-06 6.284016e-05 3.401582e-04 -6.501917e-05 9.506193e-06
10341.000000 -2.866154e-05 -7.509049e-07 -6.556913e-08 -1.063167e-06 6.360440e-05 3.225356e-04 -6.269066e-05 8.878919e-06
10344.000000 -2.860464e-05 -7.498335e-07 -6.631766e-08 -1.064163e-06 6.791607e-05 3.212003e-04 -5.417322e-05 1.494555e-05
10346.000000 -2.858464e-05 -7.493790e-07 -6.683305e-08 -1.065712e-06 7.753546e-05 3.316132e-04 -4.828546e-05 2.023610e-05
10347.000000 -2.860950e-05 -7.490534e-07 -6.723040e-08 -1.067976e-06 8.368827e-05 3.384018e-04 -3.331449e-05 2.958004e-05
10347.200000 -2.861406e-05 -7.481575e-07 -6.729453e-08 -1.068741e-06 8.372812e-05 3.448606e-04 -3.867356e-05 3.485218e-05
10347.400000 -2.859553e-05 -7.472703e-07 -6.739089e-08 -1.068189e-06 8.606599e-05 3.492205e-04 -4.124028e-05 4.045995e-05
10347.600000 -2.859405e-05 -7.510113e-07 -6.792229e-08 -1.068135e-06 8.154969e-05 3.538793e-04 -3.737336e-05 2.558682e-05
