# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.67424107022066
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999878
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1650.003174
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370961
# Scan.uid: 1930d068-66c1-49de-9dcc-edc2825dbc59
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:47:52.558477
# Scan.end_time: 06/23/2023  03:48:26.610822
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 248.60000000000002
# SampleHeater.voltage.setpoint: 0.6424446830521684
# SampleHeater.voltage.readback: 0.652
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.97
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.992839e-05 -6.826221e-07 -1.977761e-07 -1.012475e-06 5.140462e-05 2.559446e-04 -7.701729e-05 4.215530e-05
10172.000000 -2.977088e-05 -6.774138e-07 -1.952422e-07 -1.009213e-06 4.525552e-05 2.608863e-04 -6.817756e-05 4.654657e-05
10177.000000 -2.969123e-05 -6.769418e-07 -1.933423e-07 -1.008251e-06 4.615656e-05 2.389152e-04 -6.094051e-05 4.639784e-05
10182.000000 -2.961518e-05 -6.767317e-07 -1.898916e-07 -1.007716e-06 3.625116e-05 2.589146e-04 -7.081397e-05 4.394883e-05
10187.000000 -2.965229e-05 -6.774107e-07 -1.827536e-07 -1.012321e-06 3.877413e-05 2.719496e-04 -6.776332e-05 4.063473e-05
10192.000000 -2.968568e-05 -6.801687e-07 -1.675246e-07 -1.015861e-06 4.228452e-05 2.544565e-04 -6.520816e-05 4.137774e-05
10197.000000 -2.968403e-05 -6.825438e-07 -1.228236e-07 -1.018326e-06 4.094422e-05 2.403076e-04 -6.261700e-05 3.761306e-05
10202.000000 -2.962831e-05 -6.835647e-07 -3.862893e-08 -1.018705e-06 3.909027e-05 2.311330e-04 -6.932883e-05 5.210146e-05
10207.000000 -2.959767e-05 -6.853164e-07 -1.669632e-08 -1.020276e-06 4.391049e-05 2.283332e-04 -6.437156e-05 5.233662e-05
10212.000000 -2.959352e-05 -6.866853e-07 -3.380628e-08 -1.023495e-06 3.796893e-05 2.644015e-04 -6.437808e-05 5.192218e-05
10217.000000 -2.955695e-05 -6.874274e-07 -4.340442e-08 -1.024777e-06 4.311587e-05 2.708972e-04 -7.757480e-05 3.754142e-05
10222.000000 -2.952016e-05 -6.885061e-07 -5.116109e-08 -1.025948e-06 4.840110e-05 2.781448e-04 -7.085097e-05 4.478337e-05
10227.000000 -2.944172e-05 -6.904718e-07 -5.646307e-08 -1.025424e-06 5.323673e-05 2.643417e-04 -7.561150e-05 4.936991e-05
10232.000000 -2.932574e-05 -6.917784e-07 -5.845584e-08 -1.023237e-06 4.614900e-05 2.416388e-04 -6.612963e-05 5.865261e-05
10237.000000 -2.936770e-05 -6.944203e-07 -6.019325e-08 -1.028341e-06 5.812868e-05 2.480658e-04 -6.714541e-05 6.539138e-05
10242.000000 -2.935468e-05 -6.974273e-07 -6.144784e-08 -1.030537e-06 6.600510e-05 2.587311e-04 -7.091109e-05 6.489130e-05
10247.000000 -2.924995e-05 -6.999510e-07 -6.432292e-08 -1.029117e-06 5.697891e-05 2.700972e-04 -8.104562e-05 5.990820e-05
10252.000000 -2.922363e-05 -7.018611e-07 -6.387607e-08 -1.030971e-06 5.574236e-05 2.664759e-04 -7.552496e-05 5.981075e-05
10257.000000 -2.926291e-05 -7.039562e-07 -6.140298e-08 -1.036226e-06 5.056639e-05 2.691783e-04 -8.439605e-05 5.620124e-05
10262.000000 -2.912947e-05 -7.055419e-07 -6.106583e-08 -1.033534e-06 4.616679e-05 2.709998e-04 -8.866676e-05 5.560394e-05
10267.000000 -2.918566e-05 -7.101348e-07 -6.254829e-08 -1.038455e-06 4.315873e-05 2.429697e-04 -8.795129e-05 6.142535e-05
10272.000000 -2.916731e-05 -7.126421e-07 -6.312458e-08 -1.040703e-06 4.702348e-05 2.042917e-04 -9.370373e-05 5.441106e-05
10277.000000 -2.912947e-05 -7.136284e-07 -6.272520e-08 -1.042855e-06 4.630623e-05 1.900491e-04 -8.598405e-05 5.810859e-05
10282.000000 -2.895850e-05 -7.145158e-07 -6.207848e-08 -1.039033e-06 4.457479e-05 1.878119e-04 -9.093158e-05 5.190926e-05
10287.000000 -2.895127e-05 -7.192039e-07 -6.294077e-08 -1.040738e-06 4.822005e-05 2.243275e-04 -7.888313e-05 5.215909e-05
10292.000000 -2.897678e-05 -7.222426e-07 -6.496020e-08 -1.045000e-06 4.935578e-05 2.391783e-04 -9.106755e-05 5.644041e-05
10297.000000 -2.896446e-05 -7.255594e-07 -6.607924e-08 -1.047493e-06 4.391365e-05 2.480309e-04 -9.398223e-05 5.598926e-05
10302.000000 -2.899480e-05 -7.302466e-07 -6.593811e-08 -1.051401e-06 3.487544e-05 2.161524e-04 -9.543447e-05 5.205385e-05
10307.000000 -2.892850e-05 -7.329346e-07 -6.599956e-08 -1.051354e-06 4.445875e-05 2.173419e-04 -8.539115e-05 5.612294e-05
10312.000000 -2.886316e-05 -7.360227e-07 -6.668541e-08 -1.051800e-06 4.108427e-05 2.228448e-04 -7.579152e-05 4.894444e-05
10317.000000 -2.888670e-05 -7.389038e-07 -6.648299e-08 -1.056516e-06 3.997133e-05 2.626458e-04 -7.481363e-05 3.507205e-05
10322.000000 -2.884934e-05 -7.416728e-07 -6.587902e-08 -1.058251e-06 3.676923e-05 2.696579e-04 -7.195404e-05 4.495796e-05
10327.000000 -2.879545e-05 -7.431328e-07 -6.526226e-08 -1.059475e-06 4.179136e-05 2.731955e-04 -7.326898e-05 4.642666e-05
10332.000000 -2.862484e-05 -7.429222e-07 -6.481362e-08 -1.056300e-06 4.409842e-05 2.767501e-04 -8.056364e-05 4.812167e-05
10337.000000 -2.869614e-05 -7.498783e-07 -6.527076e-08 -1.061811e-06 5.341373e-05 3.065453e-04 -7.398546e-05 5.997852e-05
10341.000000 -2.873847e-05 -7.511101e-07 -6.571430e-08 -1.068183e-06 3.741281e-05 3.085159e-04 -6.713169e-05 6.321976e-05
10344.000000 -2.871206e-05 -7.520513e-07 -6.653243e-08 -1.070222e-06 2.619884e-05 3.047711e-04 -7.382701e-05 5.412711e-05
10346.000000 -2.865540e-05 -7.521089e-07 -6.720362e-08 -1.070237e-06 3.227926e-05 3.091108e-04 -7.880719e-05 5.874417e-05
10347.000000 -2.865138e-05 -7.525009e-07 -6.754023e-08 -1.071165e-06 4.493893e-05 2.981030e-04 -7.737553e-05 5.773594e-05
10347.200000 -2.866757e-05 -7.533503e-07 -6.768178e-08 -1.072123e-06 4.664959e-05 2.908524e-04 -8.331639e-05 5.595587e-05
10347.400000 -2.866479e-05 -7.515078e-07 -6.759886e-08 -1.072533e-06 4.540218e-05 3.114299e-04 -7.709014e-05 6.277499e-05
10347.600000 -2.866262e-05 -7.534490e-07 -6.803099e-08 -1.072257e-06 3.966852e-05 3.095462e-04 -8.515666e-05 5.847202e-05
10347.800000 -2.863441e-05 -7.538424e-07 -6.833411e-08 -1.071581e-06 4.124340e-05 2.986457e-04 -8.122410e-05 5.003597e-05
10348.000000 -2.861547e-05 -7.511147e-07 -6.820754e-08 -1.071117e-06 4.410450e-05 3.027159e-04 -7.862574e-05 4.108976e-05
10348.200000 -2.860158e-05 -7.529076e-07 -6.847502e-08 -1.070761e-06 4.606026e-05 3.111457e-04 -7.805064e-05 4.288021e-05
10348.400000 -2.853745e-05 -7.515574e-07 -6.843962e-08 -1.067184e-06 4.665250e-05 3.199084e-04 -7.789961e-05 4.255856e-05
10348.600000 -2.860321e-05 -7.525249e-07 -6.838451e-08 -1.071398e-06 4.893727e-05 3.155911e-04 -8.626315e-05 3.686084e-05
10348.800000 -2.864209e-05 -7.527291e-07 -6.853839e-08 -1.073728e-06 4.351487e-05 3.037451e-04 -8.288341e-05 3.315802e-05
10349.000000 -2.864565e-05 -7.529647e-07 -6.868463e-08 -1.074074e-06 3.779307e-05 3.189128e-04 -7.989036e-05 4.150348e-05
10349.200000 -2.865032e-05 -7.536795e-07 -6.880634e-08 -1.074407e-06 3.466005e-05 2.990256e-04 -7.747310e-05 4.390757e-05
10349.400000 -2.861112e-05 -7.537965e-07 -6.874655e-08 -1.072789e-06 3.274338e-05 3.035544e-04 -6.111287e-05 5.775217e-05
10349.600000 -2.854535e-05 -7.538690e-07 -6.888005e-08 -1.069243e-06 3.111915e-05 3.242952e-04 -6.350143e-05 6.338307e-05
10349.800000 -2.854035e-05 -7.532654e-07 -6.882111e-08 -1.069143e-06 2.422599e-05 3.369390e-04 -5.808169e-05 6.241430e-05
10350.000000 -2.850663e-05 -7.500508e-07 -6.857760e-08 -1.068136e-06 3.010866e-05 3.267794e-04 -6.486937e-05 4.381197e-05
10350.200000 -2.856150e-05 -7.534409e-07 -6.891505e-08 -1.071003e-06 2.206295e-05 3.308528e-04 -7.645107e-05 3.579499e-05
10350.400000 -2.860343e-05 -7.532837e-07 -6.886956e-08 -1.073515e-06 1.787063e-05 3.218026e-04 -7.845076e-05 5.201681e-05
10350.600000 -2.865153e-05 -7.538012e-07 -6.896288e-08 -1.076458e-06 1.292863e-05 3.225999e-04 -7.389784e-05 4.656747e-05
10350.800000 -2.867285e-05 -7.538241e-07 -6.870979e-08 -1.077949e-06 1.569458e-05 3.508363e-04 -6.169778e-05 4.273395e-05
10351.000000 -2.864171e-05 -7.548100e-07 -6.882001e-08 -1.076532e-06 1.273350e-05 3.487584e-04 -6.598748e-05 4.850490e-05
10351.200000 -2.858682e-05 -7.527032e-07 -6.869273e-08 -1.074693e-06 1.233901e-05 3.466431e-04 -7.246071e-05 5.195660e-05
10351.400000 -2.853999e-05 -7.554930e-07 -6.915181e-08 -1.072363e-06 7.924163e-06 3.330035e-04 -7.648324e-05 4.256775e-05
10351.600000 -2.851372e-05 -7.500120e-07 -6.890944e-08 -1.072025e-06 1.182290e-05 3.506992e-04 -7.530131e-05 3.948614e-05
10351.800000 -2.857183e-05 -7.527571e-07 -6.929453e-08 -1.075102e-06 3.481243e-06 3.340456e-04 -6.665052e-05 4.571555e-05
10352.000000 -2.849924e-05 -7.461839e-07 -6.890669e-08 -1.073094e-06 6.949737e-06 3.228957e-04 -7.058071e-05 4.084172e-05
10352.200000 -2.851617e-05 -7.509747e-07 -6.930878e-08 -1.073923e-06 9.996572e-06 3.333203e-04 -8.286445e-05 3.508310e-05
10352.400000 -2.860002e-05 -7.531233e-07 -6.958330e-08 -1.078426e-06 1.844243e-05 3.154534e-04 -6.726384e-05 3.420515e-05
10352.600000 -2.861800e-05 -7.514209e-07 -6.947498e-08 -1.079986e-06 1.334139e-05 3.092561e-04 -5.419052e-05 4.652279e-05
