# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2343526259014
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370971
# Scan.uid: 3a17afc8-e909-4714-8405-02be19426dba
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:57:46.548937
# Scan.end_time: 06/23/2023  03:58:19.984607
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 56.95802307128906
# SampleHeater.temperature2.readback: 65.10000000000001
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.24
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.996602e-05 -6.910414e-07 -2.005920e-07 -9.990495e-07 3.342638e-05 1.103784e-04 -3.504194e-05 2.145944e-06
10172.000000 -2.986189e-05 -6.872872e-07 -1.985872e-07 -9.973476e-07 4.175395e-05 1.136920e-04 -4.132332e-05 8.781419e-06
10177.000000 -2.977774e-05 -6.872885e-07 -1.965789e-07 -9.956069e-07 3.209255e-05 8.037833e-05 -3.528006e-05 1.180954e-05
10182.000000 -2.966385e-05 -6.863375e-07 -1.926469e-07 -9.939974e-07 3.006191e-05 6.685588e-05 -3.598588e-05 9.352855e-06
10187.000000 -2.969101e-05 -6.861962e-07 -1.855567e-07 -9.978643e-07 3.928942e-05 8.146849e-05 -3.493018e-05 1.902165e-05
10192.000000 -2.973391e-05 -6.899786e-07 -1.704640e-07 -1.002064e-06 3.820258e-05 6.735782e-05 -4.109828e-05 1.217692e-05
10197.000000 -2.977842e-05 -6.933378e-07 -1.254998e-07 -1.006458e-06 3.747614e-05 7.566944e-05 -3.337520e-05 1.173043e-05
10202.000000 -2.971362e-05 -6.958657e-07 -4.001899e-08 -1.006655e-06 4.010152e-05 1.109829e-04 -3.301206e-05 1.565945e-05
10207.000000 -2.963998e-05 -6.971430e-07 -1.648593e-08 -1.006564e-06 3.332781e-05 1.184921e-04 -4.465811e-05 1.477653e-05
10212.000000 -2.969386e-05 -6.997642e-07 -3.424591e-08 -1.011167e-06 2.879456e-05 1.113407e-04 -5.077038e-05 1.347713e-05
10217.000000 -2.963447e-05 -7.008146e-07 -4.441473e-08 -1.011075e-06 3.029202e-05 8.856139e-05 -5.614596e-05 4.958490e-06
10222.000000 -2.956476e-05 -7.016834e-07 -5.239790e-08 -1.010921e-06 3.504401e-05 9.326419e-05 -4.437729e-05 3.584612e-07
10227.000000 -2.956442e-05 -7.041968e-07 -5.799953e-08 -1.013302e-06 3.250057e-05 9.915294e-05 -3.529335e-05 4.781400e-06
10232.000000 -2.942065e-05 -7.051177e-07 -6.002180e-08 -1.010531e-06 3.779210e-05 1.130154e-04 -3.167391e-05 8.661802e-06
10237.000000 -2.943410e-05 -7.086356e-07 -6.168187e-08 -1.014128e-06 3.424920e-05 1.095218e-04 -3.100371e-05 1.037635e-05
10242.000000 -2.939973e-05 -7.105843e-07 -6.288860e-08 -1.015654e-06 3.476998e-05 9.144736e-05 -3.188646e-05 1.298577e-05
10247.000000 -2.925486e-05 -7.092911e-07 -6.523687e-08 -1.012833e-06 3.015384e-05 7.931657e-05 -2.883741e-05 1.316576e-05
10252.000000 -2.932243e-05 -7.130154e-07 -6.517301e-08 -1.018249e-06 4.611448e-05 7.571529e-05 -2.060903e-05 4.015582e-06
10257.000000 -2.932699e-05 -7.169998e-07 -6.297680e-08 -1.021503e-06 3.462314e-05 9.901633e-05 -2.766806e-05 -1.316748e-05
10262.000000 -2.917312e-05 -7.176228e-07 -6.266315e-08 -1.018135e-06 4.079090e-05 8.870794e-05 -2.391672e-05 1.136322e-06
10267.000000 -2.922651e-05 -7.207976e-07 -6.398571e-08 -1.022923e-06 4.618218e-05 7.390541e-05 -2.473622e-05 1.220807e-05
10272.000000 -2.926193e-05 -7.238463e-07 -6.440434e-08 -1.027344e-06 4.302946e-05 8.472847e-05 -1.753238e-05 8.245011e-06
10277.000000 -2.919546e-05 -7.255333e-07 -6.417578e-08 -1.027938e-06 5.016019e-05 1.004520e-04 -2.490348e-05 5.706608e-06
10282.000000 -2.904853e-05 -7.257605e-07 -6.318321e-08 -1.025612e-06 4.642628e-05 1.009080e-04 -2.730623e-05 -1.076983e-06
10287.000000 -2.906554e-05 -7.293926e-07 -6.412618e-08 -1.028946e-06 4.999467e-05 1.012431e-04 -4.168943e-05 1.396280e-05
10292.000000 -2.905837e-05 -7.322091e-07 -6.611874e-08 -1.031614e-06 3.712981e-05 1.021424e-04 -3.577446e-05 1.213847e-05
10297.000000 -2.900050e-05 -7.351666e-07 -6.714144e-08 -1.032476e-06 2.957135e-05 9.732099e-05 -3.036565e-05 3.167111e-06
10302.000000 -2.899637e-05 -7.383595e-07 -6.692469e-08 -1.035578e-06 2.911359e-05 8.470959e-05 -3.185182e-05 1.253669e-05
10307.000000 -2.898437e-05 -7.417340e-07 -6.707262e-08 -1.038545e-06 2.977739e-05 6.392873e-05 -2.719234e-05 8.577705e-06
10312.000000 -2.891035e-05 -7.434905e-07 -6.741211e-08 -1.039180e-06 1.900855e-05 6.212504e-05 -4.070291e-05 1.103958e-05
10317.000000 -2.883616e-05 -7.450858e-07 -6.710804e-08 -1.039996e-06 2.696287e-05 8.715377e-05 -3.541111e-05 1.263861e-05
10322.000000 -2.887622e-05 -7.488974e-07 -6.680582e-08 -1.045800e-06 3.131480e-05 9.069366e-05 -2.175657e-05 1.055710e-05
10327.000000 -2.882453e-05 -7.505369e-07 -6.616660e-08 -1.047718e-06 3.065845e-05 1.101313e-04 -2.238235e-05 -1.015970e-06
10332.000000 -2.870605e-05 -7.517451e-07 -6.572933e-08 -1.047527e-06 3.825936e-05 1.256427e-04 -2.844818e-05 7.364509e-06
10337.000000 -2.875053e-05 -7.548658e-07 -6.592944e-08 -1.052730e-06 4.333133e-05 1.660367e-04 -3.100463e-05 1.818704e-05
10341.000000 -2.874757e-05 -7.570199e-07 -6.635992e-08 -1.056599e-06 4.097171e-05 1.903154e-04 -3.398579e-05 1.620476e-05
10344.000000 -2.872835e-05 -7.586937e-07 -6.708713e-08 -1.059306e-06 4.326675e-05 1.726060e-04 -3.624700e-05 1.572716e-05
10346.000000 -2.868551e-05 -7.587061e-07 -6.799650e-08 -1.060225e-06 4.935955e-05 1.370718e-04 -4.570077e-05 1.278219e-05
10347.000000 -2.866949e-05 -7.591117e-07 -6.845560e-08 -1.060700e-06 4.726905e-05 1.357207e-04 -4.343678e-05 1.811224e-05
10347.200000 -2.861598e-05 -7.569521e-07 -6.843276e-08 -1.058635e-06 4.125257e-05 1.316083e-04 -4.736427e-05 1.357657e-05
10347.400000 -2.860594e-05 -7.560159e-07 -6.838882e-08 -1.058561e-06 4.919336e-05 1.285663e-04 -3.572129e-05 1.480450e-05
10347.600000 -2.865162e-05 -7.598121e-07 -6.866466e-08 -1.061112e-06 4.900852e-05 1.465766e-04 -2.819604e-05 1.267780e-05
