# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.970807069857
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996582
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1649.994263
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370975
# Scan.uid: ae6e98d8-1a21-4fff-b3b2-71a3f70ac0ab
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:15:03.008703
# Scan.end_time: 06/23/2023  04:15:36.537364
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.200000000000003
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.57
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.478853e-05 -3.329196e-07 -2.209989e-07 -3.144676e-07 8.072457e-05 6.746788e-04 1.507166e-06 1.021397e-04
 8784.000000 -3.490901e-05 -3.293298e-07 -2.186476e-07 -3.163036e-07 8.027148e-05 6.816171e-04 1.610856e-06 9.271870e-05
 8789.000000 -3.486793e-05 -3.279041e-07 -2.177360e-07 -3.167950e-07 8.619109e-05 6.665667e-04 4.252734e-07 9.599777e-05
 8794.000000 -3.472635e-05 -3.269101e-07 -2.171707e-07 -3.161062e-07 9.126648e-05 6.680697e-04 1.387197e-07 9.647925e-05
 8799.000000 -3.430518e-05 -3.231609e-07 -2.148736e-07 -3.132994e-07 9.285388e-05 6.696226e-04 -4.550901e-06 1.008476e-04
 8804.000000 -3.458261e-05 -3.255673e-07 -2.164823e-07 -3.164995e-07 8.470610e-05 6.513125e-04 -2.542809e-06 1.038759e-04
 8809.000000 -3.452812e-05 -3.251464e-07 -2.163852e-07 -3.165173e-07 8.980727e-05 6.510493e-04 -7.838684e-06 1.026580e-04
 8814.000000 -3.431449e-05 -3.241996e-07 -2.158630e-07 -3.150422e-07 8.721459e-05 6.451835e-04 -4.789658e-06 9.163069e-05
 8819.000000 -3.426833e-05 -3.255632e-07 -2.169826e-07 -3.152983e-07 8.306102e-05 6.350593e-04 -5.444244e-06 9.466961e-05
 8824.000000 -3.427933e-05 -3.241870e-07 -2.162796e-07 -3.160932e-07 7.614122e-05 6.497680e-04 -9.745965e-06 9.223060e-05
 8829.000000 -3.413478e-05 -3.264239e-07 -2.178691e-07 -3.158927e-07 7.296057e-05 6.524741e-04 -8.065356e-06 9.516374e-05
 8834.000000 -3.407009e-05 -3.267144e-07 -2.181331e-07 -3.164639e-07 8.036852e-05 6.543746e-04 -3.344381e-06 9.606738e-05
 8839.000000 -3.399702e-05 -3.254972e-07 -2.176214e-07 -3.168555e-07 8.577592e-05 6.555842e-04 1.174074e-06 9.014653e-05
 8844.000000 -3.389249e-05 -3.263113e-07 -2.182452e-07 -3.170907e-07 7.264388e-05 6.553037e-04 4.412496e-06 9.627940e-05
 8849.000000 -3.373408e-05 -3.283634e-07 -2.198517e-07 -3.167495e-07 8.032273e-05 6.828275e-04 -3.432561e-06 9.581626e-05
 8854.000000 -3.364505e-05 -3.281268e-07 -2.198128e-07 -3.168270e-07 7.503725e-05 6.684416e-04 -5.066169e-06 9.869282e-05
 8859.000000 -3.357558e-05 -3.288262e-07 -2.206088e-07 -3.171707e-07 7.910999e-05 6.607391e-04 -1.379245e-05 9.682370e-05
 8864.000000 -3.347518e-05 -3.310068e-07 -2.221260e-07 -3.171859e-07 8.242778e-05 6.773572e-04 -1.172143e-05 1.028560e-04
 8869.000000 -3.327485e-05 -3.335028e-07 -2.239143e-07 -3.163642e-07 8.601589e-05 6.687870e-04 -1.787723e-05 1.035885e-04
 8874.000000 -3.312508e-05 -3.358070e-07 -2.253437e-07 -3.158731e-07 8.429578e-05 6.676736e-04 -6.545589e-06 9.891305e-05
 8879.000000 -3.296415e-05 -3.386425e-07 -2.276082e-07 -3.153215e-07 7.519387e-05 6.551848e-04 -6.112265e-06 9.790625e-05
 8884.000000 -3.280660e-05 -3.374807e-07 -2.269238e-07 -3.148805e-07 7.579396e-05 6.773689e-04 -2.282379e-06 1.000341e-04
 8889.000000 -3.264211e-05 -3.364397e-07 -2.264140e-07 -3.145131e-07 7.300250e-05 6.800475e-04 1.149023e-06 9.436623e-05
 8894.000000 -3.281454e-05 -3.405746e-07 -2.294076e-07 -3.164143e-07 7.510482e-05 6.979546e-04 -1.509180e-06 9.181802e-05
 8899.000000 -3.259643e-05 -3.433089e-07 -2.314220e-07 -3.152093e-07 7.191495e-05 6.817496e-04 -3.262638e-06 1.001421e-04
 8904.000000 -3.252732e-05 -3.440338e-07 -2.318475e-07 -3.149224e-07 7.142217e-05 6.872678e-04 -2.034859e-07 1.000844e-04
 8909.000000 -3.238083e-05 -3.460500e-07 -2.333287e-07 -3.137847e-07 7.136456e-05 6.759138e-04 6.549090e-06 1.043974e-04
 8914.000000 -3.216914e-05 -3.449475e-07 -2.327433e-07 -3.121778e-07 6.502940e-05 6.560015e-04 -6.099729e-06 1.018605e-04
 8919.000000 -3.206811e-05 -3.475059e-07 -2.347118e-07 -3.121785e-07 6.818404e-05 6.441296e-04 -1.464245e-05 9.711100e-05
 8924.000000 -3.191204e-05 -3.487690e-07 -2.354484e-07 -3.118555e-07 7.335806e-05 6.449808e-04 -1.613285e-05 9.546287e-05
 8929.000000 -3.194346e-05 -3.517646e-07 -2.374517e-07 -3.134616e-07 7.269219e-05 6.572069e-04 -1.675479e-05 1.077574e-04
 8934.000000 -3.178102e-05 -3.554423e-07 -2.399968e-07 -3.132728e-07 8.063800e-05 6.599907e-04 -1.543408e-05 1.142008e-04
 8939.000000 -3.160168e-05 -3.576709e-07 -2.414708e-07 -3.128838e-07 8.147060e-05 6.259051e-04 -1.915838e-05 1.085683e-04
 8944.000000 -3.153856e-05 -3.573630e-07 -2.412273e-07 -3.129631e-07 7.961962e-05 6.357779e-04 -2.676116e-05 1.068228e-04
 8949.000000 -3.143553e-05 -3.574321e-07 -2.412316e-07 -3.127835e-07 7.828826e-05 6.368277e-04 -2.035559e-05 1.168278e-04
 8953.000000 -3.134960e-05 -3.572273e-07 -2.407502e-07 -3.129687e-07 7.221423e-05 6.434442e-04 -2.273482e-05 1.156499e-04
 8956.000000 -3.129399e-05 -3.574555e-07 -2.405276e-07 -3.132049e-07 8.182304e-05 6.382758e-04 -2.960779e-05 1.208474e-04
 8958.000000 -3.121438e-05 -3.581110e-07 -2.407669e-07 -3.129735e-07 8.602213e-05 6.330976e-04 -2.698064e-05 1.175053e-04
 8959.000000 -3.125516e-05 -3.566542e-07 -2.398736e-07 -3.134721e-07 8.088902e-05 6.518617e-04 -2.502322e-05 1.142770e-04
 8959.200000 -3.125997e-05 -3.578667e-07 -2.407116e-07 -3.133593e-07 7.566711e-05 6.653049e-04 -2.701978e-05 1.030944e-04
 8959.400000 -3.128515e-05 -3.564272e-07 -2.396645e-07 -3.138833e-07 7.777616e-05 6.349884e-04 -2.845506e-05 1.074685e-04
 8959.600000 -3.128218e-05 -3.583571e-07 -2.409178e-07 -3.138104e-07 8.387032e-05 6.232884e-04 -2.294887e-05 1.096500e-04
