# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5519597930117
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1650.003662
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370976
# Scan.uid: ab5cdcb3-8d68-4fb0-aaf7-21434b087868
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:16:04.062283
# Scan.end_time: 06/23/2023  04:16:37.680028
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.0
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.71
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.4973958730697632
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.976859e-05 -6.844398e-07 -2.015322e-07 -9.998512e-07 8.199272e-05 5.743175e-04 -2.671514e-05 1.057545e-04
10172.000000 -2.961842e-05 -6.823074e-07 -1.999143e-07 -9.954609e-07 8.177899e-05 5.690156e-04 -2.282647e-05 9.849628e-05
10177.000000 -2.949414e-05 -6.828578e-07 -1.981805e-07 -9.914033e-07 7.657670e-05 5.472108e-04 -1.904982e-05 9.619981e-05
10182.000000 -2.947644e-05 -6.818687e-07 -1.943604e-07 -9.932226e-07 7.590504e-05 5.560915e-04 -2.059847e-05 9.933194e-05
10187.000000 -2.953164e-05 -6.816034e-07 -1.869224e-07 -9.986594e-07 8.031676e-05 5.477752e-04 -3.368494e-05 9.389893e-05
10192.000000 -2.961259e-05 -6.848619e-07 -1.715770e-07 -1.004507e-06 8.656228e-05 5.392750e-04 -2.859739e-05 1.003297e-04
10197.000000 -2.954535e-05 -6.877790e-07 -1.264799e-07 -1.004292e-06 9.266048e-05 5.591519e-04 -2.474199e-05 9.771210e-05
10202.000000 -2.951404e-05 -6.898745e-07 -4.001508e-08 -1.006241e-06 9.065462e-05 5.818202e-04 -1.841744e-05 1.041514e-04
10207.000000 -2.950334e-05 -6.921122e-07 -1.718238e-08 -1.008320e-06 7.695082e-05 5.859172e-04 -2.524172e-05 8.993527e-05
10212.000000 -2.949950e-05 -6.937345e-07 -3.522109e-08 -1.010690e-06 7.596989e-05 5.731381e-04 -3.098937e-05 9.152053e-05
10217.000000 -2.944271e-05 -6.967734e-07 -4.538238e-08 -1.010573e-06 7.920448e-05 5.848266e-04 -2.719726e-05 9.757471e-05
10222.000000 -2.936732e-05 -6.993850e-07 -5.346146e-08 -1.009695e-06 8.002323e-05 5.777111e-04 -2.608427e-05 1.002695e-04
10227.000000 -2.940188e-05 -7.011185e-07 -5.910172e-08 -1.013519e-06 7.848224e-05 5.884744e-04 -3.125588e-05 9.390354e-05
10232.000000 -2.931996e-05 -7.038310e-07 -6.140563e-08 -1.013140e-06 7.214275e-05 5.731287e-04 -1.577306e-05 9.218789e-05
10237.000000 -2.926228e-05 -7.065884e-07 -6.302084e-08 -1.013597e-06 7.207004e-05 5.809927e-04 -1.375874e-05 9.202490e-05
10242.000000 -2.926473e-05 -7.079576e-07 -6.440249e-08 -1.016967e-06 7.235176e-05 5.718074e-04 -1.554368e-05 8.766385e-05
10247.000000 -2.921122e-05 -7.081315e-07 -6.669290e-08 -1.018200e-06 7.417352e-05 5.743277e-04 -2.508479e-05 9.175594e-05
10252.000000 -2.921556e-05 -7.103066e-07 -6.639736e-08 -1.021056e-06 6.994367e-05 5.649890e-04 -1.532992e-05 1.016062e-04
10257.000000 -2.916665e-05 -7.125071e-07 -6.388463e-08 -1.021787e-06 7.442748e-05 5.614743e-04 -1.872262e-05 8.722596e-05
10262.000000 -2.906051e-05 -7.140616e-07 -6.363402e-08 -1.020301e-06 7.325215e-05 5.637966e-04 -2.264541e-05 8.628749e-05
10267.000000 -2.908591e-05 -7.169776e-07 -6.482073e-08 -1.024227e-06 6.976553e-05 5.615696e-04 -2.265149e-05 8.299675e-05
10272.000000 -2.908491e-05 -7.187914e-07 -6.563774e-08 -1.027233e-06 7.303691e-05 5.624957e-04 -1.569402e-05 8.838232e-05
10277.000000 -2.902406e-05 -7.197303e-07 -6.515857e-08 -1.028063e-06 6.764682e-05 5.803238e-04 -1.396688e-05 9.752507e-05
10282.000000 -2.888792e-05 -7.190243e-07 -6.440313e-08 -1.026251e-06 7.374675e-05 5.652896e-04 -9.796287e-06 9.753855e-05
10287.000000 -2.890913e-05 -7.224097e-07 -6.505323e-08 -1.029784e-06 7.355862e-05 5.696094e-04 -1.942368e-05 8.983680e-05
10292.000000 -2.882597e-05 -7.253796e-07 -6.739101e-08 -1.029225e-06 7.096334e-05 5.584919e-04 -2.177097e-05 9.452440e-05
10297.000000 -2.886980e-05 -7.277997e-07 -6.822491e-08 -1.034818e-06 7.363542e-05 5.757366e-04 -2.173427e-05 9.356201e-05
10302.000000 -2.887989e-05 -7.313665e-07 -6.797078e-08 -1.038212e-06 7.280334e-05 5.998100e-04 -1.330008e-05 9.336188e-05
10307.000000 -2.882139e-05 -7.345035e-07 -6.814738e-08 -1.038490e-06 7.818403e-05 6.232953e-04 -1.431786e-05 1.006800e-04
10312.000000 -2.879169e-05 -7.382588e-07 -6.851937e-08 -1.040048e-06 8.051910e-05 6.121654e-04 -1.602494e-05 9.429160e-05
10317.000000 -2.874751e-05 -7.411720e-07 -6.818417e-08 -1.041852e-06 8.171405e-05 6.006008e-04 -1.306149e-05 9.227248e-05
10322.000000 -2.874126e-05 -7.448745e-07 -6.783800e-08 -1.045505e-06 7.006539e-05 6.009716e-04 -1.530892e-05 8.584162e-05
10327.000000 -2.867707e-05 -7.472408e-07 -6.740693e-08 -1.046886e-06 7.172598e-05 5.938490e-04 -1.459508e-05 9.195935e-05
10332.000000 -2.856091e-05 -7.465457e-07 -6.678938e-08 -1.046948e-06 6.793348e-05 5.671501e-04 -1.260167e-05 8.550813e-05
10337.000000 -2.860624e-05 -7.470261e-07 -6.659624e-08 -1.052038e-06 6.456843e-05 5.975682e-04 -1.371960e-05 9.257108e-05
10341.000000 -2.861106e-05 -7.478536e-07 -6.711026e-08 -1.056439e-06 5.577768e-05 5.999472e-04 -2.032669e-05 9.372067e-05
10344.000000 -2.856430e-05 -7.478673e-07 -6.807296e-08 -1.057935e-06 5.853550e-05 5.994165e-04 -2.293080e-05 9.211690e-05
10346.000000 -2.852920e-05 -7.481967e-07 -6.880725e-08 -1.058868e-06 6.361685e-05 5.792764e-04 -1.487127e-05 8.413803e-05
10347.000000 -2.850460e-05 -7.476516e-07 -6.894163e-08 -1.059185e-06 7.485248e-05 5.571165e-04 -1.782821e-05 8.365361e-05
10347.200000 -2.846999e-05 -7.477432e-07 -6.918524e-08 -1.057427e-06 7.666857e-05 5.642936e-04 -2.112113e-05 8.281444e-05
10347.400000 -2.842228e-05 -7.469991e-07 -6.919914e-08 -1.055771e-06 7.670589e-05 5.658038e-04 -1.633979e-05 8.679761e-05
10347.600000 -2.848194e-05 -7.512664e-07 -6.964895e-08 -1.058891e-06 7.722771e-05 5.809745e-04 -1.702125e-05 8.713978e-05
