# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.17776634831137
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370978
# Scan.uid: 7fb03809-8c10-4c71-9a74-f92fb66847c2
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:18:05.531326
# Scan.end_time: 06/23/2023  04:18:39.071577
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 26.900000000000002
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.73
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.974783e-05 -6.879845e-07 -2.011194e-07 -9.965077e-07 7.939503e-05 5.410655e-04 -3.794665e-05 4.502455e-05
10172.000000 -2.959520e-05 -6.827462e-07 -1.988062e-07 -9.925563e-07 8.910232e-05 4.920069e-04 -5.068338e-05 4.264599e-05
10177.000000 -2.965878e-05 -6.838850e-07 -1.969349e-07 -9.966456e-07 8.896392e-05 4.868273e-04 -4.623715e-05 4.752515e-05
10182.000000 -2.963107e-05 -6.835254e-07 -1.932996e-07 -9.981543e-07 8.883864e-05 4.723446e-04 -3.073831e-05 5.791663e-05
10187.000000 -2.961119e-05 -6.834939e-07 -1.863523e-07 -1.000202e-06 8.550304e-05 4.670397e-04 -1.773014e-05 4.725272e-05
10192.000000 -2.965935e-05 -6.859012e-07 -1.706938e-07 -1.004420e-06 8.032612e-05 4.708894e-04 -1.904990e-05 4.447686e-05
10197.000000 -2.957895e-05 -6.885933e-07 -1.256414e-07 -1.003806e-06 8.001141e-05 4.875036e-04 -2.471701e-05 2.950964e-05
10202.000000 -2.948173e-05 -6.923085e-07 -3.988201e-08 -1.002470e-06 9.151352e-05 4.770226e-04 -1.855759e-05 3.349034e-05
10207.000000 -2.945261e-05 -6.945552e-07 -1.685919e-08 -1.003918e-06 9.930014e-05 4.710306e-04 -1.439878e-05 3.707708e-05
10212.000000 -2.951356e-05 -6.957622e-07 -3.461842e-08 -1.008688e-06 8.985399e-05 4.870753e-04 -1.492420e-05 5.054780e-05
10217.000000 -2.953160e-05 -6.971738e-07 -4.488730e-08 -1.012117e-06 9.366800e-05 4.933323e-04 -2.267688e-05 4.811056e-05
10222.000000 -2.947540e-05 -6.981616e-07 -5.286845e-08 -1.012702e-06 1.045385e-04 4.728581e-04 -2.837777e-05 3.903289e-05
10227.000000 -2.942229e-05 -7.004272e-07 -5.816523e-08 -1.012801e-06 1.043496e-04 4.766003e-04 -3.144171e-05 4.048502e-05
10232.000000 -2.930445e-05 -7.011931e-07 -6.030781e-08 -1.010632e-06 9.292671e-05 4.556161e-04 -4.287442e-05 3.901320e-05
10237.000000 -2.937137e-05 -7.036827e-07 -6.196467e-08 -1.016789e-06 9.777088e-05 4.493270e-04 -3.007429e-05 3.811430e-05
10242.000000 -2.935465e-05 -7.057818e-07 -6.303524e-08 -1.019445e-06 9.860296e-05 4.662582e-04 -2.170849e-05 3.073685e-05
10247.000000 -2.928846e-05 -7.074509e-07 -6.589262e-08 -1.020192e-06 9.010945e-05 4.598713e-04 -2.305838e-05 3.472108e-05
10252.000000 -2.926938e-05 -7.102791e-07 -6.566647e-08 -1.021650e-06 9.090334e-05 4.588858e-04 -2.786896e-05 2.407339e-05
10257.000000 -2.925144e-05 -7.121190e-07 -6.314120e-08 -1.023745e-06 9.941175e-05 4.469383e-04 -1.923084e-05 1.871109e-05
10262.000000 -2.914306e-05 -7.134500e-07 -6.285717e-08 -1.022054e-06 9.209513e-05 4.664282e-04 -1.365288e-05 2.634385e-05
10267.000000 -2.909023e-05 -7.165563e-07 -6.436431e-08 -1.022369e-06 8.352513e-05 4.571999e-04 -1.912559e-05 2.967971e-05
10272.000000 -2.904670e-05 -7.192555e-07 -6.491159e-08 -1.023832e-06 8.494476e-05 4.358861e-04 -1.985807e-05 3.181286e-05
10277.000000 -2.892425e-05 -7.199656e-07 -6.457268e-08 -1.021991e-06 8.031446e-05 4.782882e-04 -2.145582e-05 3.593472e-05
10282.000000 -2.882892e-05 -7.202686e-07 -6.357780e-08 -1.022185e-06 8.477356e-05 4.604001e-04 -2.028861e-05 3.212469e-05
10287.000000 -2.899412e-05 -7.247800e-07 -6.424538e-08 -1.032333e-06 9.713279e-05 4.517623e-04 -2.404223e-05 3.284283e-05
10292.000000 -2.897252e-05 -7.267942e-07 -6.635286e-08 -1.034594e-06 9.889746e-05 4.781534e-04 -2.460812e-05 3.377118e-05
10297.000000 -2.893435e-05 -7.291049e-07 -6.766595e-08 -1.036063e-06 9.522082e-05 4.844182e-04 -2.776271e-05 3.447699e-05
10302.000000 -2.892886e-05 -7.327519e-07 -6.757215e-08 -1.038619e-06 9.490208e-05 4.736733e-04 -2.971837e-05 4.013663e-05
10307.000000 -2.890266e-05 -7.361945e-07 -6.770572e-08 -1.040411e-06 9.618928e-05 4.708933e-04 -3.697553e-05 4.492162e-05
10312.000000 -2.881388e-05 -7.394147e-07 -6.779010e-08 -1.039563e-06 8.567892e-05 4.894578e-04 -3.701817e-05 3.756392e-05
10317.000000 -2.876684e-05 -7.430430e-07 -6.767142e-08 -1.041221e-06 8.774998e-05 4.904224e-04 -2.607944e-05 3.197156e-05
10322.000000 -2.880507e-05 -7.463182e-07 -6.732795e-08 -1.046857e-06 9.102676e-05 4.902933e-04 -1.423813e-05 3.586041e-05
10327.000000 -2.875286e-05 -7.481069e-07 -6.663456e-08 -1.049052e-06 8.321100e-05 4.712560e-04 -7.910429e-06 3.658230e-05
10332.000000 -2.860173e-05 -7.466117e-07 -6.592845e-08 -1.047450e-06 8.772066e-05 4.428939e-04 -1.325424e-05 3.252903e-05
10337.000000 -2.866760e-05 -7.509668e-07 -6.631640e-08 -1.052708e-06 9.520170e-05 4.337811e-04 -1.466647e-05 3.228127e-05
10341.000000 -2.863192e-05 -7.516495e-07 -6.680084e-08 -1.055120e-06 9.392063e-05 4.037589e-04 -2.566764e-05 3.242328e-05
10344.000000 -2.864058e-05 -7.532043e-07 -6.750933e-08 -1.059184e-06 8.564442e-05 4.069123e-04 -2.871857e-05 3.270837e-05
10346.000000 -2.857207e-05 -7.525857e-07 -6.805489e-08 -1.058794e-06 8.974873e-05 4.182391e-04 -3.386100e-05 2.913818e-05
10347.000000 -2.861282e-05 -7.540683e-07 -6.841672e-08 -1.062018e-06 9.743313e-05 4.157899e-04 -2.913402e-05 2.841758e-05
10347.200000 -2.863276e-05 -7.543248e-07 -6.836721e-08 -1.063062e-06 9.719477e-05 4.110345e-04 -3.147844e-05 3.726004e-05
10347.400000 -2.855599e-05 -7.510191e-07 -6.813136e-08 -1.060022e-06 9.593535e-05 4.004833e-04 -3.499420e-05 2.596529e-05
10347.600000 -2.857057e-05 -7.532732e-07 -6.860674e-08 -1.061102e-06 9.365652e-05 3.923092e-04 -3.594330e-05 2.186856e-05
