# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4368079308612
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996704
# Detector.I1.voltage: -1649.994019
# Detector.I2.voltage: -1649.994019
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370974
# Scan.uid: 077272aa-791b-42f6-8a67-e911e56ddf0e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:14:04.045689
# Scan.end_time: 06/23/2023  04:14:38.857010
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 25.8
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.4
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.978461e-05 -6.744619e-07 -1.954543e-07 -1.000075e-06 9.463420e-05 7.084702e-04 8.521681e-06 9.987597e-05
10172.000000 -2.960606e-05 -6.696160e-07 -1.932163e-07 -9.946201e-07 9.685249e-05 7.353507e-04 1.461198e-05 9.268296e-05
10177.000000 -2.952456e-05 -6.701603e-07 -1.913264e-07 -9.925583e-07 9.951746e-05 7.335014e-04 2.511960e-05 9.991140e-05
10182.000000 -2.953235e-05 -6.699258e-07 -1.877249e-07 -9.958846e-07 9.774713e-05 7.421311e-04 2.420234e-05 1.029669e-04
10187.000000 -2.955645e-05 -6.702288e-07 -1.810686e-07 -9.998517e-07 1.033918e-04 7.414863e-04 5.139538e-06 1.112743e-04
10192.000000 -2.960137e-05 -6.738103e-07 -1.661173e-07 -1.003793e-06 1.057697e-04 7.220667e-04 -6.873182e-06 1.104306e-04
10197.000000 -2.956779e-05 -6.754602e-07 -1.218725e-07 -1.005136e-06 1.145919e-04 6.997892e-04 2.952705e-06 1.149289e-04
10202.000000 -2.946627e-05 -6.778859e-07 -3.847070e-08 -1.004039e-06 1.113337e-04 7.037337e-04 2.587431e-06 1.125613e-04
10207.000000 -2.948509e-05 -6.799854e-07 -1.641114e-08 -1.007653e-06 1.098807e-04 7.351700e-04 3.178786e-06 1.051445e-04
10212.000000 -2.946481e-05 -6.827733e-07 -3.354992e-08 -1.009399e-06 1.175157e-04 7.213722e-04 2.363453e-07 1.020749e-04
10217.000000 -2.936840e-05 -6.860046e-07 -4.365580e-08 -1.007233e-06 1.260219e-04 7.207764e-04 7.792095e-06 1.017734e-04
10222.000000 -2.941509e-05 -6.867831e-07 -5.125311e-08 -1.012168e-06 1.199371e-04 6.859127e-04 5.684958e-06 1.093801e-04
10227.000000 -2.938142e-05 -6.883694e-07 -5.643779e-08 -1.013251e-06 1.189445e-04 6.804138e-04 -9.098218e-06 1.013817e-04
10232.000000 -2.926077e-05 -6.903565e-07 -5.880064e-08 -1.010952e-06 1.264240e-04 6.574810e-04 2.485797e-06 1.015838e-04
10237.000000 -2.926113e-05 -6.931429e-07 -6.025308e-08 -1.013737e-06 1.156908e-04 6.608035e-04 1.089468e-05 9.900137e-05
10242.000000 -2.911974e-05 -6.962574e-07 -6.163135e-08 -1.010604e-06 1.161144e-04 6.479144e-04 5.337605e-06 9.974374e-05
10247.000000 -2.916345e-05 -6.984469e-07 -6.403138e-08 -1.015884e-06 1.207913e-04 6.392264e-04 3.292828e-06 1.013261e-04
10252.000000 -2.917359e-05 -7.015506e-07 -6.368769e-08 -1.018985e-06 1.153048e-04 6.262721e-04 6.603056e-06 1.002414e-04
10257.000000 -2.914816e-05 -7.029639e-07 -6.169216e-08 -1.020461e-06 1.108082e-04 6.077290e-04 8.338765e-07 9.970692e-05
10262.000000 -2.907366e-05 -7.040073e-07 -6.125495e-08 -1.020615e-06 1.144579e-04 5.917776e-04 4.932988e-06 1.052059e-04
10267.000000 -2.906480e-05 -7.084292e-07 -6.275623e-08 -1.022490e-06 1.107435e-04 5.891467e-04 -1.116150e-05 1.080780e-04
10272.000000 -2.906846e-05 -7.127381e-07 -6.352083e-08 -1.025890e-06 1.170063e-04 6.044720e-04 -1.869140e-05 1.073224e-04
10277.000000 -2.908110e-05 -7.157611e-07 -6.310022e-08 -1.030362e-06 1.063785e-04 6.099750e-04 -1.894174e-05 1.089918e-04
10282.000000 -2.894758e-05 -7.168162e-07 -6.238752e-08 -1.028763e-06 1.014468e-04 6.295105e-04 -2.655375e-05 1.212035e-04
10287.000000 -2.897252e-05 -7.215556e-07 -6.345308e-08 -1.032315e-06 1.017017e-04 6.315695e-04 -1.617561e-05 1.086098e-04
10292.000000 -2.891006e-05 -7.233096e-07 -6.549135e-08 -1.032663e-06 1.006165e-04 5.883632e-04 -1.596299e-05 1.141059e-04
10297.000000 -2.885841e-05 -7.251817e-07 -6.624661e-08 -1.033634e-06 1.061496e-04 5.669762e-04 -1.672591e-05 1.158957e-04
10302.000000 -2.887709e-05 -7.284071e-07 -6.610448e-08 -1.037469e-06 1.098006e-04 5.815457e-04 -1.049709e-05 1.094859e-04
10307.000000 -2.883518e-05 -7.312726e-07 -6.619293e-08 -1.038373e-06 1.122383e-04 5.547896e-04 1.106203e-05 1.153650e-04
10312.000000 -2.881630e-05 -7.340603e-07 -6.660090e-08 -1.041011e-06 1.124309e-04 5.472683e-04 9.927850e-06 1.174875e-04
10317.000000 -2.879597e-05 -7.361931e-07 -6.641458e-08 -1.043648e-06 1.048504e-04 5.628346e-04 2.488907e-06 1.089565e-04
10322.000000 -2.872897e-05 -7.377990e-07 -6.578936e-08 -1.044802e-06 9.651141e-05 5.849935e-04 1.041303e-05 1.104191e-04
10327.000000 -2.869714e-05 -7.387243e-07 -6.512649e-08 -1.047623e-06 9.612204e-05 5.949070e-04 1.458151e-05 1.169684e-04
10332.000000 -2.855677e-05 -7.367409e-07 -6.429206e-08 -1.046592e-06 1.006586e-04 6.399987e-04 1.913073e-05 1.118959e-04
10337.000000 -2.864707e-05 -7.410982e-07 -6.460421e-08 -1.053310e-06 1.036173e-04 6.610124e-04 6.737581e-06 1.120458e-04
10341.000000 -2.862095e-05 -7.436270e-07 -6.530566e-08 -1.056218e-06 9.865166e-05 6.437976e-04 -4.500258e-06 1.051558e-04
10344.000000 -2.856632e-05 -7.440619e-07 -6.594843e-08 -1.057323e-06 9.090452e-05 6.478650e-04 -2.050152e-06 1.071336e-04
10346.000000 -2.857942e-05 -7.441853e-07 -6.668921e-08 -1.060443e-06 8.769292e-05 6.782858e-04 -6.672784e-06 1.102377e-04
10347.000000 -2.857062e-05 -7.453972e-07 -6.728179e-08 -1.061455e-06 8.646148e-05 6.691493e-04 -3.729998e-06 9.934379e-05
10347.200000 -2.856667e-05 -7.468111e-07 -6.756095e-08 -1.061611e-06 8.447198e-05 6.597480e-04 5.943184e-06 9.942471e-05
10347.400000 -2.857864e-05 -7.447660e-07 -6.746409e-08 -1.062127e-06 8.664543e-05 6.348038e-04 6.090973e-06 9.101780e-05
10347.600000 -2.857493e-05 -7.465234e-07 -6.768633e-08 -1.062382e-06 9.975346e-05 6.448705e-04 3.317714e-06 1.002834e-04
10347.800000 -2.849249e-05 -7.412318e-07 -6.732570e-08 -1.059413e-06 9.205424e-05 6.679918e-04 -3.530152e-06 9.082079e-05
