# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3657856714006
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.994995
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1649.999634
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370989
# Scan.uid: ad0d590c-d14c-4612-b1db-f31fbe8bdf57
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:31:39.050744
# Scan.end_time: 06/23/2023  04:32:12.070536
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 93.16391312060533
# SampleHeater.temperature2.readback: 96.0
# SampleHeater.voltage.setpoint: 0.2745509680057958
# SampleHeater.voltage.readback: 0.296
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.790000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.470710e-05 -3.350475e-07 -2.221090e-07 -3.144474e-07 6.235741e-05 2.627772e-04 -2.671833e-05 1.445995e-05
 8784.000000 -3.477674e-05 -3.306482e-07 -2.192973e-07 -3.158298e-07 6.536801e-05 2.259028e-04 -2.684281e-05 1.125622e-05
 8789.000000 -3.476738e-05 -3.271466e-07 -2.169748e-07 -3.168459e-07 6.590044e-05 2.266217e-04 -3.551009e-05 4.809951e-06
 8794.000000 -3.463877e-05 -3.239059e-07 -2.150713e-07 -3.162798e-07 7.014881e-05 2.329695e-04 -3.656456e-05 1.734541e-05
 8799.000000 -3.422302e-05 -3.218185e-07 -2.139113e-07 -3.132589e-07 7.041914e-05 2.463569e-04 -2.645696e-05 2.418166e-05
 8804.000000 -3.453599e-05 -3.248049e-07 -2.160524e-07 -3.167112e-07 6.976972e-05 2.823242e-04 -1.759768e-05 2.582154e-05
 8809.000000 -3.446695e-05 -3.249240e-07 -2.162980e-07 -3.168328e-07 7.020218e-05 2.850762e-04 -3.093606e-05 2.165794e-05
 8814.000000 -3.426247e-05 -3.244413e-07 -2.161261e-07 -3.154276e-07 7.232312e-05 2.819139e-04 -3.992856e-05 1.857749e-05
 8819.000000 -3.430443e-05 -3.257181e-07 -2.169681e-07 -3.162519e-07 7.571688e-05 2.761198e-04 -3.720125e-05 2.102925e-05
 8824.000000 -3.421956e-05 -3.281876e-07 -2.186584e-07 -3.164605e-07 6.773254e-05 2.713126e-04 -2.680313e-05 2.437772e-05
 8829.000000 -3.416817e-05 -3.288585e-07 -2.193678e-07 -3.170235e-07 6.831672e-05 2.634148e-04 -2.781872e-05 2.631739e-05
 8834.000000 -3.409783e-05 -3.291617e-07 -2.197651e-07 -3.172444e-07 6.401751e-05 2.499283e-04 -3.087914e-05 4.375435e-05
 8839.000000 -3.399658e-05 -3.296434e-07 -2.202751e-07 -3.173027e-07 5.974879e-05 2.554702e-04 -2.671969e-05 4.316033e-05
 8844.000000 -3.387128e-05 -3.306650e-07 -2.211564e-07 -3.173430e-07 6.033150e-05 2.529972e-04 -3.814960e-05 4.293720e-05
 8849.000000 -3.373318e-05 -3.323953e-07 -2.225012e-07 -3.172669e-07 6.509645e-05 2.452633e-04 -4.228437e-05 4.841544e-05
 8854.000000 -3.360738e-05 -3.329951e-07 -2.231990e-07 -3.172509e-07 5.829541e-05 2.546805e-04 -2.762267e-05 3.520861e-05
 8859.000000 -3.354052e-05 -3.325306e-07 -2.226783e-07 -3.174928e-07 6.431529e-05 2.513433e-04 -1.271049e-05 2.711585e-05
 8864.000000 -3.347745e-05 -3.343731e-07 -2.240941e-07 -3.177799e-07 6.614793e-05 2.407454e-04 -1.691840e-05 1.094000e-05
 8869.000000 -3.332805e-05 -3.365047e-07 -2.257026e-07 -3.173643e-07 6.109096e-05 2.481063e-04 -1.681649e-05 4.511215e-06
 8874.000000 -3.319454e-05 -3.384744e-07 -2.272338e-07 -3.168790e-07 6.000532e-05 2.734133e-04 -4.532473e-06 1.031205e-05
 8879.000000 -3.298668e-05 -3.425206e-07 -2.299292e-07 -3.156659e-07 6.222552e-05 2.813851e-04 -1.020895e-05 1.463736e-05
 8884.000000 -3.282947e-05 -3.388978e-07 -2.278910e-07 -3.154338e-07 6.572331e-05 2.701472e-04 -2.204075e-05 1.535780e-05
 8889.000000 -3.261250e-05 -3.373333e-07 -2.269560e-07 -3.149476e-07 6.274149e-05 2.602134e-04 -2.392012e-05 1.747386e-05
 8894.000000 -3.280315e-05 -3.397817e-07 -2.288402e-07 -3.170157e-07 6.080814e-05 2.283669e-04 -2.149740e-05 2.183155e-05
 8899.000000 -3.265711e-05 -3.425766e-07 -2.307410e-07 -3.160206e-07 6.451712e-05 2.284621e-04 -2.979290e-05 2.727582e-05
 8904.000000 -3.248783e-05 -3.449010e-07 -2.323989e-07 -3.150282e-07 6.413915e-05 2.214833e-04 -2.755000e-05 3.189518e-05
 8909.000000 -3.242370e-05 -3.449624e-07 -2.324894e-07 -3.149139e-07 6.905919e-05 2.608243e-04 -3.442926e-05 2.191926e-05
 8914.000000 -3.219654e-05 -3.447822e-07 -2.323711e-07 -3.135042e-07 5.728321e-05 2.818752e-04 -3.430677e-05 2.228036e-05
 8919.000000 -3.209629e-05 -3.469105e-07 -2.338262e-07 -3.136707e-07 5.566420e-05 2.382075e-04 -3.373272e-05 1.923689e-05
 8924.000000 -3.195198e-05 -3.473450e-07 -2.343696e-07 -3.131397e-07 7.202378e-05 2.352271e-04 -3.554140e-05 2.413073e-05
 8929.000000 -3.196316e-05 -3.510566e-07 -2.368320e-07 -3.144758e-07 7.530796e-05 2.515178e-04 -3.701175e-05 2.243421e-05
 8934.000000 -3.187534e-05 -3.527333e-07 -2.380260e-07 -3.148724e-07 8.172701e-05 2.792895e-04 -4.361255e-05 2.476598e-05
 8939.000000 -3.169736e-05 -3.558642e-07 -2.401439e-07 -3.142491e-07 7.985073e-05 2.657152e-04 -3.631842e-05 1.997669e-05
 8944.000000 -3.151055e-05 -3.576259e-07 -2.413252e-07 -3.133910e-07 7.464695e-05 2.708801e-04 -2.776797e-05 2.286691e-05
 8949.000000 -3.134147e-05 -3.584861e-07 -2.416725e-07 -3.130191e-07 6.336316e-05 2.871104e-04 -2.649376e-05 2.636713e-05
 8953.000000 -3.133069e-05 -3.581926e-07 -2.411425e-07 -3.140845e-07 5.126792e-05 2.580208e-04 -2.717370e-05 2.967434e-05
 8956.000000 -3.124839e-05 -3.584039e-07 -2.412050e-07 -3.141753e-07 5.358796e-05 2.618758e-04 -3.112428e-05 3.505159e-05
 8958.000000 -3.117533e-05 -3.600979e-07 -2.420187e-07 -3.139403e-07 5.856269e-05 2.718588e-04 -3.084028e-05 3.016947e-05
 8959.000000 -3.104910e-05 -3.624370e-07 -2.435004e-07 -3.130018e-07 6.227638e-05 2.986491e-04 -2.900255e-05 4.209595e-05
 8959.200000 -3.114759e-05 -3.609029e-07 -2.425096e-07 -3.140164e-07 6.828572e-05 3.074202e-04 -2.432499e-05 4.630812e-05
 8959.400000 -3.109642e-05 -3.619301e-07 -2.433345e-07 -3.136877e-07 5.730279e-05 3.095240e-04 -2.633427e-05 4.845737e-05
 8959.600000 -3.099140e-05 -3.630520e-07 -2.440623e-07 -3.126173e-07 5.421849e-05 3.042052e-04 -3.890565e-05 4.088061e-05
