# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.54875037002546
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998901
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371019
# Scan.uid: 2f3e6130-a098-416d-a993-4378a3b348b3
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:01:29.496928
# Scan.end_time: 06/23/2023  05:02:05.445610
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 184.23009063800174
# SampleHeater.temperature2.readback: 185.5
# SampleHeater.voltage.setpoint: 0.44434547893389276
# SampleHeater.voltage.readback: 0.437
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.83
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.456581e-05 -3.297840e-07 -2.185095e-07 -3.140805e-07 5.453689e-05 1.165129e-04 -7.063889e-05 3.147396e-05
 8784.000000 -3.464083e-05 -3.256355e-07 -2.159623e-07 -3.155436e-07 5.503067e-05 1.249676e-04 -7.340603e-05 9.262013e-06
 8789.000000 -3.461695e-05 -3.239330e-07 -2.148689e-07 -3.163336e-07 5.830558e-05 1.125937e-04 -5.722249e-05 1.325956e-05
 8794.000000 -3.443791e-05 -3.243170e-07 -2.152965e-07 -3.155514e-07 5.605394e-05 1.156513e-04 -5.360739e-05 1.413755e-05
 8799.000000 -3.393404e-05 -3.241090e-07 -2.155038e-07 -3.115385e-07 5.494738e-05 1.119468e-04 -6.824898e-05 6.856800e-06
 8804.000000 -3.430349e-05 -3.263201e-07 -2.171250e-07 -3.154413e-07 5.376568e-05 1.226414e-04 -7.298613e-05 -3.495676e-06
 8809.000000 -3.415522e-05 -3.291130e-07 -2.192932e-07 -3.147823e-07 5.836800e-05 1.226470e-04 -6.947740e-05 3.148837e-06
 8814.000000 -3.403282e-05 -3.273967e-07 -2.183339e-07 -3.140919e-07 6.575522e-05 1.188204e-04 -7.220540e-05 1.504843e-05
 8819.000000 -3.416041e-05 -3.268071e-07 -2.178158e-07 -3.160070e-07 6.329992e-05 1.138094e-04 -6.233489e-05 4.932707e-05
 8824.000000 -3.407616e-05 -3.287216e-07 -2.194423e-07 -3.159454e-07 6.313002e-05 1.082836e-04 -6.641654e-05 3.627598e-05
 8829.000000 -3.396276e-05 -3.296196e-07 -2.199226e-07 -3.160025e-07 5.516418e-05 1.030618e-04 -6.209340e-05 1.355754e-05
 8834.000000 -3.386864e-05 -3.291097e-07 -2.196293e-07 -3.162458e-07 6.758075e-05 1.018929e-04 -5.935870e-05 1.364124e-05
 8839.000000 -3.374214e-05 -3.290558e-07 -2.196554e-07 -3.160972e-07 7.067747e-05 1.111528e-04 -6.854795e-05 4.460272e-06
 8844.000000 -3.365372e-05 -3.297807e-07 -2.207634e-07 -3.164170e-07 6.465052e-05 1.187295e-04 -7.335514e-05 -2.676675e-06
 8849.000000 -3.356634e-05 -3.301513e-07 -2.212205e-07 -3.168191e-07 7.047784e-05 1.269656e-04 -6.475894e-05 -3.289438e-06
 8854.000000 -3.347247e-05 -3.307499e-07 -2.217841e-07 -3.170961e-07 6.710913e-05 1.284353e-04 -7.011864e-05 -9.869515e-07
 8859.000000 -3.337402e-05 -3.323694e-07 -2.229230e-07 -3.171687e-07 6.987834e-05 1.167320e-04 -7.283993e-05 -7.120674e-06
 8864.000000 -3.312482e-05 -3.379388e-07 -2.268190e-07 -3.157721e-07 7.814915e-05 1.303823e-04 -7.198286e-05 -6.045725e-06
 8869.000000 -3.296891e-05 -3.396374e-07 -2.278354e-07 -3.152306e-07 7.826310e-05 1.350292e-04 -7.934039e-05 6.897062e-07
 8874.000000 -3.282213e-05 -3.409771e-07 -2.288813e-07 -3.147797e-07 7.605918e-05 1.266743e-04 -8.519675e-05 1.166312e-05
 8879.000000 -3.269406e-05 -3.420083e-07 -2.297858e-07 -3.144446e-07 7.663626e-05 1.180919e-04 -8.009323e-05 8.447567e-06
 8884.000000 -3.243163e-05 -3.413931e-07 -2.297381e-07 -3.131166e-07 8.192802e-05 1.214940e-04 -7.155697e-05 2.039791e-05
 8889.000000 -3.233653e-05 -3.387073e-07 -2.279711e-07 -3.137337e-07 7.665284e-05 9.644617e-05 -7.737269e-05 2.127533e-05
 8894.000000 -3.264357e-05 -3.388166e-07 -2.280179e-07 -3.170746e-07 7.350704e-05 7.411730e-05 -7.709579e-05 1.578224e-05
 8899.000000 -3.252652e-05 -3.399168e-07 -2.289541e-07 -3.165252e-07 7.762356e-05 7.014958e-05 -7.333603e-05 1.926837e-05
 8904.000000 -3.238096e-05 -3.424147e-07 -2.307073e-07 -3.157567e-07 6.364181e-05 7.044754e-05 -7.246025e-05 7.732664e-06
 8909.000000 -3.211652e-05 -3.470157e-07 -2.338858e-07 -3.135246e-07 6.802428e-05 6.828984e-05 -7.389469e-05 1.109523e-05
 8914.000000 -3.176477e-05 -3.503589e-07 -2.363970e-07 -3.107330e-07 6.843509e-05 8.595760e-05 -6.797690e-05 1.540283e-05
 8919.000000 -3.158166e-05 -3.535135e-07 -2.385849e-07 -3.099607e-07 7.196546e-05 6.713919e-05 -7.840424e-05 1.036543e-05
 8924.000000 -3.167794e-05 -3.505123e-07 -2.365840e-07 -3.119811e-07 6.648132e-05 6.540860e-05 -8.225654e-05 1.106250e-05
 8929.000000 -3.172916e-05 -3.539163e-07 -2.391042e-07 -3.138454e-07 6.613158e-05 8.686051e-05 -7.930352e-05 2.545058e-06
 8934.000000 -3.168024e-05 -3.541575e-07 -2.390161e-07 -3.146046e-07 6.585223e-05 6.878226e-05 -6.187548e-05 8.602606e-07
 8939.000000 -3.154297e-05 -3.558216e-07 -2.400368e-07 -3.143948e-07 6.786026e-05 5.889346e-05 -5.432505e-05 6.931583e-06
 8944.000000 -3.147238e-05 -3.558498e-07 -2.400091e-07 -3.148499e-07 7.037658e-05 4.743062e-05 -5.614896e-05 2.235364e-05
 8949.000000 -3.133204e-05 -3.558581e-07 -2.399626e-07 -3.147729e-07 7.300992e-05 4.605321e-05 -5.879332e-05 3.727211e-05
 8953.000000 -3.123728e-05 -3.560231e-07 -2.398579e-07 -3.149464e-07 7.612339e-05 6.120910e-05 -6.671317e-05 7.734166e-06
 8956.000000 -3.110223e-05 -3.588145e-07 -2.415876e-07 -3.144724e-07 8.199869e-05 8.196748e-05 -6.269336e-05 1.237587e-05
 8958.000000 -3.108217e-05 -3.592012e-07 -2.415447e-07 -3.148876e-07 9.040378e-05 8.424776e-05 -5.254470e-05 1.115257e-05
 8959.000000 -3.107767e-05 -3.571170e-07 -2.397384e-07 -3.151160e-07 8.523920e-05 9.256498e-05 -4.130825e-05 9.898843e-06
 8959.200000 -3.109395e-05 -3.547730e-07 -2.379663e-07 -3.155613e-07 7.569627e-05 9.437881e-05 -4.590743e-05 6.481126e-06
 8959.400000 -3.109002e-05 -3.551064e-07 -2.384845e-07 -3.154332e-07 7.773716e-05 8.620252e-05 -5.165701e-05 3.953979e-06
 8959.600000 -3.105212e-05 -3.565852e-07 -2.394640e-07 -3.150993e-07 7.891999e-05 7.625958e-05 -5.142969e-05 1.019327e-05
