# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.61289392561093
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004761
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371021
# Scan.uid: fd9675f6-c392-40b0-a45c-2f6d7917182b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:03:31.531280
# Scan.end_time: 06/23/2023  05:04:06.328213
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 194.4014932513237
# SampleHeater.temperature2.readback: 196.5
# SampleHeater.voltage.setpoint: 0.4685671447563281
# SampleHeater.voltage.readback: 0.482
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.470455e-05 -3.360969e-07 -2.227696e-07 -3.154097e-07 1.814543e-05 -4.992132e-05 -4.855553e-05 2.355654e-05
 8784.000000 -3.474382e-05 -3.348154e-07 -2.220022e-07 -3.163580e-07 1.332970e-05 -4.382671e-05 -6.126048e-05 3.212399e-05
 8789.000000 -3.463205e-05 -3.360105e-07 -2.230729e-07 -3.159719e-07 1.528138e-05 -3.252928e-05 -6.384901e-05 2.218965e-05
 8794.000000 -3.454499e-05 -3.333123e-07 -2.213983e-07 -3.158791e-07 1.707978e-05 -4.877230e-05 -6.232019e-05 1.869911e-05
 8799.000000 -3.416360e-05 -3.274596e-07 -2.175454e-07 -3.134923e-07 2.421224e-05 -4.297624e-05 -5.439219e-05 1.894462e-05
 8804.000000 -3.445210e-05 -3.294265e-07 -2.190650e-07 -3.168466e-07 2.496601e-05 -2.568716e-05 -6.192493e-05 2.422302e-05
 8809.000000 -3.437509e-05 -3.284328e-07 -2.183664e-07 -3.168884e-07 1.967106e-05 -2.957076e-05 -5.687298e-05 1.825041e-05
 8814.000000 -3.415714e-05 -3.278257e-07 -2.183899e-07 -3.151924e-07 2.376346e-05 -1.487670e-05 -5.726584e-05 1.731947e-06
 8819.000000 -3.419532e-05 -3.274206e-07 -2.181634e-07 -3.160596e-07 2.432564e-05 -1.215080e-05 -5.233087e-05 4.251391e-06
 8824.000000 -3.406570e-05 -3.304728e-07 -2.204268e-07 -3.156728e-07 2.157552e-05 -1.401567e-05 -5.121154e-05 1.808454e-05
 8829.000000 -3.400072e-05 -3.296383e-07 -2.201039e-07 -3.161119e-07 2.019911e-05 -3.559907e-06 -5.815554e-05 4.616068e-05
 8834.000000 -3.398204e-05 -3.282490e-07 -2.192430e-07 -3.171018e-07 2.365580e-05 4.943051e-06 -5.549269e-05 5.601226e-05
 8839.000000 -3.388209e-05 -3.286936e-07 -2.194620e-07 -3.171964e-07 1.998745e-05 4.080660e-06 -6.163115e-05 1.624119e-05
 8844.000000 -3.374783e-05 -3.306880e-07 -2.210902e-07 -3.169683e-07 2.832135e-05 -3.143536e-05 -6.158099e-05 1.145253e-05
 8849.000000 -3.364464e-05 -3.301334e-07 -2.206999e-07 -3.170665e-07 3.056536e-05 -3.442578e-05 -6.178858e-05 -1.023008e-06
 8854.000000 -3.351764e-05 -3.315882e-07 -2.219338e-07 -3.168012e-07 2.972457e-05 -2.481758e-05 -6.242779e-05 1.173714e-05
 8859.000000 -3.342899e-05 -3.328728e-07 -2.229977e-07 -3.171214e-07 3.134371e-05 -2.868376e-05 -5.461092e-05 4.914691e-05
 8864.000000 -3.335337e-05 -3.336882e-07 -2.235568e-07 -3.173859e-07 3.267621e-05 -3.737522e-05 -6.234369e-05 5.600396e-05
 8869.000000 -3.325907e-05 -3.347505e-07 -2.245198e-07 -3.173218e-07 2.749088e-05 -4.077816e-05 -6.361548e-05 6.244380e-05
 8874.000000 -3.307408e-05 -3.374363e-07 -2.265369e-07 -3.161684e-07 1.946632e-05 -2.463015e-05 -6.282262e-05 7.235617e-05
 8879.000000 -3.293442e-05 -3.382892e-07 -2.273769e-07 -3.156589e-07 1.719150e-05 -4.187390e-05 -5.805586e-05 7.010990e-05
 8884.000000 -3.265276e-05 -3.387103e-07 -2.277533e-07 -3.144899e-07 1.691781e-05 -5.251608e-05 -5.546665e-05 6.994075e-05
 8889.000000 -3.246638e-05 -3.381537e-07 -2.274835e-07 -3.143718e-07 2.001066e-05 -5.519416e-05 -5.097878e-05 6.590949e-05
 8894.000000 -3.268059e-05 -3.407481e-07 -2.292674e-07 -3.166646e-07 2.222621e-05 -3.516472e-05 -6.449574e-05 6.078322e-05
 8899.000000 -3.260811e-05 -3.410265e-07 -2.296107e-07 -3.166086e-07 1.777128e-05 -3.947794e-05 -6.715986e-05 6.657945e-05
 8904.000000 -3.239493e-05 -3.456510e-07 -2.328670e-07 -3.150855e-07 1.804135e-05 -4.023194e-05 -6.861590e-05 5.997544e-05
 8909.000000 -3.230294e-05 -3.451236e-07 -2.326140e-07 -3.147504e-07 1.790510e-05 -3.152412e-05 -6.773290e-05 6.028853e-05
 8914.000000 -3.203000e-05 -3.461483e-07 -2.333712e-07 -3.128241e-07 2.639194e-05 -2.077521e-05 -5.985188e-05 6.585157e-05
 8919.000000 -3.200692e-05 -3.460951e-07 -2.333657e-07 -3.135645e-07 3.525065e-05 -9.302965e-06 -5.956006e-05 7.027233e-05
 8924.000000 -3.183776e-05 -3.468665e-07 -2.340490e-07 -3.130367e-07 3.672300e-05 -3.292459e-05 -6.852973e-05 6.298663e-05
 8929.000000 -3.180836e-05 -3.505671e-07 -2.368177e-07 -3.140615e-07 3.570350e-05 -4.553707e-05 -6.334238e-05 6.130091e-05
 8934.000000 -3.174336e-05 -3.515755e-07 -2.372900e-07 -3.145549e-07 3.220821e-05 -4.797826e-05 -6.275330e-05 6.377530e-05
 8939.000000 -3.161715e-05 -3.520368e-07 -2.375715e-07 -3.145321e-07 2.497110e-05 -4.628468e-05 -5.211012e-05 5.892934e-05
 8944.000000 -3.151306e-05 -3.510465e-07 -2.367232e-07 -3.146358e-07 2.406351e-05 -7.830629e-05 -4.520531e-05 2.391743e-05
 8949.000000 -3.137936e-05 -3.518849e-07 -2.371568e-07 -3.144925e-07 2.868436e-05 -1.026835e-04 -5.119957e-05 1.520931e-05
 8953.000000 -3.128206e-05 -3.524807e-07 -2.374197e-07 -3.146413e-07 2.774888e-05 -8.442069e-05 -5.673891e-05 1.518830e-05
 8956.000000 -3.116474e-05 -3.545157e-07 -2.385672e-07 -3.141475e-07 2.738685e-05 -7.210374e-05 -5.793556e-05 1.912043e-05
 8958.000000 -3.122120e-05 -3.523572e-07 -2.369404e-07 -3.151872e-07 1.911062e-05 -7.558368e-05 -6.362064e-05 1.456987e-05
 8959.000000 -3.118684e-05 -3.525739e-07 -2.366787e-07 -3.151979e-07 2.199329e-05 -6.936742e-05 -6.626039e-05 1.480136e-05
 8959.200000 -3.116107e-05 -3.514276e-07 -2.357256e-07 -3.151527e-07 2.006139e-05 -7.552647e-05 -7.672216e-05 2.346001e-06
 8959.400000 -3.111000e-05 -3.540693e-07 -2.374538e-07 -3.144666e-07 2.280353e-05 -7.531269e-05 -7.129465e-05 1.509089e-05
