# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0196434452114
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997803
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371023
# Scan.uid: 3de9d7a6-97e6-4ceb-b065-04e48c19c211
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:05:31.545368
# Scan.end_time: 06/23/2023  05:06:05.683201
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 203.5
# SampleHeater.voltage.setpoint: 0.42048723017164363
# SampleHeater.voltage.readback: 0.428
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.470363e-05 -3.382560e-07 -2.241357e-07 -3.146817e-07 4.511326e-05 -1.364221e-04 -4.537433e-05 6.427379e-06
 8784.000000 -3.476144e-05 -3.362679e-07 -2.228772e-07 -3.158631e-07 3.610299e-05 -1.382970e-04 -4.468797e-05 7.929187e-06
 8789.000000 -3.459659e-05 -3.378082e-07 -2.241625e-07 -3.150550e-07 3.568768e-05 -1.167334e-04 -4.058827e-05 1.393600e-06
 8794.000000 -3.453020e-05 -3.351072e-07 -2.224056e-07 -3.151182e-07 3.030500e-05 -1.019458e-04 -3.363405e-05 5.245402e-06
 8799.000000 -3.410668e-05 -3.323513e-07 -2.206701e-07 -3.121913e-07 3.330542e-05 -9.675580e-05 -3.899405e-05 1.288050e-05
 8804.000000 -3.439983e-05 -3.349248e-07 -2.225020e-07 -3.154393e-07 4.031576e-05 -1.130691e-04 -3.936840e-05 1.381085e-05
 8809.000000 -3.434382e-05 -3.341335e-07 -2.223576e-07 -3.155809e-07 4.229312e-05 -1.483120e-04 -3.222840e-05 1.846312e-05
 8814.000000 -3.422116e-05 -3.313027e-07 -2.207959e-07 -3.145709e-07 4.132812e-05 -1.263461e-04 -3.692388e-05 1.588458e-05
 8819.000000 -3.421201e-05 -3.339386e-07 -2.225596e-07 -3.149307e-07 4.419198e-05 -1.219486e-04 -4.217507e-05 1.423417e-05
 8824.000000 -3.410837e-05 -3.364592e-07 -2.243541e-07 -3.148025e-07 5.228300e-05 -1.201886e-04 -4.678628e-05 9.984348e-06
 8829.000000 -3.400437e-05 -3.375717e-07 -2.251178e-07 -3.152028e-07 5.146453e-05 -1.124720e-04 -5.333046e-05 -3.520440e-07
 8834.000000 -3.397771e-05 -3.367108e-07 -2.247492e-07 -3.161518e-07 5.371487e-05 -1.210042e-04 -5.217722e-05 -1.779800e-06
 8839.000000 -3.384950e-05 -3.394615e-07 -2.267693e-07 -3.158885e-07 5.001450e-05 -1.066763e-04 -4.953453e-05 -4.251458e-06
 8844.000000 -3.377704e-05 -3.391120e-07 -2.266912e-07 -3.165271e-07 4.647838e-05 -1.286201e-04 -4.267550e-05 8.683007e-06
 8849.000000 -3.364504e-05 -3.403783e-07 -2.276390e-07 -3.165272e-07 4.406624e-05 -1.360376e-04 -4.232302e-05 1.288169e-05
 8854.000000 -3.358082e-05 -3.401409e-07 -2.274787e-07 -3.171858e-07 3.462662e-05 -1.392642e-04 -4.646729e-05 8.315840e-06
 8859.000000 -3.344175e-05 -3.412627e-07 -2.283731e-07 -3.168953e-07 4.011204e-05 -1.349797e-04 -3.502213e-05 1.519873e-05
 8864.000000 -3.331979e-05 -3.438272e-07 -2.304892e-07 -3.165870e-07 4.035057e-05 -1.311386e-04 -3.182366e-05 1.399578e-06
 8869.000000 -3.323342e-05 -3.441298e-07 -2.310063e-07 -3.168157e-07 4.945249e-05 -1.281614e-04 -3.526778e-05 -2.942728e-06
 8874.000000 -3.317052e-05 -3.437435e-07 -2.308421e-07 -3.170551e-07 4.899847e-05 -1.273948e-04 -4.408941e-05 -2.198135e-06
 8879.000000 -3.307096e-05 -3.442162e-07 -2.313302e-07 -3.168857e-07 4.803011e-05 -1.189814e-04 -4.502999e-05 -8.804113e-06
 8884.000000 -3.279873e-05 -3.446632e-07 -2.316904e-07 -3.153553e-07 4.487920e-05 -9.778878e-05 -4.870216e-05 -1.565023e-05
 8889.000000 -3.257447e-05 -3.445951e-07 -2.318549e-07 -3.145410e-07 4.369497e-05 -9.742070e-05 -4.597238e-05 -1.888179e-05
 8894.000000 -3.268840e-05 -3.487954e-07 -2.347755e-07 -3.159381e-07 4.837344e-05 -1.051312e-04 -3.289223e-05 -1.757328e-05
 8899.000000 -3.260907e-05 -3.498843e-07 -2.357913e-07 -3.157287e-07 3.872681e-05 -1.001029e-04 -4.122924e-05 -2.789778e-05
 8904.000000 -3.242604e-05 -3.535853e-07 -2.382170e-07 -3.145635e-07 4.093184e-05 -9.821049e-05 -2.673707e-05 -2.309821e-05
 8909.000000 -3.220834e-05 -3.574316e-07 -2.408148e-07 -3.131289e-07 3.789097e-05 -9.089722e-05 -2.705214e-05 -2.604729e-05
 8914.000000 -3.203833e-05 -3.545164e-07 -2.388837e-07 -3.122815e-07 3.757738e-05 -1.016953e-04 -2.806972e-05 -1.449904e-05
 8919.000000 -3.200160e-05 -3.549408e-07 -2.393695e-07 -3.126194e-07 3.426636e-05 -1.077929e-04 -3.773442e-05 -2.483888e-05
 8924.000000 -3.182492e-05 -3.566475e-07 -2.407973e-07 -3.120856e-07 3.617339e-05 -1.373200e-04 -3.874445e-05 -2.296370e-05
 8929.000000 -3.187819e-05 -3.590830e-07 -2.423806e-07 -3.139426e-07 3.784734e-05 -1.242883e-04 -3.425367e-05 -1.681578e-05
 8934.000000 -3.171588e-05 -3.624171e-07 -2.447051e-07 -3.138496e-07 3.047357e-05 -1.224026e-04 -3.700580e-05 -1.268155e-05
 8939.000000 -3.157629e-05 -3.628932e-07 -2.448225e-07 -3.138828e-07 2.885511e-05 -1.144576e-04 -3.481736e-05 -1.253275e-05
 8944.000000 -3.148754e-05 -3.601818e-07 -2.430942e-07 -3.139037e-07 3.730657e-05 -8.011972e-05 -3.844143e-05 -1.229680e-05
 8949.000000 -3.135637e-05 -3.595999e-07 -2.424914e-07 -3.134435e-07 4.679246e-05 -4.168853e-05 -3.525552e-05 -1.004977e-05
 8953.000000 -3.127532e-05 -3.595753e-07 -2.422121e-07 -3.137007e-07 4.899383e-05 -4.327973e-05 -3.965587e-05 -1.161848e-05
 8956.000000 -3.118408e-05 -3.597880e-07 -2.421090e-07 -3.137234e-07 4.305739e-05 -5.172063e-05 -3.446452e-05 -8.000809e-06
 8958.000000 -3.119768e-05 -3.578515e-07 -2.404709e-07 -3.145247e-07 4.448812e-05 -5.858094e-05 -3.750033e-05 -2.992027e-06
 8959.000000 -3.118551e-05 -3.576399e-07 -2.401761e-07 -3.148541e-07 4.211077e-05 -4.952693e-05 -3.733632e-05 2.651863e-06
 8959.200000 -3.116783e-05 -3.596808e-07 -2.414976e-07 -3.147902e-07 4.506124e-05 -3.710988e-05 -5.240896e-05 6.084715e-06
 8959.400000 -3.117180e-05 -3.584927e-07 -2.407402e-07 -3.147161e-07 4.307933e-05 -4.272179e-05 -4.778396e-05 1.162613e-06
