# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3391027473882
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371039
# Scan.uid: 4ff05cba-0502-41b5-bb83-1aceac078084
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:21:24.586599
# Scan.end_time: 06/23/2023  05:21:59.010240
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 223.8262813091278
# SampleHeater.temperature2.readback: 226.3
# SampleHeater.voltage.setpoint: 0.48316060536055994
# SampleHeater.voltage.readback: 0.485
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.790000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.473606e-05 -3.269074e-07 -2.167114e-07 -3.165630e-07 6.022936e-06 -1.290283e-04 -4.490389e-05 3.826570e-05
 8784.000000 -3.478801e-05 -3.233472e-07 -2.144435e-07 -3.178350e-07 5.124973e-06 -1.243625e-04 -4.859492e-05 3.959191e-05
 8789.000000 -3.466953e-05 -3.226994e-07 -2.141140e-07 -3.178209e-07 2.622457e-06 -1.354547e-04 -5.246575e-05 4.642525e-05
 8794.000000 -3.455446e-05 -3.199186e-07 -2.123357e-07 -3.177372e-07 5.939961e-06 -1.251613e-04 -5.094503e-05 5.080992e-05
 8799.000000 -3.417024e-05 -3.169488e-07 -2.106523e-07 -3.148538e-07 7.589666e-06 -1.463692e-04 -5.071457e-05 4.881648e-05
 8804.000000 -3.449496e-05 -3.197188e-07 -2.126939e-07 -3.184374e-07 3.903862e-06 -1.575567e-04 -4.572482e-05 5.441488e-05
 8809.000000 -3.441261e-05 -3.211449e-07 -2.138412e-07 -3.184065e-07 -3.509813e-06 -1.781448e-04 -4.798065e-05 5.119624e-05
 8814.000000 -3.426772e-05 -3.201206e-07 -2.130948e-07 -3.173343e-07 2.194362e-06 -1.878222e-04 -5.435362e-05 3.653253e-05
 8819.000000 -3.431233e-05 -3.222533e-07 -2.147414e-07 -3.181151e-07 7.962766e-06 -1.674536e-04 -5.182795e-05 3.351732e-05
 8824.000000 -3.424663e-05 -3.234274e-07 -2.156245e-07 -3.182905e-07 8.281605e-06 -1.736436e-04 -5.619646e-05 4.050279e-05
 8829.000000 -3.417978e-05 -3.248719e-07 -2.168368e-07 -3.185780e-07 2.869684e-06 -1.740955e-04 -6.748285e-05 3.899953e-05
 8834.000000 -3.408646e-05 -3.263893e-07 -2.180288e-07 -3.188542e-07 9.827305e-06 -1.567150e-04 -6.708234e-05 3.746571e-05
 8839.000000 -3.393764e-05 -3.280920e-07 -2.191681e-07 -3.185684e-07 1.264103e-05 -1.728830e-04 -6.020305e-05 4.572540e-05
 8844.000000 -3.385658e-05 -3.278214e-07 -2.190114e-07 -3.188580e-07 1.706402e-05 -1.723443e-04 -5.766304e-05 4.429398e-05
 8849.000000 -3.374984e-05 -3.275708e-07 -2.191805e-07 -3.191127e-07 1.301111e-05 -1.567764e-04 -5.302644e-05 4.883428e-05
 8854.000000 -3.362360e-05 -3.289771e-07 -2.202696e-07 -3.190995e-07 1.951133e-05 -1.514964e-04 -5.865967e-05 7.527524e-05
 8859.000000 -3.353123e-05 -3.301019e-07 -2.212043e-07 -3.193778e-07 2.871514e-05 -1.600557e-04 -6.419362e-05 9.148041e-05
 8864.000000 -3.346194e-05 -3.303638e-07 -2.215777e-07 -3.196857e-07 2.198974e-05 -1.629011e-04 -6.949827e-05 5.214105e-05
 8869.000000 -3.331914e-05 -3.317180e-07 -2.227607e-07 -3.192791e-07 1.246242e-05 -1.788591e-04 -7.001083e-05 4.202527e-05
 8874.000000 -3.318302e-05 -3.340477e-07 -2.243388e-07 -3.188477e-07 1.566890e-05 -1.732580e-04 -6.222283e-05 4.545768e-05
 8879.000000 -3.312745e-05 -3.333016e-07 -2.237499e-07 -3.192911e-07 7.404994e-06 -1.613653e-04 -6.440121e-05 4.570362e-05
 8884.000000 -3.284483e-05 -3.337441e-07 -2.243072e-07 -3.175863e-07 1.188310e-05 -1.572079e-04 -6.708390e-05 4.631563e-05
 8889.000000 -3.255445e-05 -3.356974e-07 -2.258361e-07 -3.160561e-07 9.536260e-06 -1.387639e-04 -6.860154e-05 3.946547e-05
 8894.000000 -3.278483e-05 -3.373522e-07 -2.272286e-07 -3.184690e-07 1.030271e-05 -1.080577e-04 -7.686704e-05 3.414557e-05
 8899.000000 -3.269634e-05 -3.376018e-07 -2.273975e-07 -3.181530e-07 1.560193e-05 -1.231001e-04 -7.022315e-05 3.302286e-05
 8904.000000 -3.254239e-05 -3.395266e-07 -2.288628e-07 -3.172455e-07 1.611074e-05 -1.229081e-04 -5.576153e-05 2.810144e-05
 8909.000000 -3.244362e-05 -3.404478e-07 -2.294067e-07 -3.168453e-07 1.007470e-05 -1.495609e-04 -5.274579e-05 3.673823e-05
 8914.000000 -3.217109e-05 -3.407788e-07 -2.298289e-07 -3.151187e-07 1.008383e-05 -1.607806e-04 -5.658241e-05 3.829479e-05
 8919.000000 -3.206237e-05 -3.442029e-07 -2.324013e-07 -3.148852e-07 1.090108e-05 -1.514072e-04 -5.942078e-05 3.287044e-05
 8924.000000 -3.187101e-05 -3.457660e-07 -2.333849e-07 -3.140545e-07 1.408649e-05 -1.566541e-04 -4.358395e-05 3.400683e-05
 8929.000000 -3.188760e-05 -3.486242e-07 -2.351480e-07 -3.154377e-07 1.136694e-05 -1.473020e-04 -4.681748e-05 3.199149e-05
 8934.000000 -3.178998e-05 -3.505076e-07 -2.366602e-07 -3.156762e-07 8.610180e-06 -1.421773e-04 -5.185283e-05 2.938681e-05
 8939.000000 -3.167322e-05 -3.511921e-07 -2.371699e-07 -3.157779e-07 3.436135e-06 -1.334785e-04 -5.346157e-05 2.879071e-05
 8944.000000 -3.155206e-05 -3.509392e-07 -2.369237e-07 -3.158611e-07 8.575801e-06 -1.370629e-04 -5.237123e-05 2.477280e-05
 8949.000000 -3.139409e-05 -3.509053e-07 -2.365282e-07 -3.154548e-07 5.881708e-06 -1.013166e-04 -4.938377e-05 2.576217e-05
 8953.000000 -3.129816e-05 -3.511109e-07 -2.366839e-07 -3.156474e-07 5.825713e-06 -7.503454e-05 -5.648022e-05 3.240982e-05
 8956.000000 -3.123616e-05 -3.518185e-07 -2.368163e-07 -3.159440e-07 6.146441e-06 -5.336985e-05 -6.283483e-05 4.403579e-05
 8958.000000 -3.115316e-05 -3.532876e-07 -2.374882e-07 -3.156999e-07 1.050789e-05 -9.127194e-06 -6.978345e-05 7.548222e-05
 8959.000000 -3.105276e-05 -3.556377e-07 -2.390864e-07 -3.150093e-07 9.746008e-06 4.539645e-06 -7.092411e-05 7.818869e-05
 8959.200000 -3.100497e-05 -3.576140e-07 -2.404789e-07 -3.146574e-07 4.817927e-06 -8.686439e-06 -6.119130e-05 7.926270e-05
 8959.400000 -3.102543e-05 -3.572694e-07 -2.402713e-07 -3.148010e-07 -6.215499e-07 1.971682e-05 -6.874788e-05 7.241675e-05
